WH,Distributed,nodes,tput
1,0,1,10734.866666666667
1,10,1,10722.0
1,20,1,10712.766666666666
1,30,1,10599.366666666667
1,40,1,10706.4
1,50,1,10721.633333333333
1,60,1,10734.133333333333
1,70,1,10733.633333333333
1,80,1,10723.833333333334
1,90,1,10594.466666666667
1,100,1,10713.433333333332
2,0,1,18707.533333333336
2,10,1,16575.566666666666
2,20,1,15893.866666666667
2,30,1,15460.066666666666
2,40,1,15129.433333333334
2,50,1,14843.433333333334
2,60,1,14608.433333333334
2,70,1,14395.0
2,80,1,14230.633333333333
2,90,1,14171.266666666668
2,100,1,14029.333333333334
4,0,1,23499.900000000005
4,10,1,21623.533333333336
4,20,1,20938.433333333334
4,30,1,20520.766666666666
4,40,1,20125.600000000002
4,50,1,19789.033333333336
4,60,1,19458.866666666665
4,70,1,19215.433333333334
4,80,1,19076.733333333334
4,90,1,18906.333333333332
4,100,1,18513.466666666667
8,0,1,29520.233333333334
8,10,1,27468.0
8,20,1,26653.5
8,30,1,26012.63333333333
8,40,1,25427.066666666666
8,50,1,25002.2
8,60,1,24605.0
8,70,1,24392.233333333334
8,80,1,24015.8
8,90,1,23592.566666666666
8,100,1,23390.36666666667
16,0,1,34857.4
16,10,1,33025.9
16,20,1,31749.2
16,30,1,31067.100000000002
16,40,1,30460.066666666666
16,50,1,29743.36666666667
16,60,1,29139.233333333334
16,70,1,28790.5
16,80,1,28181.466666666664
16,90,1,27786.63333333333
16,100,1,27163.86666666667
32,0,1,39580.13333333333
32,10,1,37433.299999999996
32,20,1,36201.96666666667
32,30,1,35099.333333333336
32,40,1,34098.066666666666
32,50,1,33414.53333333333
32,60,1,32562.466666666664
32,70,1,31943.5
32,80,1,31310.233333333334
32,90,1,30655.899999999998
32,100,1,29994.233333333334
64,0,1,43030.833333333336
64,10,1,40697.933333333334
64,20,1,39132.36666666667
64,30,1,37888.166666666664
64,40,1,36795.299999999996
64,50,1,35720.8
64,60,1,34935.23333333333
64,70,1,33951.26666666666
64,80,1,33326.13333333333
64,90,1,32579.466666666664
64,100,1,31873.5
128,0,1,45494.9
128,10,1,42968.4
128,20,1,41429.53333333333
128,30,1,39819.333333333336
128,40,1,38584.1
128,50,1,37502.73333333334
128,60,1,36350.13333333333
128,70,1,35469.666666666664
128,80,1,34562.53333333333
128,90,1,33730.833333333336
128,100,1,32911.86666666666
256,0,1,47229.76666666666
256,10,1,44723.53333333333
256,20,1,42812.9
256,30,1,41077.4
256,40,1,39683.166666666664
256,50,1,38263.06666666667
256,60,1,37184.333333333336
256,70,1,36163.43333333333
256,80,1,35196.0
256,90,1,34370.43333333333
256,100,1,33590.53333333333
512,0,1,48449.799999999996
512,10,1,45725.4
512,20,1,43600.26666666667
512,30,1,41784.23333333333
512,40,1,40273.26666666667
512,50,1,39094.4
512,60,1,37500.4
512,70,1,36648.23333333333
512,80,1,35658.6
512,90,1,34779.066666666666
512,100,1,33845.03333333333
1024,0,1,49237.200000000004
1024,10,1,46460.5
1024,20,1,43992.86666666667
1024,30,1,42175.166666666664
1024,40,1,40646.06666666667
1024,50,1,38877.200000000004
1024,60,1,37938.96666666667
1024,70,1,36811.066666666666
1024,80,1,35837.93333333333
1024,90,1,34978.833333333336
1024,100,1,33781.96666666667
1,0,8,1103030.0
1,10,8,1099610.0
1,20,8,1101960.0
1,30,8,1099180.0
1,40,8,1100070.0
1,50,8,1101997.0
1,60,8,1101893.0
1,70,8,1097087.0
1,80,8,1098827.0
1,90,8,1101207.0
1,100,8,1099020.0
2,0,8,2140260.0
2,10,8,1385617.0
2,20,8,1111343.0
2,30,8,917613.0
2,40,8,721704.0
2,50,8,599950.0
2,60,8,538155.0
2,70,8,541504.0
2,80,8,479968.0
2,90,8,430269.0
2,100,8,401608.0
4,0,8,4351533.0
4,10,8,2671673.0
4,20,8,2038317.0
4,30,8,1494993.0
4,40,8,1488537.0
4,50,8,1194597.0
4,60,8,990941.0
4,70,8,1087560.0
4,80,8,746455.0
4,90,8,699612.0
4,100,8,686052.0
8,0,8,8016743.0
8,10,8,4756767.0
8,20,8,3679940.0
8,30,8,2908753.0
8,40,8,2415583.0
8,50,8,2047327.0
8,60,8,1726260.0
8,70,8,1863007.0
8,80,8,1442263.0
8,90,8,1307134.0
8,100,8,1404757.0
16,0,8,12222167.0
16,10,8,7523623.0
16,20,8,6084567.0
16,30,8,4641213.0
16,40,8,4110633.0
16,50,8,3449097.0
16,60,8,3154340.0
16,70,8,2864837.0
16,80,8,2545380.0
16,90,8,2635477.0
16,100,8,2119847.0
32,0,8,13039067.0
32,10,8,8670650.0
32,20,8,6740117.0
32,30,8,5627237.0
32,40,8,4848500.0
32,50,8,3625183.0
32,60,8,3331760.0
32,70,8,3156453.0
32,80,8,2884980.0
32,90,8,2566080.0
32,100,8,2335853.0
64,0,8,13545367.0
64,10,8,9627687.0
64,20,8,7553823.0
64,30,8,5611907.0
64,40,8,5020303.0
64,50,8,4371427.0
64,60,8,3539100.0
64,70,8,3607677.0
64,80,8,2615310.0
64,90,8,2833930.0
64,100,8,2764983.0
128,0,8,13564333.0
128,10,8,10341733.0
128,20,8,7993823.0
128,30,8,6822877.0
128,40,8,5507817.0
128,50,8,5511633.0
128,60,8,4569783.0
128,70,8,3562640.0
128,80,8,3250087.0
128,90,8,2513070.0
128,100,8,2842647.0
1,0,4,574522.0
1,10,4,572145.0
1,20,4,570770.0
1,30,4,570434.0
1,40,4,571932.0
1,50,4,574480.0
1,60,4,572321.0
1,70,4,572885.0
1,80,4,572642.0
1,90,4,570103.0
1,100,4,574316.0
2,0,4,1261000.0
2,10,4,761643.0
2,20,4,642681.0
2,30,4,501869.0
2,40,4,422797.0
2,50,4,427723.0
2,60,4,388936.0
2,70,4,354943.0
2,80,4,283683.0
2,90,4,315482.0
2,100,4,293934.0
4,0,4,2433993.0
4,10,4,1509723.0
4,20,4,1201987.0
4,30,4,960293.0
4,40,4,744990.0
4,50,4,732211.0
4,60,4,662171.0
4,70,4,536892.0
4,80,4,500716.0
4,90,4,447466.0
4,100,4,422357.0
8,0,4,3966213.0
8,10,4,2527567.0
8,20,4,2020873.0
8,30,4,1611513.0
8,40,4,1421520.0
8,50,4,1193340.0
8,60,4,1045891.0
8,70,4,911719.0
8,80,4,909603.0
8,90,4,672469.0
8,100,4,674835.0
16,0,4,4555850.0
16,10,4,3039473.0
16,20,4,2254300.0
16,30,4,1921307.0
16,40,4,1633257.0
16,50,4,1472197.0
16,60,4,1244157.0
16,70,4,891445.0
16,80,4,1000811.0
16,90,4,918787.0
16,100,4,816666.0
32,0,4,4897953.0
32,10,4,3396757.0
32,20,4,2538440.0
32,30,4,2140740.0
32,40,4,1672947.0
32,50,4,1321972.0
32,60,4,1407573.0
32,70,4,1105995.0
32,80,4,1206267.0
32,90,4,940930.0
32,100,4,989123.0
64,0,4,5301543.0
64,10,4,3827323.0
64,20,4,2826103.0
64,30,4,2340747.0
64,40,4,1945737.0
64,50,4,1419360.0
64,60,4,1593710.0
64,70,4,1393907.0
64,80,4,1220667.0
64,90,4,1115327.0
64,100,4,907698.0
128,0,4,5285790.0
128,10,4,4154130.0
128,20,4,3171713.0
128,30,4,2537653.0
128,40,4,2223427.0
128,50,4,1621207.0
128,60,4,1732320.0
128,70,4,1356743.0
128,80,4,1255061.0
128,90,4,1145285.0
128,100,4,1057120.0
1,0,2,335463.0
1,10,2,338334.0
1,20,2,335535.0
1,30,2,337616.0
1,40,2,339095.0
1,50,2,338204.0
1,60,2,340387.0
1,70,2,339163.0
1,80,2,339437.0
1,90,2,337624.0
1,100,2,338599.0
2,0,2,666390.0
2,10,2,440432.0
2,20,2,280177.0
2,30,2,301799.0
2,40,2,265771.0
2,50,2,204599.0
2,60,2,211179.0
2,70,2,190020.0
2,80,2,185799.0
2,90,2,174191.0
2,100,2,166118.0
4,0,2,1210017.0
4,10,2,815629.0
4,20,2,676424.0
4,30,2,591724.0
4,40,2,488321.0
4,50,2,438163.0
4,60,2,425027.0
4,70,2,336834.0
4,80,2,323095.0
4,90,2,256946.0
4,100,2,284782.0
8,0,2,1441650.0
8,10,2,968096.0
8,20,2,777451.0
8,30,2,671836.0
8,40,2,608136.0
8,50,2,507082.0
8,60,2,462695.0
8,70,2,452428.0
8,80,2,425210.0
8,90,2,336272.0
8,100,2,350683.0
16,0,2,1686583.0
16,10,2,1162917.0
16,20,2,904101.0
16,30,2,800739.0
16,40,2,698746.0
16,50,2,588457.0
16,60,2,548152.0
16,70,2,495009.0
16,80,2,484535.0
16,90,2,426667.0
16,100,2,361659.0
32,0,2,1801457.0
32,10,2,1235787.0
32,20,2,1033869.0
32,30,2,825508.0
32,40,2,688262.0
32,50,2,599535.0
32,60,2,523150.0
32,70,2,561523.0
32,80,2,487048.0
32,90,2,514117.0
32,100,2,420350.0
64,0,2,1893600.0
64,10,2,1268717.0
64,20,2,1197087.0
64,30,2,969594.0
64,40,2,830248.0
64,50,2,712118.0
64,60,2,580674.0
64,70,2,623342.0
64,80,2,456757.0
64,90,2,464598.0
64,100,2,401297.0
128,0,2,1887640.0
128,10,2,1468997.0
128,20,2,1144739.0
128,30,2,988741.0
128,40,2,944917.0
128,50,2,849457.0
128,60,2,622150.0
128,70,2,582341.0
128,80,2,539035.0
128,90,2,514907.0
128,100,2,425794.0
