alg,threads,record_size,req_per_query,total_count,read_ratio,zipf_theta,tput
2PL,1,8.0,1.0,128000.0,0.0,0.0,1450773.0
2PL,1,8.0,1.0,128000.0,0.0,0.4,1572528.6666666667
2PL,1,8.0,1.0,128000.0,0.0,0.8,1690323.6666666667
2PL,1,8.0,1.0,128000.0,0.0,0.99,2113004.3333333335
2PL,1,8.0,1.0,128000.0,0.2,0.0,1595784.6666666667
2PL,1,8.0,1.0,128000.0,0.2,0.4,1521375.6666666667
2PL,1,8.0,1.0,128000.0,0.2,0.8,1799968.3333333333
2PL,1,8.0,1.0,128000.0,0.2,0.99,2003570.6666666667
2PL,1,8.0,1.0,128000.0,0.6,0.0,1567084.0
2PL,1,8.0,1.0,128000.0,0.6,0.4,1535832.6666666667
2PL,1,8.0,1.0,128000.0,0.6,0.8,1760668.0
2PL,1,8.0,1.0,128000.0,0.6,0.99,2097817.3333333335
2PL,1,8.0,1.0,128000.0,1.0,0.0,1503556.6666666667
2PL,1,8.0,1.0,128000.0,1.0,0.4,1558074.0
2PL,1,8.0,1.0,128000.0,1.0,0.8,1744565.6666666667
2PL,1,8.0,1.0,128000.0,1.0,0.99,2140408.3333333335
2PL,1,8.0,1.0,512000.0,0.0,0.0,1237316.0
2PL,1,8.0,1.0,512000.0,0.0,0.4,1266210.6666666667
2PL,1,8.0,1.0,512000.0,0.0,0.8,1537281.0
2PL,1,8.0,1.0,512000.0,0.0,0.99,1832694.3333333333
2PL,1,8.0,1.0,512000.0,0.2,0.0,1240376.0
2PL,1,8.0,1.0,512000.0,0.2,0.4,1311166.0
2PL,1,8.0,1.0,512000.0,0.2,0.8,1541075.6666666667
2PL,1,8.0,1.0,512000.0,0.2,0.99,1845362.6666666667
2PL,1,8.0,1.0,512000.0,0.6,0.0,1244983.3333333333
2PL,1,8.0,1.0,512000.0,0.6,0.4,1284445.3333333333
2PL,1,8.0,1.0,512000.0,0.6,0.8,1504077.6666666667
2PL,1,8.0,1.0,512000.0,0.6,0.99,1883181.6666666667
2PL,1,8.0,1.0,512000.0,1.0,0.0,1263477.0
2PL,1,8.0,1.0,512000.0,1.0,0.4,1340469.0
2PL,1,8.0,1.0,512000.0,1.0,0.8,1540143.3333333333
2PL,1,8.0,1.0,512000.0,1.0,0.99,1914880.0
2PL,1,8.0,1.0,2048000.0,0.0,0.0,1190734.6666666667
2PL,1,8.0,1.0,2048000.0,0.0,0.4,1190172.6666666667
2PL,1,8.0,1.0,2048000.0,0.0,0.8,1366777.6666666667
2PL,1,8.0,1.0,2048000.0,0.0,0.99,1721444.0
2PL,1,8.0,1.0,2048000.0,0.2,0.0,1190333.0
2PL,1,8.0,1.0,2048000.0,0.2,0.4,1171323.6666666667
2PL,1,8.0,1.0,2048000.0,0.2,0.8,1373600.6666666667
2PL,1,8.0,1.0,2048000.0,0.2,0.99,1792084.6666666667
2PL,1,8.0,1.0,2048000.0,0.6,0.0,1246462.6666666667
2PL,1,8.0,1.0,2048000.0,0.6,0.4,1257623.3333333333
2PL,1,8.0,1.0,2048000.0,0.6,0.8,1392232.3333333333
2PL,1,8.0,1.0,2048000.0,0.6,0.99,1752454.3333333333
2PL,1,8.0,1.0,2048000.0,1.0,0.0,1218696.0
2PL,1,8.0,1.0,2048000.0,1.0,0.4,1223403.0
2PL,1,8.0,1.0,2048000.0,1.0,0.8,1408567.0
2PL,1,8.0,1.0,2048000.0,1.0,0.99,1866819.3333333333
2PL,1,8.0,1.0,8192000.0,0.0,0.0,1163229.0
2PL,1,8.0,1.0,8192000.0,0.0,0.4,1167034.6666666667
2PL,1,8.0,1.0,8192000.0,0.0,0.8,1291542.0
2PL,1,8.0,1.0,8192000.0,0.0,0.99,1609025.0
2PL,1,8.0,1.0,8192000.0,0.2,0.0,1175007.0
2PL,1,8.0,1.0,8192000.0,0.2,0.4,1177112.3333333333
2PL,1,8.0,1.0,8192000.0,0.2,0.8,1287978.0
2PL,1,8.0,1.0,8192000.0,0.2,0.99,1631403.6666666667
2PL,1,8.0,1.0,8192000.0,0.6,0.0,1206400.6666666667
2PL,1,8.0,1.0,8192000.0,0.6,0.4,1182098.0
2PL,1,8.0,1.0,8192000.0,0.6,0.8,1295258.3333333333
2PL,1,8.0,1.0,8192000.0,0.6,0.99,1701763.0
2PL,1,8.0,1.0,8192000.0,1.0,0.0,1241383.0
2PL,1,8.0,1.0,8192000.0,1.0,0.4,1276628.3333333333
2PL,1,8.0,1.0,8192000.0,1.0,0.8,1313096.3333333333
2PL,1,8.0,1.0,8192000.0,1.0,0.99,1667601.6666666667
2PL,1,8.0,1.0,32768000.0,0.0,0.0,1124791.0
2PL,1,8.0,1.0,32768000.0,0.0,0.4,1124939.6666666667
2PL,1,8.0,1.0,32768000.0,0.0,0.8,1207907.3333333333
2PL,1,8.0,1.0,32768000.0,0.0,0.99,1499720.0
2PL,1,8.0,1.0,32768000.0,0.2,0.0,1157913.0
2PL,1,8.0,1.0,32768000.0,0.2,0.4,1101827.6666666667
2PL,1,8.0,1.0,32768000.0,0.2,0.8,1213844.0
2PL,1,8.0,1.0,32768000.0,0.2,0.99,1505596.0
2PL,1,8.0,1.0,32768000.0,0.6,0.0,1185143.6666666667
2PL,1,8.0,1.0,32768000.0,0.6,0.4,1149150.0
2PL,1,8.0,1.0,32768000.0,0.6,0.8,1235325.6666666667
2PL,1,8.0,1.0,32768000.0,0.6,0.99,1484798.0
2PL,1,8.0,1.0,32768000.0,1.0,0.0,1160307.3333333333
2PL,1,8.0,1.0,32768000.0,1.0,0.4,1193972.6666666667
2PL,1,8.0,1.0,32768000.0,1.0,0.8,1239582.0
2PL,1,8.0,1.0,32768000.0,1.0,0.99,1501248.0
2PL,1,8.0,10.0,128000.0,0.0,0.0,244864.0
2PL,1,8.0,10.0,128000.0,0.0,0.4,271284.0
2PL,1,8.0,10.0,128000.0,0.0,0.8,282528.0
2PL,1,8.0,10.0,128000.0,0.0,0.99,379655.6666666667
2PL,1,8.0,10.0,128000.0,0.2,0.0,247474.33333333334
2PL,1,8.0,10.0,128000.0,0.2,0.4,266048.0
2PL,1,8.0,10.0,128000.0,0.2,0.8,314123.6666666667
