warehouses,threads,cross,servers,tput
4,1,0,2,29.72123333333333
4,1,0,4,65.8217
4,1,20,2,20.023999999999997
4,1,20,4,29.5046
4,1,40,2,15.706033333333332
4,1,40,4,22.45853333333333
4,1,60,2,14.784866666666666
4,1,60,4,18.461333333333332
4,1,80,2,14.536466666666668
4,1,80,4,17.144499999999997
4,1,100,2,14.949100000000001
4,1,100,4,16.775433333333332
4,2,0,2,50.1901
4,2,0,4,86.61899999999999
4,2,20,2,28.860799999999998
4,2,20,4,36.777433333333335
4,2,40,2,24.764233333333333
4,2,40,4,28.207733333333334
4,2,60,2,23.368899999999996
4,2,60,4,23.422866666666668
4,2,80,2,21.910933333333332
4,2,80,4,20.532466666666668
4,2,100,2,21.97266666666667
4,2,100,4,19.5835
4,4,0,2,51.740933333333324
4,4,0,4,80.39176666666667
4,4,20,2,38.9597
4,4,20,4,42.02633333333333
4,4,40,2,30.22576666666667
4,4,40,4,32.019533333333335
4,4,60,2,28.41643333333333
4,4,60,4,26.103400000000004
4,4,80,2,27.07026666666667
4,4,80,4,23.338833333333337
4,4,100,2,28.605833333333333
4,4,100,4,21.84136666666667
4,8,0,2,48.06886666666667
4,8,0,4,80.33749999999999
4,8,20,2,36.01776666666667
4,8,20,4,36.85463333333333
4,8,40,2,31.11096666666667
4,8,40,4,30.629400000000004
4,8,60,2,27.702633333333335
4,8,60,4,25.6093
4,8,80,2,26.74466666666667
4,8,80,4,23.250966666666667
4,8,100,2,27.568533333333335
4,8,100,4,20.73946666666667
4,16,0,2,42.62193333333333
4,16,0,4,77.17733333333334
4,16,20,2,30.556533333333334
4,16,20,4,42.118966666666665
4,16,40,2,27.648666666666667
4,16,40,4,32.69686666666667
4,16,60,2,25.498566666666665
4,16,60,4,27.263
4,16,80,2,25.002200000000002
4,16,80,4,23.2449
4,16,100,2,25.257566666666666
4,16,100,4,22.538333333333338
8,1,0,2,23.95606666666667
8,1,0,4,59.16630000000001
8,1,0,8,114.265
8,1,20,2,18.290633333333332
8,1,20,4,29.030766666666665
8,1,20,8,45.7113
8,1,40,2,14.712966666666667
8,1,40,4,22.430266666666668
8,1,40,8,35.75893333333334
8,1,60,2,13.719733333333332
8,1,60,4,19.465700000000002
8,1,60,8,29.1183
8,1,80,2,12.394333333333334
8,1,80,4,17.30843333333333
8,1,80,8,25.06843333333333
8,1,100,2,12.442966666666665
8,1,100,4,16.417933333333334
8,1,100,8,23.0458
8,2,0,2,41.44016666666667
8,2,0,4,87.13256666666666
8,2,0,8,153.428
8,2,20,2,27.415900000000004
8,2,20,4,42.67203333333333
8,2,20,8,52.11103333333333
8,2,40,2,21.575333333333333
8,2,40,4,30.012833333333333
8,2,40,8,39.74146666666667
8,2,60,2,19.587466666666668
8,2,60,4,24.63293333333333
8,2,60,8,32.312466666666666
8,2,80,2,20.652033333333332
8,2,80,4,22.7144
8,2,80,8,27.028899999999997
8,2,100,2,19.42356666666667
8,2,100,4,19.855933333333333
8,2,100,8,23.359333333333336
8,4,0,2,43.20943333333333
8,4,0,4,96.30913333333335
8,4,0,8,160.68066666666667
8,4,20,2,29.8832
8,4,20,4,48.91633333333334
8,4,20,8,55.893466666666676
8,4,40,2,27.8225
8,4,40,4,39.1385
8,4,40,8,45.10456666666666
8,4,60,2,26.3045
8,4,60,4,29.585433333333338
8,4,60,8,36.59133333333333
8,4,80,2,24.6073
8,4,80,4,26.40773333333333
