num_keys,value_size,put_percent,zipf,tput
128,8,0,0.0,21346001.175088335
128,8,0,0.4,21267198.955993
128,8,0,0.8,21313688.768849667
128,8,0,0.99,21313772.39458367
128,8,20,0.0,20738429.736209
128,8,20,0.4,20292595.239067
128,8,20,0.8,20777259.219811335
128,8,20,0.99,20752211.647633333
128,8,40,0.0,20704744.73735067
128,8,40,0.4,20742808.33315933
128,8,40,0.8,20782524.167003665
128,8,40,0.99,20715813.54596467
128,8,60,0.0,21139853.660423666
128,8,60,0.4,21157927.778700333
128,8,60,0.8,21112258.713658337
128,8,60,0.99,20997685.677302334
128,8,80,0.0,21856635.55169267
128,8,80,0.4,21416868.680136334
128,8,80,0.8,21863194.894207
128,8,80,0.99,21862055.580850333
128,8,100,0.0,21684599.025144335
128,8,100,0.4,22192474.821182
128,8,100,0.8,22594127.386705335
128,8,100,0.99,22568225.634805333
128,32,0,0.0,18789684.922980666
128,32,0,0.4,18806382.677354
128,32,0,0.8,18858631.460381668
128,32,0,0.99,18273839.346610997
128,32,20,0.0,18421979.264004003
128,32,20,0.4,18780404.826671664
128,32,20,0.8,18791600.858250335
128,32,20,0.99,18768926.067531
128,32,40,0.0,18998920.905548
128,32,40,0.4,19012536.048100665
128,32,40,0.8,18902663.072781
128,32,40,0.99,18958429.431831002
128,32,60,0.0,19596813.892108336
128,32,60,0.4,19568952.988388
128,32,60,0.8,19522603.791223668
128,32,60,0.99,19562644.639564
128,32,80,0.0,20574696.084970333
128,32,80,0.4,20523768.19846
128,32,80,0.8,20518134.15129367
128,32,80,0.99,20185372.511326
128,32,100,0.0,21593923.542195667
128,32,100,0.4,21594447.736454666
128,32,100,0.8,21573312.081801
128,32,100,0.99,21591360.526942004
128,128,0,0.0,13151801.576668
128,128,0,0.4,13151956.243046999
128,128,0,0.8,13148635.831766665
128,128,0,0.99,13149286.96747
128,128,20,0.0,14452592.206893666
128,128,20,0.4,14450800.806103999
128,128,20,0.8,14456012.150620667
128,128,20,0.99,14456528.891732
128,128,40,0.0,15578329.586628666
128,128,40,0.4,15593760.967559665
128,128,40,0.8,15574263.901003001
128,128,40,0.99,15588815.884598002
128,128,60,0.0,16119046.8441
128,128,60,0.4,16137714.718191667
128,128,60,0.8,16122323.462360999
128,128,60,0.99,16092727.153154999
128,128,80,0.0,16959167.915422335
128,128,80,0.4,17026808.32789333
128,128,80,0.8,17027148.599007335
128,128,80,0.99,16996270.630994003
128,128,100,0.0,18216823.445936333
128,128,100,0.4,18046503.83246133
128,128,100,0.8,18245912.482963666
128,128,100,0.99,18253497.914273664
128,512,0,0.0,6785028.854079667
128,512,0,0.4,6557952.227609
128,512,0,0.8,6230231.518092334
128,512,0,0.99,6230308.877166334
128,512,20,0.0,7452516.121722001
128,512,20,0.4,7491418.951417334
128,512,20,0.8,6992743.384005
128,512,20,0.99,6998176.100121334
128,512,40,0.0,9013010.591262333
128,512,40,0.4,9017521.294524
128,512,40,0.8,7996880.818353
128,512,40,0.99,8034078.886721667
128,512,60,0.0,10581875.616467332
128,512,60,0.4,10557458.219224999
128,512,60,0.8,9268423.438363666
128,512,60,0.99,9280262.903438
128,512,80,0.0,10141994.575138332
128,512,80,0.4,10172048.766313002
128,512,80,0.8,9812397.056163667
128,512,80,0.99,9808498.380027667
