threads,keys,ReadRatio,tput
1,128,0,1553616.6666666667
1,128,20,1670543.3333333333
1,128,60,1945770.0
1,128,100,2445820.0
1,512,0,1100071.0
1,512,20,1176223.3333333333
1,512,60,1385086.6666666667
1,512,100,1964593.3333333333
1,2048,0,918101.3333333334
1,2048,20,970464.6666666666
1,2048,60,1211540.0
1,2048,100,1597790.0
1,8192,0,788888.0
1,8192,20,863018.3333333334
1,8192,60,1045400.0
1,8192,100,1352340.0
1,32768,0,675324.3333333334
1,32768,20,729254.3333333334
1,32768,60,861174.0
1,32768,100,1084406.6666666667
1,131072,0,571638.3333333334
1,131072,20,617211.3333333334
1,131072,60,747379.6666666666
1,131072,100,915151.6666666666
2,128,0,2849033.3333333335
2,128,20,3077370.0
2,128,60,3451310.0
2,128,100,4793340.0
2,512,0,2362546.6666666665
2,512,20,2499013.3333333335
2,512,60,2898726.6666666665
2,512,100,3684063.3333333335
2,2048,0,1835663.3333333333
2,2048,20,1986690.0
2,2048,60,2356313.3333333335
2,2048,100,3045603.3333333335
2,8192,0,1494836.6666666667
2,8192,20,1672920.0
2,8192,60,1988390.0
2,8192,100,2468876.6666666665
2,32768,0,1225313.3333333333
2,32768,20,1351476.6666666667
2,32768,60,1580816.6666666667
2,32768,100,1893543.3333333333
2,131072,0,1076083.3333333333
2,131072,20,1174626.6666666667
2,131072,60,1347363.3333333333
2,131072,100,1579790.0
4,128,0,5499693.333333333
4,128,20,5872080.0
4,128,60,6738166.666666667
4,128,100,9332926.666666666
4,512,0,4597850.0
4,512,20,5075030.0
4,512,60,5746010.0
4,512,100,7007396.666666667
4,2048,0,3728413.3333333335
4,2048,20,4077450.0
4,2048,60,4692070.0
4,2048,100,5805016.666666667
4,8192,0,2920546.6666666665
4,8192,20,3309373.3333333335
4,8192,60,3912233.3333333335
4,8192,100,4751063.333333333
4,32768,0,2323770.0
4,32768,20,2621913.3333333335
4,32768,60,3069610.0
4,32768,100,3620466.6666666665
4,131072,0,2046613.3333333333
4,131072,20,2297003.3333333335
4,131072,60,2620463.3333333335
4,131072,100,3027696.6666666665
8,128,0,10096953.333333334
8,128,20,11099000.0
8,128,60,12034800.0
8,128,100,16399000.0
8,512,0,8351936.666666667
8,512,20,9270900.0
8,512,60,10439056.666666666
8,512,100,12536833.333333334
8,2048,0,7124540.0
8,2048,20,7994930.0
8,2048,60,9047070.0
8,2048,100,10720646.666666666
8,8192,0,5467930.0
8,8192,20,6345953.333333333
8,8192,60,7432840.0
8,8192,100,8705176.666666666
8,32768,0,4076436.6666666665
8,32768,20,4934096.666666667
8,32768,60,5786176.666666667
8,32768,100,6665886.666666667
8,131072,0,3592046.6666666665
8,131072,20,4196960.0
8,131072,60,4987886.666666667
8,131072,100,5682550.0
16,128,0,17717066.666666668
16,128,20,20769233.333333332
16,128,60,23145033.333333332
16,128,100,29758566.666666668
16,512,0,13686466.666666666
16,512,20,16727700.0
16,512,60,18931466.666666668
16,512,100,21016700.0
16,2048,0,13187500.0
16,2048,20,15085600.0
16,2048,60,17234100.0
16,2048,100,19410100.0
16,8192,0,9810290.0
16,8192,20,12212600.0
16,8192,60,14369166.666666666
16,8192,100,15687433.333333334
16,32768,0,6918673.333333333
16,32768,20,8915203.333333334
16,32768,60,10370190.0
16,32768,100,10733660.0
16,131072,0,5855030.0
16,131072,20,7668836.666666667
16,131072,60,8836923.333333334
16,131072,100,9229196.666666666
28,128,0,26848366.666666668
28,128,20,34236133.333333336
28,128,60,40546700.0
28,128,100,46838433.333333336
28,512,0,19254166.666666668
28,512,20,25225600.0
28,512,60,30078000.0
28,512,100,28147666.666666668
28,2048,0,21254766.666666668
28,2048,20,26947633.333333332
28,2048,60,30779233.333333332
28,2048,100,30176933.333333332
28,8192,0,15686883.333333334
28,8192,20,22227433.333333332
28,8192,60,24747966.666666668
28,8192,100,24597566.666666668
28,32768,0,9160810.0
28,32768,20,13565193.333333334
28,32768,60,15713556.666666666
28,32768,100,14892396.666666666
28,131072,0,7632783.333333333
28,131072,20,11411050.0
28,131072,60,13249076.666666666
28,131072,100,11912046.666666666
