partition_num,threads,zipf,rw,servers,cross,tput
16,2,0.0,0,2,0,88830.59999999999
16,2,0.0,0,2,20,69709.43333333333
16,2,0.0,0,2,40,69702.06666666667
16,2,0.0,0,2,60,60075.5
16,2,0.0,0,2,80,54783.0
16,2,0.0,0,2,100,52407.86666666667
16,2,0.0,0,4,0,109581.33333333333
16,2,0.0,0,4,20,92144.83333333333
16,2,0.0,0,4,40,85022.59999999999
16,2,0.0,0,4,60,80194.8
16,2,0.0,0,4,80,69682.7
16,2,0.0,0,4,100,60649.166666666664
16,2,0.0,0,8,0,
16,2,0.0,0,8,20,
16,2,0.0,0,8,40,
16,2,0.0,0,8,60,
16,2,0.0,0,8,80,
16,2,0.0,0,8,100,
16,2,0.0,20,2,0,105786.66666666667
16,2,0.0,20,2,20,84825.40000000001
16,2,0.0,20,2,40,87213.0
16,2,0.0,20,2,60,84931.53333333333
16,2,0.0,20,2,80,76092.56666666667
16,2,0.0,20,2,100,66143.46666666666
16,2,0.0,20,4,0,133973.66666666666
16,2,0.0,20,4,20,112554.33333333333
16,2,0.0,20,4,40,110469.0
16,2,0.0,20,4,60,96049.8
16,2,0.0,20,4,80,82378.36666666665
16,2,0.0,20,4,100,71049.6
16,2,0.0,20,8,0,
16,2,0.0,20,8,20,
16,2,0.0,20,8,40,
16,2,0.0,20,8,60,
16,2,0.0,20,8,80,
16,2,0.0,20,8,100,
16,2,0.0,60,2,0,188253.33333333334
16,2,0.0,60,2,20,161325.66666666666
16,2,0.0,60,2,40,148707.0
16,2,0.0,60,2,60,143477.66666666666
16,2,0.0,60,2,80,129351.66666666667
16,2,0.0,60,2,100,112927.0
16,2,0.0,60,4,0,243099.0
16,2,0.0,60,4,20,201997.66666666666
16,2,0.0,60,4,40,184301.0
16,2,0.0,60,4,60,159336.66666666666
16,2,0.0,60,4,80,134172.66666666666
16,2,0.0,60,4,100,119696.66666666667
16,2,0.0,60,8,0,
16,2,0.0,60,8,20,
16,2,0.0,60,8,40,
16,2,0.0,60,8,60,
16,2,0.0,60,8,80,
16,2,0.0,60,8,100,
16,2,0.0,100,2,0,969297.6666666666
16,2,0.0,100,2,20,704609.6666666666
16,2,0.0,100,2,40,562101.3333333334
16,2,0.0,100,2,60,466021.3333333333
16,2,0.0,100,2,80,405719.6666666667
16,2,0.0,100,2,100,357464.3333333333
16,2,0.0,100,4,0,1891256.6666666667
16,2,0.0,100,4,20,999188.6666666666
16,2,0.0,100,4,40,666650.6666666666
16,2,0.0,100,4,60,514676.6666666667
16,2,0.0,100,4,80,423419.3333333333
16,2,0.0,100,4,100,356196.0
16,2,0.0,100,8,0,
16,2,0.0,100,8,20,
16,2,0.0,100,8,40,
16,2,0.0,100,8,60,
16,2,0.0,100,8,80,
16,2,0.0,100,8,100,
16,2,0.4,0,2,0,86394.93333333333
16,2,0.4,0,2,20,67307.26666666668
16,2,0.4,0,2,40,64311.30000000001
16,2,0.4,0,2,60,58062.93333333333
16,2,0.4,0,2,80,50416.19999999999
16,2,0.4,0,2,100,48645.1
16,2,0.4,0,4,0,103388.66666666667
16,2,0.4,0,4,20,90232.40000000001
16,2,0.4,0,4,40,81256.73333333332
16,2,0.4,0,4,60,77250.36666666665
16,2,0.4,0,4,80,66160.20000000001
16,2,0.4,0,4,100,57773.43333333333
16,2,0.4,0,8,0,
16,2,0.4,0,8,20,
16,2,0.4,0,8,40,
16,2,0.4,0,8,60,
16,2,0.4,0,8,80,
16,2,0.4,0,8,100,
16,2,0.4,20,2,0,101498.0
16,2,0.4,20,2,20,82144.90000000001
16,2,0.4,20,2,40,82135.0
16,2,0.4,20,2,60,81014.6
16,2,0.4,20,2,80,73778.86666666667
16,2,0.4,20,2,100,63034.36666666667
16,2,0.4,20,4,0,131929.0
16,2,0.4,20,4,20,111096.66666666667
16,2,0.4,20,4,40,102606.66666666667
16,2,0.4,20,4,60,91251.2
16,2,0.4,20,4,80,78525.26666666666
16,2,0.4,20,4,100,67885.7
16,2,0.4,20,8,0,
16,2,0.4,20,8,20,
16,2,0.4,20,8,40,
16,2,0.4,20,8,60,
16,2,0.4,20,8,80,
16,2,0.4,20,8,100,
16,2,0.4,60,2,0,174146.66666666666
16,2,0.4,60,2,20,150879.33333333334
16,2,0.4,60,2,40,132913.66666666666
16,2,0.4,60,2,60,128849.0
16,2,0.4,60,2,80,120432.0
16,2,0.4,60,2,100,104652.0
16,2,0.4,60,4,0,234244.33333333334
16,2,0.4,60,4,20,190136.0
16,2,0.4,60,4,40,169809.0
16,2,0.4,60,4,60,147803.33333333334
16,2,0.4,60,4,80,124769.66666666667
16,2,0.4,60,4,100,107955.33333333333
16,2,0.4,60,8,0,
16,2,0.4,60,8,20,
16,2,0.4,60,8,40,
16,2,0.4,60,8,60,
16,2,0.4,60,8,80,
16,2,0.4,60,8,100,
16,2,0.4,100,2,0,740963.0
16,2,0.4,100,2,20,539905.6666666666
16,2,0.4,100,2,40,439421.6666666667
16,2,0.4,100,2,60,373227.3333333333
16,2,0.4,100,2,80,320569.3333333333
16,2,0.4,100,2,100,284999.0
16,2,0.4,100,4,0,1446770.0
16,2,0.4,100,4,20,760560.6666666666
16,2,0.4,100,4,40,528709.6666666666
16,2,0.4,100,4,60,406862.0
16,2,0.4,100,4,80,328078.3333333333
16,2,0.4,100,4,100,283156.0
16,2,0.4,100,8,0,
16,2,0.4,100,8,20,
16,2,0.4,100,8,40,
16,2,0.4,100,8,60,
16,2,0.4,100,8,80,
16,2,0.4,100,8,100,
16,2,0.8,0,2,0,91199.66666666667
16,2,0.8,0,2,20,70095.8
16,2,0.8,0,2,40,69470.3
16,2,0.8,0,2,60,59750.36666666667
16,2,0.8,0,2,80,54313.26666666666
16,2,0.8,0,2,100,52237.700000000004
16,2,0.8,0,4,0,109905.0
16,2,0.8,0,4,20,105610.0
16,2,0.8,0,4,40,86282.6
16,2,0.8,0,4,60,78491.13333333333
16,2,0.8,0,4,80,67695.43333333333
16,2,0.8,0,4,100,58498.06666666667
16,2,0.8,0,8,0,
16,2,0.8,0,8,20,
16,2,0.8,0,8,40,
16,2,0.8,0,8,60,
16,2,0.8,0,8,80,
16,2,0.8,0,8,100,
16,2,0.8,20,2,0,108174.0
16,2,0.8,20,2,20,84858.5
16,2,0.8,20,2,40,82925.29999999999
16,2,0.8,20,2,60,82526.43333333333
16,2,0.8,20,2,80,74677.59999999999
