keys,ReadRatio,nShard,nrep,nclients,tput
0.128,0.0,1,3,5,10475.283780948332
0.128,0.0,1,3,10,14274.469144712706
0.128,0.0,1,3,15,16812.028410450537
0.128,0.0,1,3,20,19969.00848042202
0.128,0.0,1,3,25,17624.60941190243
0.128,0.0,1,5,5,9430.287092903438
0.128,0.0,1,5,10,13764.378971476488
0.128,0.0,1,5,15,17427.475235979957
0.128,0.0,1,5,20,18237.699602569704
0.128,0.0,1,5,25,18131.373110320365
0.128,0.0,1,7,5,9130.846246295247
0.128,0.0,1,7,10,14273.425002243517
0.128,0.0,1,7,15,17738.398159780274
0.128,0.0,1,7,20,18263.176974380167
0.128,0.0,1,7,25,18175.05055426789
0.128,0.0,2,3,5,10122.076058852546
0.128,0.0,2,3,10,22526.938810597367
0.128,0.0,2,3,15,30176.624435399124
0.128,0.0,2,3,20,33527.52961789139
0.128,0.0,2,3,25,33373.526915230694
0.128,0.0,2,5,5,9563.72182488851
0.128,0.0,2,5,10,17364.83003923424
0.128,0.0,2,5,15,26383.2689872218
0.128,0.0,2,5,20,31479.360751644952
0.128,0.0,2,5,25,33791.20786960536
0.128,0.0,3,3,5,10606.62203806017
0.128,0.0,3,3,10,24685.392221169695
0.128,0.0,3,3,15,32742.395224331543
0.128,0.0,3,3,20,39373.87539326384
0.128,0.0,3,3,25,44491.729472931904
0.128,0.2,1,3,5,10143.38142685593
0.128,0.2,1,3,10,16046.423014321272
0.128,0.2,1,3,15,20260.13023426991
0.128,0.2,1,3,20,20617.740502572244
0.128,0.2,1,3,25,18240.137598824378
0.128,0.2,1,5,5,9444.1833331916
0.128,0.2,1,5,10,14869.338817218139
0.128,0.2,1,5,15,18055.501299881686
0.128,0.2,1,5,20,20759.891212758972
0.128,0.2,1,5,25,19693.3405728512
0.128,0.2,1,7,5,9654.456818363136
0.128,0.2,1,7,10,15014.533746016847
0.128,0.2,1,7,15,18048.400340317137
0.128,0.2,1,7,20,19526.443877021127
0.128,0.2,1,7,25,20262.215127232575
0.128,0.2,2,3,5,10642.869747427998
0.128,0.2,2,3,10,22986.805033895227
0.128,0.2,2,3,15,31220.972813548487
0.128,0.2,2,3,20,34500.29333666017
0.128,0.2,2,3,25,33985.477468209785
0.128,0.2,2,5,5,9403.165954178954
0.128,0.2,2,5,10,17093.675027752503
0.128,0.2,2,5,15,26683.704123465945
0.128,0.2,2,5,20,32230.945124915685
0.128,0.2,2,5,25,32827.750110585395
0.128,0.2,3,3,5,10618.337954784263
0.128,0.2,3,3,10,25169.652111921383
0.128,0.2,3,3,15,33438.42575351036
0.128,0.2,3,3,20,58443.06180502015
0.128,0.2,3,3,25,44969.92345177167
0.128,0.6,1,3,5,11082.916685641452
0.128,0.6,1,3,10,15858.074970070253
0.128,0.6,1,3,15,21474.355906676956
0.128,0.6,1,3,20,23042.674687235936
0.128,0.6,1,3,25,20361.35420466846
0.128,0.6,1,5,5,9917.845274744912
0.128,0.6,1,5,10,15936.025249946577
0.128,0.6,1,5,15,18566.645841186433
0.128,0.6,1,5,20,22443.86371055979
0.128,0.6,1,5,25,22232.691210696434
0.128,0.6,1,7,5,9571.502545940255
0.128,0.6,1,7,10,15250.242408036225
0.128,0.6,1,7,15,20683.64783612223
0.128,0.6,1,7,20,22146.760377676484
0.128,0.6,1,7,25,22672.322773541437
0.128,0.6,2,3,5,11554.173651623603
0.128,0.6,2,3,10,23174.67382922584
0.128,0.6,2,3,15,32757.50547406155
0.128,0.6,2,3,20,36849.47042433133
0.128,0.6,2,3,25,37383.09518578498
0.128,0.6,2,5,5,10805.031816946816
0.128,0.6,2,5,10,19014.3338263266
0.128,0.6,2,5,15,27651.02549232934
0.128,0.6,2,5,20,33908.85232475572
0.128,0.6,2,5,25,37349.311666597234
0.128,0.6,3,3,5,11163.18803669526
0.128,0.6,3,3,10,26069.00194857838
0.128,0.6,3,3,15,34894.03207780959
0.128,0.6,3,3,20,42405.46442551986
0.128,0.6,3,3,25,48979.8445787183
0.128,1.0,1,3,5,11551.746387313307
0.128,1.0,1,3,10,18351.512674820016
0.128,1.0,1,3,15,24921.79757472347
0.128,1.0,1,3,20,25749.70929734006
0.128,1.0,1,3,25,27836.943352129834
0.128,1.0,1,5,5,11121.41072543448
0.128,1.0,1,5,10,17000.92326459461
0.128,1.0,1,5,15,21211.99029510472
0.128,1.0,1,5,20,25665.35087364288
0.128,1.0,1,5,25,27205.20344874657
0.128,1.0,1,7,5,11161.913461788723
0.128,1.0,1,7,10,15340.468656153242
0.128,1.0,1,7,15,20308.437581653532
0.128,1.0,1,7,20,23766.627720718698
0.128,1.0,1,7,25,25379.56555117955
0.128,1.0,2,3,5,12281.444379830495
0.128,1.0,2,3,10,25275.8324604365
0.128,1.0,2,3,15,35965.49997176546
0.128,1.0,2,3,20,40524.30658822819
0.128,1.0,2,3,25,43704.92062069238
0.128,1.0,2,5,5,11250.74181779849
0.128,1.0,2,5,10,19321.637499689215
0.128,1.0,2,5,15,30411.44799004694
0.128,1.0,2,5,20,36332.121848328105
0.128,1.0,2,5,25,41714.92551723714
0.128,1.0,3,3,5,12219.827783452727
0.128,1.0,3,3,10,27686.577799215145
0.128,1.0,3,3,15,37750.092225963686
0.128,1.0,3,3,20,46188.90947691723
0.128,1.0,3,3,25,54212.550301861076
0.512,0.0,1,3,5,9619.27965310991
0.512,0.0,1,3,10,14430.943522885776
0.512,0.0,1,3,15,19240.695768026704
0.512,0.0,1,3,20,20003.398706210603
0.512,0.0,1,3,25,19409.467952017814
0.512,0.0,1,5,5,9676.675161000823
0.512,0.0,1,5,10,13110.144458967532
0.512,0.0,1,5,15,17377.25273855653
0.512,0.0,1,5,20,16919.21132239848
0.512,0.0,1,5,25,18395.94255477813
0.512,0.0,1,7,5,8948.61117304165
0.512,0.0,1,7,10,13621.378428755741
0.512,0.0,1,7,15,16250.127785592778
0.512,0.0,1,7,20,19026.71523760818
0.512,0.0,1,7,25,18988.322089141246
0.512,0.0,2,3,5,10391.031133560107
0.512,0.0,2,3,10,22069.231427197545
0.512,0.0,2,3,15,30535.7881223188
0.512,0.0,2,3,20,33907.529015467386
0.512,0.0,2,3,25,35936.330224599515
0.512,0.0,2,5,5,9614.717663203994
0.512,0.0,2,5,10,16714.843520274062
0.512,0.0,2,5,15,38086.75558781991
0.512,0.0,2,5,20,31402.716645168795
0.512,0.0,2,5,25,52329.85143386297
0.512,0.0,3,3,5,10296.907355539543
0.512,0.0,3,3,10,24185.557452710174
0.512,0.0,3,3,15,32380.896380167862
0.512,0.0,3,3,20,39364.46961716757
0.512,0.0,3,3,25,44883.00640310562
0.512,0.2,1,3,5,10232.196145271579
0.512,0.2,1,3,10,13084.15429626243
0.512,0.2,1,3,15,17484.997809525335
0.512,0.2,1,3,20,18669.41723961564
0.512,0.2,1,3,25,20084.40443915193
0.512,0.2,1,5,5,9650.951853414694
0.512,0.2,1,5,10,12672.39681854872
0.512,0.2,1,5,15,17550.58832099344
0.512,0.2,1,5,20,19645.04475499717
0.512,0.2,1,5,25,16813.04205419439
0.512,0.2,1,7,5,9042.901234347895
0.512,0.2,1,7,10,12543.689780412533
0.512,0.2,1,7,15,17530.535931604634
0.512,0.2,1,7,20,19449.165188402825
0.512,0.2,1,7,25,19442.065007608875
0.512,0.2,2,3,5,10396.603601275701
0.512,0.2,2,3,10,22451.542321255052
0.512,0.2,2,3,15,30820.67946548485
0.512,0.2,2,3,20,35027.95240860091
0.512,0.2,2,3,25,36717.0993048302
0.512,0.2,2,5,5,9029.24803524572
0.512,0.2,2,5,10,18052.535119608772
0.512,0.2,2,5,15,26269.901207523744
0.512,0.2,2,5,20,32061.4588576543
0.512,0.2,2,5,25,35294.71812994146
0.512,0.2,3,3,5,10544.166009845147
0.512,0.2,3,3,10,25011.130379826074
0.512,0.2,3,3,15,33487.4458410487
0.512,0.2,3,3,20,40596.76244952591
0.512,0.2,3,3,25,46302.91355471502
0.512,0.6,1,3,5,10406.428878974746
0.512,0.6,1,3,10,14009.176990658534
0.512,0.6,1,3,15,19513.08808763839
0.512,0.6,1,3,20,18184.981762614534
0.512,0.6,1,3,25,22217.46335883405
0.512,0.6,1,5,5,10109.235482731185
0.512,0.6,1,5,10,14943.086295749548
0.512,0.6,1,5,15,18346.05028499479
0.512,0.6,1,5,20,22332.515517314965
0.512,0.6,1,5,25,20965.837370534133
0.512,0.6,1,7,5,9672.890335641985
0.512,0.6,1,7,10,14041.745000618786
0.512,0.6,1,7,15,18030.832596848766
0.512,0.6,1,7,20,21835.409928131823
0.512,0.6,1,7,25,22332.230066793374
0.512,0.6,2,3,5,11174.771319382286
0.512,0.6,2,3,10,24088.616831023654
0.512,0.6,2,3,15,32646.729547159634
0.512,0.6,2,3,20,37065.036344936125
0.512,0.6,2,3,25,39128.33637121876
0.512,0.6,2,5,5,10396.556083962683
0.512,0.6,2,5,10,17886.542533254153
0.512,0.6,2,5,15,27413.97613674747
0.512,0.6,2,5,20,33716.06641677177
0.512,0.6,2,5,25,38595.30892631458
0.512,0.6,3,3,5,11432.706242072441
0.512,0.6,3,3,10,26230.728452030296
0.512,0.6,3,3,15,35083.87725193264
0.512,0.6,3,3,20,42328.05671993627
0.512,0.6,3,3,25,49100.504253759624
0.512,1.0,1,3,5,11488.84674648656
0.512,1.0,1,3,10,15449.290801490046
0.512,1.0,1,3,15,20265.618470954443
0.512,1.0,1,3,20,26199.143950970738
0.512,1.0,1,3,25,26253.167835837055
0.512,1.0,1,5,5,11795.756104871683
0.512,1.0,1,5,10,14812.34931812927
0.512,1.0,1,5,15,19826.934721281246
0.512,1.0,1,5,20,24793.398830691312
0.512,1.0,1,5,25,25121.9959571395
0.512,1.0,1,7,5,10598.878606346698
0.512,1.0,1,7,10,15298.097854957277
0.512,1.0,1,7,15,19282.545047997355
0.512,1.0,1,7,20,22659.994904043317
0.512,1.0,1,7,25,25531.915463023382
0.512,1.0,2,3,5,12268.070549170405
0.512,1.0,2,3,10,25793.996807644307
0.512,1.0,2,3,15,36368.94626057448
0.512,1.0,2,3,20,40981.43118193547
0.512,1.0,2,3,25,45152.65027163007
0.512,1.0,2,5,5,11548.067957048092
0.512,1.0,2,5,10,19724.096797199167
0.512,1.0,2,5,15,29845.04309859968
0.512,1.0,2,5,20,36963.58865461723
0.512,1.0,2,5,25,42763.805596365724
0.512,1.0,3,3,5,12666.916191014598
0.512,1.0,3,3,10,28081.179919597318
0.512,1.0,3,3,15,38084.052095037005
0.512,1.0,3,3,20,46171.26838873416
0.512,1.0,3,3,25,54325.1822681921
2.048,0.0,1,3,5,9258.464218999245
2.048,0.0,1,3,10,13131.483332490725
2.048,0.0,1,3,15,18469.894874992897
2.048,0.0,1,3,20,16713.388148524846
2.048,0.0,1,3,25,19201.728434804783
2.048,0.0,1,5,5,9343.346821115738
2.048,0.0,1,5,10,11542.884540540637
2.048,0.0,1,5,15,26117.02522343847
2.048,0.0,1,5,20,16573.129037597508
2.048,0.0,1,5,25,19476.7463044988
2.048,0.0,1,7,5,8848.737374431239
2.048,0.0,1,7,10,11601.158613016718
2.048,0.0,1,7,15,14840.536859599451
2.048,0.0,1,7,20,19611.79985819294
2.048,0.0,1,7,25,18467.235046726335
2.048,0.0,2,3,5,9552.015689301867
2.048,0.0,2,3,10,21550.076505497487
2.048,0.0,2,3,15,29871.212120909284
2.048,0.0,2,3,20,31615.86652028709
2.048,0.0,2,3,25,30883.63396936911
2.048,0.0,2,5,5,9461.915920957259
2.048,0.0,2,5,10,18215.065530706688
2.048,0.0,2,5,15,25384.59644120402
2.048,0.0,2,5,20,29674.560416599266
2.048,0.0,2,5,25,29908.2003669808
2.048,0.0,3,3,5,10462.178114436962
2.048,0.0,3,3,10,24641.323452344644
2.048,0.0,3,3,15,32397.24721187181
2.048,0.0,3,3,20,38899.748478565794
2.048,0.0,3,3,25,44281.064878736135
2.048,0.2,1,3,5,9194.298907859744
2.048,0.2,1,3,10,13433.31590307894
2.048,0.2,1,3,15,19537.603644774354
2.048,0.2,1,3,20,14719.9156547682
2.048,0.2,1,3,25,19567.794619419117
2.048,0.2,1,5,5,8897.520389773403
2.048,0.2,1,5,10,12292.774909608752
2.048,0.2,1,5,15,17105.145429684428
2.048,0.2,1,5,20,17505.52806416342
2.048,0.2,1,5,25,18257.416190715492
2.048,0.2,1,7,5,8704.307419384551
2.048,0.2,1,7,10,11872.116936778739
2.048,0.2,1,7,15,14470.00773256683
2.048,0.2,1,7,20,19888.88945071612
2.048,0.2,1,7,25,19683.22603794422
2.048,0.2,2,3,5,10330.042344983309
2.048,0.2,2,3,10,21678.867420300496
2.048,0.2,2,3,15,31323.030479495865
2.048,0.2,2,3,20,34954.90507828126
2.048,0.2,2,3,25,31318.6604228067
2.048,0.2,2,5,5,9426.140727791439
2.048,0.2,2,5,10,16718.457110036496
2.048,0.2,2,5,15,26169.732485640863
2.048,0.2,2,5,20,29783.512945251612
2.048,0.2,2,5,25,31231.80891261062
2.048,0.2,3,3,5,10664.068163739883
2.048,0.2,3,3,10,25059.91175347698
2.048,0.2,3,3,15,33022.465409264165
2.048,0.2,3,3,20,39984.16686213524
2.048,0.2,3,3,25,43953.30419814036
2.048,0.6,1,3,5,9845.271519412046
2.048,0.6,1,3,10,12112.716493970098
2.048,0.6,1,3,15,18714.84585551861
2.048,0.6,1,3,20,21195.648981943694
2.048,0.6,1,3,25,19186.94076062983
2.048,0.6,1,5,5,9270.781692060182
2.048,0.6,1,5,10,13384.954625574639
2.048,0.6,1,5,15,16793.208350693498
2.048,0.6,1,5,20,19160.106054008724
2.048,0.6,1,5,25,19274.428323399683
2.048,0.6,1,7,5,9441.494638502181
2.048,0.6,1,7,10,12105.617968661
2.048,0.6,1,7,15,17098.100799328586
2.048,0.6,1,7,20,18416.313250075447
2.048,0.6,1,7,25,21542.47652836444
2.048,0.6,2,3,5,10926.98620350773
2.048,0.6,2,3,10,21771.246548079573
2.048,0.6,2,3,15,32443.6942743456
2.048,0.6,2,3,20,34501.59102784076
2.048,0.6,2,3,25,35465.15429195826
2.048,0.6,2,5,5,10651.778946191409
2.048,0.6,2,5,10,16742.761513207246
2.048,0.6,2,5,15,27392.906064330647
2.048,0.6,2,5,20,31176.571041131567
2.048,0.6,2,5,25,32983.028815473546
2.048,0.6,3,3,5,22534.45011936731
2.048,0.6,3,3,10,26163.6013002472
2.048,0.6,3,3,15,34796.76188826733
2.048,0.6,3,3,20,42136.934318880085
2.048,0.6,3,3,25,48310.36906219632
2.048,1.0,1,3,5,11306.479253475967
2.048,1.0,1,3,10,14487.6983237642
2.048,1.0,1,3,15,17781.557302373076
2.048,1.0,1,3,20,25023.363523478165
2.048,1.0,1,3,25,21216.678499467474
2.048,1.0,1,5,5,10447.589694088087
2.048,1.0,1,5,10,13903.522411182299
2.048,1.0,1,5,15,18768.812676578193
2.048,1.0,1,5,20,23591.790711193724
2.048,1.0,1,5,25,25286.920388334587
2.048,1.0,1,7,5,10019.40403543918
2.048,1.0,1,7,10,13501.200429840994
2.048,1.0,1,7,15,16784.15723494124
2.048,1.0,1,7,20,24193.223131605657
2.048,1.0,1,7,25,25077.564386565635
2.048,1.0,2,3,5,12138.917820841816
2.048,1.0,2,3,10,26264.03260167263
2.048,1.0,2,3,15,35601.687861905135
2.048,1.0,2,3,20,36101.457611380436
2.048,1.0,2,3,25,40185.069798190285
2.048,1.0,2,5,5,10602.152680901892
2.048,1.0,2,5,10,18430.64971161859
2.048,1.0,2,5,15,28069.059500264935
2.048,1.0,2,5,20,36538.32101154548
2.048,1.0,2,5,25,36216.23369775963
2.048,1.0,3,3,5,12624.404549268284
2.048,1.0,3,3,10,27598.566103523703
2.048,1.0,3,3,15,37614.751183469234
2.048,1.0,3,3,20,45552.335771711456
