nnodes,#WH,dist,alg,tp
1,1,0,2pl,63.79935814316094
1,1,0,Calvin,12709.273565891473
1,1,10,2pl,56.81219295934154
1,1,10,Calvin,12741.261085271319
1,1,20,2pl,63.21988584982588
1,1,20,Calvin,12772.359922480618
1,1,30,2pl,62.424732850883515
1,1,30,Calvin,12700.589263565891
1,1,40,2pl,66.49127815340837
1,1,40,Calvin,12705.313263109894
1,1,50,2pl,60.928863160423454
1,1,50,Calvin,12748.75523255814
1,1,60,2pl,63.39148195810429
1,1,60,Calvin,12730.568353853168
1,1,70,2pl,60.98418410288658
1,1,70,Calvin,12700.19789922481
1,1,80,2pl,61.85459922184023
1,1,80,Calvin,12763.01654651163
1,1,90,2pl,64.25963198247814
1,1,90,Calvin,12735.39315891473
1,1,100,2pl,60.667220425039716
1,1,100,Calvin,12726.77526356589
1,2,0,2pl,139.47993576180525
1,2,0,Calvin,15874.25149019608
1,2,10,2pl,2390.8329878999334
1,2,10,Calvin,16535.659395051352
1,2,20,2pl,2561.1525653953963
1,2,20,Calvin,15279.257215686273
1,2,30,2pl,2397.414627580045
1,2,30,Calvin,15033.696156862745
1,2,40,2pl,1242.75778338642
1,2,40,Calvin,14787.632588235292
1,2,50,2pl,1199.0713491051904
1,2,50,Calvin,14501.955862745097
1,2,60,2pl,3498.1786041515593
1,2,60,Calvin,14281.410211951445
1,2,70,2pl,2803.299980989881
1,2,70,Calvin,13940.398431372547
1,2,80,2pl,2177.70638381746
1,2,80,Calvin,13781.880862745098
1,2,90,2pl,2231.7429235764052
1,2,90,Calvin,13517.49754509804
1,2,100,2pl,1213.7033549454334
1,2,100,Calvin,13158.717564705881
1,4,0,2pl,4649.701411740172
1,4,0,Calvin,17931.67939006467
1,4,10,2pl,4624.134726016455
1,4,10,Calvin,17525.936706349206
1,4,20,2pl,4414.714837537241
1,4,20,Calvin,17059.07861111111
1,4,30,2pl,4531.48961115196
1,4,30,Calvin,16499.35738095238
1,4,40,2pl,4406.567696261009
1,4,40,Calvin,15957.853134920633
1,4,50,2pl,4384.829168968451
1,4,50,Calvin,15464.858531746033
1,4,60,2pl,4481.863154674075
1,4,60,Calvin,14842.756253968255
1,4,70,2pl,4619.982280443291
1,4,70,Calvin,14260.062857142859
1,4,80,2pl,3872.1192083480223
1,4,80,Calvin,13618.13392857143
1,4,90,2pl,4100.880696520189
1,4,90,Calvin,12928.10642857143
1,4,100,2pl,4258.994332272098
