alg,WH,Distributed,threads,tput_1,tput_2,tput_3
Aria,1,0,1,59.0,61.1,64.3
Aria,1,10,1,64.5,59.3,66.6
Aria,1,20,1,63.5,64.0,60.0
Aria,1,30,1,59.6,63.7,61.4
Aria,1,40,1,61.0,62.9,62.0
Aria,1,50,1,61.8,61.9,62.6
Aria,1,60,1,61.6,61.7,61.0
Aria,1,70,1,63.6,62.0,62.2
Aria,1,80,1,61.5,61.9,61.0
Aria,1,90,1,63.2,61.1,60.5
Aria,1,100,1,63.7,64.9,61.4
Aria,2,0,1,123.3,122.2,125.5
Aria,2,10,1,122.4,122.0,120.8
Aria,2,20,1,124.6,122.4,125.6
Aria,2,30,1,123.6,126.1,125.1
Aria,2,40,1,123.5,125.3,121.4
Aria,2,50,1,126.0,123.0,125.7
Aria,2,60,1,124.1,129.1,122.2
Aria,2,70,1,124.5,127.8,121.0
Aria,2,80,1,123.4,124.1,119.0
Aria,2,90,1,124.3,125.6,121.2
Aria,2,100,1,120.7,125.7,123.2
Aria,4,0,1,246.1,251.2,251.4
Aria,4,10,1,243.6,245.3,249.0
Aria,4,20,1,251.5,248.4,243.9
Aria,4,30,1,240.3,250.3,247.3
Aria,4,40,1,248.3,238.6,245.0
Aria,4,50,1,248.8,245.6,250.8
Aria,4,60,1,244.2,246.0,244.4
Aria,4,70,1,249.5,247.7,245.2
Aria,4,80,1,246.7,250.4,243.2
Aria,4,90,1,251.4,247.5,241.3
Aria,4,100,1,252.6,245.5,237.1
Aria,8,0,1,494.3,484.2,496.9
Aria,8,10,1,490.5,493.6,493.9
Aria,8,20,1,488.6,495.7,500.4
Aria,8,30,1,489.3,488.4,490.9
Aria,8,40,1,494.2,487.3,499.2
Aria,8,50,1,493.4,498.2,490.5
Aria,8,60,1,498.4,491.8,493.5
Aria,8,70,1,494.4,494.5,487.9
Aria,8,80,1,492.3,490.3,491.1
Aria,8,90,1,485.8,487.0,487.6
Aria,8,100,1,496.9,490.6,488.9
Aria,16,0,1,952.3,952.9,956.4
Aria,16,10,1,947.6,956.4,949.3
Aria,16,20,1,937.4,953.3,943.5
Aria,16,30,1,955.9,954.6,947.5
Aria,16,40,1,941.4,956.8,956.4
Aria,16,50,1,950.6,938.1,943.5
Aria,16,60,1,954.4,933.8,948.0
Aria,16,70,1,962.0,953.9,945.0
Aria,16,80,1,937.8,944.5,952.8
Aria,16,90,1,937.9,947.9,946.6
Aria,16,100,1,935.1,953.4,957.3
Aria,32,0,1,1644.5,1629.2,1616.1
Aria,32,10,1,1630.5,1650.7,1639.4
