alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,1,1,0,12676.557093023255,12641.731046511626,12809.532558139535
Calvin,1,1,10,12716.286511627906,12688.365813953487,12819.130930232559
Calvin,1,1,20,12768.669069767442,12719.953720930233,12828.456976744186
Calvin,1,1,30,12719.391511627906,12669.470813953489,12712.90546511628
Calvin,1,1,40,12658.761882352941,12686.608139534885,12770.56976744186
Calvin,1,1,50,12690.75453488372,12728.318488372091,12827.192674418606
Calvin,1,1,60,12656.536162790699,12718.683604651163,12816.485294117647
Calvin,1,1,70,12678.356488372094,12593.128720930234,12829.108488372094
Calvin,1,1,80,12710.51580232558,12742.628720930234,12835.905116279071
Calvin,1,1,90,12718.074127906977,12687.485813953488,12800.619534883721
Calvin,1,1,100,12691.759988372092,12716.359174418605,12772.206627906977
Calvin,1,2,0,15807.744705882353,15835.661529411764,15979.34823529412
Calvin,1,2,10,18948.0,15104.805447058823,15554.172738095238
Calvin,1,2,20,15238.081529411764,15220.361764705882,15379.328352941175
Calvin,1,2,30,14932.937058823529,15016.090352941175,15152.061058823529
Calvin,1,2,40,14737.693294117646,14751.225294117647,14873.979176470588
Calvin,1,2,50,14440.907,14471.491647058823,14593.468941176472
Calvin,1,2,60,14203.166588235294,14288.47,14352.594047619046
Calvin,1,2,70,13978.24705882353,13766.791882352942,14076.156352941176
Calvin,1,2,80,13738.634705882352,13752.870117647059,13854.137764705882
Calvin,1,2,90,13433.970470588236,13531.409294117648,13587.112870588237
Calvin,1,2,100,13160.507529411763,13128.58388235294,13187.06128235294
Calvin,1,4,0,17562.51916666667,18200.203571428574,18032.315432098767
Calvin,1,4,10,17499.26845238095,17526.400357142855,17552.14130952381
Calvin,1,4,20,16968.97857142857,17088.149523809523,17120.107738095237
Calvin,1,4,30,16488.59380952381,16550.364404761905,16459.11392857143
Calvin,1,4,40,15885.636785714285,16004.047619047618,15983.875
Calvin,1,4,50,15359.0125,15497.252857142857,15538.310238095239
Calvin,1,4,60,14712.914476190477,14837.130238095237,14978.224047619049
Calvin,1,4,70,14194.403690476189,14217.92404761905,14367.860833333334
Calvin,1,4,80,13546.718214285715,13628.289642857144,13679.39392857143
Calvin,1,4,90,12587.549404761903,13063.135595238095,13133.634285714286
Calvin,1,4,100,12211.265357142858,12365.883047619047,12492.36238095238
Calvin,1,8,0,19291.94268292683,19275.536463414635,19445.44756097561
Calvin,1,8,10,19045.510975609755,19166.836585365854,19335.652763157897
Calvin,1,8,20,18437.97073170732,18633.18207317073,18417.30988765432
Calvin,1,8,30,17836.689878048783,17821.07830487805,18045.803658536584
Calvin,1,8,40,17485.151585365853,17615.550000000003,17677.465975609757
Calvin,1,8,50,17503.55948780488,17477.53780487805,17502.856219512196
Calvin,1,8,60,17505.155609756097,17455.533536585364,16279.342716049383
Calvin,1,8,70,17499.449756097558,17466.78901219512,17507.11485
Calvin,1,8,80,17436.89145121951,17555.537439024392,17584.118536585367
Calvin,1,8,90,17477.33073170732,17607.472365853657,17762.481707317074
Calvin,1,8,100,17498.149512195123,17554.88265487805,17756.956951219512
Calvin,1,16,0,19684.323766233767,19737.924935064933,19686.275454545455
Calvin,1,16,10,19697.625064935062,19718.057922077922,19728.198311688313
Calvin,1,16,20,19613.322727272727,19684.54792207792,19688.416623376623
Calvin,1,16,30,19610.984935064935,19676.423376623377,19586.59974025974
Calvin,1,16,40,19544.032763157895,19654.416233766235,19552.98883116883
Calvin,1,16,50,19434.258552631578,19619.36181818182,19613.995454545453
Calvin,1,16,60,19413.193636363634,19583.078552631578,19599.675714285713
Calvin,1,16,70,19577.89116883117,19532.5087012987,19591.122467532467
Calvin,1,16,80,19569.96207792208,19608.38142857143,19579.133896103896
Calvin,1,16,90,19568.447792207793,19594.212857142855,19632.309350649353
Calvin,1,16,100,19524.36961038961,19534.387012987012,19577.55103896104
Calvin,1,32,0,19988.18484848485,19997.22089552239,20007.511940298507
Calvin,1,32,10,19975.12089552239,19994.498484848482,20003.153731343285
Calvin,1,32,20,19962.433333333334,20000.374626865672,19990.57014925373
Calvin,1,32,30,19971.42121212121,19980.767164179102,20002.365625
Calvin,1,32,40,19960.343939393937,19993.334179104477,19983.741791044777
Calvin,1,32,50,19970.310606060608,19974.462686567163,19989.805970149253
Calvin,1,32,60,19974.955074626865,19967.754545454547,19997.09253731343
Calvin,1,32,70,19953.62409090909,19946.637164179105,19978.418181818182
Calvin,1,32,80,19958.48212121212,19504.914166666666,19936.97523076923
Calvin,1,32,90,19928.231666666667,19954.93567164179,19957.392388059703
Calvin,1,32,100,19954.087727272727,19967.948333333334,19954.68343283582
Calvin,1,64,0,20075.839130434782,20081.74021276596,20087.713043478263
Calvin,1,64,10,20073.763695652175,20077.232608695653,20079.51085106383
Calvin,1,64,20,20062.413260869565,20075.352978723404,20069.095652173914
Calvin,1,64,30,20071.97043478261,20084.338260869565,20077.321276595743
Calvin,1,64,40,20102.565384615387,20069.97391304348,20058.562340425535
Calvin,1,64,50,20062.11652173913,20071.98347826087,20075.214782608695
Calvin,1,64,60,20057.423260869564,20070.70276595745,20066.408695652175
Calvin,1,64,70,19973.563260869567,20058.178936170214,20065.387021276594
Calvin,1,64,80,20046.807608695653,20073.39152173913,20036.973695652174
Calvin,1,64,90,20026.73891304348,20070.447333333334,20049.697234042553
Calvin,1,64,100,20019.903695652174,20058.355106382976,20061.953695652173
Calvin,1,128,0,30540.1,22445.45,21597.95
Calvin,1,128,10,22397.6,21588.716666666667,21593.833333333332
Calvin,1,128,20,21916.379999999997,21589.183333333334,24999.85
Calvin,1,128,30,22391.1,21595.633333333335,21599.366666666665
Calvin,1,128,40,21914.420000000002,21588.350000000002,21593.8
Calvin,1,128,50,21957.379999999997,23266.63333333333,-1.0
Calvin,1,128,60,-1.0,21591.399999999998,21593.766666666666
Calvin,1,128,70,22432.35,21587.05,21956.379999999997
Calvin,1,128,80,21908.96,21582.8,-1.0
Calvin,1,128,90,22407.75,29180.4,21590.216666666667
Calvin,1,128,100,23266.433333333334,21585.75,21591.55
Calvin,2,1,0,0.0,25491.832209302323,25326.02581395349
Calvin,2,1,10,0.0,23989.662093023253,24600.966666666667
Calvin,2,1,20,0.0,24815.7,23020.87417633379
Calvin,2,1,30,14958.036666666665,22540.77476744186,21952.220610963457
Calvin,2,1,40,13941.848333333333,21883.77860465116,36.97674418604651
Calvin,2,1,50,21040.91511627907,20992.41104651163,21148.94395232558
Calvin,2,1,60,20508.647872591362,19342.159966666666,20611.62303488372
Calvin,2,1,70,20711.66547619048,21408.57,20836.778333333332
Calvin,2,1,80,18784.21207083333,20092.377127906977,19455.475
Calvin,2,1,90,19372.46824418605,18774.989999999998,20440.97976190476
Calvin,2,1,100,18364.748604651162,18536.75929069767,17955.64
Calvin,2,2,0,32019.011764705883,32282.780823529414,32204.82123529412
Calvin,2,2,10,30128.639752941177,30010.69620812325,19287.861191443848
Calvin,2,2,20,28695.981529411765,28631.59962240896,28948.104117647057
Calvin,2,2,30,28700.08,27716.232903361346,28380.800000000003
Calvin,2,2,40,26395.819635294116,15835.25523255814,26511.386705882353
Calvin,2,2,50,25775.026211764707,26231.466666666667,25029.924188235294
Calvin,2,2,60,24162.761211764708,23895.27831764706,24456.067411764707
Calvin,2,2,70,23240.466,23319.297176470587,23209.19321176471
Calvin,2,2,80,22370.98694,22058.004576470586,22543.397647058824
Calvin,2,2,90,20547.06857647059,21594.223242971886,22678.079166666666
Calvin,2,2,100,20005.545988235295,19660.741035294115,19814.14351882353
Calvin,2,4,0,35873.88059523809,36451.4205952381,36422.86404761905
Calvin,2,4,10,35099.56,34363.61095238095,33697.95523809524
Calvin,2,4,20,31915.743690476193,32322.560999999998,32494.17607142857
Calvin,2,4,30,30168.57736904762,30717.838214285715,30733.09464285714
Calvin,2,4,40,28154.14119047619,28324.787845238097,28577.931428571428
Calvin,2,4,50,27053.93083214286,27541.062107142858,27975.46297619048
Calvin,2,4,60,26090.76714285714,26330.729666666666,26446.892416666666
Calvin,2,4,70,25156.497023809527,24704.42442303882,26961.47142857143
Calvin,2,4,80,-1.0,23867.133392857144,-1.0
Calvin,2,4,90,22699.65525,22123.080322580645,22221.394523809526
Calvin,2,4,100,20048.464392857142,20477.900226190475,20034.315476190477
Calvin,2,8,0,38493.55654151235,38611.164661246614,38591.98779283348
Calvin,2,8,10,35303.39782550436,21302.922592592593,37089.390972598616
Calvin,2,8,20,35158.15477868111,35109.43124932249,35170.07051490515
Calvin,2,8,30,33784.287259861485,34080.10493526046,33473.16216726889
Calvin,2,8,40,31828.383810448664,32636.709618789522,32445.298855766334
Calvin,2,8,50,30797.59610358326,31031.796374887082,31366.024376693767
Calvin,2,8,60,30054.795404998495,29843.212240138513,29830.382344173442
Calvin,2,8,70,28718.966374585965,29762.214251731406,28777.707303523035
Calvin,2,8,80,26647.912681270704,27163.0205736224,28042.895238482386
Calvin,2,8,90,25609.905157934358,24854.7276477356,26062.901064137306
Calvin,2,8,100,23601.69507828967,23744.242916290274,24754.6707633243
Calvin,2,16,0,39183.42328947368,39378.228659090906,39159.14433356118
Calvin,2,16,10,37650.745731373885,37668.1016001367,37605.39595522898
Calvin,2,16,20,37224.32683868763,37264.8659569378,36979.05762440192
Calvin,2,16,30,35700.30635457963,36233.3027631579,36381.578878503075
Calvin,2,16,40,34422.10712617908,35251.212327922076,33664.838407749994
Calvin,2,16,50,33250.34585167465,32926.5665242652,32948.924723684206
