WH,terminal,num_chunk,chunk_size,tput_1,tput_2,tput_3
128,128,1,1024,914.3248988690062,930.4763118660364,2405.079102067259
128,128,1,2048,1317.078064999122,1031.6908696045834,3673.871021517997
128,128,1,4096,1572.815331885161,1122.5533826318658,4333.993374341609
128,128,1,8192,1328.4451220986618,1516.841593992535,3281.650939263764
128,128,2,1024,1150.86708309012,1682.3527615163869,4150.246930964136
128,128,2,2048,940.8292226936545,1653.4390154895204,3607.8902323341194
128,128,2,4096,1497.2441416330307,1426.7064621724744,4372.118651977506
128,128,2,8192,1698.8106177117002,2252.96246271652,5166.160594735783
128,128,4,1024,855.4685220650141,1682.6749641522783,3992.184312607733
128,128,4,2048,1826.0095187910906,1649.0069169957203,4795.429258626816
128,128,4,4096,1835.680750071598,2085.5039457673074,5196.094202088817
128,128,4,8192,1789.4972080617506,1788.5339448121595,5211.167542727298
128,128,8,1024,1660.4330460100143,2245.738654408132,4767.453204045776
128,128,8,2048,1790.2561959138134,1731.5125039882325,5378.741566043579
128,128,8,4096,1765.9626177971436,2418.0703301158446,5256.064869565856
128,128,8,8192,1780.7108815228332,1794.7493188627209,5175.570969670623
128,16,1,1024,1206.8884798069346,1233.3458114056687,1569.0162640838473
128,16,1,2048,1236.5074052468096,1242.160705226902,1556.711050312649
128,16,1,4096,1254.3958277441925,1314.379993822114,1631.9472919436246
128,16,1,8192,1281.1298285894968,1275.704258805596,1585.6741073263909
128,16,2,1024,1214.2169212893689,1206.8095894525102,1557.83893126583
128,16,2,2048,1268.7558510728304,1216.011152519771,1570.0274564588926
128,16,2,4096,1291.2149522129735,1254.5756132186589,1618.5472272400727
128,16,2,8192,1347.768393792407,1284.3086406580837,1625.9997638029222
128,16,4,1024,1278.1479884723396,1215.2976184015122,1615.7122403985347
128,16,4,2048,1300.9439658532856,1250.6115299843277,1629.8134712272115
128,16,4,4096,1333.002358441518,1271.5704786882786,1667.214136697001
128,16,4,8192,1289.806888576154,1254.165121744264,1643.0443626680524
128,16,8,1024,1260.5532133914874,1272.1114175109208,1643.0895105356544
128,16,8,2048,1276.546458702192,1261.5288353732963,1717.5412821794098
128,16,8,4096,1336.7540292837039,868.1019042320761,1655.9261513515683
128,16,8,8192,1305.1266960462642,1261.0285515761173,1658.256433512033
128,1,1,1024,77.49997091555258,85.76601836991041,78.34906749592774
128,1,1,2048,78.31590586288337,76.79874850679403,77.69878385604513
128,1,1,4096,80.38310383019387,80.43221230937428,81.29898035360834
128,1,1,8192,83.43230758038995,77.89868470278009,79.54936475987354
128,1,2,1024,79.33290656725131,79.59930113405589,78.9156421193529
128,1,2,2048,80.61560196566276,80.28241881489197,79.01627789341005
128,1,2,4096,80.48270443209125,80.83323755807181,78.94982156287662
128,1,2,8192,81.13278303535805,79.4152324249219,76.59998649542239
128,1,4,1024,78.59991850367449,79.84998661980391,78.89874066038091
128,1,4,2048,81.64924379328122,80.78228446288372,79.91623901089685
128,1,4,4096,81.01550878491356,81.01596183455003,79.08278986453897
128,1,4,8192,80.19923856971586,80.5156300332977,78.58298466324982
128,1,8,1024,79.81640057342015,79.39964813516598,81.38260228426802
128,1,8,2048,81.58248637795246,78.0652784097022,77.4653089025025
128,1,8,4096,86.24858391612516,79.36660953329002,80.38257113373646
128,1,8,8192,80.64894411714064,84.3830703591201,78.74892906837644
128,256,1,1024,806.2538354996889,888.2313789430264,2514.9427737614124
128,256,1,2048,1165.7999190764792,1042.1876594559244,3450.26875065745
128,256,1,4096,1246.5270258650314,1251.441674429686,3374.309806638591
128,256,1,8192,1352.670432081276,1411.8841610128538,3145.6381186125714
128,256,2,1024,1615.9637012116787,1503.797902552135,4443.27008913007
128,256,2,2048,1448.846683835139,1642.768699905688,3417.233330985984
128,256,2,4096,1660.3546579855672,1636.9113672104688,4164.391216683811
128,256,2,8192,2066.9859009939705,1645.6727086575013,5893.264725343414
128,256,4,1024,1048.44375559131,1727.634948152836,4491.743016462545
128,256,4,2048,1489.8194963616272,1609.1561703018833,5322.153103127725
128,256,4,4096,2245.606752387708,1706.247178037792,6118.548816060805
128,256,4,8192,1727.9837303131858,1739.7575175934571,6255.794816986455
128,256,8,1024,1606.651933561326,1496.5997747944418,5380.7681604152785
128,256,8,2048,2246.494394958677,1720.2464804630124,6354.516177070199
128,256,8,4096,1727.0644731848136,1973.800211649915,6230.761229091707
128,256,8,8192,1745.197418826161,2165.869945910709,6339.857371776961
128,2,1,1024,163.71593077447224,165.66664493120285,166.74722339749312
128,2,1,2048,160.9499354215209,166.9996002808901,166.89944952110898
128,2,1,4096,170.06448832197339,172.16491564043685,168.29913130159392
128,2,1,8192,170.7646985608246,167.04946419162778,169.7308206269494
128,2,2,1024,165.09792652413427,157.03103916742916,161.9637869073451
128,2,2,2048,161.1330460008857,173.2986845849996,171.06385031135002
128,2,2,4096,175.81662231106313,173.31409314880605,167.04912092905846
128,2,2,8192,171.18228399734457,167.91465954915816,164.3639717522464
128,2,4,1024,164.41381555299,165.61529207354374,171.0832865078378
128,2,4,2048,173.31585924007322,166.7138063439984,166.31477331434002
128,2,4,4096,169.91490373723826,166.7658540138806,166.0652960246039
128,2,4,8192,171.11625775584938,169.01649839102393,167.03205240628142
128,2,8,1024,165.53192532153543,172.34931553480078,169.88029906450436
128,2,8,2048,167.28310347519695,167.13171426992108,173.59685816304912
128,2,8,4096,171.03285088671808,166.3812628654871,168.1999192948754
128,2,8,8192,168.18049153711368,169.21399002849148,167.86631545955925
128,32,1,1024,1646.930214431791,1618.3586177870536,2742.7483903266825
128,32,1,2048,1709.7187560717518,1607.78444112161,2443.3607126038364
128,32,1,4096,1747.6393552451964,1668.2806265351308,2341.5080546075014
128,32,1,8192,1817.2626235661735,1874.9590041779563,2581.7845075717646
128,32,2,1024,1626.261280299576,1738.9143058296593,2500.458005557934
128,32,2,2048,1664.94895721509,1686.2311949673474,2723.445649794873
128,32,2,4096,1591.0486577383174,1747.697367152173,2779.255035808588
128,32,2,8192,1757.0911900911972,1785.4093689736467,2925.3451685486752
128,32,4,1024,1637.6964342708486,1752.360530455003,2826.247403903343
128,32,4,2048,1801.6781730292694,1855.7437910675997,2852.507362584967
128,32,4,4096,1820.483026938888,1881.4479309259532,3026.3600442318093
128,32,4,8192,1811.1716844204107,1952.2394523756122,2985.820870892604
128,32,8,1024,1772.4794103474255,1843.6896583145121,2916.8166534437646
128,32,8,2048,1853.7551337012803,1330.2238136087817,3029.2847634980303
128,32,8,4096,1820.5587331571899,1289.448207409102,2986.63763736105
128,32,8,8192,568.5085060207921,1741.8491107860289,3044.4376158310865
128,4,1,1024,320.16600713536417,327.728530269623,312.2826316290554
128,4,1,2048,347.06130922006076,327.963460665323,322.3789280306548
128,4,1,4096,340.6140332149458,322.2997437072438,326.3625573377985
128,4,1,8192,341.2131917515219,343.4121205827379,315.2320962207333
128,4,2,1024,327.1453007376848,326.3460603557985,323.64847713142643
128,4,2,2048,329.5109484819466,327.0784172629523,325.7109569698765
128,4,2,4096,327.6805525815507,331.4281290831364,327.04489272523574
128,4,2,8192,341.91100115009095,327.08163552343103,321.9613732675326
128,4,4,1024,326.060828601874,324.5654326905293,332.6802765061573
128,4,4,2048,339.1643070044863,334.7974279912989,320.8799013837401
128,4,4,4096,327.94658445818595,340.31314189598703,334.562413988062
128,4,4,8192,334.6654007166998,340.8999541830462,326.1471001500316
128,4,8,1024,333.28151746009485,337.9151512354837,332.1477299916973
128,4,8,2048,338.54468952593356,351.8946061125582,325.49689435818163
128,4,8,4096,331.99885085791084,328.59461635509484,328.91482040747866
128,4,8,8192,350.46642583197996,345.61094939177616,324.9324071947397
128,512,1,1024,914.7161152910377,664.2586093093746,2267.347019087795
128,512,1,2048,583.259052287786,1196.483045000861,3499.1829642275156
128,512,1,4096,1462.7904179897087,1198.9987158573922,3039.7233496308286
128,512,1,8192,1188.9929250957648,1483.342898865619,2694.3357633543546
128,512,2,1024,935.5526373064282,1530.4219596454418,4178.127938086565
128,512,2,2048,1360.4502443770025,1353.7912708667013,3852.5461032652697
128,512,2,4096,1538.5805640861681,1492.539365060008,3722.734015718437
128,512,2,8192,1490.5811021073246,1468.84894240921,4455.532705779536
128,512,4,1024,832.1683245950815,1494.4413362596274,4171.996698169337
128,512,4,2048,1457.5417212530776,1397.4327784360676,4639.012680457373
128,512,4,4096,1777.1560045244885,1796.9799654404155,5581.612735199816
128,512,4,8192,1536.5084783112356,1666.6495121994653,5573.441644143061
128,512,8,1024,1438.1161452567885,1354.7872687479185,4932.251965385385
128,512,8,2048,1608.846823144249,1475.5254563800715,5643.194609825974
128,512,8,4096,1629.7512499803925,1625.9472707120105,5364.515705723996
128,512,8,8192,2028.2309571085627,1813.4176108817524,5647.209926004466
128,64,1,1024,1428.8083090191574,1331.843553365299,2988.4230473627285
128,64,1,2048,1340.1304504670438,1783.7972135850737,3542.3879696310737
128,64,1,4096,1830.0365675620947,1826.8403826961871,2999.6186848808156
128,64,1,8192,1944.9889159862278,1809.9026208268826,3180.499339253258
128,64,2,1024,1378.0612178394265,1604.24650623451,3599.858821674329
128,64,2,2048,1768.6733940524784,1816.5111834922911,3370.864038572519
128,64,2,4096,2020.26214828303,1820.8855173850827,3585.76905285301
128,64,2,8192,2094.310127539396,1952.3995362155158,3814.739737475524
128,64,4,1024,1951.7932359093477,1889.0483365670032,3569.5268493473036
128,64,4,2048,2059.82833533153,1943.8404915422489,3780.6093843855183
128,64,4,4096,2134.144927190085,2106.554978797459,3924.4380528693428
128,64,4,8192,1377.395130449082,2197.3933725262873,3985.94843951939
128,64,8,1024,1405.8423386278687,2075.4155075895387,3755.575728074549
128,64,8,2048,2136.2040534498333,2157.9247685658925,3880.4573962267486
128,64,8,4096,2066.144103030068,1986.7350311766934,4007.431161305644
128,64,8,8192,2052.899162725076,2018.765961953169,3966.648985257955
128,8,1,1024,708.8775108970099,714.357064374255,689.6664218120981
128,8,1,2048,711.3871999271165,713.8415019191748,691.9553102961141
128,8,1,4096,727.5461300730022,724.9437680813096,708.0441437078837
128,8,1,8192,697.0211840798396,720.7408835888104,725.3282211112316
128,8,2,1024,706.008278335209,714.9933431140616,699.2426076537681
128,8,2,2048,710.3226204133142,703.7107184228056,727.4738971117946
128,8,2,4096,761.7299721363538,770.4487169589108,710.0066610042974
128,8,2,8192,696.8375126020904,707.158343530823,696.6922823099619
128,8,4,1024,720.6275392356982,718.9097112990827,712.387191123953
128,8,4,2048,720.0298419326308,713.5288484120803,700.928008757079
128,8,4,4096,722.8084455397815,751.1273008797544,702.5421267743118
128,8,4,8192,624.4947397871325,726.2725474597311,706.1720945926784
128,8,8,1024,747.5594725156236,711.9284360962762,721.5411105052874
128,8,8,2048,747.6412921595668,741.621971610566,724.8138843115288
128,8,8,4096,751.4429797566781,734.1080652448176,724.1164312564149
128,8,8,8192,643.2732861550891,719.4382687916266,700.7610818344315
16,128,1,1024,4750.46492605066,4972.16359782731,4519.882617284768
16,128,1,2048,4839.840710600935,4834.712381344696,4319.491208449383
16,128,1,4096,4878.054188123645,4898.594687532761,4379.741242631758
16,128,1,8192,4967.750955354728,4720.976573458384,4425.305755116511
16,128,2,1024,5343.427991488788,5368.545523276453,4745.316020383313
16,128,2,2048,5301.483548210583,5379.424686038492,5005.48676490902
16,128,2,4096,5308.078376602817,5323.69275796963,4648.657027797595
16,128,2,8192,5338.774282040796,5262.476850292219,4659.2425203227995
16,128,4,1024,5572.438798714486,5556.203398363777,4932.8058686011345
16,128,4,2048,5522.107409550147,5426.253240167079,5092.749284569683
16,128,4,4096,5585.4554297683,5716.401177837188,4933.352483518026
16,128,4,8192,5555.521818521709,5519.300100927671,5112.103076857875
16,128,8,1024,5498.700050923645,5467.645634940044,5071.998515495602
16,128,8,2048,5584.745371194855,5564.892456322304,5047.123837050687
16,128,8,4096,5601.818422032507,5617.414534314686,5087.8159537755155
16,128,8,8192,5514.953239593916,5489.946938942094,4923.758574049219
16,16,1,1024,1678.737075036645,1595.4142874105214,1663.0551748157243
16,16,1,2048,1641.3831508388835,1644.0617757925065,1713.0210812349121
16,16,1,4096,1642.410554873763,1697.8527445288396,1654.6795063806437
16,16,1,8192,1670.0956100423493,1659.0129543486792,1735.3074006970846
16,16,2,1024,1721.4066373001604,1736.087592263085,1679.7684419621262
16,16,2,2048,1667.3045143082645,1721.9625840285883,1702.9799054615416
16,16,2,4096,1669.7976792595255,1694.368423794867,1766.3894933680942
16,16,2,8192,1672.2347826356074,1748.6995275888225,1689.5821913728898
16,16,4,1024,1702.4306925065255,1715.2674540447629,1701.0029782264357
16,16,4,2048,1750.445147802635,1751.747506562599,1690.498945382233
16,16,4,4096,1765.6214663211692,1751.3938620942608,1758.5666774207614
16,16,4,8192,1662.5440669621155,1679.1662602704514,1668.0156246573058
16,16,8,1024,1726.390606109911,1669.6442693634563,1690.0661651676999
16,16,8,2048,1722.5503331573161,1661.8933405441005,1740.7771731599155
16,16,8,4096,1657.3596346650493,1722.7795526740454,1692.9590803683557
16,16,8,8192,1719.9071887088414,1672.946493580786,1753.03305436734
16,1,1,1024,81.09872308303366,81.76619780566075,79.94868649371507
16,1,1,2048,79.14961108123687,83.98276683737762,83.46652929049722
16,1,1,4096,78.94994429423514,77.93197150590179,76.71663752201607
16,1,1,8192,81.44965897842283,81.11582513324268,80.86616030972618
16,1,2,1024,81.74902761575377,82.7819640368662,82.04861033448189
16,1,2,2048,78.88231634438456,82.58277508203206,85.1158443951217
16,1,2,4096,78.63200534360575,80.88205306883975,82.79981158764873
16,1,2,8192,83.93287028687901,84.84874377333821,80.29925609163172
16,1,4,1024,80.96540506237555,79.84869485578203,82.81573637541577
16,1,4,2048,81.21597387275193,83.79855947622639,78.78197701231282
16,1,4,4096,78.76619526936676,83.83318236374409,82.91656131150192
16,1,4,8192,80.68286307864473,82.49916259637502,81.41620573153179
16,1,8,1024,80.48252732362558,78.34996027265265,85.01660197611729
16,1,8,2048,80.06574392898432,79.91585460570589,79.19897171091091
16,1,8,4096,79.26643099831956,85.86514603786291,79.13307649110698
16,1,8,8192,84.63265846405147,79.7660596549293,83.09970382850057
16,256,1,1024,4425.831757805071,4749.8805912754215,4182.372125990219
16,256,1,2048,4412.542192795564,4451.556195506303,4024.94054721748
16,256,1,4096,4433.404065841998,4563.505389484265,4180.0739863299095
16,256,1,8192,4492.746039569487,4495.444185881502,4158.304573390023
16,256,2,1024,4848.7661562614885,4681.721455516657,4262.290922587706
16,256,2,2048,4751.462830454456,4827.855232395061,4346.692472105859
16,256,2,4096,4781.788643055461,4722.073314068379,4502.899543884886
16,256,2,8192,4710.428678801741,4731.33658141946,4354.435990008669
16,256,4,1024,4875.202318189972,4908.696408634084,4523.527271708623
16,256,4,2048,4974.632967354183,4937.941913550709,4542.049276139451
16,256,4,4096,5044.659595544025,4950.192770436499,4584.844631811531
16,256,4,8192,4842.42131932798,4912.071379988314,4544.969092581199
16,256,8,1024,4946.1219030929215,4887.618142697605,4507.934464694107
16,256,8,2048,4846.538616098586,4917.373471310708,4563.88033249016
16,256,8,4096,4900.509129089024,4927.012454810069,4576.768144930917
16,256,8,8192,4911.6425625352085,4809.245736238355,4531.331860650479
16,2,1,1024,161.33116596473926,167.43281067507152,166.28128303522914
16,2,1,2048,166.46548282796456,172.44936884968078,167.03163875838408
16,2,1,4096,170.66494514376524,168.29841412123878,164.31464080407443
16,2,1,8192,168.89911213396232,166.09915720180308,169.2661636076284
16,2,2,1024,177.16409243401804,177.64810468125356,178.56598014892327
16,2,2,2048,167.7147382798107,168.19713152126647,172.94933555747767
16,2,2,4096,167.63219974852123,169.9328756701126,183.69859398626986
16,2,2,8192,176.3971248297636,170.68262387393895,166.66622395950927
16,2,4,1024,172.49722010954952,172.54999964339666,171.3645339150869
16,2,4,2048,168.1488288938514,172.816501609626,174.7163216630821
16,2,4,4096,168.63097469751128,170.06660142344947,175.09896913400237
16,2,4,8192,173.48112720275222,168.53327161364038,176.68084167409555
16,2,8,1024,167.28120652007362,163.71393693049652,166.34938095850364
16,2,8,2048,168.33153593688652,168.71452609830487,166.1162715120486
16,2,8,4096,175.49838452567053,171.56457607510313,173.64774721568102
