WH,terminal,shared_buffer,min_wal_size,max_wal_size,effective_cache_size,tput_1,tput_2,tput_3,avg_tput
10,5,128/1024,80/1024,1,4,1279.647584,1401.511816,1316.889825,1332.683075
10,10,128/1024,80/1024,1,4,2234.048767,2306.771646,2330.802842,2290.541085
10,15,128/1024,80/1024,1,4,2920.49546,3142.213259,3147.874491,3070.194403
10,20,128/1024,80/1024,1,4,3555.357861,3815.643828,3818.327726,3729.776472
10,25,128/1024,80/1024,1,4,4097.49974,4348.124414,4417.407789,4287.677314
10,30,128/1024,80/1024,1,4,4533.90391,5004.821912,4884.694628,4807.806817
10,35,128/1024,80/1024,1,4,5025.15702,5296.611682,5253.157185,5191.641963
10,40,128/1024,80/1024,1,4,5261.522398,5757.083682,5685.892695,5568.166258
10,45,128/1024,80/1024,1,4,5409.881741,5892.412288,5860.697082,5720.997037
10,50,128/1024,80/1024,1,4,5455.752701,5973.978351,6069.20298,5832.978011
10,55,128/1024,80/1024,1,4,5561.636268,6058.325703,6047.128272,5889.030081
10,60,128/1024,80/1024,1,4,5826.705407,6094.410128,6155.711712,6025.609082
10,65,128/1024,80/1024,1,4,5697.098788,6190.996756,5796.041369,5894.712304
10,70,128/1024,80/1024,1,4,5794.351531,6155.781286,5879.954158,5943.362325
10,75,128/1024,80/1024,1,4,5657.830437,6216.263512,5752.070178,5875.388042
10,80,128/1024,80/1024,1,4,5645.481707,6086.493654,5778.197641,5836.724334
10,85,128/1024,80/1024,1,4,5476.512231,6000.024765,5680.640975,5719.059324
10,90,128/1024,80/1024,1,4,5469.818842,5965.322205,5691.251162,5708.797403
10,95,128/1024,80/1024,1,4,5024.849384,6009.106973,5554.383548,5529.446635
10,100,128/1024,80/1024,1,4,4970.219286,5895.062475,5517.38697,5460.889577
10,105,128/1024,80/1024,1,4,4935.176203,5764.314655,5311.800747,5337.097201
10,110,128/1024,80/1024,1,4,4592.478551,5685.402017,5238.640582,5172.173717
10,115,128/1024,80/1024,1,4,4775.679106,5706.983333,5244.374304,5242.345581
10,120,128/1024,80/1024,1,4,4537.524391,5644.143481,5122.978438,5101.54877
10,5,128/1024,512/1024,1,4,1344.81521,1402.449952,1332.212935,1359.826033
10,10,128/1024,512/1024,1,4,2329.152751,2299.492621,2337.16124,2321.935537
10,15,128/1024,512/1024,1,4,3076.506788,3145.779707,3097.59901,3106.628502
10,20,128/1024,512/1024,1,4,3698.303041,3827.709882,3749.883985,3758.632303
10,25,128/1024,512/1024,1,4,4176.92521,4446.655969,4339.736639,4321.105939
10,30,128/1024,512/1024,1,4,4573.403722,4890.879603,4710.659352,4724.980892
10,35,128/1024,512/1024,1,4,4971.418081,5290.873714,5171.42873,5144.573508
10,40,128/1024,512/1024,1,4,5365.105316,5756.904944,5243.118971,5455.043077
10,45,128/1024,512/1024,1,4,5551.761531,5861.136857,5305.347262,5572.74855
