alg,trans,threads,warehouse,remote,tput_1,tput_2,tput_3
PartitionedStore,NP,1,1,N/A,151735.0,152793.0,152648.0
PartitionedStore,NP,1,2,N/A,136498.0,138793.0,135106.0
PartitionedStore,NP,1,4,N/A,130686.0,129543.0,129158.0
PartitionedStore,NP,1,8,N/A,122025.0,119439.0,120958.0
PartitionedStore,NP,1,16,N/A,116506.0,115261.0,113446.0
PartitionedStore,NP,1,32,N/A,109996.0,109420.0,109805.0
PartitionedStore,NP,1,64,N/A,103806.0,103574.0,102999.0
PartitionedStore,NP,1,128,N/A,98332.4,97774.5,97829.5
PartitionedStore,NP,1,256,N/A,91099.1,91000.6,91016.7
PartitionedStore,NP,1,512,N/A,189.429,210.306,175.599
PartitionedStore,NP,2,1,N/A,,,
PartitionedStore,NP,2,2,N/A,288498.0,285666.0,284295.0
PartitionedStore,NP,2,4,N/A,267442.0,264593.0,265333.0
PartitionedStore,NP,2,8,N/A,252543.0,253300.0,254748.0
PartitionedStore,NP,2,16,N/A,239661.0,239680.0,236765.0
PartitionedStore,NP,2,32,N/A,226295.0,225685.0,225559.0
PartitionedStore,NP,2,64,N/A,217132.0,216590.0,213372.0
PartitionedStore,NP,2,128,N/A,205832.0,,204015.0
PartitionedStore,NP,2,256,N/A,193816.0,193467.0,193056.0
PartitionedStore,NP,2,512,N/A,207.939,75.9218,154.873
PartitionedStore,NP,4,1,N/A,,,
PartitionedStore,NP,4,2,N/A,,,
PartitionedStore,NP,4,4,N/A,532640.0,534203.0,538409.0
PartitionedStore,NP,4,8,N/A,493986.0,504285.0,505602.0
PartitionedStore,NP,4,16,N/A,,470172.0,476935.0
PartitionedStore,NP,4,32,N/A,445400.0,445340.0,449450.0
PartitionedStore,NP,4,64,N/A,416791.0,420448.0,
PartitionedStore,NP,4,128,N/A,,,407455.0
PartitionedStore,NP,4,256,N/A,380924.0,376418.0,386628.0
PartitionedStore,NP,4,512,N/A,,7486.16,10654.4
PartitionedStore,NP,8,1,N/A,,,
PartitionedStore,NP,8,2,N/A,,,
PartitionedStore,NP,8,4,N/A,,,
PartitionedStore,NP,8,8,N/A,920482.0,954135.0,948345.0
PartitionedStore,NP,8,16,N/A,887797.0,900118.0,
