threads,keys,ReadRatio,tput_1,tput_2,tput_3
1,128,0,1560470.0,1563930.0,1536450.0
1,128,20,1694760.0,1690050.0,1626820.0
1,128,60,1960610.0,1973670.0,1903030.0
1,128,100,2504930.0,2410750.0,2421780.0
2,128,0,2924330.0,2721750.0,2901020.0
2,128,20,3097210.0,3066280.0,3068620.0
2,128,60,3443480.0,3454930.0,3455520.0
2,128,100,4875680.0,4629570.0,4874770.0
4,128,0,5665890.0,5179800.0,5653390.0
4,128,20,5847110.0,5877670.0,5891460.0
4,128,60,6728500.0,6698720.0,6787280.0
4,128,100,9765750.0,8699620.0,9533410.0
8,128,0,10756000.0,8989960.0,10544900.0
8,128,20,11220500.0,11086900.0,10989600.0
8,128,60,11876700.0,11813900.0,12413800.0
8,128,100,16448100.0,15059300.0,17689600.0
16,128,0,20019500.0,12920500.0,20211200.0
16,128,20,20028400.0,21133400.0,21145900.0
16,128,60,22392800.0,24133300.0,22909000.0
16,128,100,34027300.0,21779500.0,33468900.0
28,128,0,33474100.0,14723500.0,32347500.0
28,128,20,34698900.0,34160200.0,33849300.0
28,128,60,42242600.0,39516200.0,39881300.0
28,128,100,58062400.0,24094300.0,58358600.0
1,2048,0,928411.0,908619.0,917274.0
1,2048,20,986884.0,944046.0,980464.0
1,2048,60,1214000.0,1219090.0,1201530.0
1,2048,100,1610550.0,1576350.0,1606470.0
2,2048,0,1864170.0,1772820.0,1870000.0
2,2048,20,1987660.0,1979880.0,1992530.0
2,2048,60,2356190.0,2353840.0,2358910.0
2,2048,100,3071880.0,2995660.0,3069270.0
4,2048,0,3827060.0,3585660.0,3772520.0
4,2048,20,4079520.0,4097270.0,4055560.0
4,2048,60,4640850.0,4725250.0,4710110.0
4,2048,100,5836090.0,5613170.0,5965790.0
8,2048,0,7570230.0,6216990.0,7586400.0
8,2048,20,7932830.0,8098080.0,7953880.0
8,2048,60,9058180.0,9148460.0,8934570.0
8,2048,100,11227600.0,9796640.0,11137700.0
16,2048,0,15063600.0,10040200.0,14458700.0
16,2048,20,15253600.0,14792500.0,15210700.0
16,2048,60,16136500.0,17780700.0,17785100.0
16,2048,100,21574000.0,15538700.0,21117600.0
28,2048,0,26440200.0,11576100.0,25748000.0
28,2048,20,26647000.0,26414300.0,27781600.0
28,2048,60,30835700.0,30770100.0,30731900.0
28,2048,100,35015500.0,17929100.0,37586200.0
1,8192,0,782067.0,785423.0,799174.0
1,8192,20,857449.0,862499.0,869107.0
1,8192,60,1036170.0,1045880.0,1054150.0
1,8192,100,1341010.0,1338170.0,1377840.0
2,8192,0,1550860.0,1398030.0,1535620.0
2,8192,20,1675960.0,1671430.0,1671370.0
2,8192,60,1978970.0,1996730.0,1989470.0
2,8192,100,2548740.0,2301260.0,2556630.0
4,8192,0,3071100.0,2603370.0,3087170.0
4,8192,20,3300800.0,3333690.0,3293630.0
4,8192,60,3873410.0,3954620.0,3908670.0
4,8192,100,4997780.0,4360490.0,4894920.0
8,8192,0,5970050.0,4480090.0,5953650.0
8,8192,20,6300440.0,6386680.0,6350740.0
8,8192,60,7443290.0,7478700.0,7376530.0
8,8192,100,9458940.0,7164890.0,9491700.0
16,8192,0,11907900.0,5617570.0,11905400.0
16,8192,20,12252200.0,11843000.0,12542600.0
16,8192,60,14564000.0,14503500.0,14040000.0
16,8192,100,18204400.0,10647000.0,18210900.0
28,8192,0,20113800.0,6758850.0,20188000.0
28,8192,20,22037600.0,22299600.0,22345100.0
28,8192,60,24546600.0,25121600.0,24575700.0
28,8192,100,29936100.0,13251300.0,30605300.0
1,512,0,951243.0,1166150.0,1182820.0
1,512,20,1012540.0,1258560.0,1257570.0
1,512,60,1196340.0,1485270.0,1473650.0
1,512,100,1968130.0,1928940.0,1996710.0
2,512,0,2362540.0,2258380.0,2466720.0
2,512,20,2366960.0,2577120.0,2552960.0
2,512,60,2788930.0,2954050.0,2953200.0
2,512,100,3612410.0,3591870.0,3847910.0
4,512,0,4374940.0,4433040.0,4985570.0
4,512,20,4679730.0,5317580.0,5227780.0
4,512,60,5341440.0,6033590.0,5863000.0
4,512,100,6852840.0,6750460.0,7418890.0
8,512,0,7874250.0,7769050.0,9412510.0
8,512,20,8268940.0,9909790.0,9633970.0
8,512,60,9422870.0,10677000.0,11217300.0
8,512,100,11978000.0,11685300.0,13947200.0
16,512,0,11707100.0,11363700.0,17988600.0
16,512,20,12802500.0,19038900.0,18341700.0
16,512,60,14653200.0,20716000.0,21425200.0
16,512,100,18314800.0,18172200.0,26563100.0
28,512,0,12756000.0,13205300.0,31801200.0
28,512,20,14184600.0,30441800.0,31050400.0
28,512,60,15935700.0,36771100.0,37527200.0
