keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.128,0.2,1,3,10,14953.941859074052,15137.06613384194,18048.26105004783
0.128,0.2,1,3,15,20553.511602573326,19850.52405907575,20376.35504116065
0.128,0.2,1,3,20,21301.52305889871,19616.305072776493,20935.393376041535
0.128,0.2,1,3,25,20722.382245062894,15833.056254848874,18164.97429656137
0.128,0.2,1,3,5,9909.231440009513,10187.345279693565,10333.567560864713
0.128,0.2,1,5,10,13373.632546072164,15620.118712902218,15614.265192680032
0.128,0.2,1,5,15,18732.718894009216,16339.438898057222,19094.34610757862
0.128,0.2,1,5,20,21421.074052653,20716.801325875284,20141.79825974863
0.128,0.2,1,5,25,19886.250646303146,20357.477301412808,18836.29377083765
0.128,0.2,1,5,5,8811.038468993956,9649.063558381658,9872.447972199187
0.128,0.2,1,7,10,13030.844007766384,16197.479672163012,15815.277558121144
0.128,0.2,1,7,15,17578.841894314945,18878.065356515828,17688.293770120636
0.128,0.2,1,7,20,20694.50767766235,20768.86332011049,17115.960633290542
0.128,0.2,1,7,25,21191.828430957023,20370.332647532134,19224.484303208566
0.128,0.2,1,7,5,8629.09558449179,9670.338171725865,10663.936698871756
0.128,0.2,2,3,10,22186.723464678736,22699.929630218146,24073.762006788802
0.128,0.2,2,3,15,28505.17374077136,32627.165649776503,32530.579050097593
0.128,0.2,2,3,20,33129.037601457676,35228.63383357994,35143.208574942895
0.128,0.2,2,3,25,37615.19653940192,30698.38833461243,33642.84753061499
0.128,0.2,2,3,5,11317.21008137074,10196.902181117377,10414.496979795877
0.128,0.2,2,5,10,15889.914671158216,18956.986597410476,16434.12381468882
0.128,0.2,2,5,15,25314.279928106727,27458.674281948486,27278.158160342617
0.128,0.2,2,5,20,29517.681090973492,33645.11136531862,33530.042918454936
0.128,0.2,2,5,25,33304.469459801505,36443.14868804665,28735.632183908045
0.128,0.2,2,5,5,8579.4196880523,10142.502155281709,9487.576019202854
0.128,0.2,3,3,10,25420.066600574493,24658.48005128964,25430.40968390001
0.128,0.2,3,3,15,32921.48148148148,33180.370296635476,34213.425482414124
0.128,0.2,3,3,20,38862.1172081455,41029.00750830837,95438.0606986066
0.128,0.2,3,3,25,42826.552462526764,46080.82576839777,46002.39212439047
0.128,0.2,3,3,5,9920.733340608538,10694.15778160391,11240.122742140344
0.128,0.6,1,3,10,14989.582240342961,14659.962177297582,17924.68049257022
0.128,0.6,1,3,15,21683.760869093825,22466.636710851493,20272.670140085553
