sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.15,40,herd_ycsb,0.0,0.0,0.027737793807227074,0.9795559629902447,0.9810133974646145,0.9655978583869513,0.019469674149597438
0.60,78,calvin-Calvin_tpcc,0.5,0.5,0.02305644060746706,0.805957535218111,0.8390423226083983,0.685175318429794,0.1440910460532065
0.50,60,calvin-Calvin_tpcc,0.0,0.5,0.013776640799978465,0.805957535218111,0.8470497264472092,0.7849594816093671,0.2329796405239753
0.15,1,calvin-Calvin_tpcc,0.5,0.0,0.11590155053467768,0.805957535218111,0.953450070573595,0.6726085111690463,0.5560494941469949
0.40,30,herd_ycsb,0.0,0.0,0.041944970973926354,0.9795559629902447,0.9748696858930634,0.9666760265466144,0.021627012108240556
0.05,97,herd_ycsb,0.0,1.0,0.22080378974442727,0.9795559629902447,0.9753207020139052,0.9521568958721839,0.135429274919468
0.15,45,calvin-Calvin_tpcc,0.5,1.5,0.04300643895426025,0.805957535218111,0.8868492768929421,0.8175286361660716,0.3983293464314621
0.50,77,calvin-Calvin_tpcc,0.0,0.0,0.023306118772372875,0.805957535218111,0.8387149025810966,0.7169874570060597,0.12286935931499851
0.90,24,silo_ycsb,1.0,0.03333333333333333,0.16100257728149692,0.9966707859675427,0.9990460719048321,0.9470800888127736,0.10585114860316219
0.75,32,star_tpcc,0.6666666666666666,0.3611111111111111,0.027133421631072907,0.9891328938680841,0.9925966384183866,0.8396396355366571,0.0
0.75,92,silo_ycsb,1.0,0.5333333333333333,0.12012258147371918,0.9966707859675427,0.9998862108206666,0.788402164230023,0.36206559455603143
0.95,3,tapir_ycsb,0.0,1.0,0.006137433039517304,0.9635074374070052,0.965199251776653,0.9615176905016538,0.05548004359609282
0.65,0,gam_tpcc,0.0,0.0,0.019436555201351194,0.9571731790672277,0.9654418420127548,0.8216345683953403,0.09579857860863611
0.70,40,gam_tpcc,0.0,0.0,0.0060752128967555595,0.9571731790672277,0.9650292625817576,0.8478090625211024,0.31380286663030565
0.40,44,tapir_ycsb,0.0,0.0,0.0009746743528513957,0.9635074374070052,0.9834675318514756,0.9362012672759042,0.28645735605297284
0.80,36,cicada-Cicada_ycsb,0.0,0.0,0.012667454991989319,0.9228232541022933,0.9306442523622294,0.9070506588658387,0.019310081653680648
0.50,69,cicada-Cicada_ycsb,0.0,0.0,0.03938235468539372,0.9228232541022933,0.9349636462670214,0.9217083145897672,0.013519337776663604
