stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
threads,0.25,81,aria-Aria_tpcc_threads,0.0,0.0,0.0012184138854431925,0.9960699191676947,0.9964607780857003,0.9949230482131428,0.018265542874202324
cross,0.55,36,gam_tpcc_cross,0.3333333333333333,0.027777777777777776,0.0229820931655398,0.9571731790672277,0.978722929851588,0.46025908956326345,0.28388944046935577
keys,0.95,82,tapir_ycsb_keys,1.0,0.125,0.026907945255444904,0.9635074374070052,0.9683550891953902,0.9429333529372244,0.06024445701795056
threads,0.75,21,gam_tpcc_threads,0.3333333333333333,0.3611111111111111,0.005161611567766865,0.9571731790672277,0.969359862372723,0.880014319521446,0.12243668217156128
threads,0.80,66,gam_tpcc_threads,0.0,0.0,0.003563515762393369,0.9571731790672277,0.9609338019020182,0.852650401654132,0.10322610190222721
servers,0.75,1,star_tpcc_servers,0.0,0.027777777777777776,0.007062911283676278,0.9891328938680841,0.9937991293763172,0.9751265495713594,0.031078128536369192
ReadRatio,0.75,16,tapir_ycsb_ReadRatio,0.0,0.0,0.008119885768331614,0.9635074374070052,0.9642804580134092,0.9464869239423306,0.11712619133022939
keys,0.35,79,tapir_ycsb_keys,0.0,0.0,0.006658058133321293,0.9635074374070052,0.9820794374746981,0.9010370002431434,0.2770262232482389
nrep,0.45,89,tapir_ycsb_nrep,0.0,1.0,0.039777958745818714,0.9635074374070052,0.9715985594946622,0.9080440248431345,0.29463548525732985
terminal,0.20,19,mysql_tpcc_terminal,0.0,0.0,0.13004792040732588,0.998218669377621,0.999841338778209,0.9748312175217503,0.22989588763388863
WH,0.65,82,mysql_tpcc_WH,0.0,0.0,0.010005814119373041,0.998218669377621,0.9986969291861404,0.9965961606651539,0.016736331415256857
total_count,0.60,43,cicada-Cicada_ycsb_total_count,0.0,0.0,0.0030405778803555827,0.9228232541022933,0.9255850923634182,0.9217972655225468,0.018914564446928187
threads,0.25,76,cicada-Cicada_ycsb_threads,0.0,0.0,0.010767772528876396,0.9228232541022933,0.9382714921306398,0.9002006672683802,0.0457276833328629
cross_warehouse,0.45,67,drtm_tpcc_cross_warehouse,0.0,0.34375,0.010053133259448075,0.9404530615383303,0.9587858720352216,0.8793020703709866,0.16311812957347768
zipf_theta,0.45,16,cicada-Cicada_ycsb_zipf_theta,0.0,0.0,0.014639938818049425,0.9228232541022933,0.929667853790446,0.8858775664338656,0.017167892097167268
WH,0.20,53,mysql_tpcc_WH,0.0,0.0,0.14490494735943954,0.998218669377621,0.9997906674048768,0.9313186207596484,0.2405141594942071
node,0.40,92,drtm_tpcc_node,0.0,0.020833333333333332,0.018761378603283436,0.9404530615383303,0.9527176552173737,0.9030569765457678,0.11643087420505228
threads,0.95,84,drtm_tpcc_threads,0.0,0.34375,0.0048783451544909635,0.9404530615383303,0.9439543304475201,0.8997183623943867,0.05728739029108837
zipf,0.70,20,star_ycsb_zipf,0.0,0.06666666666666667,0.0021966609431148254,0.9641920557079284,0.964739535314365,0.957526333388151,0.016309958026765436
shards,0.75,58,janus-Janus_tpcc_shards,0.0,0.041666666666666664,0.009703798639327944,0.955801103792088,0.9608023950978349,0.9301119476746094,0.13633188359621473
effective_cache_size,0.30,87,postgresql_tpcc_effective_cache_size,0.0,0.0,0.06553848455113975,0.998519743400367,0.9991067402184081,0.9965592720084221,0.02256339633553142
clients,0.50,70,janus-Janus_tpcc_clients,0.5,0.3372023809523809,0.07758458750987637,0.955801103792088,0.9623574903784171,0.8824550228227924,0.21576979084152545
replica,0.35,9,janus-Janus_tpcc_replica,0.5,0.0955357142857143,0.08279709181654528,0.955801103792088,0.9757441921549482,0.7448128166753447,0.2747736401080829
zipf_theta,0.05,46,cicada-Cicada_ycsb_zipf_theta,2.0,0.1125,0.022584238275261098,0.9228232541022933,0.9519441024828084,0.7588144118909796,0.1930070687952278
shared_buffer,0.65,29,postgresql_tpcc_shared_buffer,0.0,0.0,0.027214885774406228,0.998519743400367,0.9985659035830226,0.997950723761502,0.025034013280654188
effective_cache_size,0.75,72,postgresql_tpcc_effective_cache_size,0.0,0.0,0.004091268495831635,0.998519743400367,0.997659954534213,0.996708801902237,0.016374168108105935
dist,0.30,48,calvin-Calvin_tpcc_dist,0.0,0.0,0.036317018136347454,0.805957535218111,0.8481281862521719,0.7956564497446236,0.1904976974414806
threads,0.85,78,silo_ycsb_threads,0.0,0.0,0.0277555535645245,0.9966707859675427,0.9979169032773922,0.9705178758934397,0.0830524690171579
Distributed,0.50,33,aria-Aria_tpcc_Distributed,0.0,0.0,0.0002939448501704245,0.9960699191676947,0.9959917036131533,0.9945965067760476,0.014766333249192964
dist,0.45,53,calvin-Calvin_tpcc_dist,0.0,0.0,0.019446018276871396,0.805957535218111,0.8311756565621693,0.6379038654572631,0.07968113785066903
