sample_ratio,random,split,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
0.05,9,7,aria-Aria_tpcc,0.0,0.0,0.029323761579917007,0.9960699191676947,0.9999763365207599,0.9319234150247261,0.08645316156953176
0.40,9,5,aria-Aria_tpcc,0.0,0.0,0.0003497773429839146,0.9960699191676947,0.9959669565372592,0.9949610327045681,0.04156298688561566
0.50,2,9,calvin-Calvin_tpcc,0.0,0.0,0.057428546756835924,0.805957535218111,0.8571445302142404,0.7680221561546294,0.14232947566706522
0.25,3,6,calvin-Calvin_tpcc,0.0,0.5,0.14588748924344858,0.805957535218111,0.897708167718031,0.3116601856605211,0.2510071876751413
0.20,7,1,calvin-Calvin_tpcc,0.0,0.5,0.005577186697293651,0.805957535218111,0.7352932516954,0.7187962315805079,0.4778378532923912
0.65,7,0,star_tpcc,0.6666666666666666,0.3611111111111111,0.02780952744690371,0.9891328938680841,0.9941261023977117,0.9684783211477324,0.0
0.55,8,6,aria-Aria_tpcc,0.0,0.0,0.0009735464841827968,0.9960699191676947,0.9960984641504999,0.9935183245336348,0.027896174459201006
0.85,8,6,star_tpcc,0.3333333333333333,0.027777777777777776,0.0054369209495148535,0.9891328938680841,0.9877607083552,0.9867232160307428,0.01408325205626347
0.80,8,2,tapir_ycsb,1.0,0.125,0.013863571339666508,0.9635074374070052,0.966649915175464,0.924948631863662,0.03504427692717038
0.85,7,9,star_tpcc,0.0,0.0,0.007695252469112966,0.9891328938680841,0.9918299821556205,0.9822814631213914,0.060240902074737535
0.25,5,1,herd_ycsb,0.0,1.0,0.10591297966454377,0.9795559629902447,0.9771635214990199,0.971312762660279,0.01676439367959548
0.35,6,1,star_tpcc,1.3333333333333333,0.7166666666666667,0.026746532719031213,0.9891328938680841,0.9947737210610057,0.6722044150393067,0.0
0.80,9,8,silo_ycsb,1.0,0.03333333333333333,0.0884282618172304,0.9966707859675427,0.9663928167160171,0.9353977984848993,0.1934379530691244
0.80,9,7,gam_tpcc,0.0,0.0,0.013053456850894174,0.9571731790672277,0.9688368301427785,0.8654645655917773,0.07149919855214378
0.70,7,7,drtm_tpcc,0.3333333333333333,0.3645833333333333,0.01104409202109155,0.9404530615383303,0.9400476904058808,0.9240900780563852,0.06737569493264875
0.30,6,5,gam_tpcc,0.3333333333333333,0.013888888888888888,0.02791825999229167,0.9571731790672277,0.9840045613121527,0.38252334667678634,0.34827302754243955
0.50,6,8,gam_tpcc,0.6666666666666666,0.03888888888888889,0.0235595423100997,0.9571731790672277,0.9719271793793349,0.7631847079995784,0.2899941783291236
0.90,4,7,silo-Silo_tpcc,0.0,0.03333333333333333,0.06153253240765971,0.9834710484572299,0.9881626441043088,0.9559355365346904,0.028614547195721433
0.45,5,8,cicada-Cicada_ycsb,1.0,0.1,0.022186543071123804,0.9228232541022933,0.9363564392793405,0.9257114054776004,0.0062844750300257175
0.35,5,3,silo-Silo_tpcc,0.5,0.11666666666666668,0.17253342333665486,0.9834710484572299,0.9999841431335161,0.6236059875937439,0.38681991939079025
0.85,8,9,silo-Silo_tpcc,0.0,0.05555555555555556,0.06729775652913422,0.9834710484572299,0.9903815531131042,0.956498395845138,0.2612853826634442
0.40,1,3,mysql_tpcc,0.0,0.0,0.07752830145284079,0.998218669377621,0.999285281998907,0.9908300076978841,0.21946285971544843
0.35,6,6,star_ycsb,0.0,0.06666666666666667,0.021290126304986584,0.9641920557079284,0.9691430799724275,0.9568617770760057,0.02039832510383371
0.55,6,7,mysql_tpcc,0.0,0.5,0.00892368650138689,0.998218669377621,0.9989192695755578,0.9932355056949276,0.2536385494534515
0.85,2,1,janus-Janus_tpcc,0.25,0.05386904761904763,0.046627705610733504,0.955801103792088,0.9622338904933544,0.9280547425868259,0.25515820213765406
0.30,9,3,herd_ycsb,0.0,1.0,0.05048417302727304,0.9795559629902447,0.9747040797935651,0.9710710722404209,0.0030521805472291663
0.70,3,9,aria-Aria_tpcc,0.0,0.0,0.0014370019444212012,0.9960699191676947,0.9962752154349622,0.9955812937479769,0.06864272109511538
0.90,9,2,calvin-Calvin_tpcc,0.0,0.0,0.011826472442604846,0.805957535218111,0.8450159112835179,0.7443217220416285,0.06273976563721725
0.80,9,5,star_tpcc,0.6666666666666666,0.3611111111111111,0.024491205625252616,0.9891328938680841,0.9906039946614856,0.9652333165584878,0.0
0.55,4,7,tapir_ycsb,0.0,1.0,0.0463439952011101,0.9635074374070052,0.9694335698799105,0.9469182271154755,0.09914122864421504
0.80,8,2,silo_ycsb,1.0,0.52,0.011922802233337804,0.9966707859675427,0.9994435756343368,-1.1765700839411624,0.6788040170261351
0.50,0,3,cicada-Cicada_ycsb,1.0,0.1,0.029898097308736105,0.9228232541022933,0.9323217721403843,0.9306556343482969,0.03133368143777072
0.50,5,0,star_tpcc,0.6666666666666666,0.3611111111111111,0.031859502144070406,0.9891328938680841,0.9940511069359083,0.7528257142666003,0.0
0.40,0,1,cicada-Cicada_ycsb,1.0,0.1,0.03971541395929651,0.9228232541022933,0.939673211656917,0.9122479961903549,0.0097570476345048
0.25,0,2,tapir_ycsb,1.0,1.125,0.1364481415455798,0.9635074374070052,0.983564806092121,0.957441801955293,0.41974487502133584
0.70,4,4,drtm_tpcc,0.3333333333333333,0.3333333333333333,0.02449761875388322,0.9404530615383303,0.9423272035055991,0.9212571129395226,0.07815721284439953
0.35,0,3,cicada-Cicada_ycsb,1.0,0.1,0.040224376379496524,0.9228232541022933,0.9367453827540541,0.909228801910093,0.017916313273810384
0.35,7,4,janus-Janus_tpcc,0.5,0.09077380952380953,0.08493527873039826,0.955801103792088,0.9846585377493382,0.7315249137486847,0.33276269863774316
0.95,1,3,cicada-Cicada_ycsb,0.0,0.0,0.007101911243318326,0.9228232541022933,0.9250649604547336,0.9131337209918597,0.007663282965933079
0.90,8,5,drtm_tpcc,0.0,0.010416666666666666,0.014960823648945432,0.9404530615383303,0.9453609258584119,0.8722362151619018,0.07256327555500673
0.35,2,2,drtm_tpcc,0.3333333333333333,0.6875,0.008833193313339607,0.9404530615383303,0.9648088180128179,0.7352050675407733,0.29542971922513694
0.60,1,5,star_ycsb,0.0,0.06666666666666667,0.0024260936641885555,0.9641920557079284,0.9685099301435379,0.957613668013479,0.015215076586772272
0.95,8,8,star_ycsb,0.0,0.06666666666666667,0.002602330763114391,0.9641920557079284,0.9667451317588478,0.95240145120792,0.00816762365901866
0.25,5,8,cicada-Cicada_ycsb,1.0,0.1,0.028321769404260816,0.9228232541022933,0.9352173978882938,0.9256204156235411,0.0200693246852004
0.50,2,6,star_ycsb,0.0,0.06666666666666667,0.0030566605400751123,0.9641920557079284,0.9686702830495367,0.9671354715063237,0.02291748545216025
0.20,1,4,star_ycsb,0.0,0.1,0.02808178957935148,0.9641920557079284,0.9782585291295555,0.9459247833845228,0.09435973556197101
0.70,3,0,silo-Silo_tpcc,0.5,0.05,0.08109077282785752,0.9834710484572299,0.9925812154948821,0.9375807352270693,0.12295521064771711
0.80,2,8,mysql_tpcc,0.0,0.0,0.03997802611607468,0.998218669377621,0.9982174674478924,0.9967996001592039,0.016941653662416047
0.50,7,8,janus-Janus_tpcc,0.0,0.07976190476190477,0.05083535165430348,0.955801103792088,0.9786258025472585,0.7945739418528233,0.35652047611519155
0.70,0,1,janus-Janus_tpcc,0.0,0.0761904761904762,0.02201526431147329,0.955801103792088,0.9689259505240004,0.8984501712314169,0.40291953782606166
0.85,6,2,postgresql_tpcc,0.0,0.0,0.17069718598872585,0.998519743400367,0.9974275438964987,0.9965822293735092,0.008367471009231298
0.60,7,5,calvin-Calvin_tpcc,0.0,0.0,0.006807093650430016,0.805957535218111,0.7914240315110793,0.858014296221786,0.06207395644697768
0.65,8,9,herd_ycsb,0.0,0.0,0.054613975310927265,0.9795559629902447,0.9715343621538253,0.9786361329576352,0.01877613283109969
0.75,3,7,aria-Aria_tpcc,0.0,0.0,0.0016420898551093854,0.9960699191676947,0.9963217512267755,0.9956541618041389,0.06864272109511538
0.05,9,0,aria-Aria_tpcc,0.0,0.0,0.006347740526756018,0.9960699191676947,0.9972420611700249,,0.16376374716525327
0.95,2,8,aria-Aria_tpcc,0.0,0.0,0.0003472872773527813,0.9960699191676947,0.996185807075323,0.9958427113315604,0.010227283727561542
0.05,4,3,aria-Aria_tpcc,1.0,2.0,0.2522717663696,0.9960699191676947,0.9999503425526839,0.6148256475606146,0.21295812427737762
0.80,4,8,aria-Aria_tpcc,0.0,0.0,0.0009382242069956304,0.9960699191676947,0.9961119322069201,0.9951191440775838,0.022663590322704597
0.80,0,1,star_tpcc,0.0,0.08333333333333333,0.011762974945929075,0.9891328938680841,0.9910792888898472,0.9668804801525727,0.04470343006744734
0.15,2,1,herd_ycsb,0.0,1.0,0.013679965192770926,0.9795559629902447,0.987692234748899,0.931158087569494,0.036238349166832995
0.40,4,4,gam_tpcc,0.6666666666666666,0.375,0.025084264798365216,0.9571731790672277,0.9845944969116336,0.4192210252194274,0.5104153656616424
0.75,9,9,silo_ycsb,1.0,0.5333333333333333,0.05267015211218071,0.9966707859675427,0.9998055848954303,0.7359202132809288,0.35196300445169587
0.45,1,4,drtm_tpcc,0.3333333333333333,0.3541666666666667,0.027305639626046943,0.9404530615383303,0.9522047266118203,0.819587878064103,0.141755825591531
0.40,9,6,cicada-Cicada_ycsb,0.0,0.0,0.04416018353944712,0.9228232541022933,0.9397273182489058,0.9025685599336929,0.01680022309169649
0.35,5,5,drtm_tpcc,0.0,0.34375,0.016098301304291834,0.9404530615383303,0.9602644898481947,0.48271875904149,0.17845828599782718
0.35,8,5,drtm_tpcc,0.0,0.3541666666666667,0.04163903469150063,0.9404530615383303,0.962199544844703,0.794423088378817,0.1830906464360009
0.20,4,1,cicada-Cicada_ycsb,1.0,0.1,0.007884962733708423,0.9228232541022933,0.9329606484776201,0.892183110948251,0.04251458784978738
0.35,9,6,tapir_ycsb,0.0,0.0,0.10372353410791388,0.9635074374070052,0.9660652529352889,0.9595204326167579,0.31924799512402213
0.65,7,3,mysql_tpcc,0.0,0.0,0.06495329101350922,0.998218669377621,0.9984746690748748,0.9977646216083242,0.1590416705697077
0.65,1,0,silo-Silo_tpcc,0.5,0.07222222222222223,0.01424428511035443,0.9834710484572299,0.9918460229273764,0.8144183115107246,0.2828340508084903
0.20,7,2,janus-Janus_tpcc,0.75,0.06309523809523811,0.18838619544594115,0.955801103792088,0.9968722317412771,0.20768926591208037,0.5583007022665554
0.45,2,6,mysql_tpcc,0.0,0.5,0.013906040620933868,0.998218669377621,0.9988578469036147,0.9972163595903428,0.07772293151336676
0.60,9,2,drtm_tpcc,0.0,0.020833333333333332,0.020310468929624775,0.9404530615383303,0.9491866896068939,0.8797854402423727,0.10797999602300322
0.40,3,6,star_ycsb,0.0,0.2333333333333333,0.010778078329853474,0.9641920557079284,0.9697956318012481,0.9581284130052597,0.03937880811370384
0.65,4,2,mysql_tpcc,0.0,0.5,0.01709270061417298,0.998218669377621,0.9990530683355942,0.9959562809930919,0.045540603729589325
0.40,4,7,mysql_tpcc,0.0,0.5,0.012976469904480481,0.998218669377621,0.9991176582460708,0.9968497521544846,0.05240658511834194
0.70,6,1,mysql_tpcc,0.0,0.5,0.003507865680190597,0.998218669377621,0.9983260883374754,0.9972885975611048,0.02877224835307752
0.50,9,3,postgresql_tpcc,0.0,0.0,0.08183260109494839,0.998519743400367,0.9987318720628505,0.9970926055699394,0.036134390031805116
0.65,7,3,postgresql_tpcc,0.0,0.0,0.20092254787896846,0.998519743400367,0.9974048121275461,0.9954773537517494,0.02765158264758666
0.55,2,0,postgresql_tpcc,4.0,1.0389492753623188,nan,0.998519743400367,0.9984860711149744,0.952155810006155,nan
0.30,0,0,postgresql_tpcc,2.0,1.0291666666666666,0.3434617854228262,0.998519743400367,0.9990166729789757,0.9638273295817896,0.531729104903327
0.55,3,9,calvin-Calvin_tpcc,0.0,0.0,0.053398594670601984,0.805957535218111,0.8219367229942658,0.8523883505323289,0.13841291145566487
0.80,5,1,star_tpcc,0.0,0.0,0.004912059826930927,0.9891328938680841,0.9919670356211951,0.9770487809422199,0.03648633700343253
0.65,1,4,tapir_ycsb,1.0,1.125,0.020593287084449713,0.9635074374070052,0.9715218962854038,0.9355316095410314,0.046253679713229245
