stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
servers,0.75,1,star_tpcc_servers,0.0,0.05555555555555555,0.0029581072024061628,0.9891328938680841,0.9926594950493213,0.9700912896133341,0.03251966237525874
threads,0.85,78,silo_ycsb_threads,0.0,0.0,0.01257722308691124,0.9966707859675427,0.9969312339088132,0.9867716894817713,0.013928852009100323
put_percent,0.25,51,herd_ycsb_put_percent,0.0,1.0,0.016028120075676333,0.9795559629902447,0.981579011629106,0.9763996633709973,0.01031121168305682
threads,0.75,21,gam_tpcc_threads,0.3333333333333333,0.027777777777777776,0.009259464965451554,0.9571731790672277,0.9652454631293266,0.8719941266589868,0.07798634648236177
cross,0.55,36,gam_tpcc_cross,0.3333333333333333,0.027777777777777776,0.017533709422060492,0.9571731790672277,0.972340974001376,0.7984210603040375,0.18085531947554057
keys,0.85,3,tapir_ycsb_keys,1.0,0.125,0.028421103864915892,0.9635074374070052,0.9724472863355161,0.8925977158929896,0.0032684305933730062
keys,0.95,82,tapir_ycsb_keys,0.0,0.0,0.003983503758480084,0.9635074374070052,0.9636237246756914,0.9538406366785425,0.030171890192542627
ReadRatio,0.75,16,tapir_ycsb_ReadRatio,0.0,0.0,0.002011315410713116,0.9635074374070052,0.9645925133900222,0.943796018633367,0.02576740271115241
threads,0.80,66,gam_tpcc_threads,0.0,0.0,0.003189500270201632,0.9571731790672277,0.9552747605386164,0.9519572188114671,0.035513805060646365
cross_warehouse,0.45,67,drtm_tpcc_cross_warehouse,0.3333333333333333,0.6770833333333334,0.017551063641728995,0.9404530615383303,0.9527043197433275,0.8794443965068047,0.1653313496160923
total_count,0.60,43,cicada-Cicada_ycsb_total_count,0.0,0.0,0.007170374503479016,0.9228232541022933,0.9260218069292507,0.9116708067463478,0.012828800104047303
keys,0.35,79,tapir_ycsb_keys,0.0,0.0,0.007070075595993819,0.9635074374070052,0.9749402758648381,0.9282655136061357,0.17893132843131831
threads,0.25,76,cicada-Cicada_ycsb_threads,0.0,0.0,0.0036231462718187,0.9228232541022933,0.9348753475758872,0.9069061343435033,0.03037152753695494
total_count,0.55,78,cicada-Cicada_ycsb_total_count,0.0,0.0,0.0058192001640718916,0.9228232541022933,0.9278565006749517,0.9095104175199301,0.023994338687744702
terminal,0.20,19,mysql_tpcc_terminal,0.0,0.0,0.07804475287812146,0.998218669377621,0.9995523268516987,0.9751220357566349,0.23922407720601707
total_count,0.25,17,cicada-Cicada_ycsb_total_count,0.0,0.0,0.011771849281463576,0.9228232541022933,0.9301354269691781,0.9055920634106526,0.029877381016330425
nrep,0.80,69,tapir_ycsb_nrep,1.0,0.125,0.003378800812756988,0.9635074374070052,0.9632612919131858,0.9518728065318587,0.07397819894155377
zipf_theta,0.45,16,cicada-Cicada_ycsb_zipf_theta,0.0,0.0,0.01933012693471381,0.9228232541022933,0.9238870249946313,0.9147571836553048,0.0174121350822708
nrep,0.45,89,tapir_ycsb_nrep,1.0,0.06666666666666667,0.02378855391634141,0.9635074374070052,0.967344163005508,0.9268814713587037,0.1171152273703403
num_chunk,0.45,65,mysql_tpcc_num_chunk,0.0,0.5,0.02893273433126972,0.998218669377621,0.9986285626575853,0.9971004445651263,0.01571699604916027
WH,0.65,82,mysql_tpcc_WH,0.0,0.0,0.006147668878242529,0.998218669377621,0.9985359060398613,0.996956914198673,0.016679575467346358
threads,0.95,84,drtm_tpcc_threads,0.0,0.010416666666666666,0.0030152215001383736,0.9404530615383303,0.9399905831230353,0.9377924125188112,0.01774884874655817
node,0.40,92,drtm_tpcc_node,0.0,0.020833333333333332,0.021065737350688448,0.9404530615383303,0.951510315273691,0.885900884994262,0.11567650042864115
scale_factor,0.85,79,drtm_tpcc_scale_factor,0.0,0.010416666666666666,0.00907183851458337,0.9404530615383303,0.9405506716060281,0.9223351668610702,0.05518536148601386
zipf,0.70,20,star_ycsb_zipf,0.0,0.03333333333333333,0.0023874793549094053,0.9641920557079284,0.9645930560243562,0.960659402168077,0.007385867952966516
zipf,0.55,13,star_ycsb_zipf,0.0,0.06666666666666667,0.0011204669898828012,0.9641920557079284,0.9689003937862587,0.9504823381053656,0.02007651840115149
