random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5006391947053564
0,0,0.10,0.5919297719121757
0,0,0.15,0.6380282166861029
0,0,0.20,0.7587798308836722
0,0,0.25,0.6812193131749431
0,0,0.30,0.4057908485934907
0,0,0.35,0.43135050459627866
0,0,0.40,0.4483991861346579
0,0,0.45,0.4284166917678256
0,0,0.50,0.4167248352626648
0,0,0.55,0.5675591948105647
0,0,0.60,0.6018752305237943
0,0,0.65,0.38289105469475637
0,0,0.70,0.5020657253977725
0,0,0.75,0.6565838299468589
0,0,0.80,0.5677759297457994
0,0,0.85,0.6599307962599741
0,0,0.90,0.5782647405187527
0,0,0.95,0.464557387694032
0,1,0.05,-0.004035343419568571
0,1,0.10,0.7394089211781447
0,1,0.15,0.6634539128446927
0,1,0.20,0.511486550183868
0,1,0.25,0.6623714303235142
0,1,0.30,0.41889550435671496
0,1,0.35,0.39490745442663955
0,1,0.40,0.4803874396202784
0,1,0.45,0.48537731614503377
0,1,0.50,0.49982753569688776
0,1,0.55,0.4864015102033977
0,1,0.60,0.5878415358345426
0,1,0.65,0.5822065314790089
0,1,0.70,0.5439770073289114
0,1,0.75,0.5493559325916106
0,1,0.80,0.43632193488325854
0,1,0.85,0.5090630427826637
0,1,0.90,0.5260339482028595
0,1,0.95,0.5417580813731939
0,2,0.05,0.34195130244841165
0,2,0.10,0.613374088288924
0,2,0.15,0.5723478867512293
0,2,0.20,0.8147087668190022
0,2,0.25,0.5824884826522675
0,2,0.30,0.41507674798792604
0,2,0.35,0.37965066396168634
0,2,0.40,0.3415970519224585
0,2,0.45,0.5344612063413485
0,2,0.50,0.4255762836967584
0,2,0.55,0.4234796515075828
0,2,0.60,0.5300301137429582
0,2,0.65,0.6477441738130205
0,2,0.70,0.5250630047327978
0,2,0.75,0.5920951207095855
0,2,0.80,0.4908935677319203
0,2,0.85,0.5404083840236571
0,2,0.90,0.4795841099188385
0,2,0.95,0.49448995254082795
0,3,0.05,-4.904326676747571
0,3,0.10,0.4912117870322372
0,3,0.15,0.31260384952173415
0,3,0.20,0.5193997731743574
0,3,0.25,0.48468703953128944
0,3,0.30,0.5862656106568109
0,3,0.35,0.47791856258778886
0,3,0.40,0.41543477648280935
0,3,0.45,0.48774441730695695
0,3,0.50,0.39392505106824516
0,3,0.55,0.4747850914093602
0,3,0.60,0.5144886940855098
0,3,0.65,0.44794011799566635
0,3,0.70,0.5562983156766486
0,3,0.75,0.5226045379447737
0,3,0.80,0.4549524738709325
0,3,0.85,0.5690011085596023
0,3,0.90,0.49238710427744314
0,3,0.95,0.5883449310983087
0,4,0.05,-1.1200078017293342
0,4,0.10,0.639272062397698
0,4,0.15,0.7078467157721333
0,4,0.20,0.567407558782139
0,4,0.25,0.5159340060258838
0,4,0.30,0.35889180679203636
0,4,0.35,0.48027464174449375
0,4,0.40,0.5310150733408155
0,4,0.45,0.4722978356090659
0,4,0.50,0.47281045416537837
0,4,0.55,0.1601312190352645
0,4,0.60,0.4932620175045901
0,4,0.65,0.45749947149025705
0,4,0.70,0.562766898309869
0,4,0.75,0.4690789741108067
0,4,0.80,0.44041046718837173
0,4,0.85,0.5465307599903613
0,4,0.90,0.6010710975421425
0,4,0.95,0.4502077543328228
0,5,0.05,0.7080413179641932
0,5,0.10,0.5251358820659338
0,5,0.15,0.5594244647115132
0,5,0.20,0.6128472862031262
0,5,0.25,0.2626387518090876
0,5,0.30,0.4692711676035395
0,5,0.35,0.4991704801740937
0,5,0.40,0.43574775337419114
0,5,0.45,0.4056472271913034
0,5,0.50,0.4490233021326573
0,5,0.55,0.4879240535134236
0,5,0.60,0.572227021956718
0,5,0.65,0.6311195297995085
0,5,0.70,0.5129060136998302
0,5,0.75,0.6018877146801818
0,5,0.80,0.5003929234126039
0,5,0.85,0.5644130063790975
0,5,0.90,0.5965187503463385
0,5,0.95,0.6204913624662522
0,6,0.05,-0.07786219820158102
0,6,0.10,0.5668861521196638
0,6,0.15,0.5316591966271017
