random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5386786678769049
0,0,0.10,0.283294316063082
0,0,0.15,0.4682468109535338
0,0,0.20,0.4440583385945528
0,0,0.25,0.60384575506865
0,0,0.30,0.4655754613949378
0,0,0.35,0.5681289141212746
0,0,0.40,0.6041650079162224
0,0,0.45,0.5378907216601165
0,0,0.50,0.6029322454941054
0,0,0.55,0.5867491443047472
0,0,0.60,0.6142085995517268
0,0,0.65,0.6307328658656766
0,0,0.70,0.5181942993896698
0,0,0.75,0.5184373809035412
0,0,0.80,0.5859840010584427
0,0,0.85,0.5488457607938786
0,0,0.90,0.5898788300627038
0,0,0.95,0.5743507070775908
0,1,0.05,0.5215853975691609
0,1,0.10,0.3512135142107915
0,1,0.15,0.47732544772177465
0,1,0.20,0.530738712044814
0,1,0.25,0.5526400684521797
0,1,0.30,0.6163183262488034
0,1,0.35,0.5941701788452988
0,1,0.40,0.6450170031215479
0,1,0.45,0.5518951808611859
0,1,0.50,0.629575312590801
0,1,0.55,0.5154047017521468
0,1,0.60,0.6355595060580402
0,1,0.65,0.5649295956390157
0,1,0.70,0.6162885684424566
0,1,0.75,0.5346603827818022
0,1,0.80,0.5354129463834362
0,1,0.85,0.5525167995626143
0,1,0.90,0.5721881916726377
0,1,0.95,0.5752470598190669
0,2,0.05,0.5916808832488842
0,2,0.10,0.4222052006706326
0,2,0.15,0.5009408693743866
0,2,0.20,0.5581126353533247
0,2,0.25,0.5975747333487503
0,2,0.30,0.5540194840371998
0,2,0.35,0.6093813672377328
0,2,0.40,0.6247576302330465
0,2,0.45,0.6078379422534956
0,2,0.50,0.5535140806851211
0,2,0.55,0.5907030511927347
0,2,0.60,0.577448389373797
0,2,0.65,0.614454282372307
0,2,0.70,0.575173063064214
0,2,0.75,0.5720789384734604
0,2,0.80,0.5503261216773581
0,2,0.85,0.5618917965106767
0,2,0.90,0.6479542545127601
0,2,0.95,0.5625067734282085
0,3,0.05,0.6334322845096039
0,3,0.10,0.40795807312435917
0,3,0.15,0.5317946857122442
0,3,0.20,0.43116534406458384
0,3,0.25,0.5468357791155969
0,3,0.30,0.5971465265335665
0,3,0.35,0.5916831700375276
0,3,0.40,0.6213610898410682
0,3,0.45,0.6123154817514118
0,3,0.50,0.6386167469888122
0,3,0.55,0.5860770073227757
0,3,0.60,0.6289069143620352
0,3,0.65,0.589504218126671
0,3,0.70,0.5595461898549787
0,3,0.75,0.6138495490271167
0,3,0.80,0.595012390196644
0,3,0.85,0.5490335330870497
0,3,0.90,0.5995053909344148
0,3,0.95,0.6232358150759068
0,4,0.05,0.2277419485323542
0,4,0.10,0.4355422255974589
0,4,0.15,0.48972863684995993
0,4,0.20,0.5323836465290515
0,4,0.25,0.6152615878638352
0,4,0.30,0.5168352752056515
0,4,0.35,0.6225695352879086
0,4,0.40,0.5422299250931721
0,4,0.45,0.5736893176542264
0,4,0.50,0.5713612153533151
0,4,0.55,0.5397014581170143
0,4,0.60,0.5564419276352613
0,4,0.65,0.5705399479583373
0,4,0.70,0.5584870099050332
0,4,0.75,0.5566551772622493
0,4,0.80,0.5986227574345023
0,4,0.85,0.5706105121900866
0,4,0.90,0.6297336076055347
0,4,0.95,0.5588328372769421
0,5,0.05,0.4832872808529931
0,5,0.10,0.5560336356098711
0,5,0.15,0.49954292829357183
0,5,0.20,0.42246470953094173
0,5,0.25,0.6159225752656041
0,5,0.30,0.6603400246595785
0,5,0.35,0.577827091435589
0,5,0.40,0.5837406872445439
0,5,0.45,0.6564940583912484
0,5,0.50,0.5779397065896212
0,5,0.55,0.6063515510804425
0,5,0.60,0.5040291207203303
0,5,0.65,0.5562807257105467
0,5,0.70,0.5616056957635583
0,5,0.75,0.5706099422548889
0,5,0.80,0.5419037274668083
0,5,0.85,0.5216784607830482
0,5,0.90,0.5525172133636074
0,5,0.95,0.5982911714815388
0,6,0.05,0.5408185747759438
0,6,0.10,0.60797239214007
0,6,0.15,0.5611981708369668
0,6,0.20,0.588102926685959
0,6,0.25,0.5108567400996282
0,6,0.30,0.6415476925235166
0,6,0.35,0.5637980236684182
0,6,0.40,0.5837691816098323
0,6,0.45,0.6459219532761815
0,6,0.50,0.5580768697700165
0,6,0.55,0.6147506085689438
0,6,0.60,0.5403942790228382
0,6,0.65,0.5711922520088815
0,6,0.70,0.641862143132214
0,6,0.75,0.5437003384217012
0,6,0.80,0.6118907907724862
0,6,0.85,0.59111614915987
0,6,0.90,0.5610908637800116
0,6,0.95,0.6016051616498063
0,7,0.05,0.5145949508639642
0,7,0.10,0.5114123804122848
0,7,0.15,0.5063824136841949
0,7,0.20,0.5435202599167877
0,7,0.25,0.4805126669927319
0,7,0.30,0.5494310654675226
