random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5526772717626605
0,0,0.10,0.8927525746451141
0,0,0.15,0.8606195437280055
0,0,0.20,0.8579981614414625
0,0,0.25,0.8284158956165569
0,0,0.30,0.8547971906469654
0,0,0.35,0.783496386323399
0,0,0.40,0.7583764234291905
0,0,0.45,0.8277704530011477
0,0,0.50,0.8061384790778348
0,0,0.55,0.8221957694868058
0,0,0.60,0.8429942623507083
0,0,0.65,0.8728781078465222
0,0,0.70,0.779318414728193
0,0,0.75,0.8101520446766636
0,0,0.80,0.8006335476177646
0,0,0.85,0.8490550114685637
0,0,0.90,0.8432557483485379
0,0,0.95,0.8191970040633351
0,1,0.05,0.3454233429152349
0,1,0.10,0.8098921004801352
0,1,0.15,0.7259943554046936
0,1,0.20,0.8366448660529134
0,1,0.25,0.8107479775003098
0,1,0.30,0.7945142478833921
0,1,0.35,0.8562228312657824
0,1,0.40,0.8586461384313322
0,1,0.45,0.8673418358752053
0,1,0.50,0.8572906641248632
0,1,0.55,0.8801171675914913
0,1,0.60,0.8183628720377814
0,1,0.65,0.8103072314804582
0,1,0.70,0.8201413420728805
0,1,0.75,0.8401161519448789
0,1,0.80,0.7977496636418305
0,1,0.85,0.8257146419019465
0,1,0.90,0.8012439445154382
0,1,0.95,0.8177482569818073
0,2,0.05,-0.3701126426805812
0,2,0.10,0.7870285116259526
0,2,0.15,0.7451016799550787
0,2,0.20,0.7734381747137666
0,2,0.25,0.9285202101680148
0,2,0.30,0.8834011040609308
0,2,0.35,0.8084769475272993
0,2,0.40,0.8645657097814458
0,2,0.45,0.858880874409173
0,2,0.50,0.7429319014382616
0,2,0.55,0.7675976992870348
0,2,0.60,0.830469373167214
0,2,0.65,0.851296366864852
0,2,0.70,0.8575722116364034
0,2,0.75,0.7845856120513306
0,2,0.80,0.8727894245436526
0,2,0.85,0.820633428926111
0,2,0.90,0.8332437552709681
0,2,0.95,0.7816399162629355
0,3,0.05,0.7644409644544283
0,3,0.10,0.8394648737797599
0,3,0.15,0.7946232617716126
0,3,0.20,0.916167694935092
0,3,0.25,0.6903639278735286
0,3,0.30,0.856251257876235
0,3,0.35,0.8726412204623535
0,3,0.40,0.7986528033260611
0,3,0.45,0.8396765943074509
0,3,0.50,0.7698493947128429
0,3,0.55,0.8557283146468208
0,3,0.60,0.8345728387930488
0,3,0.65,0.7370427203909118
0,3,0.70,0.8322533424919524
0,3,0.75,0.812857438391621
0,3,0.80,0.7889960368100307
0,3,0.85,0.848699727737517
0,3,0.90,0.8391971434281003
0,3,0.95,0.8376876710704892
0,4,0.05,0.6481314658147328
0,4,0.10,0.8735872640307185
0,4,0.15,0.822881041898083
0,4,0.20,0.8533872707033268
0,4,0.25,0.868990837484882
0,4,0.30,0.8083177656953258
0,4,0.35,0.8965642074082747
