random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8606931638411719
0,0,0.10,0.7680275095673988
0,0,0.15,0.927489409154477
0,0,0.20,0.96723712313337
0,0,0.25,0.9710422988845852
0,0,0.30,0.9894333900598975
0,0,0.35,0.9779376641137697
0,0,0.40,0.9825525104699186
0,0,0.45,0.993092464600817
0,0,0.50,0.9953844618953164
0,0,0.55,0.9778261190365886
0,0,0.60,0.9877266588043809
0,0,0.65,0.9915658248826005
0,0,0.70,0.974332053925602
0,0,0.75,0.9929287658089958
0,0,0.80,0.987199408324579
0,0,0.85,0.9941091027129525
0,0,0.90,0.9711914574613526
0,0,0.95,0.9914693077334025
0,1,0.05,0.9576980356622666
0,1,0.10,0.954913394322013
0,1,0.15,0.9644711010822573
0,1,0.20,0.9336853891459778
0,1,0.25,0.9869057851389149
0,1,0.30,0.9942254620178349
0,1,0.35,0.9909404287500946
0,1,0.40,0.9772831626214856
0,1,0.45,0.9715466022485484
0,1,0.50,0.9841537878536528
0,1,0.55,0.9907007687431377
0,1,0.60,0.9903148241356374
0,1,0.65,0.9926901884494398
0,1,0.70,0.9931488631198963
0,1,0.75,0.9737714015950809
0,1,0.80,0.9728915556658597
0,1,0.85,0.9765787598618199
0,1,0.90,0.9822493772244083
0,1,0.95,0.9969448319162741
0,2,0.05,0.96646648993798
0,2,0.10,0.8808353864860574
0,2,0.15,0.9734893945983323
0,2,0.20,0.9853677419058943
0,2,0.25,0.9773086390834181
0,2,0.30,0.9847615697854153
0,2,0.35,0.9729188241282659
0,2,0.40,0.9855758210348953
0,2,0.45,0.9949001736315338
0,2,0.50,0.9941626361149021
0,2,0.55,0.9869415858375404
0,2,0.60,0.989982796300632
0,2,0.65,0.9758598433738755
0,2,0.70,0.9961631253478731
0,2,0.75,0.9804906831981502
0,2,0.80,0.9784620036071873
0,2,0.85,0.99680576773563
0,2,0.90,0.9840847048898299
0,2,0.95,0.9732654249323457
0,3,0.05,0.6827476977953935
0,3,0.10,0.9759446155295938
0,3,0.15,0.9774075292572459
0,3,0.20,0.9837990354741823
0,3,0.25,0.9716828662174809
0,3,0.30,0.9680627863641528
0,3,0.35,0.9671756595407333
0,3,0.40,0.9765326570506342
0,3,0.45,0.9721019158679821
0,3,0.50,0.9909558454346364
0,3,0.55,0.9979317995805642
0,3,0.60,0.9941372993341601
0,3,0.65,0.9766642733049138
0,3,0.70,0.9948111214340031
0,3,0.75,0.97809549033634
0,3,0.80,0.9926861055243714
0,3,0.85,0.9924098917370262
0,3,0.90,0.9810865688729643
0,3,0.95,0.9972678185722519
0,4,0.05,0.8469347355006751
0,4,0.10,0.8487392697767602
0,4,0.15,0.9851653350503262
0,4,0.20,0.9604226839841326
0,4,0.25,0.9676064097916612
0,4,0.30,0.9881869528770227
0,4,0.35,0.9796327190800697
0,4,0.40,0.9824657667872412
0,4,0.45,0.9717340351413635
0,4,0.50,0.9863422051109372
0,4,0.55,0.991177485100474
0,4,0.60,0.9884613306482705
0,4,0.65,0.9784590840077692
0,4,0.70,0.9843308023827714
0,4,0.75,0.9943529321147102
0,4,0.80,0.9923304987041676
0,4,0.85,0.9810144280971274
0,4,0.90,0.996144382235324
0,4,0.95,0.9970445620628984
0,5,0.05,0.10221918477308489
0,5,0.10,0.9828086620646455
0,5,0.15,0.9687292466696731
0,5,0.20,0.9606921624436554
0,5,0.25,0.9836480855985275
0,5,0.30,0.9731375113103505
0,5,0.35,0.9683991686026172
0,5,0.40,0.9810351070220354
0,5,0.45,0.9962399786794062
0,5,0.50,0.9825833235243928
0,5,0.55,0.9956234242869536
0,5,0.60,0.9802627672522279
0,5,0.65,0.9965932499730321
0,5,0.70,0.9899728440571256
0,5,0.75,0.9898700912444744
0,5,0.80,0.9959568865759473
0,5,0.85,0.9717902085814146
0,5,0.90,0.9894493959579507
0,5,0.95,0.9966905104788429
0,6,0.05,0.6607444997079285
0,6,0.10,0.9352602387240945
0,6,0.15,0.9604867459275256
0,6,0.20,0.9857167827323345
0,6,0.25,0.9774176050570305
0,6,0.30,0.9863103697176785
0,6,0.35,0.9674465935187082
0,6,0.40,0.990856164016311
0,6,0.45,0.9702414447510006
0,6,0.50,0.9832457571976227
0,6,0.55,0.9879664403483661
0,6,0.60,0.9951423668688596
0,6,0.65,0.9774203579003199
0,6,0.70,0.9771391001668512
0,6,0.75,0.9934186863771451
0,6,0.80,0.9946749017650194
0,6,0.85,0.9680555089348345
0,6,0.90,0.991456854011631
0,6,0.95,0.9955504540807647
0,7,0.05,-0.3214862509049756
0,7,0.10,0.9859200597718221
0,7,0.15,0.9769234127987365
0,7,0.20,0.9878315787616961
0,7,0.25,0.9624122959292541
0,7,0.30,0.9962998748578114
0,7,0.35,0.982302130876998
0,7,0.40,0.9769876579231707
0,7,0.45,0.9964124664637574
0,7,0.50,0.9820402175969928
0,7,0.55,0.9952626132090437
0,7,0.60,0.9761262241482307
0,7,0.65,0.9957293939127505
0,7,0.70,0.9912958470168026
0,7,0.75,0.976785333038318
0,7,0.80,0.9783242280500772
0,7,0.85,0.9910898507111242
0,7,0.90,0.9894754126714992
