ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.424,0.533,0.418,0.601,0.352,0.538,0.667,0.702,-0.784,0.622,0.139,0.602,0.84,0.733,0.641,0.195,-0.182,0.676,0.777,0.267,-0.138,0.564,0.633,0.218,0.855,0.892,0.447,0.552,-1.755,0.104,0.892,0.854,0.61,0.699,0.433,0.743,0.574,0.866,0.464,0.572,0.469,-1.037,0.064,0.324,0.239,0.791,0.616,0.484,0.57,0.502,0.479,0.59,0.31,0.623,0.598,0.298,0.588,0.776,-1.969,0.512,0.684,0.519,0.605,0.859,0.62,0.224,0.779,-0.181,0.77,0.654,-0.014,0.356,0.844,0.675,0.543,-0.075,0.225,0.732,0.683,0.147,0.82,0.455,0.819,0.864,0.708,0.24,0.589,0.909,0.528,0.081,-2.458,0.099,0.781,0.429,0.576,0.477,0.378,0.675,0.599,0.167
0.10,0.865,0.766,0.577,0.848,0.567,0.753,0.87,0.902,0.861,0.882,0.855,0.727,0.646,0.838,0.691,0.613,0.934,0.784,0.915,0.897,0.592,0.874,0.927,0.867,0.876,0.67,0.508,0.888,0.919,0.882,0.425,0.742,0.885,0.881,0.884,0.754,0.91,0.573,0.908,0.6,0.926,0.89,0.745,0.843,0.775,0.915,0.917,0.884,0.842,0.804,0.827,0.605,0.914,0.668,0.859,0.915,0.573,0.883,0.876,0.857,0.821,0.905,0.642,0.688,0.911,0.868,0.358,0.734,0.816,0.938,0.8,0.91,0.757,0.609,0.656,0.815,0.734,0.922,0.828,0.875,0.846,0.896,0.873,0.885,0.814,0.949,0.919,0.695,0.906,0.878,0.878,0.912,0.893,0.875,0.805,0.881,0.801,0.837,0.888,0.787
0.15,0.701,0.93,0.754,0.903,0.88,0.784,0.9,0.938,0.94,0.941,0.918,0.868,0.929,0.938,0.938,0.936,0.934,0.944,0.882,0.9,0.752,0.92,0.892,0.96,0.933,0.77,0.597,0.901,0.883,0.911,0.838,0.798,0.781,0.933,0.963,0.917,0.952,0.915,0.917,0.924,0.946,0.921,0.942,0.954,0.924,0.909,0.966,0.963,0.706,0.759,0.936,0.948,0.898,0.837,0.832,0.906,0.946,0.865,0.927,0.954,0.905,0.937,0.919,0.804,0.946,0.89,0.936,0.799,0.922,0.939,0.734,0.932,0.936,0.777,0.795,0.935,0.842,0.738,0.944,0.871,0.719,0.913,0.92,0.896,0.922,0.916,0.669,0.935,0.913,0.75,0.947,0.896,0.959,0.942,0.862,0.908,0.941,0.506,0.934,0.843
0.20,0.94,0.941,0.96,0.95,0.948,0.95,0.927,0.939,0.925,0.91,0.86,0.925,0.909,0.949,0.805,0.914,0.856,0.817,0.913,0.774,0.963,0.968,0.935,0.953,0.828,0.946,0.94,0.923,0.944,0.972,0.94,0.939,0.929,0.935,0.935,0.804,0.933,0.854,0.945,0.897,0.931,0.947,0.911,0.938,0.969,0.949,0.741,0.942,0.964,0.957,0.92,0.933,0.929,0.962,0.839,0.957,0.931,0.943,0.845,0.953,0.768,0.869,0.873,0.953,0.961,0.76,0.961,0.927,0.948,0.816,0.952,0.938,0.93,0.971,0.955,0.951,0.712,0.97,0.932,0.947,0.963,0.956,0.959,0.954,0.933,0.96,0.948,0.94,0.937,0.925,0.967,0.776,0.965,0.616,0.971,0.948,0.914,0.876,0.937,0.943
0.25,0.931,0.944,0.966,0.935,0.933,0.939,0.941,0.953,0.924,0.949,0.898,0.952,0.94,0.96,0.949,0.944,0.957,0.889,0.964,0.959,0.947,0.967,0.959,0.958,0.971,0.95,0.967,0.967,0.933,0.947,0.961,0.953,0.788,0.96,0.957,0.97,0.959,0.958,0.96,0.958,0.962,0.924,0.961,0.943,0.963,0.954,0.946,0.947,0.947,0.953,0.922,0.93,0.96,0.951,0.965,0.9,0.919,0.933,0.932,0.957,0.929,0.94,0.953,0.829,0.971,0.951,0.953,0.93,0.929,0.915,0.964,0.936,0.951,0.946,0.957,0.951,0.951,0.968,0.954,0.966,0.912,0.918,0.975,0.961,0.955,0.956,0.953,0.957,0.901,0.937,0.937,0.964,0.956,0.942,0.939,0.796,0.792,0.942,0.967,0.952
0.30,0.925,0.947,0.932,0.962,0.933,0.95,0.967,0.957,0.954,0.891,0.913,0.897,0.972,0.967,0.956,0.913,0.968,0.802,0.975,0.958,0.942,0.956,0.94,0.959,0.801,0.97,0.959,0.96,0.935,0.94,0.966,0.939,0.961,0.948,0.926,0.95,0.977,0.951,0.939,0.94,0.931,0.965,0.964,0.962,0.946,0.967,0.963,0.971,0.962,0.963,0.963,0.952,0.972,0.964,0.96,0.811,0.965,0.951,0.952,0.952,0.976,0.938,0.943,0.949,0.89,0.97,0.895,0.95,0.947,0.945,0.96,0.945,0.955,0.947,0.933,0.918,0.43,0.963,0.949,0.948,0.952,0.96,0.953,0.96,0.953,0.96,0.967,0.954,0.952,0.909,0.958,0.972,0.975,0.965,0.971,0.949,0.969,0.973,0.965,0.961
0.35,0.965,0.932,0.959,0.964,0.941,0.98,0.942,0.95,0.951,0.95,0.821,0.969,0.958,0.968,0.965,0.95,0.972,0.965,0.955,0.962,0.976,0.97,0.965,0.971,0.919,0.964,0.958,0.972,0.95,0.952,0.978,0.963,0.924,0.967,0.952,0.935,0.851,0.918,0.963,0.965,0.969,0.955,0.966,0.974,0.962,0.953,0.933,0.964,0.967,0.976,0.972,0.972,0.958,0.924,0.937,0.962,0.963,0.777,0.961,0.974,0.94,0.949,0.949,0.951,0.961,0.968,0.954,0.949,0.96,0.943,0.951,0.957,0.954,0.969,0.955,0.958,0.949,0.962,0.953,0.963,0.938,0.959,0.969,0.953,0.954,0.958,0.964,0.964,0.952,0.97,0.967,0.785,0.95,0.969,0.943,0.946,0.97,0.928,0.971,0.958
0.40,0.954,0.959,0.957,0.961,0.955,0.964,0.972,0.945,0.959,0.929,0.958,0.955,0.956,0.948,0.963,0.95,0.97,0.964,0.971,0.968,0.96,0.95,0.955,0.97,0.799,0.941,0.953,0.957,0.962,0.96,0.962,0.974,0.967,0.921,0.958,0.97,0.958,0.965,0.965,0.975,0.876,0.962,0.823,0.946,0.952,0.969,0.965,0.971,0.961,0.947,0.962,0.977,0.971,0.95,0.962,0.951,0.969,0.966,0.98,0.958,0.968,0.951,0.952,0.953,0.963,0.962,0.979,0.948,0.976,0.955,0.967,0.957,0.968,0.974,0.953,0.952,0.981,0.894,0.963,0.955,0.941,0.958,0.964,0.955,0.963,0.968,0.972,0.967,0.898,0.95,0.969,0.949,0.972,0.95,0.926,0.976,0.967,0.961,0.973,0.955
0.45,0.944,0.957,0.973,0.942,0.965,0.968,0.948,0.945,0.925,0.961,0.972,0.947,0.957,0.749,0.963,0.964,0.773,0.97,0.973,0.951,0.96,0.954,0.951,0.96,0.958,0.966,0.966,0.96,0.938,0.943,0.951,0.958,0.957,0.973,0.959,0.964,0.954,0.951,0.967,0.957,0.971,0.97,0.972,0.969,0.958,0.951,0.968,0.945,0.949,0.968,0.97,0.951,0.953,0.942,0.954,0.968,0.966,0.958,0.969,0.967,0.979,0.961,0.942,0.963,0.951,0.961,0.965,0.943,0.961,0.967,0.962,0.923,0.967,0.975,0.977,0.965,0.948,0.95,0.973,0.96,0.954,0.969,0.957,0.966,0.967,0.887,0.959,0.965,0.967,0.822,0.956,0.974,0.945,0.934,0.963,0.971,0.948,0.945,0.951,0.962
0.50,0.964,0.969,0.965,0.977,0.951,0.97,0.952,0.972,0.965,0.971,0.96,0.953,0.961,0.96,0.967,0.947,0.981,0.977,0.931,0.978,0.96,0.933,0.976,0.97,0.971,0.966,0.957,0.969,0.978,0.961,0.955,0.975,0.983,0.957,0.97,0.962,0.954,0.946,0.975,0.971,0.897,0.954,0.958,0.966,0.95,0.962,0.964,0.932,0.97,0.969,0.961,0.959,0.941,0.973,0.959,0.956,0.975,0.95,0.974,0.969,0.976,0.966,0.967,0.964,0.958,0.959,0.962,0.966,0.955,0.975,0.969,0.962,0.971,0.97,0.963,0.964,0.967,0.94,0.969,0.775,0.959,0.979,0.969,0.942,0.971,0.963,0.973,0.959,0.972,0.835,0.953,0.966,0.974,0.956,0.962,0.968,0.974,0.964,0.961,0.969
