ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.642,0.62,0.447,0.641,0.496,0.822,0.738,0.542,0.837,0.614,0.791,0.767,0.651,0.588,0.785,0.799,0.697,0.862,0.641,0.668,0.842,0.808,0.71,0.519,0.642,0.609,0.849,0.88,0.354,0.661,0.625,0.551,0.658,0.557,0.625,0.81,0.723,0.857,0.094,0.825,0.52,0.768,0.542,0.615,0.583,0.667,0.769,0.846,0.655,0.818,0.563,0.735,0.563,0.596,0.511,0.283,0.815,0.419,0.689,0.254,0.805,0.79,0.805,0.813,0.567,0.704,0.627,0.766,0.775,0.883,0.572,0.796,-1.272,0.572,0.642,0.75,0.551,0.71,-0.135,0.445,0.604,0.748,0.594,0.334,0.596,0.793,0.628,0.47,0.577,0.773,0.709,0.717,0.526,0.793,0.596,0.451,0.546,0.496,0.234,0.591
0.10,0.928,0.892,0.878,0.914,0.913,0.91,0.914,0.909,0.926,0.92,0.913,0.81,0.898,0.703,0.909,0.643,0.902,0.897,0.67,0.889,0.803,0.914,0.902,0.498,0.848,0.696,0.912,0.894,0.878,0.786,0.704,0.881,0.888,0.899,0.906,0.768,0.789,0.917,0.833,0.89,0.83,0.91,0.713,0.884,0.907,0.737,0.932,0.809,0.895,0.674,0.739,0.766,0.825,0.895,0.886,0.728,0.711,0.752,0.888,0.891,0.901,0.859,0.91,0.72,0.903,0.911,0.93,0.919,0.908,0.807,0.846,0.761,0.936,0.656,0.71,0.928,0.874,0.86,0.875,0.763,0.897,0.871,0.522,0.894,0.862,0.896,0.902,0.71,0.92,0.73,0.644,0.754,0.93,0.89,0.683,0.897,0.882,0.905,0.844,0.722
0.15,0.791,0.925,0.936,0.917,0.912,0.926,0.941,0.934,0.9,0.942,0.921,0.913,0.849,0.92,0.907,0.915,0.909,0.931,0.932,0.932,0.937,0.919,0.902,0.942,0.936,0.9,0.703,0.949,0.941,0.74,0.939,0.752,0.934,0.689,0.738,0.941,0.916,0.919,0.719,0.895,0.916,0.934,0.923,0.912,0.746,0.895,0.923,0.908,0.909,0.897,0.741,0.922,0.76,0.898,0.947,0.781,0.952,0.908,0.915,0.929,0.935,0.928,0.927,0.746,0.942,0.931,0.942,0.75,0.934,0.706,0.879,0.802,0.922,0.824,0.746,0.868,0.894,0.899,0.927,0.931,0.915,0.76,0.856,0.9,0.896,0.889,0.805,0.937,0.881,0.958,0.76,0.92,0.935,0.947,0.82,0.738,0.925,0.736,0.907,0.925
0.20,0.926,0.957,0.92,0.768,0.899,0.935,0.938,0.93,0.947,0.741,0.951,0.739,0.953,0.937,0.921,0.923,0.931,0.766,0.909,0.958,0.96,0.945,0.926,0.892,0.797,0.762,0.758,0.963,0.766,0.954,0.941,0.946,0.951,0.741,0.835,0.721,0.767,0.926,0.926,0.938,0.742,0.957,0.915,0.777,0.947,0.882,0.76,0.815,0.904,0.903,0.89,0.849,0.947,0.753,0.942,0.949,0.93,0.95,0.931,0.929,0.768,0.915,0.796,0.666,0.75,0.947,0.95,0.933,0.954,0.954,0.953,0.913,0.94,0.806,0.922,0.956,0.927,0.907,0.924,0.943,0.942,0.957,0.951,0.958,0.934,0.923,0.933,0.959,0.898,0.944,0.947,0.935,0.88,0.931,0.776,0.761,0.937,0.94,0.939,0.945
0.25,0.956,0.956,0.94,0.958,0.831,0.938,0.909,0.938,0.788,0.944,0.83,0.959,0.794,0.953,0.948,0.937,0.793,0.95,0.93,0.961,0.954,0.925,0.97,0.93,0.932,0.953,0.956,0.96,0.944,0.944,0.758,0.946,0.839,0.94,0.762,0.967,0.863,0.93,0.948,0.949,0.788,0.946,0.946,0.955,0.835,0.842,0.914,0.946,0.953,0.944,0.93,0.939,0.94,0.786,0.946,0.957,0.921,0.928,0.959,0.954,0.925,0.958,0.959,0.811,0.952,0.954,0.928,0.94,0.948,0.923,0.952,0.937,0.946,0.805,0.931,0.946,0.772,0.936,0.939,0.783,0.962,0.947,0.926,0.945,0.858,0.927,0.961,0.837,0.95,0.962,0.957,0.782,0.941,0.943,0.943,0.956,0.951,0.795,0.952,0.956
0.30,0.941,0.967,0.952,0.946,0.956,0.952,0.94,0.936,0.949,0.947,0.969,0.967,0.959,0.953,0.936,0.949,0.898,0.939,0.941,0.95,0.829,0.925,0.952,0.952,0.935,0.933,0.946,0.945,0.947,0.966,0.933,0.971,0.923,0.96,0.764,0.967,0.936,0.938,0.939,0.915,0.946,0.95,0.956,0.93,0.965,0.803,0.833,0.968,0.961,0.957,0.951,0.937,0.956,0.955,0.951,0.965,0.939,0.94,0.936,0.956,0.949,0.939,0.944,0.96,0.943,0.94,0.957,0.935,0.97,0.97,0.949,0.964,0.948,0.955,0.957,0.958,0.948,0.965,0.971,0.957,0.931,0.949,0.938,0.96,0.942,0.95,0.95,0.949,0.937,0.968,0.956,0.948,0.968,0.952,0.936,0.964,0.964,0.966,0.947,0.952
0.35,0.955,0.797,0.957,0.757,0.892,0.801,0.961,0.945,0.965,0.939,0.949,0.963,0.954,0.958,0.929,0.939,0.941,0.952,0.962,0.957,0.963,0.96,0.912,0.957,0.963,0.796,0.963,0.969,0.963,0.903,0.967,0.967,0.917,0.953,0.959,0.965,0.941,0.965,0.961,0.964,0.961,0.947,0.942,0.959,0.974,0.953,0.933,0.967,0.941,0.806,0.954,0.92,0.969,0.829,0.837,0.951,0.948,0.942,0.942,0.935,0.951,0.959,0.955,0.934,0.945,0.966,0.942,0.945,0.938,0.931,0.939,0.928,0.963,0.949,0.939,0.962,0.963,0.949,0.96,0.951,0.959,0.937,0.957,0.953,0.944,0.956,0.959,0.935,0.829,0.955,0.92,0.967,0.826,0.944,0.94,0.779,0.964,0.948,0.961,0.948
0.40,0.891,0.957,0.963,0.962,0.947,0.952,0.966,0.783,0.973,0.951,0.94,0.937,0.906,0.96,0.859,0.955,0.94,0.969,0.971,0.945,0.95,0.96,0.957,0.967,0.914,0.952,0.965,0.956,0.967,0.956,0.946,0.936,0.963,0.96,0.961,0.965,0.953,0.929,0.814,0.959,0.948,0.91,0.959,0.938,0.96,0.91,0.94,0.8,0.941,0.969,0.948,0.956,0.933,0.874,0.957,0.967,0.962,0.966,0.948,0.946,0.964,0.821,0.964,0.968,0.941,0.966,0.819,0.938,0.966,0.79,0.94,0.963,0.814,0.954,0.963,0.956,0.952,0.96,0.931,0.968,0.955,0.962,0.947,0.867,0.967,0.952,0.961,0.95,0.934,0.965,0.896,0.942,0.961,0.965,0.952,0.956,0.965,0.938,0.794,0.946
0.45,0.906,0.962,0.93,0.946,0.937,0.951,0.965,0.943,0.969,0.957,0.969,0.958,0.831,0.948,0.96,0.969,0.957,0.959,0.973,0.964,0.969,0.947,0.967,0.965,0.948,0.901,0.922,0.967,0.965,0.951,0.963,0.95,0.972,0.944,0.955,0.945,0.958,0.957,0.964,0.958,0.957,0.968,0.856,0.953,0.957,0.845,0.96,0.972,0.954,0.965,0.933,0.953,0.957,0.973,0.961,0.966,0.943,0.965,0.971,0.953,0.964,0.947,0.969,0.969,0.9,0.964,0.969,0.961,0.964,0.944,0.963,0.96,0.871,0.969,0.968,0.961,0.975,0.961,0.953,0.926,0.959,0.938,0.953,0.949,0.916,0.961,0.955,0.951,0.935,0.959,0.798,0.956,0.966,0.957,0.962,0.971,0.968,0.969,0.971,0.962
0.50,0.963,0.937,0.962,0.955,0.97,0.958,0.968,0.968,0.949,0.945,0.964,0.964,0.967,0.95,0.96,0.963,0.968,0.959,0.961,0.951,0.974,0.944,0.953,0.965,0.94,0.96,0.969,0.958,0.804,0.972,0.902,0.857,0.967,0.96,0.964,0.948,0.969,0.961,0.961,0.969,0.966,0.966,0.949,0.965,0.959,0.946,0.962,0.947,0.942,0.975,0.963,0.965,0.958,0.964,0.966,0.95,0.962,0.963,0.961,0.962,0.956,0.816,0.957,0.947,0.957,0.942,0.96,0.972,0.949,0.969,0.964,0.966,0.963,0.965,0.967,0.964,0.962,0.964,0.971,0.958,0.964,0.965,0.96,0.963,0.807,0.929,0.945,0.968,0.963,0.974,0.961,0.964,0.965,0.949,0.965,0.973,0.965,0.953,0.971,0.968
