random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.41939374210928027
0,0,0.10,0.7016700245695305
0,0,0.15,0.7815940025467291
0,0,0.20,0.9168984338661067
0,0,0.25,0.8796515747853515
0,0,0.30,0.9445626753848536
0,0,0.35,0.9673595240315433
0,0,0.40,0.8830645246360957
0,0,0.45,0.9749919003263566
0,0,0.50,0.9764962570710367
0,0,0.55,0.9697577333075391
0,0,0.60,0.9427378561923742
0,0,0.65,0.9558573872985443
0,0,0.70,0.9182360776199296
0,0,0.75,0.9626049222414682
0,0,0.80,0.9646414207199678
0,0,0.85,0.9676606303942238
0,0,0.90,0.9695478145984181
0,0,0.95,0.969057440988755
0,1,0.05,-0.3972123386019477
0,1,0.10,0.81531869429114
0,1,0.15,0.8630031057921047
0,1,0.20,0.8065381879226924
0,1,0.25,-0.11162225352698663
0,1,0.30,0.6203765772373921
0,1,0.35,0.9277733058116642
0,1,0.40,0.9284643528576157
0,1,0.45,0.9542443934445646
0,1,0.50,0.980502188027916
0,1,0.55,0.8603658656368005
0,1,0.60,0.9624156728063777
0,1,0.65,0.9571969366177888
0,1,0.70,0.914997701632681
0,1,0.75,0.9782263123858308
0,1,0.80,0.9843704580095349
0,1,0.85,0.9792137405026964
0,1,0.90,0.9281753571786998
0,1,0.95,0.9660978523297993
0,2,0.05,0.6997792712861608
0,2,0.10,0.8634592791079828
0,2,0.15,0.7842114768282411
0,2,0.20,0.8621281156344556
0,2,0.25,0.9129662474933236
0,2,0.30,0.8764227675831421
0,2,0.35,0.9484543350521566
0,2,0.40,0.9604255434394393
0,2,0.45,0.9795089092130043
0,2,0.50,0.9707142284496622
0,2,0.55,0.9592595573731111
0,2,0.60,0.9616654331034044
0,2,0.65,0.9703923982893393
0,2,0.70,0.9665486268776528
0,2,0.75,0.9610482573958091
0,2,0.80,0.949975508117886
0,2,0.85,0.963592368959033
0,2,0.90,0.9750271817760404
0,2,0.95,0.9648404600163232
0,3,0.05,0.7040379504466968
0,3,0.10,0.9235137521940011
0,3,0.15,0.8897530339001982
0,3,0.20,0.675482396745536
0,3,0.25,0.8960160180734382
0,3,0.30,0.9187563700715141
0,3,0.35,0.937967110110445
0,3,0.40,0.9731685707038402
0,3,0.45,0.9569716597085384
0,3,0.50,0.9735510826658899
0,3,0.55,0.967750713991906
0,3,0.60,0.9653580833321485
0,3,0.65,0.9532569989193748
0,3,0.70,0.9609296061804954
0,3,0.75,0.9759942242326397
0,3,0.80,0.9826477905818655
0,3,0.85,0.9629148333786504
0,3,0.90,0.9437584528060673
0,3,0.95,0.9669598291957179
0,4,0.05,0.10107710979585849
0,4,0.10,0.3731683414432606
0,4,0.15,0.8465531233122746
0,4,0.20,0.8433941973504967
0,4,0.25,0.9226014779093393
0,4,0.30,0.954732615510957
0,4,0.35,0.9587939560272324
0,4,0.40,0.946513405078965
0,4,0.45,0.9790001092041698
0,4,0.50,0.9750194176518088
0,4,0.55,0.960843448607947
0,4,0.60,0.9675221614935053
0,4,0.65,0.9781998944124753
0,4,0.70,0.9598456720323874
0,4,0.75,0.9576896212586286
0,4,0.80,0.9359233798838368
0,4,0.85,0.9710077104701866
0,4,0.90,0.9585644757950211
0,4,0.95,0.9799073544612479
0,5,0.05,0.8320485810150631
0,5,0.10,0.8285485463732871
0,5,0.15,0.8663084449136987
0,5,0.20,0.9348721563898987
0,5,0.25,0.9240624308853798
0,5,0.30,0.89816434042597
0,5,0.35,0.9285794266617503
0,5,0.40,0.9640270564907119
0,5,0.45,0.9543396096411052
0,5,0.50,0.9642889677501755
0,5,0.55,0.9496831995767034
0,5,0.60,0.9773084099097665
0,5,0.65,0.9823994753534568
0,5,0.70,0.9646089521711357
0,5,0.75,0.9513773007322442
0,5,0.80,0.9788353006862529
0,5,0.85,0.9594975856007828
0,5,0.90,0.9759647609359441
0,5,0.95,0.8759062947110914
0,6,0.05,-0.06978720928345394
0,6,0.10,0.8835764948646333
0,6,0.15,0.8979359709586204
0,6,0.20,0.949739920199234
0,6,0.25,0.9501742352221664
0,6,0.30,0.9483924716672437
0,6,0.35,0.8193747719559412
0,6,0.40,0.9116457894745538
0,6,0.45,0.981016627481245
0,6,0.50,0.9439086782725526
0,6,0.55,0.9362737869481413
0,6,0.60,0.936582809198347
0,6,0.65,0.977856891178926
0,6,0.70,0.9724929643770192
0,6,0.75,0.9696504643123519
0,6,0.80,0.9770851121677692
0,6,0.85,0.9757432206891258
0,6,0.90,0.9731170148504773
0,6,0.95,0.9610029246399444
0,7,0.05,0.684608401376408
0,7,0.10,0.9431656569589736
0,7,0.15,0.8107610876630278
0,7,0.20,0.824979779592153
0,7,0.25,0.8454296504721772
0,7,0.30,0.8975225877951664
0,7,0.35,0.9242603056262306
0,7,0.40,0.9513345442837186
0,7,0.45,0.9567244969177233
0,7,0.50,0.9608726566080026
0,7,0.55,0.9268631221833069
0,7,0.60,0.9412338906486064
0,7,0.65,0.9674167519057759
0,7,0.70,0.9696828993127892
0,7,0.75,0.9814884379527814
0,7,0.80,0.9497730763087368
0,7,0.85,0.965003959375816
0,7,0.90,0.9801915320876079
0,7,0.95,0.9719640925395305
0,8,0.05,0.8120171304289879
0,8,0.10,0.756902582507177
0,8,0.15,0.6350545237636627
0,8,0.20,0.9670779459855186
0,8,0.25,0.9473260743673958
0,8,0.30,0.9342374554303972
0,8,0.35,0.9562187249578719
0,8,0.40,0.9694744773525661
0,8,0.45,0.9644424795770126
0,8,0.50,0.9494322325341088
0,8,0.55,0.9655698442966109
0,8,0.60,0.9428423687368828
0,8,0.65,0.9444064986556642
0,8,0.70,0.9754119930116159
0,8,0.75,0.9708083760595336
0,8,0.80,0.9892394994786973
0,8,0.85,0.9650656707142815
0,8,0.90,0.9618585802942689
0,8,0.95,0.9575333805043714
