random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.14896931688970994
0,0,0.10,-8.932475641857963
0,0,0.15,0.8899593163454196
0,0,0.20,0.6173317909519074
0,0,0.25,0.42756704685714897
0,0,0.30,0.9135218622909365
0,0,0.35,0.9068703350339711
0,0,0.40,0.89215592466684
0,0,0.45,0.7876944439608835
0,0,0.50,0.9150605500815695
0,0,0.55,0.9623399363784745
0,0,0.60,0.8022205035860491
0,0,0.65,0.9001492366075052
0,0,0.70,0.970285479953933
0,0,0.75,0.9142307081790937
0,0,0.80,0.9463224764178241
0,0,0.85,0.9055787251965318
0,0,0.90,0.7554731509343706
0,0,0.95,0.9739873587875765
0,1,0.05,0.3913745118052885
0,1,0.10,0.9095780965751624
0,1,0.15,-1.133743904403309
0,1,0.20,0.19485410663323088
0,1,0.25,0.7306403591282776
0,1,0.30,0.8828195502752071
0,1,0.35,0.9320417817665183
0,1,0.40,0.8453709726882286
0,1,0.45,0.9147496880421048
0,1,0.50,0.6897717445752564
0,1,0.55,0.8753215501437664
0,1,0.60,0.952536259149524
0,1,0.65,0.9322121946779646
0,1,0.70,0.8796006549749308
0,1,0.75,0.9338421182983657
0,1,0.80,0.9007448885502415
0,1,0.85,0.971044954005738
0,1,0.90,0.9770855429995129
0,1,0.95,0.8282121545098619
0,2,0.05,-0.5836178038174265
0,2,0.10,0.6860344255473793
0,2,0.15,-9.910534853124883
0,2,0.20,0.8580462675721636
0,2,0.25,0.8229190170338356
0,2,0.30,0.8798171627796602
0,2,0.35,0.7171766132637578
0,2,0.40,0.9372265762079021
0,2,0.45,0.9129975503307235
0,2,0.50,0.8060104655807844
0,2,0.55,0.9451434800912685
0,2,0.60,0.8897265633061182
0,2,0.65,0.8911055740145574
0,2,0.70,0.8984726506922772
0,2,0.75,0.8777261886371337
0,2,0.80,0.9003487652229821
0,2,0.85,0.9819651290320579
0,2,0.90,0.9081162788668331
0,2,0.95,0.9206908344425079
0,3,0.05,-57.37383493420532
0,3,0.10,0.7986432215412402
0,3,0.15,0.5643609677838664
0,3,0.20,0.5990959083312734
0,3,0.25,0.7561752428281104
0,3,0.30,0.25751740126091605
0,3,0.35,0.7134013915779068
0,3,0.40,0.8564616474260583
0,3,0.45,0.8190970106668334
0,3,0.50,0.8035917535821504
0,3,0.55,0.8830013059291575
0,3,0.60,0.9285882267761496
0,3,0.65,0.9814554914817866
0,3,0.70,0.8794864440801928
0,3,0.75,0.866998406060125
0,3,0.80,0.955143623333846
0,3,0.85,0.92794396204356
0,3,0.90,0.8292398960140575
0,3,0.95,0.7907751194378836
0,4,0.05,-55.85081454131737
0,4,0.10,0.8347688677743019
0,4,0.15,0.6645169872813375
0,4,0.20,-9.967575099660024
0,4,0.25,0.8172331266698148
0,4,0.30,0.93311478487841
0,4,0.35,0.9270518887703261
0,4,0.40,0.8477349783711405
0,4,0.45,0.9304528334265288
0,4,0.50,0.8599761848833576
0,4,0.55,0.9255325614268104
0,4,0.60,0.9484727140797774
0,4,0.65,0.839039039830764
0,4,0.70,0.8185532876412558
0,4,0.75,0.9325367424882687
0,4,0.80,0.978000412973809
0,4,0.85,0.8826281592612348
0,4,0.90,0.8811924807140367
0,4,0.95,0.9205267655503199
0,5,0.05,-0.21098373768379264
0,5,0.10,0.6341548997899303
0,5,0.15,0.04142840554455951
0,5,0.20,0.7802539403045707
0,5,0.25,0.8501770577921858
0,5,0.30,0.9352904200590145
0,5,0.35,0.9054800745820257
0,5,0.40,0.7462664312384326
0,5,0.45,0.9378703644672162
0,5,0.50,0.9398619164488331
0,5,0.55,0.8540607559717177
0,5,0.60,0.875932546256044
0,5,0.65,0.9429294430946535
0,5,0.70,0.9711168125044745
0,5,0.75,0.8258175706820383
0,5,0.80,0.911067227678235
0,5,0.85,0.9268743040030974
0,5,0.90,0.980318772874356
0,5,0.95,0.940510838990551
0,6,0.05,0.202302322879229
0,6,0.10,0.8547520821368857
0,6,0.15,0.7110826499372888
0,6,0.20,0.8164060236043209
0,6,0.25,0.5345128908735028
0,6,0.30,0.6809262881201105
0,6,0.35,0.6584000427729892
0,6,0.40,0.8890806960333287
0,6,0.45,0.8859217002454207
0,6,0.50,0.39282337058827754
0,6,0.55,0.7711092159868296
0,6,0.60,0.8288028992637431
0,6,0.65,0.84629724474207
0,6,0.70,0.8887356003628633
0,6,0.75,0.8766336036956542
0,6,0.80,0.8688489616839927
0,6,0.85,0.9842322499215196
0,6,0.90,0.9084589466042402
0,6,0.95,0.8987805311245679
0,7,0.05,-5.099431039663148
0,7,0.10,0.782106706445534
0,7,0.15,0.555519324851607
0,7,0.20,0.619811758262685
0,7,0.25,0.23583172784941842
0,7,0.30,0.8670001692426643
0,7,0.35,0.9469436133220198
0,7,0.40,0.6656495006450659
0,7,0.45,0.763356459387514
0,7,0.50,0.9467047481963327
0,7,0.55,0.9545875993414339
0,7,0.60,0.8876042173349102
0,7,0.65,0.6890844900758348
0,7,0.70,0.8690006521690383
0,7,0.75,0.9760797924179407
0,7,0.80,0.9748380362563237
0,7,0.85,0.8908290518909833
0,7,0.90,0.8876857627131527
0,7,0.95,0.8822079537161082
0,8,0.05,-0.8830027753048568
0,8,0.10,0.5065325914209717
0,8,0.15,-0.9839702286709013
0,8,0.20,0.21771787550662525
0,8,0.25,0.836412222131883
0,8,0.30,0.7888899384297581
0,8,0.35,0.7730561919817217
0,8,0.40,0.8862843879242438
0,8,0.45,0.9183812502938045
0,8,0.50,0.9225136530621912
0,8,0.55,0.9276307608037123
0,8,0.60,0.8623472679462392
0,8,0.65,0.9485389319882047
0,8,0.70,0.9178350687673915
0,8,0.75,0.9407738861998477
0,8,0.80,0.9235656074993972
0,8,0.85,0.9727238638655171
0,8,0.90,0.9153611952097896
0,8,0.95,0.9553104720438749
0,9,0.05,-3.2901174159121975
0,9,0.10,0.877541409595338
0,9,0.15,-0.14121948424480135
0,9,0.20,0.9283420096469104
0,9,0.25,0.6647158944569118
0,9,0.30,0.5770408205674877
0,9,0.35,0.682055719813458
0,9,0.40,0.8346120836180879
0,9,0.45,0.7677270727141147
0,9,0.50,0.8063547151907069
0,9,0.55,0.789152743763052
0,9,0.60,0.7597627465899526
0,9,0.65,0.9049986837709719
0,9,0.70,0.7748224817545233
0,9,0.75,0.7938904307333194
0,9,0.80,0.856160808367727
0,9,0.85,0.9167525559043949
0,9,0.90,0.8185056914668865
0,9,0.95,0.8301097504051214
1,0,0.05,-0.11486316940626473
1,0,0.10,0.9224905906234372
1,0,0.15,0.7762835835895417
1,0,0.20,0.8152687799408022
1,0,0.25,0.5774994125740702
1,0,0.30,0.6175349402748654
1,0,0.35,0.9351699739517094
1,0,0.40,0.9252235176207074
1,0,0.45,0.8552342661735707
1,0,0.50,0.8171952711058346
1,0,0.55,0.719726633526776
1,0,0.60,0.8806321833012724
1,0,0.65,0.8764970733729759
1,0,0.70,0.8659996910737842
1,0,0.75,0.8258190478536617
1,0,0.80,0.888719234901051
1,0,0.85,0.8990306342053652
1,0,0.90,0.9712788069642463
1,0,0.95,0.9686337988883399
1,1,0.05,-0.15148427790402863
1,1,0.10,0.9083481867487659
1,1,0.15,0.8705707326013097
1,1,0.20,0.9007698167204656
1,1,0.25,0.9039289640724775
1,1,0.30,0.835311808620381
1,1,0.35,0.7229297379699233
1,1,0.40,0.8251633684337579
1,1,0.45,0.9190061368551657
1,1,0.50,0.8744663451387797
1,1,0.55,0.9284303442292172
1,1,0.60,0.869087334338988
1,1,0.65,0.8645193269620213
1,1,0.70,0.9878202669612084
1,1,0.75,0.9374803881823396
1,1,0.80,0.9308648820868326
1,1,0.85,0.6063867787917356
1,1,0.90,0.9396764744443373
1,1,0.95,0.8620419934563539
1,2,0.05,0.015678316065270814
1,2,0.10,0.08104692547973968
1,2,0.15,-5.186825357989101
1,2,0.20,0.5589445071282146
1,2,0.25,0.7211141192987124
1,2,0.30,0.8382710358616128
1,2,0.35,0.8857756551962055
1,2,0.40,0.9201904596451308
1,2,0.45,0.8214974285387746
1,2,0.50,0.8353237781337397
1,2,0.55,0.6903891321935332
1,2,0.60,0.9039168781814789
1,2,0.65,0.6810034927848063
1,2,0.70,0.8556241650377843
1,2,0.75,0.8503972887433202
1,2,0.80,0.8445805222276058
1,2,0.85,0.828474742095217
1,2,0.90,0.9245629590008662
1,2,0.95,0.9377905663241449
1,3,0.05,-0.45015600320404303
1,3,0.10,0.862692693288746
