ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.245,0.892,-0.111,0.109,0.357,0.971,0.976,0.842,0.392,0.779,0.979,0.926,0.964,0.899,0.665,-0.739,0.988,0.613,0.658,-2.38,0.767,0.527,0.959,-0.042,0.964,-0.197,0.949,0.958,0.996,0.991,0.862,0.948,0.878,0.385,0.985,0.979,0.765,-3.043,0.902,0.215,0.779,0.603,-4.201,-2.36,0.975,0.502,0.346,0.977,-19.868,0.836,0.75,-3.699,0.663,0.708,0.105,0.89,-0.073,0.83,0.956,0.324,0.509,0.982,-4.335,0.706,-0.005,0.718,0.953,0.221,0.785,0.916,0.221,0.901,0.989,-15.988,-0.236,0.079,0.866,0.962,0.943,0.942,0.987,0.846,0.308,-1.401,0.85,0.962,0.922,-3.842,0.406,0.901,0.655,-1.524,0.792,0.899,-0.7,0.931,0.577,0.92,0.443,0.925
0.10,0.703,0.999,0.992,0.994,0.997,0.999,0.938,0.989,0.959,0.962,0.627,0.986,0.977,0.986,0.991,0.973,0.995,0.981,0.992,0.672,0.998,0.973,0.494,0.13,0.998,0.973,0.667,0.995,0.995,0.997,0.99,0.993,0.999,0.997,0.007,0.98,0.991,0.663,0.987,0.981,0.982,0.995,0.998,0.875,0.735,1.0,0.96,0.992,0.938,0.999,0.997,0.777,0.994,0.999,0.764,0.992,0.932,0.957,0.99,0.999,0.97,0.786,0.948,0.968,0.956,0.562,0.982,0.534,0.982,0.978,0.555,0.998,1.0,0.987,0.987,0.999,0.948,0.999,0.995,0.973,1.0,0.991,0.988,0.999,0.535,0.518,0.993,0.979,0.998,0.945,0.405,0.979,0.995,0.454,0.974,0.996,0.995,0.423,0.96,0.981
0.15,0.999,0.998,0.991,0.997,0.999,0.984,1.0,0.991,0.962,0.999,0.975,0.999,0.703,0.997,0.997,0.997,1.0,0.999,0.925,0.999,1.0,0.995,1.0,0.634,0.997,0.993,0.996,0.978,0.992,0.975,0.994,1.0,0.469,0.959,0.654,0.999,0.993,0.999,0.994,0.994,0.996,0.609,0.994,0.969,0.981,0.666,1.0,0.406,1.0,0.99,1.0,0.999,0.995,0.997,0.978,0.999,0.985,0.997,0.999,1.0,1.0,0.988,0.994,0.999,0.981,0.996,0.842,0.997,1.0,0.62,1.0,0.999,0.96,0.999,0.999,0.999,0.595,1.0,0.993,0.994,0.999,0.996,0.982,0.993,0.656,0.996,0.999,0.995,0.984,0.999,0.581,1.0,0.999,1.0,1.0,0.999,0.655,0.634,1.0,1.0
0.20,1.0,0.999,0.999,0.991,0.544,0.999,1.0,1.0,0.999,0.995,0.995,0.999,0.264,0.992,0.99,0.999,1.0,1.0,0.968,0.994,0.999,1.0,1.0,0.511,0.979,0.998,0.979,0.996,1.0,0.998,0.996,0.988,0.987,0.596,1.0,1.0,1.0,1.0,0.999,1.0,1.0,0.581,0.672,0.627,0.996,0.989,0.999,0.511,0.998,1.0,0.998,1.0,0.996,0.994,0.563,1.0,0.994,1.0,0.993,0.988,0.999,0.995,0.995,0.999,0.981,0.999,0.968,0.566,1.0,1.0,0.977,0.997,1.0,1.0,0.976,0.999,0.999,0.999,0.999,0.996,1.0,0.982,0.998,0.997,1.0,1.0,0.994,1.0,0.995,1.0,1.0,0.999,0.999,1.0,0.999,0.763,0.596,0.995,0.705,1.0
0.25,1.0,1.0,0.999,0.996,0.995,0.998,0.608,0.999,0.999,1.0,0.995,0.995,1.0,1.0,1.0,0.997,0.998,0.995,0.999,0.994,0.999,1.0,0.997,0.548,0.994,0.999,0.993,0.998,1.0,0.999,0.659,1.0,0.988,0.63,0.965,0.998,0.999,0.995,1.0,1.0,0.989,0.999,0.982,1.0,0.999,1.0,0.995,0.959,0.998,1.0,1.0,1.0,0.999,1.0,0.498,0.999,0.997,1.0,0.998,0.999,1.0,0.993,0.994,1.0,1.0,1.0,1.0,0.994,0.999,1.0,1.0,1.0,0.587,1.0,1.0,0.999,0.98,0.999,1.0,1.0,1.0,1.0,0.985,1.0,0.613,0.999,0.978,0.998,0.998,1.0,0.995,0.999,0.999,0.656,0.999,0.699,1.0,1.0,0.999,1.0
0.30,0.999,0.987,1.0,0.999,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.624,1.0,1.0,0.98,1.0,0.997,0.999,0.998,0.999,0.999,0.999,0.995,0.997,1.0,0.998,0.601,0.999,1.0,1.0,0.993,0.998,0.999,0.997,0.535,1.0,1.0,1.0,0.999,0.999,1.0,0.998,0.986,0.999,0.999,1.0,0.993,0.665,1.0,1.0,0.999,1.0,0.999,0.604,0.996,1.0,1.0,1.0,1.0,0.999,0.985,0.997,0.581,0.999,1.0,0.987,0.999,0.984,1.0,1.0,1.0,0.999,0.999,0.989,0.998,1.0,0.999,1.0,1.0,0.997,1.0,1.0,0.998,1.0,0.664,0.999,1.0,1.0,0.999,1.0,1.0,0.648,0.999,0.995,1.0,0.711,0.994,0.999,1.0,0.981
0.35,1.0,1.0,1.0,1.0,1.0,0.997,0.999,1.0,0.994,1.0,0.654,0.997,0.999,1.0,1.0,1.0,1.0,1.0,0.997,0.999,0.601,0.993,0.983,1.0,0.56,0.989,0.545,1.0,1.0,0.999,0.999,0.997,0.999,1.0,0.992,0.994,1.0,1.0,0.999,0.973,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.651,1.0,0.996,1.0,0.999,0.999,0.995,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.998,1.0,1.0,1.0,0.994,1.0,1.0,0.994,1.0,1.0,1.0,1.0,0.994,0.996,0.997,1.0,1.0,0.996,0.998,0.999,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.978,1.0,0.632,1.0,0.6,1.0,1.0,1.0,0.996,1.0,0.998
0.40,1.0,1.0,1.0,1.0,0.983,1.0,1.0,0.996,0.996,1.0,0.993,1.0,1.0,0.999,0.998,0.995,1.0,1.0,0.634,0.494,1.0,1.0,1.0,0.657,0.994,0.564,1.0,0.999,1.0,0.999,1.0,0.999,0.998,0.565,0.996,0.999,0.977,0.999,0.999,1.0,1.0,0.999,1.0,1.0,0.994,0.995,0.999,0.982,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,0.999,0.999,1.0,0.999,1.0,1.0,0.995,1.0,1.0,0.595,1.0,0.998,0.995,0.994,1.0,1.0,0.995,1.0,0.999,0.974,0.997,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,0.994,1.0,1.0,0.985,0.999,0.986,0.993,0.996,1.0,0.998,0.998,1.0
0.45,0.989,0.999,1.0,0.997,0.995,0.986,1.0,0.996,0.995,1.0,1.0,0.999,0.991,1.0,1.0,0.998,0.999,0.999,0.994,0.999,1.0,0.992,0.999,1.0,0.999,1.0,0.995,0.995,0.999,1.0,0.996,1.0,1.0,1.0,0.609,1.0,0.999,1.0,1.0,1.0,1.0,1.0,0.633,0.998,1.0,0.628,1.0,1.0,0.999,1.0,1.0,1.0,1.0,0.998,0.995,1.0,0.999,1.0,1.0,0.995,1.0,1.0,0.998,0.996,1.0,1.0,1.0,1.0,0.998,0.999,1.0,0.998,0.586,0.998,0.997,0.996,1.0,1.0,1.0,1.0,1.0,0.999,0.996,1.0,1.0,1.0,1.0,0.993,0.609,0.618,1.0,0.68,1.0,0.985,1.0,1.0,0.994,1.0,1.0,1.0
0.50,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.992,0.997,0.998,1.0,1.0,1.0,0.994,1.0,0.999,1.0,0.996,0.628,1.0,0.996,0.995,1.0,1.0,0.995,0.999,1.0,1.0,1.0,0.995,1.0,1.0,1.0,0.996,0.996,0.998,0.995,1.0,1.0,1.0,1.0,0.999,0.995,0.999,0.999,0.996,1.0,1.0,0.998,0.996,1.0,1.0,0.988,1.0,0.998,0.997,1.0,0.999,0.659,1.0,0.994,1.0,1.0,1.0,1.0,0.984,0.999,0.658,1.0,1.0,0.625,1.0,0.999,1.0,0.995,0.995,0.983,1.0,1.0,1.0,0.998,1.0,0.999,0.994,1.0,0.999,1.0,0.995,1.0,1.0,0.994,0.995,0.997,1.0,1.0,0.986,0.997,1.0,0.998,0.995
