ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.38,-3.836,0.426,0.233,-2.757,0.717,-1.775,0.536,-421.396,-0.674,-0.075,-0.224,-0.752,0.729,0.368,0.679,-0.233,-0.767,-0.24,0.27,-1.595,0.086,-1.598,0.937,-0.329,-9.694,0.908,0.553,-2.35,-16.66,0.33,-10.576,-8.502,-0.803,0.815,-0.159,-1.645,0.928,0.449,-1.05,-204.505,-1.081,0.374,0.231,-0.65,-1.86,0.792,0.806,0.793,0.785,0.219,0.797,-15.209,-4.104,-0.113,0.609,0.613,-9.336,-5.25,0.467,-1.215,-2.422,-0.032,0.185,0.375,-4.817,-39.033,-0.474,-0.185,-0.405,-1.183,-7.543,-1.809,-0.35,0.43,-0.121,-2.528,-1.692,-0.101,-1.47,-0.01,-0.098,0.488,-65.215,-142.072,-8.216,0.362,-21.392,-1.162,0.328,-13.133,-0.465,-0.285,-0.004,-18.866,-38.228,-0.153,-1.945,-1.738,-0.351
0.10,0.875,0.316,0.748,-1.256,0.378,-2.542,-4.589,0.904,-1.971,-0.565,-0.863,-2.212,0.679,0.698,0.584,0.628,0.068,0.921,-0.688,0.78,0.36,-0.416,0.248,0.087,-3.896,0.657,-0.012,0.957,-0.552,0.762,0.453,0.609,0.614,0.846,0.253,-1.331,-0.327,0.857,0.625,-0.695,0.534,0.172,0.182,0.161,0.414,0.836,0.078,0.545,0.802,-0.046,0.079,0.367,-6.629,0.309,0.547,0.388,0.03,-13.315,-1.12,-10.385,0.414,0.039,-0.468,0.541,0.699,-1.243,-1.461,-1.807,0.126,-0.221,0.449,0.781,0.419,0.544,-0.152,-0.027,-1.269,-0.064,0.076,-0.143,0.494,0.786,0.092,0.394,0.105,0.611,-0.41,-3.035,0.373,0.584,0.073,0.158,-0.236,-0.356,-0.44,-1.009,0.189,0.137,-0.057,0.173
0.15,0.619,0.256,0.737,0.562,0.23,-1.865,-2.359,-0.148,-0.251,0.306,0.63,-0.664,0.321,0.668,0.281,0.845,0.628,-0.214,0.012,0.761,-0.226,0.872,0.368,0.404,-5.375,0.488,0.113,0.794,0.318,0.524,0.715,0.642,0.661,0.849,-0.092,0.263,0.231,0.87,0.196,0.47,0.427,-0.21,0.564,0.331,0.839,0.295,0.61,0.81,0.516,-0.037,0.529,0.098,-1.124,-0.221,0.277,0.354,-0.029,0.495,0.061,0.221,0.736,0.357,0.206,0.004,-0.481,0.828,0.429,0.663,-0.232,0.718,0.673,0.75,0.617,0.351,0.833,0.28,0.329,0.725,0.271,0.663,0.148,0.422,-2.736,0.479,0.746,0.766,0.467,0.596,0.862,0.309,-0.089,0.232,0.645,0.096,-0.337,0.034,0.369,0.66,-0.355,0.682
0.20,0.822,0.412,0.727,0.328,0.797,0.845,0.585,0.495,0.388,0.719,0.323,0.69,0.076,0.895,0.393,0.898,0.513,-0.802,0.824,0.358,0.804,0.824,0.694,0.513,0.893,0.481,0.262,0.556,0.659,0.538,-0.342,0.652,0.546,0.719,-0.512,0.741,0.809,0.858,0.08,0.58,0.821,0.549,0.855,0.724,0.897,0.775,0.742,0.437,0.737,0.694,0.417,0.431,0.863,0.325,0.951,0.377,0.463,0.834,-0.42,0.699,0.738,0.577,0.778,0.703,0.806,0.538,0.627,0.892,0.886,0.812,0.654,0.813,0.633,0.14,0.487,0.636,-6.891,0.86,0.546,0.701,0.789,-1.855,0.52,0.377,0.223,0.933,0.642,0.774,0.69,0.676,0.812,0.148,0.761,0.617,0.811,0.755,0.815,0.367,0.356,0.889
0.25,0.861,0.561,0.868,0.471,0.858,0.79,0.014,0.614,0.634,0.616,0.731,0.002,0.807,0.895,0.575,0.889,0.597,0.855,0.737,0.842,0.334,0.825,0.531,0.737,0.261,0.713,0.539,0.69,0.493,0.807,0.811,0.714,0.838,0.424,0.885,0.89,0.853,0.886,0.561,0.599,0.893,0.643,0.183,0.638,0.719,0.852,0.649,0.439,0.756,0.506,0.594,0.471,0.582,0.744,-0.316,0.682,0.723,0.611,0.714,0.372,0.175,0.643,0.657,0.816,0.404,0.167,0.065,0.709,0.761,0.822,0.781,0.423,0.415,0.64,0.85,0.51,0.704,0.822,0.843,0.211,0.87,0.825,0.688,0.535,0.85,0.794,0.693,0.741,0.783,0.891,0.284,0.864,0.705,0.329,-0.39,0.455,0.434,0.756,0.196,0.787
0.30,0.566,-0.146,0.627,0.891,0.853,0.112,0.381,0.779,0.805,0.801,0.735,0.609,0.831,0.805,0.772,0.737,0.291,0.869,0.704,0.852,0.857,0.908,0.816,0.594,0.908,0.766,0.751,0.025,0.727,0.411,0.691,0.436,0.616,0.834,0.859,0.856,0.867,0.737,0.012,0.894,0.854,0.443,0.582,0.638,0.799,0.868,0.411,0.784,0.491,0.425,-0.612,0.887,0.899,0.892,0.694,0.777,0.719,0.856,0.931,0.716,0.689,0.833,0.586,0.582,0.739,0.858,0.621,0.65,0.621,0.809,0.076,0.797,0.792,0.885,0.564,0.73,0.819,0.65,0.81,0.632,0.823,0.526,0.91,0.85,0.324,0.817,0.678,0.875,0.317,0.881,0.136,0.351,0.652,0.862,0.104,0.755,0.623,0.769,0.515,0.783
0.35,0.508,0.742,0.834,0.668,0.581,0.835,0.323,0.841,0.809,0.606,0.796,0.776,0.7,0.827,0.846,0.684,0.705,0.85,0.553,0.767,0.38,0.852,0.829,0.752,0.691,0.845,0.813,0.687,0.814,0.849,0.884,0.736,0.938,0.601,0.87,0.885,0.671,0.755,0.577,0.922,0.496,0.823,0.85,0.451,0.876,0.878,0.897,0.869,0.711,0.696,0.146,0.783,0.466,0.717,0.811,0.908,0.563,0.763,0.782,0.9,0.889,0.844,0.556,0.641,0.867,0.884,0.642,0.855,0.34,0.907,0.767,0.873,0.737,0.722,0.534,0.739,0.523,0.69,0.809,0.737,0.867,0.74,0.785,0.485,0.599,0.841,0.598,0.916,0.712,0.853,0.605,0.84,0.836,0.843,0.498,0.921,0.448,0.934,0.718,0.708
0.40,0.778,0.789,0.728,0.888,0.876,0.859,0.663,0.512,0.612,0.769,0.776,0.864,0.808,0.876,0.79,0.86,0.769,0.835,0.805,0.832,0.78,0.827,0.816,0.807,0.83,0.807,0.853,0.868,0.894,0.732,0.844,0.427,0.783,0.711,0.876,0.667,0.733,0.745,0.851,0.952,0.835,0.404,0.904,-0.45,0.847,0.852,0.672,0.929,0.626,0.6,0.867,-0.031,0.118,0.884,0.77,0.915,0.736,0.651,0.758,0.839,0.774,0.902,0.893,0.844,0.81,0.485,0.681,0.858,0.569,0.76,0.877,0.826,0.774,0.281,0.884,0.874,0.557,0.799,0.742,0.762,0.699,0.874,0.616,0.072,0.853,0.815,0.228,0.868,0.727,0.861,0.738,0.78,0.855,0.846,0.742,0.683,0.817,0.886,0.761,0.923
0.45,0.861,0.854,0.805,0.648,0.878,0.95,0.804,0.93,0.801,0.839,0.477,0.775,0.855,0.786,0.794,0.741,0.592,0.854,0.706,0.868,0.534,0.752,0.903,0.711,0.605,0.91,0.838,0.829,0.909,0.707,0.657,0.843,0.827,0.888,0.94,0.448,0.715,0.881,0.757,0.909,0.81,0.888,0.635,0.645,0.87,0.876,0.708,0.74,-0.587,0.924,0.383,0.702,0.09,0.622,0.727,0.896,0.806,0.651,0.856,0.876,0.671,0.821,0.8,0.643,0.82,0.852,0.664,0.425,0.648,0.901,0.824,0.768,0.782,0.836,0.814,0.684,0.778,0.745,0.77,0.598,0.781,0.286,0.909,0.713,0.752,0.784,0.669,0.777,0.818,0.856,0.857,0.408,0.847,0.356,0.727,0.882,0.575,0.802,0.901,0.623
0.50,0.535,0.854,0.857,0.848,0.516,0.853,0.672,0.901,0.666,0.817,0.847,0.855,0.863,0.918,0.821,0.864,0.855,0.864,0.857,0.898,0.793,0.806,0.904,0.67,0.847,0.561,0.928,0.856,0.912,0.802,0.864,0.916,0.902,0.879,0.801,0.895,0.832,0.925,0.775,0.865,0.884,0.88,0.827,0.767,0.295,0.844,0.76,0.838,0.703,0.862,0.811,0.592,0.8,0.777,0.791,0.898,0.876,0.851,0.845,0.932,0.897,0.889,0.735,0.865,0.892,0.907,0.482,0.879,0.869,0.805,0.849,0.815,0.798,0.889,0.369,0.838,0.949,0.718,0.777,0.75,0.755,0.774,0.727,0.041,0.799,0.873,0.782,0.834,0.592,0.73,0.865,0.723,0.799,0.753,0.809,0.942,0.91,0.761,0.782,0.626
