ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.82,-0.243,0.405,0.834,0.228,0.409,0.705,0.727,0.671,0.677,0.894,-0.768,0.505,-1.234,-3.068,0.963,0.388,-0.649,0.701,0.369,0.935,0.874,0.909,-15.512,0.755,-1.284,0.644,-0.309,0.71,-1.028,-9.727,0.969,-0.648,0.812,0.874,0.936,0.902,0.652,0.939,-9.545,0.685,0.496,-4.301,-3.625,0.931,0.853,0.912,0.959,-0.895,0.888,0.974,0.721,0.317,0.7,0.669,0.765,0.408,0.049,-0.536,-1.306,0.895,0.929,-1.564,0.559,0.873,0.533,-0.989,-1.565,0.827,0.542,0.629,0.983,-0.446,0.873,0.84,0.659,0.959,-5.229,0.94,0.804,0.991,0.753,0.212,0.643,0.993,0.808,0.703,0.919,0.625,0.937,0.71,0.388,0.44,0.749,0.896,0.684,0.317,0.769,-0.118,-1.252
0.10,0.896,0.603,-0.227,0.848,0.682,0.491,0.861,0.867,0.784,0.593,0.941,0.768,0.906,0.877,0.34,-0.669,0.919,0.707,0.866,-3.426,0.885,0.967,0.912,0.939,0.807,0.896,0.843,0.672,0.912,0.904,0.561,0.954,0.809,0.825,0.895,0.898,0.886,0.426,0.906,0.937,0.538,0.607,0.943,0.974,0.944,0.221,0.906,0.638,0.94,-1.488,0.91,0.881,0.94,0.662,0.581,0.922,0.893,0.662,0.884,0.937,0.813,0.946,0.875,0.845,0.822,0.709,0.944,0.853,0.831,0.89,0.969,0.982,-8.594,0.57,0.05,0.844,0.91,0.918,0.943,0.691,0.36,-0.301,0.909,0.805,0.846,0.824,0.792,0.972,0.651,0.977,0.379,0.904,0.767,0.542,0.363,-0.662,0.763,0.864,0.893,0.926
0.15,0.849,0.99,0.686,0.786,0.893,0.872,0.574,0.978,0.977,0.904,0.861,-1.009,0.724,0.783,0.952,0.894,0.945,0.874,0.958,-0.583,0.915,0.944,0.756,0.961,0.78,0.728,0.804,0.121,0.518,0.928,0.764,0.876,0.917,0.917,0.944,0.633,0.884,0.879,0.882,0.959,0.975,0.87,0.863,0.859,0.772,0.916,0.762,0.951,0.958,0.967,0.931,0.89,0.774,0.933,0.981,0.767,0.815,0.951,0.67,0.854,0.822,0.903,0.766,0.734,0.6,0.94,0.887,0.859,0.9,0.921,0.944,-0.027,0.821,0.937,0.688,0.696,0.944,0.85,-0.366,0.899,0.456,0.844,0.912,0.946,0.934,0.801,0.924,0.932,0.952,0.836,0.907,0.98,0.752,0.807,0.742,0.995,0.784,0.53,0.857,0.606
0.20,0.918,0.418,0.859,0.851,0.869,0.633,0.805,0.986,0.944,0.875,0.967,0.628,0.957,0.937,0.917,0.788,0.885,0.955,0.916,0.796,0.938,0.958,0.945,0.714,0.931,0.884,0.923,0.961,0.976,0.807,0.723,0.756,0.943,0.932,0.952,0.949,0.887,0.857,0.921,0.923,0.955,0.907,0.844,0.962,0.9,0.931,0.937,0.234,0.957,0.934,0.745,0.984,0.854,0.97,0.915,0.953,0.943,0.969,0.606,0.939,0.024,0.902,0.982,0.801,0.94,0.896,0.813,0.678,0.964,0.64,0.952,0.97,0.877,0.866,0.724,0.84,0.857,0.939,0.928,0.905,0.973,0.915,0.975,0.959,0.907,0.809,0.961,0.913,0.675,0.981,0.882,0.866,0.927,0.878,0.907,0.959,0.93,0.968,0.616,0.826
0.25,0.98,0.813,0.963,0.964,0.92,0.815,0.961,0.743,0.889,0.961,0.942,0.971,0.912,0.934,0.943,0.906,0.934,0.977,0.928,0.332,0.932,0.959,0.981,0.94,0.948,0.903,0.859,0.867,0.905,0.828,0.746,0.956,0.9,0.91,0.96,0.922,0.901,0.625,0.865,0.934,0.922,0.872,0.944,0.974,0.935,0.775,0.898,0.921,0.927,0.943,0.853,0.976,0.923,0.96,0.911,0.942,0.897,0.927,0.883,0.926,0.959,0.948,0.955,0.864,0.89,0.925,0.92,0.845,0.921,0.913,0.657,0.975,0.802,0.983,0.967,0.944,0.936,0.733,0.738,0.808,0.982,0.932,0.963,0.964,-0.812,0.873,0.812,0.92,0.901,0.957,0.825,0.933,0.911,0.954,0.966,0.903,0.914,0.945,0.871,0.979
0.30,0.935,0.913,0.955,0.902,0.794,0.859,0.964,0.873,0.502,0.651,0.899,0.972,0.941,0.939,0.97,0.939,0.92,0.961,0.955,0.939,0.925,0.956,0.953,0.963,0.957,0.857,0.854,0.905,0.963,0.95,0.888,0.838,0.942,0.942,0.941,0.95,0.968,0.921,0.972,0.93,0.956,0.828,0.926,0.965,0.924,0.959,0.958,0.636,0.925,0.952,0.986,0.784,0.931,0.956,0.973,0.829,0.754,0.913,0.748,0.954,0.977,0.83,0.97,0.921,0.938,0.95,0.943,0.917,0.892,0.954,0.967,0.982,0.952,0.926,0.831,0.641,0.837,0.937,0.715,0.95,0.887,0.926,0.965,0.85,0.903,0.893,0.944,0.95,0.914,0.954,0.765,0.968,0.898,0.816,0.959,0.996,0.891,0.964,0.903,0.928
0.35,0.77,0.986,0.977,0.842,0.818,0.979,0.874,0.957,0.901,0.868,0.901,0.961,0.921,0.955,-0.368,0.944,0.845,0.935,0.961,0.976,0.968,0.977,0.949,0.97,0.92,0.906,0.903,0.952,0.954,0.927,0.957,0.97,0.959,0.966,0.971,0.938,0.777,0.901,0.923,0.975,0.872,0.947,0.976,0.93,0.907,0.959,0.964,0.901,0.964,0.869,0.971,0.923,0.905,0.972,0.941,0.971,0.963,0.762,0.944,0.88,0.973,0.957,0.959,0.968,0.961,0.943,0.955,0.97,0.951,0.982,0.96,0.936,0.965,0.987,0.808,0.725,0.955,0.921,0.715,0.933,0.886,0.937,0.965,0.898,0.959,0.942,0.881,0.969,0.952,0.935,0.909,0.967,0.899,0.945,0.943,0.947,0.943,0.972,0.917,0.962
0.40,0.941,0.901,0.927,0.963,0.962,0.971,0.968,0.954,0.92,0.944,0.973,0.957,0.941,0.981,0.958,0.869,0.929,0.974,0.915,0.831,0.973,0.988,0.888,0.942,0.961,0.93,0.858,0.98,0.944,0.924,0.967,0.92,0.939,0.903,0.967,0.936,0.97,0.979,0.959,0.942,0.919,0.931,0.968,0.962,0.938,0.96,0.947,0.872,0.924,0.946,0.963,0.901,0.975,0.958,0.978,0.979,0.979,0.834,0.85,0.946,0.926,0.969,0.978,0.971,0.941,0.97,0.913,0.882,0.959,0.775,0.973,0.96,0.76,0.972,0.958,0.842,0.954,0.935,0.866,0.934,0.961,0.95,0.929,0.905,0.953,0.95,0.961,0.945,0.907,0.939,0.948,0.868,0.982,0.896,0.934,0.956,0.941,0.897,0.941,0.906
0.45,0.959,0.979,0.952,0.922,0.947,0.928,0.955,0.977,0.581,0.95,0.971,0.939,0.955,0.888,0.931,0.945,0.893,0.935,0.808,0.941,0.967,0.953,0.973,0.897,0.896,0.925,0.789,0.958,0.918,0.803,0.909,0.95,0.968,0.981,0.962,0.971,0.954,0.954,0.963,0.946,0.953,0.896,0.955,0.934,0.964,0.968,0.879,0.93,0.987,0.913,0.954,0.791,0.911,0.971,0.912,0.882,0.96,0.944,0.941,0.839,0.974,0.961,0.969,0.92,0.956,0.965,0.967,0.923,0.945,0.946,0.961,0.974,0.954,0.973,0.745,0.893,0.966,0.954,0.956,0.913,0.978,0.972,0.97,0.902,0.927,0.96,0.963,0.98,0.964,0.945,0.954,0.88,0.94,0.957,0.981,0.965,0.908,0.949,0.929,0.95
0.50,0.751,0.901,0.906,0.888,0.946,0.958,0.97,0.967,0.931,0.953,0.945,0.949,0.986,0.91,0.906,0.97,0.879,0.978,0.856,0.909,0.978,0.964,0.945,0.834,0.983,0.967,0.926,0.984,0.911,0.962,0.971,0.958,0.894,0.944,0.95,0.941,0.963,0.964,0.969,0.979,0.916,0.976,0.963,0.964,0.944,0.941,0.873,0.891,0.961,0.906,0.982,-0.386,0.949,0.982,0.976,0.932,0.952,0.939,0.878,0.965,0.939,0.963,0.983,0.959,0.966,0.969,0.973,0.949,0.971,0.984,0.955,0.974,0.919,0.937,0.925,0.964,0.924,0.966,0.906,0.944,0.951,0.933,0.968,0.959,0.975,0.936,0.958,0.955,0.936,0.962,0.912,0.897,0.934,0.979,0.918,0.912,0.883,0.939,0.955,0.897
