ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.861,0.671,-0.586,0.312,0.694,0.799,0.917,0.586,0.896,0.767,0.646,0.975,0.911,0.838,0.989,0.913,0.99,0.864,0.739,-90.783,0.954,0.64,0.964,0.886,0.408,0.979,0.421,0.966,0.933,0.737,0.49,0.973,0.959,0.971,0.484,0.864,0.586,0.941,0.769,0.415,0.945,0.934,0.868,0.987,0.994,0.941,-0.451,0.622,0.878,0.876,0.997,0.929,0.922,0.875,0.895,-0.251,0.746,-0.444,0.932,0.703,0.843,0.737,0.353,0.169,0.666,0.699,0.802,0.427,0.906,0.879,0.871,0.974,0.985,-0.74,0.881,0.571,0.846,0.951,0.895,0.949,0.961,0.823,0.89,0.97,0.829,0.977,0.44,0.95,0.904,0.946,0.967,0.249,0.939,0.906,0.94,0.928,0.912,-0.231,0.856,0.943
0.10,0.768,0.931,0.945,0.961,0.964,0.931,0.952,0.923,0.966,0.946,0.749,0.958,0.933,0.958,0.893,0.949,0.951,0.972,0.964,0.885,0.938,0.923,0.923,0.983,0.982,0.984,0.959,0.976,0.94,0.783,0.931,0.993,0.913,0.989,0.905,0.623,0.903,0.954,0.961,0.942,0.934,0.931,0.945,0.96,0.974,0.905,0.809,0.994,0.959,0.855,0.627,0.919,0.738,0.943,0.976,0.914,0.98,0.987,0.929,0.972,0.992,0.968,0.99,0.848,0.958,0.982,0.922,0.817,0.849,0.946,0.937,0.858,-0.351,0.961,0.949,0.951,0.904,0.926,0.979,0.96,0.936,0.877,0.963,0.775,0.93,0.988,0.965,0.922,0.97,0.96,0.946,0.967,0.959,0.984,0.975,0.973,0.919,0.942,0.312,0.983
0.15,0.927,0.988,0.991,0.965,0.917,0.969,0.971,0.94,0.983,0.941,0.983,0.953,0.977,0.989,0.984,0.892,0.978,0.981,0.956,0.956,0.947,0.965,0.99,0.965,0.93,0.957,0.949,0.976,0.968,0.958,0.957,0.955,0.959,0.969,0.962,0.946,0.984,0.944,0.959,0.953,0.967,0.934,0.975,0.978,0.96,0.993,0.894,0.909,0.948,0.991,0.989,0.98,0.963,0.968,0.947,0.923,0.963,0.958,0.946,0.856,0.951,0.905,0.992,0.984,0.959,0.95,0.874,0.956,0.96,0.958,0.979,0.71,0.927,0.988,0.932,0.941,0.992,0.955,0.959,0.968,0.988,0.952,0.925,0.987,0.94,0.982,0.962,0.975,0.975,0.962,-0.052,0.959,0.957,0.977,0.985,0.914,0.964,0.973,0.959,0.954
0.20,0.967,0.992,0.97,0.959,0.962,0.956,0.95,0.985,0.965,0.942,0.982,0.961,-0.073,0.966,0.972,0.955,0.97,0.933,0.948,0.977,0.979,0.987,0.986,0.965,0.984,0.988,0.984,0.983,0.977,0.95,0.978,0.938,0.992,0.972,0.959,0.98,0.953,0.946,0.985,0.946,0.981,0.964,0.978,0.962,0.953,0.977,0.958,0.946,0.945,0.961,0.994,0.971,0.971,0.96,0.953,0.983,0.993,0.979,0.983,0.995,0.993,0.962,0.966,0.965,0.959,0.974,0.953,0.986,0.987,0.804,0.974,0.978,0.944,0.968,0.946,0.973,0.948,0.994,0.976,0.975,0.986,0.977,0.977,0.988,0.947,0.983,0.981,0.993,0.979,0.976,0.974,0.96,0.994,0.972,0.994,0.947,0.971,0.984,0.987,0.974
0.25,0.971,0.992,0.991,0.96,0.988,0.974,0.988,0.978,0.996,0.984,0.976,0.984,0.964,0.98,0.983,0.992,0.994,0.993,0.995,0.977,0.974,0.981,0.966,0.969,0.964,0.97,0.983,0.996,0.977,0.978,0.967,0.989,0.976,0.981,0.975,0.988,0.974,0.989,0.994,0.974,0.983,0.992,0.974,0.983,0.995,0.962,0.947,0.977,0.992,0.985,0.996,0.994,0.984,0.972,0.96,0.992,0.994,0.987,0.977,0.974,0.967,0.991,0.951,0.966,0.995,0.993,0.972,0.977,0.975,0.987,0.958,0.981,0.991,0.984,0.979,0.983,0.989,0.994,0.969,0.964,0.971,0.955,0.973,0.991,0.962,0.996,0.989,0.987,0.985,0.991,0.939,0.982,0.993,0.985,0.991,0.939,0.97,0.981,0.929,0.979
0.30,0.989,0.991,0.978,0.983,0.991,0.993,0.996,0.993,0.96,0.979,0.99,0.985,0.979,0.99,0.991,0.981,0.997,0.976,0.996,0.99,0.977,0.967,0.94,0.984,0.97,0.957,0.988,0.966,0.986,0.975,0.993,0.976,0.982,0.991,0.959,0.976,0.985,0.995,0.966,0.953,0.995,0.976,0.984,0.996,0.981,0.966,0.976,0.968,0.953,0.99,0.98,0.996,0.983,0.993,0.988,0.995,0.963,0.984,0.996,0.974,0.992,0.996,0.984,0.983,0.988,0.99,0.982,0.991,0.98,0.984,0.983,0.965,0.995,0.984,0.997,0.994,0.993,0.995,0.983,0.962,0.992,0.983,0.995,0.988,0.975,0.982,0.988,0.992,0.955,0.958,0.983,0.978,0.992,0.995,0.994,0.99,0.969,0.982,0.977,0.98
0.35,0.978,0.994,0.994,0.998,0.969,0.981,0.983,0.995,0.989,0.988,0.986,0.987,0.99,0.994,0.972,0.994,0.99,0.992,0.983,0.982,0.979,0.979,0.98,-0.02,0.994,0.996,0.993,0.991,0.982,0.973,0.994,0.995,0.983,0.993,0.976,0.992,0.971,0.994,0.981,0.977,0.992,0.994,0.989,0.977,0.992,0.977,0.959,0.944,0.986,0.997,0.985,0.979,0.991,0.991,0.982,0.995,0.972,0.994,0.996,0.974,0.993,0.987,0.967,0.978,0.973,0.996,0.996,0.979,0.964,0.995,0.985,0.995,0.984,0.992,0.986,0.973,0.978,0.996,0.985,0.995,0.997,0.951,0.969,0.982,0.994,0.993,0.984,0.995,0.98,0.97,0.976,0.983,0.986,0.983,-0.059,0.984,0.992,0.982,0.987,0.99
0.40,0.983,0.996,0.985,0.982,0.987,0.969,0.987,0.981,0.969,0.993,0.989,0.987,0.994,0.993,0.967,0.997,0.995,0.968,0.987,0.982,0.996,0.957,0.994,0.991,0.963,0.991,0.992,0.99,0.99,0.997,0.993,0.995,0.992,0.996,0.987,0.988,0.993,0.992,0.99,0.994,0.988,0.989,0.978,0.99,0.984,0.995,0.995,0.971,0.977,0.983,0.983,0.991,0.987,0.996,0.989,0.976,0.976,0.983,0.991,0.973,0.977,0.993,0.987,0.98,0.996,0.984,0.994,0.983,0.964,0.991,0.984,0.979,0.988,0.976,0.996,0.993,0.993,0.995,0.992,0.974,0.986,0.974,0.981,0.972,0.996,0.974,0.991,0.996,0.991,0.971,0.991,0.992,0.974,0.979,0.97,0.978,0.996,0.983,0.989,0.997
0.45,0.993,0.987,0.973,0.995,0.99,0.964,0.972,0.983,0.993,0.996,0.978,0.996,0.976,0.995,0.992,0.986,0.997,0.994,0.974,0.976,0.997,0.992,0.98,0.991,0.98,0.989,0.989,0.987,0.983,0.971,0.983,0.993,0.972,0.998,0.991,-0.034,0.989,0.995,0.982,0.973,0.988,0.976,0.987,0.954,0.992,0.982,0.98,0.972,0.989,0.995,0.966,0.994,0.987,0.995,0.991,0.99,0.992,0.99,0.992,0.977,0.988,0.983,0.989,0.984,0.996,0.968,0.985,0.993,0.987,0.996,0.989,0.994,0.995,0.985,0.996,0.987,0.996,0.98,0.995,0.976,0.975,0.997,0.962,0.997,0.996,0.978,0.995,0.991,0.983,0.996,0.971,0.996,0.995,0.995,0.986,0.99,0.996,0.985,0.997,0.99
0.50,0.995,0.997,0.964,0.997,0.996,0.971,0.998,0.971,0.969,0.996,0.986,0.995,0.976,0.994,0.995,0.98,0.988,0.99,0.995,0.996,0.996,0.989,0.994,0.988,0.995,0.994,0.996,0.99,0.992,0.991,0.991,0.994,0.995,0.972,0.989,0.996,0.995,0.978,0.991,0.976,0.994,0.987,0.991,0.99,0.995,0.995,0.993,0.997,0.996,0.991,0.988,0.993,0.997,0.979,0.989,0.993,0.973,0.997,0.996,0.994,0.991,0.987,0.991,0.992,0.975,0.998,0.994,0.969,0.972,0.974,0.987,0.991,0.992,0.995,0.996,0.978,0.996,0.99,0.983,0.995,0.977,0.96,0.989,0.997,0.989,0.996,0.992,0.993,0.992,0.967,0.993,0.977,0.995,0.974,0.995,0.996,0.97,0.974,0.997,0.994
