ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.849,0.919,0.911,0.311,0.946,-1.148,0.829,0.965,0.811,-7.328,0.704,0.557,0.561,0.167,-2.165,-0.351,0.925,-0.231,-0.102,0.956,0.665,0.944,0.953,0.953,0.169,0.297,0.036,0.351,0.881,0.937,0.579,0.83,0.978,-2.758,0.513,0.074,0.797,-0.45,0.839,0.832,-0.957,0.021,-0.153,0.255,0.712,0.727,0.788,0.765,0.148,0.138,0.634,0.167,0.954,0.782,0.051,0.805,-15.083,0.389,0.651,-1.155,0.615,0.719,-0.184,-0.197,0.737,0.4,0.885,-24.71,-2.201,0.687,-2.19,0.563,0.671,0.92,0.75,0.905,0.804,0.636,0.421,0.955,-2.237,0.223,0.333,0.992,0.844,0.65,0.827,0.806,0.469,0.656,0.307,-0.084,-2.649,0.83,-0.319,0.988,0.597,0.059,0.921,0.741
0.10,0.859,0.832,0.621,0.504,0.947,0.879,0.795,0.825,0.56,0.9,0.744,0.894,0.8,0.355,0.949,0.9,0.872,0.734,0.865,0.966,-0.577,0.76,0.655,0.119,0.909,0.975,0.944,0.9,0.695,0.805,0.914,0.608,0.904,0.89,0.71,0.639,0.63,0.908,0.713,0.792,0.745,0.766,0.904,0.887,0.902,0.953,0.904,0.83,0.93,0.903,0.954,0.618,0.766,0.782,0.742,0.849,0.625,0.759,0.925,0.644,0.882,0.951,0.887,0.485,0.726,0.932,0.899,0.664,0.644,0.63,0.667,0.703,0.757,0.653,0.603,0.922,0.914,0.723,0.929,0.856,0.719,0.824,0.677,0.05,0.702,0.623,0.914,-1.123,0.822,0.806,0.968,0.37,0.892,0.918,0.914,0.958,0.944,0.789,0.938,-3.108
0.15,0.901,0.771,0.793,0.609,0.825,0.858,0.91,0.976,0.982,0.791,0.866,0.889,0.913,0.902,0.981,0.728,0.829,0.783,0.731,0.574,0.973,0.794,0.966,0.961,0.788,0.846,0.554,0.922,0.964,0.385,0.742,0.945,0.8,0.866,0.772,0.96,0.892,0.888,0.68,0.851,0.921,0.805,0.737,-0.558,0.845,0.782,0.895,0.914,0.788,0.798,0.534,0.533,-3.314,0.92,-0.666,0.885,0.838,0.536,0.969,0.73,0.931,0.895,0.852,0.881,0.712,0.579,0.523,0.202,0.922,0.873,0.217,0.842,0.878,0.874,0.958,0.852,0.833,0.698,0.224,0.898,0.917,0.788,0.876,0.701,0.575,0.752,0.74,0.881,0.927,0.908,0.946,0.527,0.863,0.892,0.759,-0.253,0.941,0.796,0.913,0.839
0.20,0.978,0.453,0.935,0.877,0.865,0.94,0.844,0.92,0.954,0.88,0.955,0.925,0.848,0.879,0.868,0.683,0.856,0.973,0.674,0.842,0.629,0.938,0.81,0.808,0.827,0.899,0.895,0.613,0.807,0.89,0.981,0.866,0.839,0.879,0.148,0.82,0.915,0.889,0.867,0.904,0.91,0.772,0.321,0.83,0.861,0.731,0.842,0.829,0.945,0.952,0.783,0.921,0.471,0.855,0.953,-0.262,0.887,0.813,0.858,0.903,0.832,0.763,0.874,0.782,0.918,0.867,0.9,0.93,0.942,0.945,0.861,0.719,0.898,0.939,0.543,0.862,0.866,0.485,0.931,0.969,0.956,0.968,0.774,0.833,0.915,0.903,0.942,0.731,0.961,0.789,0.961,0.939,0.901,0.844,0.787,0.898,0.886,0.895,0.932,0.844
0.25,0.943,0.855,0.844,0.922,0.809,0.958,0.932,0.986,0.944,0.876,0.954,0.854,0.927,0.86,0.834,0.947,0.862,0.874,0.258,0.907,0.011,0.87,0.952,0.886,0.801,0.884,0.446,0.951,0.916,0.894,0.91,0.9,0.923,0.876,0.898,0.844,0.943,0.752,0.932,0.866,0.464,0.954,0.939,0.763,0.836,0.82,0.946,0.927,0.875,0.882,0.927,0.911,0.963,0.826,0.938,0.936,0.895,0.931,0.903,0.897,0.912,0.877,0.91,0.829,0.861,0.821,0.934,0.961,0.924,0.92,0.929,0.813,0.92,0.832,0.74,0.796,0.88,0.931,0.944,0.932,0.874,0.956,0.952,0.73,0.797,0.875,0.897,0.718,0.832,0.96,0.947,0.918,0.965,0.954,0.905,0.349,0.865,0.941,0.947,0.921
0.30,0.941,0.901,0.783,0.91,0.869,0.888,0.89,0.919,0.955,0.936,0.759,0.893,0.841,0.943,0.921,0.964,0.967,0.961,0.971,0.932,0.932,0.896,0.928,0.963,0.947,0.934,0.967,0.924,0.817,0.171,0.924,0.915,0.819,0.918,0.945,0.916,0.911,0.909,0.935,0.644,0.655,0.922,0.835,0.973,0.927,0.646,0.943,0.776,0.829,0.947,0.861,0.856,0.813,0.941,0.968,0.913,0.974,0.951,0.94,0.94,0.903,0.762,0.916,0.936,0.879,0.968,0.922,0.943,0.925,0.667,0.891,0.94,0.696,0.951,0.888,0.825,0.961,0.929,0.909,0.971,0.967,0.971,0.88,0.91,0.932,0.734,0.936,0.914,0.97,0.934,0.936,0.965,0.912,0.906,0.843,0.889,0.868,0.927,0.949,0.917
0.35,0.943,0.946,0.942,0.981,0.928,0.953,0.959,0.916,0.954,0.937,0.954,0.964,0.915,0.935,0.805,0.946,0.961,0.94,0.937,0.921,0.966,0.918,0.938,0.979,0.931,0.958,0.939,0.808,0.935,0.855,0.957,0.956,0.926,0.933,0.972,0.923,0.96,0.921,0.945,0.946,0.966,0.929,0.969,0.954,0.944,0.864,0.931,0.938,0.968,0.967,0.744,0.953,0.962,0.961,0.947,0.945,0.95,0.94,0.95,0.974,0.921,0.898,0.968,0.972,0.922,0.921,0.952,0.936,0.955,0.879,0.942,0.902,0.971,0.93,0.963,0.938,0.958,0.966,0.937,0.803,0.955,0.914,0.885,0.948,0.903,0.935,0.945,0.894,0.907,0.983,0.929,0.945,0.932,0.966,0.971,0.891,0.935,0.884,0.921,0.918
0.40,0.934,0.836,0.949,0.955,0.93,0.962,0.946,0.933,0.937,0.914,0.908,0.967,0.93,0.883,0.965,0.9,0.962,0.943,0.949,0.961,0.903,0.896,0.972,0.908,0.946,0.864,0.94,0.954,0.91,-0.977,0.917,0.87,0.911,0.893,0.695,0.916,0.955,0.961,0.932,0.949,0.892,0.913,0.939,0.919,0.876,0.901,0.896,0.959,0.915,0.937,0.959,0.872,0.892,0.953,0.964,0.927,0.956,0.96,0.959,0.846,0.917,0.974,0.964,0.899,0.902,0.945,0.816,0.88,0.932,0.901,0.883,0.952,0.842,0.955,0.95,0.879,0.965,0.93,0.949,0.92,0.956,0.951,0.941,0.899,0.894,0.956,0.959,0.948,0.799,0.97,0.964,0.943,0.882,0.954,0.796,0.912,0.954,0.956,0.926,0.912
0.45,0.944,0.942,0.907,0.895,0.956,0.89,0.921,0.941,0.925,0.97,0.961,0.934,0.939,0.922,0.959,0.879,0.966,0.93,0.888,0.902,0.826,0.901,0.961,0.909,0.948,0.954,0.956,0.955,0.936,0.918,0.932,0.947,0.978,0.951,0.891,0.928,0.956,0.951,0.953,0.931,0.876,0.953,0.963,0.92,0.975,0.953,0.911,0.95,0.953,0.942,0.968,0.985,0.951,0.965,0.943,0.939,0.966,0.88,0.954,0.789,0.933,0.927,0.937,0.911,0.878,0.956,0.859,0.951,0.957,0.927,0.903,0.92,0.955,0.938,0.928,0.94,0.925,0.887,0.946,0.964,0.971,0.901,0.917,0.936,0.927,0.837,0.942,0.949,0.958,0.908,0.947,0.964,0.927,0.895,0.932,0.943,0.896,0.951,0.811,0.954
0.50,0.885,0.953,0.937,0.947,0.921,0.952,0.974,0.918,0.951,0.938,0.968,0.962,0.949,0.934,0.963,0.955,0.934,0.929,0.978,0.957,0.93,0.942,0.932,0.951,0.677,0.97,0.952,0.914,0.915,0.869,0.96,0.958,0.917,0.968,0.844,0.953,0.937,0.969,0.962,0.924,0.954,0.957,0.951,0.948,0.97,0.954,0.967,0.963,0.941,0.964,0.976,0.953,0.911,0.877,0.891,0.959,0.956,0.945,0.955,0.97,0.928,0.945,0.909,0.962,0.922,0.942,0.935,0.937,0.924,0.936,0.949,0.965,0.966,0.917,0.971,0.974,0.933,0.966,0.955,0.962,0.941,0.947,0.926,0.965,0.944,0.941,0.906,0.829,0.949,0.928,0.954,0.917,0.948,0.957,0.962,0.947,0.891,0.973,0.895,0.935
