ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.245,0.892,-0.111,0.109,0.357,0.971,0.976,0.842,0.392,0.779,0.979,0.926,0.964,0.899,0.665,-0.739,0.988,0.613,0.658,-2.38,0.767,0.527,0.959,-0.042,0.964,-0.197,0.949,0.958,0.996,0.991,0.862,0.948,0.878,0.385,0.985,0.979,0.765,-3.043,0.902,0.215,0.779,0.603,-4.201,-2.36,0.975,0.502,0.346,0.977,-19.868,0.836,0.75,-3.699,0.663,0.708,0.105,0.89,-0.073,0.83,0.956,0.324,0.509,0.982,-4.335,0.706,-0.005,0.718,0.953,0.221,0.785,0.916,0.221,0.901,0.989,-15.988,-0.236,0.079,0.866,0.962,0.943,0.942,0.987,0.846,0.308,-1.401,0.85,0.962,0.922,-3.842,0.406,0.901,0.655,-1.524,0.792,0.899,-0.7,0.931,0.577,0.92,0.443,0.925
0.10,0.907,0.822,0.995,0.998,0.991,0.999,0.999,0.95,0.915,0.948,0.987,0.979,0.995,0.938,0.979,0.991,0.999,0.999,0.516,0.988,0.661,0.998,0.464,0.941,1.0,0.867,0.512,0.987,0.989,1.0,0.996,0.984,0.993,0.994,0.985,0.999,0.982,0.989,0.902,0.998,0.954,0.568,0.89,0.974,0.981,0.951,0.095,0.999,0.984,0.959,0.999,0.991,0.937,0.999,0.998,0.998,0.98,0.993,0.993,0.868,0.995,0.571,0.982,0.967,0.999,0.956,0.987,0.321,0.031,0.96,1.0,0.998,0.684,0.995,0.994,0.988,0.988,0.972,0.998,0.381,0.996,0.994,0.998,0.996,1.0,0.911,0.983,0.911,0.994,0.982,0.981,0.972,0.998,0.999,0.572,0.224,0.95,0.963,0.959,0.402
0.15,0.964,0.997,0.997,0.982,0.999,0.986,0.997,0.998,1.0,1.0,0.648,0.991,0.461,0.999,0.996,0.998,0.999,0.99,0.989,0.623,0.984,0.996,0.289,1.0,0.998,0.998,0.998,0.652,0.999,1.0,0.998,0.927,0.999,0.999,0.551,0.998,1.0,1.0,0.999,0.994,1.0,0.522,0.988,0.356,0.999,0.997,0.989,0.996,0.999,0.992,0.989,0.999,1.0,0.997,0.52,0.99,0.995,0.999,1.0,0.993,0.995,0.969,0.998,0.999,0.997,1.0,0.999,0.994,0.758,0.996,1.0,0.973,0.999,0.996,1.0,0.971,0.998,1.0,0.93,0.983,1.0,0.748,0.573,0.996,0.712,0.717,0.999,1.0,0.995,0.997,1.0,0.972,0.992,0.967,0.999,0.997,0.998,0.999,0.966,0.882
0.20,0.999,1.0,0.996,0.997,0.999,0.999,0.54,1.0,0.499,1.0,0.999,0.996,0.999,0.999,0.995,0.982,0.586,0.995,0.999,0.483,0.998,1.0,0.641,0.999,1.0,0.658,0.996,0.981,0.998,1.0,0.992,0.999,1.0,0.999,1.0,0.999,0.996,0.999,0.999,1.0,1.0,0.993,0.973,0.995,0.999,1.0,0.998,0.998,0.631,0.999,0.622,0.999,0.998,0.988,0.922,1.0,1.0,0.999,0.997,0.686,0.997,0.968,0.982,1.0,1.0,1.0,1.0,0.992,0.999,0.999,0.643,1.0,0.997,0.575,0.997,0.597,1.0,1.0,0.997,0.997,1.0,0.992,0.999,1.0,1.0,0.999,0.998,0.996,0.983,0.999,0.998,0.986,0.999,0.555,1.0,0.999,0.992,0.998,1.0,0.988
0.25,0.718,1.0,0.999,0.997,1.0,1.0,0.997,0.984,0.515,0.629,1.0,0.998,1.0,1.0,0.989,0.714,0.981,1.0,0.999,0.36,0.988,1.0,1.0,1.0,0.999,0.983,0.64,1.0,0.977,1.0,0.971,0.994,0.938,1.0,1.0,1.0,1.0,0.994,0.989,0.991,1.0,1.0,0.994,0.988,1.0,1.0,0.999,1.0,0.999,1.0,1.0,0.663,0.999,0.999,0.984,0.999,0.998,1.0,0.994,0.65,1.0,0.335,1.0,0.999,1.0,0.514,1.0,0.998,0.999,0.999,1.0,0.999,1.0,1.0,1.0,0.901,1.0,1.0,0.999,1.0,1.0,0.996,0.992,0.998,1.0,0.998,0.992,1.0,0.997,1.0,1.0,1.0,1.0,1.0,0.994,1.0,1.0,0.996,0.998,1.0
0.30,0.999,0.999,1.0,0.996,0.995,0.999,1.0,0.998,1.0,0.993,0.998,0.99,1.0,0.999,0.999,1.0,1.0,0.997,0.999,0.611,0.684,0.999,0.978,1.0,0.991,0.678,0.656,0.67,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.998,0.999,0.999,0.994,0.999,1.0,0.999,0.646,0.998,1.0,1.0,0.961,1.0,0.999,1.0,0.998,0.996,0.982,0.685,0.999,1.0,0.998,1.0,0.585,0.991,1.0,0.998,1.0,1.0,1.0,0.597,1.0,0.65,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.998,0.997,1.0,1.0,0.68,0.998,0.563,1.0,0.998,0.999,1.0,1.0,1.0,0.662,1.0,0.999,0.995,1.0
0.35,1.0,1.0,0.999,0.998,0.996,0.999,0.995,1.0,0.994,0.996,0.999,0.998,0.996,0.509,1.0,0.999,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.999,1.0,0.998,0.999,0.999,1.0,0.999,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.612,0.994,1.0,1.0,0.637,0.979,0.994,1.0,0.998,0.616,1.0,0.596,0.984,0.997,0.749,1.0,1.0,1.0,0.995,0.998,1.0,0.999,0.999,0.658,1.0,1.0,1.0,0.999,1.0,0.622,1.0,1.0,0.999,1.0,1.0,1.0,0.999,0.996,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.993,0.979,1.0,1.0,1.0
0.40,0.646,1.0,0.994,1.0,0.999,1.0,0.991,1.0,1.0,1.0,1.0,0.998,0.997,1.0,1.0,1.0,1.0,0.998,1.0,1.0,0.994,1.0,0.705,1.0,1.0,0.658,0.995,0.999,0.999,1.0,0.999,1.0,0.991,1.0,0.999,1.0,1.0,1.0,0.998,1.0,0.999,1.0,0.999,0.975,0.982,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,0.617,1.0,0.993,0.995,0.679,0.57,0.999,0.992,0.998,0.635,1.0,0.998,0.999,0.982,1.0,0.997,0.612,0.998,0.583,1.0,1.0,1.0,1.0,0.999,1.0,0.995,0.999,0.998,0.968,1.0,1.0,0.985,0.98,1.0,0.992,1.0,0.998,1.0,0.994,1.0,1.0,0.999,1.0,1.0,0.997,0.999
0.45,1.0,0.999,1.0,0.999,0.999,0.999,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,0.649,1.0,1.0,0.999,0.999,0.573,0.685,0.985,1.0,1.0,1.0,0.988,0.999,0.996,1.0,1.0,0.998,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.999,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,0.977,1.0,1.0,1.0,0.99,1.0,0.65,1.0,0.999,0.995,0.999,0.997,0.991,1.0,1.0,0.999,0.999,1.0,1.0,0.995,0.993,0.999,0.999,1.0,1.0,0.995,1.0,1.0,0.98,1.0,1.0,0.994,0.996,1.0,1.0,1.0,0.98,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.999,0.989
0.50,0.998,1.0,0.996,1.0,1.0,0.999,1.0,1.0,0.999,1.0,0.998,1.0,1.0,0.998,0.549,1.0,1.0,1.0,1.0,0.995,0.639,1.0,0.645,1.0,0.994,1.0,0.998,0.991,0.619,0.999,0.997,1.0,1.0,0.999,0.996,1.0,0.984,1.0,1.0,0.987,1.0,0.998,0.984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,1.0,1.0,0.996,1.0,1.0,0.987,0.999,0.995,1.0,1.0,0.676,0.999,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,0.621,0.997,1.0,1.0,1.0,0.999,1.0,1.0,0.996,1.0,0.661,1.0,0.995,1.0,1.0,1.0,1.0,1.0,0.997,0.998,1.0,0.973,1.0,0.994
