ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.717,0.96,0.934,-2.538,0.705,-0.395,-1.349,0.387,-0.448,0.919,-1.459,0.779,0.926,0.878,-15.92,-2.284,-0.365,0.426,0.231,0.979,-44.017,0.271,0.979,0.891,-1.723,-4.408,-4.101,0.468,0.859,-0.056,0.916,0.842,0.436,0.522,0.917,0.402,-2.457,0.363,0.115,-0.175,0.877,-7.034,-7.829,0.99,-0.948,-0.413,0.909,-0.9,0.842,0.772,-4.439,0.798,-3.0,0.95,0.413,0.654,0.636,0.743,0.376,-5.346,0.952,0.863,0.454,0.982,-2.802,0.849,-2.073,0.661,0.895,-3.45,0.731,0.943,-0.161,0.834,0.878,0.179,-4.037,-7.246,-7.475,0.989,0.871,0.981,0.284,0.31,-2.781,-1.491,0.802,0.597,0.966,0.41,0.903,0.453,0.978,-0.046,-3.459,0.901,-1.845,0.243,0.508,-10.963
0.10,0.285,0.59,0.948,0.705,0.348,0.947,0.641,0.954,0.131,-0.29,-9.591,0.03,0.529,0.886,0.975,0.818,0.706,0.58,0.752,0.939,0.87,-6.033,0.731,0.944,0.578,0.815,0.652,0.651,0.849,0.754,-0.002,0.054,0.976,0.926,0.374,-0.187,0.476,0.931,0.703,0.927,0.835,0.059,0.351,0.606,0.733,0.829,0.78,0.36,0.913,0.8,0.965,0.887,0.786,0.802,-2.134,0.959,0.691,0.615,0.919,0.956,0.907,0.908,0.746,0.845,0.638,-2.034,0.81,0.721,0.661,0.932,0.965,0.806,0.739,0.871,0.891,0.987,0.264,0.802,0.351,0.492,0.835,0.478,-0.413,0.977,-1.42,0.958,0.879,0.889,0.85,0.804,-0.052,-0.266,0.515,0.534,0.123,0.981,0.462,0.868,0.286,0.808
0.15,0.592,0.912,0.835,0.63,0.792,0.775,-0.294,0.584,0.952,-0.27,0.713,0.948,0.897,0.002,0.796,0.982,0.462,0.931,0.858,0.758,0.891,0.636,0.985,0.975,0.791,0.968,0.722,0.984,0.889,0.852,0.969,0.509,0.919,0.915,0.944,0.921,0.874,0.932,0.02,0.862,0.786,0.792,0.852,0.934,0.789,0.849,-3.417,0.929,0.923,0.92,0.897,0.918,0.958,0.596,0.076,0.858,0.879,0.843,0.304,0.916,0.883,0.798,0.809,0.953,0.741,0.708,0.898,0.766,0.894,0.568,0.772,0.401,0.962,0.633,0.729,0.947,0.592,0.933,0.962,0.973,0.923,0.807,0.478,0.771,0.954,0.825,0.929,0.856,-2.644,0.88,0.948,0.818,0.59,0.961,0.752,0.92,0.66,0.965,0.69,0.737
0.20,0.703,0.465,0.899,0.926,0.906,0.815,0.74,0.624,0.85,0.906,0.928,0.951,0.531,0.911,0.761,0.924,0.967,0.891,0.969,0.678,0.924,0.931,0.945,0.888,0.957,0.823,0.45,0.753,0.8,0.896,0.924,0.755,0.473,0.966,0.797,0.711,0.873,0.928,0.783,0.985,0.766,0.848,0.913,0.948,0.872,0.861,0.896,0.955,0.965,0.631,0.848,0.805,0.894,0.87,0.798,0.943,0.92,0.947,0.795,0.913,0.981,0.931,0.945,0.901,0.838,0.949,0.96,0.651,0.978,0.931,0.96,0.892,0.939,0.89,0.829,0.951,0.8,0.904,0.641,0.775,0.946,0.956,0.914,0.986,0.877,0.826,0.824,0.906,0.904,0.934,-1.514,0.607,0.758,0.463,0.677,0.967,0.942,0.967,0.706,0.795
0.25,0.901,0.959,0.673,0.957,0.943,0.858,0.89,0.961,0.913,0.878,0.962,0.992,0.942,0.911,0.647,0.934,0.925,0.924,0.697,0.958,0.619,0.874,0.881,0.952,0.922,0.923,0.918,0.963,0.895,0.862,0.972,0.83,0.959,0.893,0.903,0.924,0.892,0.974,0.97,0.962,0.801,0.977,0.908,0.908,0.868,0.976,0.786,0.908,0.975,0.979,0.876,0.933,0.922,0.928,0.839,0.565,0.512,0.882,0.871,0.958,0.956,0.896,0.967,0.749,0.887,0.909,0.972,0.871,0.973,0.847,0.765,0.46,0.531,0.872,0.859,0.722,0.943,0.702,0.936,0.932,0.921,0.698,0.786,0.913,0.693,0.953,0.92,0.939,0.923,0.917,0.745,0.932,0.868,0.834,0.954,0.932,0.833,0.968,0.94,0.982
0.30,0.87,0.859,0.948,0.928,0.954,0.922,0.883,0.916,0.966,0.964,0.88,0.761,0.963,0.936,0.922,0.974,0.974,0.961,0.95,0.942,0.933,0.971,0.852,0.929,0.925,0.963,0.949,0.897,0.902,0.903,0.908,0.964,0.966,0.795,0.805,0.956,0.938,0.947,0.874,0.939,0.984,0.961,0.821,0.946,0.772,0.83,0.711,0.949,0.924,0.929,0.931,0.953,0.797,0.979,0.904,0.979,0.906,0.948,0.905,0.703,0.948,0.951,0.929,0.947,0.892,0.974,0.922,0.921,0.875,0.947,0.964,0.966,0.948,0.936,0.907,0.744,0.974,0.875,0.764,0.773,0.979,0.902,0.872,0.909,0.907,0.959,0.953,0.985,0.874,0.942,0.963,0.986,0.939,0.497,0.959,0.832,0.977,0.842,0.928,0.881
0.35,0.972,0.91,0.906,0.953,0.843,0.968,0.902,0.933,0.958,0.933,0.98,0.983,0.968,0.959,0.929,0.956,0.944,0.945,0.975,0.849,0.953,0.885,0.954,0.959,0.921,0.951,0.888,0.929,0.925,0.909,0.972,0.936,0.917,0.938,0.976,0.93,0.942,0.951,0.954,0.951,0.952,0.944,0.897,0.981,0.923,0.868,0.883,0.923,0.984,0.981,0.816,0.918,0.956,0.919,0.967,0.977,-2.1,0.982,0.961,0.971,0.953,0.892,0.857,0.947,0.961,0.947,0.933,0.944,0.982,0.965,0.972,0.731,0.967,0.956,0.951,0.918,0.942,0.921,0.967,0.888,0.949,0.972,0.937,0.947,0.942,0.935,0.922,0.941,0.798,0.984,0.829,0.916,0.954,0.891,0.796,0.965,0.955,0.936,0.953,0.942
0.40,0.976,0.878,0.913,0.928,0.953,0.906,0.954,0.95,0.933,0.968,0.974,0.967,0.97,0.94,0.947,0.908,0.903,0.905,0.89,0.711,0.935,0.942,0.948,0.965,0.949,0.866,0.961,0.96,0.958,0.949,0.895,0.976,0.95,0.932,0.973,0.963,0.968,0.966,0.916,0.985,0.968,0.963,0.88,0.898,0.981,0.842,0.923,0.932,0.971,0.953,0.913,0.945,0.981,0.976,0.951,0.966,0.948,0.964,0.886,0.926,0.872,0.9,0.948,0.939,0.964,0.942,0.949,0.958,0.966,0.952,0.967,0.69,0.986,0.936,0.893,0.979,0.9,0.953,0.961,0.962,0.958,0.946,0.95,0.917,0.982,0.934,0.919,0.973,0.964,0.924,0.946,0.964,0.976,0.949,0.962,0.878,0.961,0.96,0.916,0.906
0.45,0.945,0.979,0.96,0.982,0.935,0.967,0.964,0.924,0.986,0.926,0.922,0.98,0.94,0.978,0.984,0.947,0.938,0.963,0.978,0.904,0.926,0.96,0.992,0.921,0.963,0.95,0.961,0.888,0.938,0.928,0.936,0.954,0.854,0.984,0.968,0.953,0.964,0.958,0.793,0.971,0.985,0.948,0.929,0.967,0.969,0.966,0.905,0.96,0.968,0.981,0.923,0.947,0.953,0.914,0.983,0.96,0.919,0.968,0.973,0.929,0.946,0.972,0.935,0.885,0.915,0.938,0.864,0.983,0.92,0.964,0.953,0.948,0.891,0.962,0.86,0.935,0.896,0.946,0.931,0.947,0.98,0.942,0.943,0.965,0.956,0.989,0.964,0.941,0.936,0.934,0.962,0.801,0.922,0.982,0.968,0.924,0.974,0.931,0.969,0.918
0.50,0.937,0.985,0.948,0.957,0.974,0.98,0.98,0.981,0.967,0.906,0.958,0.834,0.99,0.944,0.952,0.942,0.968,0.929,0.959,0.942,0.979,0.976,0.945,0.973,0.953,0.979,0.952,0.957,0.977,0.964,0.94,0.962,0.859,0.978,0.972,0.968,0.977,0.951,0.965,0.935,0.975,0.972,0.932,0.968,0.92,0.97,0.951,0.978,0.973,0.95,0.927,0.965,0.942,0.972,0.968,0.971,0.979,0.979,0.854,0.964,0.976,0.993,0.947,0.973,0.966,0.971,0.911,0.985,0.965,0.912,0.966,0.951,0.973,0.959,0.959,0.978,0.961,0.925,0.972,0.96,0.99,0.963,0.965,0.966,0.963,0.948,0.97,0.967,0.924,0.982,0.978,0.973,0.894,0.882,0.976,0.925,0.977,0.951,0.964,0.936
