ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.887,-1.134,0.622,0.901,-1.046,0.4,0.313,-0.094,-2.96,0.612,0.935,0.651,0.733,0.824,0.551,0.869,0.708,-0.45,-1.157,-16.128,-0.333,0.326,0.254,0.629,-0.036,-0.06,0.432,-3.97,0.482,-7.746,0.67,0.951,-10.717,0.928,0.944,0.906,0.757,-0.65,0.311,0.721,-3.098,0.849,0.304,0.618,0.114,-0.445,0.84,-2.186,-1.425,0.549,-3.118,-1.625,-0.823,-5.999,0.855,0.432,-0.298,0.921,-0.06,0.84,0.363,-0.828,-0.147,0.634,0.087,-4.348,0.897,0.108,0.778,-0.595,0.787,0.691,0.292,0.014,0.704,-0.504,0.72,-0.19,-9.09,-1.333,0.558,0.15,-0.909,0.662,0.932,-1.217,0.562,0.906,0.619,0.189,0.617,-2.254,-0.093,0.733,0.539,0.226,0.178,0.82,0.423,0.58
0.10,0.682,0.379,0.491,0.891,0.839,-6.653,-0.223,0.82,0.66,0.523,0.805,0.655,-0.619,0.885,-0.391,0.533,0.788,0.889,0.304,0.925,0.748,0.752,0.451,0.497,-0.362,0.825,0.485,0.579,0.724,0.721,0.578,0.851,0.902,-0.552,0.716,0.783,0.904,-0.195,0.843,0.326,0.792,0.749,-0.228,0.947,-0.695,0.641,0.488,0.365,0.671,0.476,0.91,-0.016,0.89,-1.33,0.454,0.479,0.789,0.755,0.365,0.569,0.407,0.225,0.803,0.759,0.415,0.853,-0.221,0.617,0.845,0.878,0.524,-2.739,0.671,0.173,0.633,0.911,0.592,0.917,0.766,-0.083,0.631,0.79,-1.078,0.885,0.589,0.196,0.057,0.828,0.819,0.798,0.747,-1.202,0.647,0.576,0.913,-0.321,0.862,-0.646,0.776,0.837
0.15,0.778,0.848,0.766,0.772,0.837,0.868,0.925,0.671,0.79,0.325,0.656,0.399,0.527,0.906,0.768,0.782,0.847,0.7,0.825,0.75,0.7,0.904,0.755,0.723,0.889,0.665,0.898,0.834,0.891,0.913,0.533,0.817,0.89,0.911,0.464,0.914,0.701,0.889,0.479,0.927,0.856,-0.92,0.505,0.632,0.714,0.784,0.297,0.804,0.762,0.824,0.918,0.403,0.583,0.842,0.906,0.868,0.764,0.86,0.839,0.887,0.518,-0.412,0.826,0.836,0.788,0.932,0.812,0.524,-8.328,0.762,0.927,0.922,0.912,0.891,0.206,0.892,0.559,0.758,0.721,0.535,0.566,0.79,0.724,0.374,0.944,0.59,0.832,0.73,0.697,0.466,0.685,0.106,0.858,0.625,0.339,0.885,0.817,0.423,-20.137,0.814
0.20,0.879,0.893,0.74,0.913,0.8,0.579,0.898,0.834,0.603,0.884,0.891,0.903,0.919,0.595,0.847,0.77,0.71,0.895,0.826,0.709,0.882,0.905,0.584,0.581,0.968,0.821,0.861,0.908,0.877,0.717,0.705,0.828,0.872,0.94,0.816,0.832,0.84,0.952,0.577,0.89,0.084,0.695,0.863,0.702,0.91,0.753,0.747,0.7,0.883,0.818,0.821,0.796,0.484,0.861,0.819,0.816,0.15,0.718,0.933,0.758,0.885,0.926,0.926,0.709,0.813,0.081,0.775,0.406,0.567,0.803,0.921,0.619,0.38,0.691,0.898,0.826,0.869,0.833,0.975,0.848,0.928,0.753,0.742,0.785,0.874,0.835,0.318,0.921,0.901,0.882,0.851,0.71,0.753,0.535,0.899,0.749,0.753,0.671,0.789,0.818
0.25,0.628,0.89,0.881,0.891,0.831,0.881,0.906,0.695,0.937,0.705,0.886,0.905,0.818,0.892,0.873,0.632,0.892,0.459,0.844,0.919,0.736,0.883,0.781,0.831,0.912,0.942,0.873,0.951,0.896,0.855,0.842,0.871,0.824,0.922,0.905,0.913,0.881,0.898,0.858,0.962,0.796,0.881,0.614,0.855,0.862,0.85,0.783,0.701,0.76,0.837,0.833,0.783,0.861,0.867,0.964,0.865,0.897,0.762,0.957,0.917,0.888,0.893,0.872,0.962,0.876,0.856,0.82,0.749,0.883,0.859,0.818,0.921,0.871,0.928,0.888,0.797,0.748,0.84,0.925,0.927,0.802,0.803,0.909,0.937,0.887,0.856,0.866,0.716,0.732,0.917,0.916,0.899,0.783,0.976,0.597,0.78,0.933,0.904,0.869,0.927
0.30,0.939,0.897,0.836,0.868,0.847,0.815,0.652,0.892,0.93,0.88,0.915,0.905,0.919,0.87,0.933,0.921,0.899,0.891,0.739,0.828,0.807,0.92,0.831,0.893,0.806,0.941,0.938,0.916,0.929,0.885,0.87,0.924,0.934,0.908,0.628,0.887,0.909,0.843,0.897,0.881,0.887,0.894,0.676,0.903,0.865,0.795,0.851,0.889,0.95,0.867,0.891,0.863,0.877,0.927,0.941,0.807,0.913,0.766,0.922,0.921,0.95,0.883,0.912,0.974,0.904,0.867,0.94,0.892,0.863,0.839,0.933,0.912,0.881,0.9,0.77,0.877,0.899,0.866,0.891,0.869,0.847,0.888,0.84,0.809,0.922,0.84,0.86,0.882,0.86,0.931,0.851,0.89,0.941,0.922,0.695,0.891,0.818,0.918,0.853,0.904
0.35,0.788,0.914,0.909,0.957,0.877,0.89,0.839,0.903,0.844,0.87,0.96,0.932,0.857,0.823,0.934,0.928,0.887,0.949,0.883,0.793,0.874,0.909,0.786,0.925,0.891,0.868,0.854,0.961,0.821,0.918,0.834,0.897,0.965,0.958,0.907,0.904,0.938,0.9,0.968,0.908,0.895,0.928,0.907,0.828,0.866,0.859,0.863,0.878,0.955,0.858,0.807,0.878,0.949,0.942,0.947,0.938,0.898,0.957,0.938,0.921,0.916,0.881,0.89,0.944,0.892,0.839,0.812,0.892,0.905,0.903,0.936,0.9,0.886,0.914,0.902,0.942,0.923,0.9,0.906,0.884,0.764,0.927,0.844,0.908,0.827,0.82,0.951,0.888,0.879,0.96,0.861,0.925,0.888,0.938,0.856,0.925,0.775,0.602,0.935,0.938
0.40,0.881,0.955,0.915,0.9,0.805,0.925,0.93,0.864,0.906,0.924,0.753,0.904,0.859,0.853,0.752,0.832,0.932,0.862,0.899,0.919,0.853,0.863,0.871,0.942,0.882,0.887,0.862,0.91,0.898,0.832,0.924,0.946,0.936,0.93,0.884,0.921,0.901,0.925,0.91,0.929,0.882,0.93,0.874,0.92,0.845,0.894,0.851,0.883,0.918,0.911,0.929,0.916,0.942,0.905,0.918,0.779,0.795,0.892,0.811,0.885,0.909,0.918,0.876,0.929,0.947,0.885,0.845,0.906,0.916,0.891,0.959,0.797,0.852,0.923,0.936,0.969,0.929,0.939,0.942,0.938,0.967,0.876,0.895,0.902,0.955,0.89,0.849,0.914,0.856,0.921,0.921,0.875,0.935,0.906,0.925,0.874,0.847,0.896,0.838,0.828
0.45,0.906,0.945,0.885,0.942,0.838,0.944,0.834,0.85,0.905,0.891,0.877,0.943,0.905,0.868,0.923,0.923,0.898,0.928,0.919,0.889,0.922,0.851,0.887,0.955,0.868,0.893,0.935,0.905,0.931,0.816,0.903,0.864,0.921,0.859,0.938,0.9,0.932,0.887,0.958,0.814,0.879,0.93,0.907,0.915,0.887,0.859,0.93,0.942,0.912,0.891,0.92,0.897,0.939,0.947,0.873,0.943,0.899,0.939,0.933,0.931,0.887,0.953,0.85,0.857,0.894,0.938,0.885,0.797,0.899,0.895,0.91,0.917,0.881,0.945,0.967,0.943,0.926,0.905,0.973,0.954,0.856,0.894,0.941,0.847,0.898,0.941,0.906,0.9,0.812,0.956,0.902,0.873,0.935,0.939,0.894,0.949,0.931,0.926,0.928,0.909
0.50,0.919,0.928,0.883,0.941,0.924,0.867,0.913,0.903,0.848,0.931,0.865,0.951,0.917,0.924,0.908,0.894,0.919,0.876,0.863,0.921,0.876,0.895,0.947,0.923,0.845,0.879,0.928,0.928,0.931,0.89,0.899,0.953,0.94,0.926,0.914,0.921,0.89,0.848,0.962,0.945,0.935,0.892,0.922,0.92,0.826,0.926,0.916,0.872,0.83,0.854,0.93,0.912,0.908,0.94,0.878,0.916,0.886,0.95,0.951,0.821,0.915,0.886,0.906,0.955,0.83,0.912,0.862,0.925,0.916,0.901,0.928,0.854,0.916,0.907,0.901,0.953,0.919,0.893,0.924,0.913,0.914,0.922,0.936,0.861,0.877,0.909,0.957,0.866,0.875,0.864,0.932,0.888,0.927,0.878,0.891,0.93,0.908,0.898,0.919,0.945
