ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.791,0.814,0.556,0.793,0.692,0.645,0.562,0.662,0.483,0.547,0.604,0.528,0.627,0.599,0.56,0.702,0.648,0.57,0.544,0.704,0.572,0.621,0.207,0.333,0.613,-0.05,0.66,0.859,0.637,0.495,0.103,0.589,-0.921,0.732,0.688,0.734,0.625,0.542,0.806,0.792,0.361,0.556,0.579,0.744,0.583,-0.201,0.468,0.798,0.578,0.55,0.72,0.801,0.719,-0.342,0.722,0.537,0.496,0.609,0.81,0.811,0.732,0.649,0.633,0.866,0.519,0.604,0.545,0.375,0.605,0.527,0.521,0.299,0.318,0.495,0.691,0.715,0.638,0.594,0.656,0.497,0.803,0.592,0.672,0.673,0.746,0.623,0.846,0.801,0.629,0.523,0.152,0.637,0.607,0.47,0.812,0.781,0.533,0.414,0.892,0.714
0.10,0.576,0.919,0.617,0.845,0.91,0.908,0.691,0.919,0.858,0.74,0.717,0.865,0.866,0.78,0.818,0.858,0.894,0.858,0.714,0.732,0.887,0.794,0.921,0.669,0.907,0.918,0.83,0.815,0.923,0.69,0.772,0.863,0.71,0.663,0.863,0.916,0.759,0.709,0.727,0.897,0.719,0.643,0.904,0.753,0.915,0.64,0.688,0.683,0.894,0.709,0.906,0.886,0.864,0.897,0.8,0.779,0.897,0.892,0.945,0.93,0.88,0.84,0.68,0.867,0.9,0.724,0.849,0.856,0.941,0.91,0.712,0.884,0.782,0.737,0.901,0.64,0.916,0.914,0.243,0.848,0.897,0.726,0.814,0.727,0.869,0.729,0.898,0.923,0.733,0.895,0.919,0.902,0.905,0.86,0.92,0.661,0.61,0.732,0.881,0.905
0.15,0.916,0.733,0.9,0.907,0.904,0.751,0.887,0.82,0.931,0.948,0.907,0.923,0.956,0.891,0.925,0.749,0.908,0.921,0.742,0.927,0.698,0.863,0.957,0.899,0.933,0.945,0.934,0.916,0.757,0.918,0.898,0.903,0.936,0.791,0.921,0.948,0.939,0.714,0.752,0.783,0.94,0.785,0.922,0.938,0.919,0.864,0.781,0.923,0.919,0.775,0.958,0.928,0.924,0.755,0.922,0.949,0.925,0.747,0.94,0.944,0.868,0.903,0.767,0.786,0.724,0.937,0.951,0.899,0.738,0.476,0.734,0.912,0.911,0.763,0.899,0.938,0.904,0.932,0.741,0.738,0.926,0.93,0.785,0.908,0.917,0.762,0.906,0.932,0.922,0.855,0.853,0.755,0.905,0.899,0.919,0.902,0.861,0.93,0.907,0.923
0.20,0.945,0.937,0.703,0.939,0.919,0.941,0.942,0.932,0.943,0.934,0.766,0.937,0.909,0.909,0.931,0.734,0.918,0.95,0.932,0.942,0.947,0.894,0.933,0.934,0.788,0.944,0.941,0.951,0.95,0.95,0.938,0.915,0.918,0.96,0.946,0.883,0.955,0.761,0.938,0.95,0.763,0.951,0.946,0.897,0.927,0.936,0.778,0.948,0.781,0.938,0.952,0.943,0.953,0.762,0.946,0.951,0.93,0.956,0.946,0.758,0.928,0.942,0.933,0.936,0.959,0.933,0.927,0.758,0.944,0.954,0.949,0.951,0.922,0.868,0.954,0.734,0.946,0.786,0.954,0.933,0.955,0.919,0.961,0.943,0.936,0.938,0.945,0.876,0.916,0.951,0.933,0.781,0.919,0.939,0.94,0.94,0.94,0.958,0.922,0.941
0.25,0.943,0.779,0.959,0.81,0.924,0.877,0.934,0.956,0.955,0.94,0.932,0.923,0.932,0.956,0.96,0.934,0.947,0.811,0.942,0.93,0.92,0.949,0.962,0.957,0.781,0.948,0.939,0.932,0.773,0.944,0.948,0.794,0.921,0.942,0.965,0.928,0.931,0.936,0.926,0.771,0.952,0.8,0.962,0.937,0.906,0.77,0.959,0.949,0.954,0.784,0.959,0.941,0.934,0.934,0.804,0.962,0.809,0.938,0.959,0.78,0.924,0.945,0.938,0.952,0.933,0.954,0.927,0.934,0.949,0.954,0.949,0.941,0.922,0.937,0.928,0.963,0.962,0.918,0.929,0.953,0.924,0.943,0.94,0.951,0.952,0.955,0.936,0.947,0.821,0.921,0.952,0.939,0.939,0.946,0.951,0.946,0.941,0.95,0.953,0.954
0.30,0.931,0.954,0.795,0.954,0.949,0.961,0.939,0.776,0.951,0.963,0.967,0.783,0.817,0.814,0.957,0.964,0.942,0.788,0.954,0.936,0.827,0.932,0.963,0.945,0.952,0.956,0.948,0.965,0.967,0.938,0.965,0.904,0.952,0.959,0.96,0.946,0.936,0.951,0.943,0.768,0.963,0.959,0.945,0.959,0.956,0.795,0.832,0.944,0.969,0.942,0.947,0.953,0.954,0.96,0.919,0.941,0.958,0.96,0.958,0.786,0.933,0.96,0.94,0.963,0.965,0.946,0.922,0.963,0.921,0.954,0.97,0.962,0.955,0.948,0.95,0.939,0.972,0.953,0.943,0.945,0.962,0.95,0.947,0.95,0.953,0.929,0.951,0.936,0.791,0.931,0.965,0.942,0.959,0.957,0.943,0.958,0.965,0.967,0.953,0.961
0.35,0.949,0.805,0.941,0.961,0.97,0.955,0.961,0.938,0.964,0.965,0.968,0.957,0.805,0.945,0.951,0.828,0.772,0.949,0.803,0.944,0.935,0.806,0.941,0.964,0.846,0.971,0.935,0.958,0.955,0.95,0.96,0.949,0.947,0.962,0.79,0.969,0.962,0.952,0.949,0.943,0.968,0.947,0.966,0.965,0.967,0.85,0.968,0.946,0.964,0.96,0.957,0.963,0.817,0.798,0.809,0.964,0.963,0.958,0.825,0.96,0.954,0.952,0.943,0.958,0.818,0.965,0.96,0.96,0.896,0.862,0.963,0.959,0.966,0.946,0.952,0.955,0.948,0.962,0.897,0.961,0.949,0.965,0.933,0.928,0.954,0.96,0.946,0.82,0.928,0.951,0.808,0.943,0.948,0.94,0.965,0.96,0.957,0.953,0.966,0.949
0.40,0.959,0.957,0.969,0.907,0.956,0.969,0.969,0.807,0.961,0.957,0.966,0.935,0.939,0.935,0.938,0.958,0.967,0.962,0.964,0.958,0.955,0.962,0.974,0.97,0.961,0.947,0.961,0.96,0.957,0.958,0.968,0.951,0.955,0.962,0.958,0.965,0.939,0.967,0.965,0.943,0.959,0.968,0.955,0.952,0.96,0.96,0.974,0.942,0.968,0.946,0.962,0.948,0.919,0.958,0.946,0.951,0.962,0.966,0.969,0.938,0.965,0.966,0.954,0.967,0.97,0.954,0.966,0.944,0.953,0.94,0.964,0.967,0.964,0.96,0.97,0.964,0.967,0.955,0.945,0.966,0.955,0.959,0.956,0.94,0.966,0.971,0.969,0.955,0.929,0.961,0.896,0.956,0.941,0.972,0.972,0.961,0.946,0.965,0.945,0.944
0.45,0.953,0.937,0.954,0.966,0.816,0.962,0.96,0.808,0.961,0.962,0.957,0.961,0.949,0.967,0.964,0.945,0.954,0.97,0.955,0.97,0.936,0.966,0.862,0.961,0.966,0.957,0.812,0.97,0.964,0.894,0.948,0.94,0.961,0.974,0.967,0.961,0.969,0.956,0.971,0.97,0.95,0.963,0.961,0.963,0.96,0.834,0.966,0.941,0.958,0.967,0.963,0.96,0.968,0.951,0.951,0.958,0.963,0.94,0.962,0.973,0.958,0.958,0.946,0.971,0.957,0.966,0.968,0.965,0.905,0.787,0.949,0.936,0.965,0.957,0.96,0.955,0.962,0.96,0.879,0.96,0.958,0.96,0.949,0.96,0.963,0.958,0.925,0.965,0.946,0.967,0.956,0.952,0.951,0.975,0.95,0.958,0.971,0.956,0.967,0.949
0.50,0.966,0.97,0.968,0.97,0.866,0.966,0.966,0.955,0.958,0.964,0.961,0.958,0.969,0.948,0.97,0.963,0.964,0.97,0.821,0.959,0.966,0.96,0.889,0.959,0.961,0.969,0.833,0.965,0.957,0.872,0.953,0.955,0.955,0.97,0.958,0.972,0.956,0.948,0.954,0.963,0.971,0.975,0.965,0.966,0.87,0.957,0.958,0.969,0.954,0.956,0.968,0.966,0.95,0.954,0.973,0.959,0.968,0.97,0.962,0.969,0.97,0.963,0.955,0.959,0.965,0.963,0.972,0.957,0.955,0.946,0.971,0.881,0.968,0.958,0.966,0.954,0.968,0.968,0.938,0.949,0.948,0.955,0.97,0.953,0.967,0.969,0.966,0.828,0.956,0.963,0.968,0.941,0.961,0.955,0.959,0.966,0.96,0.842,0.947,0.971
