ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.875,0.621,0.602,0.343,0.773,0.276,-1.016,0.35,0.436,0.328,0.827,0.324,0.261,0.52,0.851,-0.13,0.601,0.796,0.131,0.166,0.317,0.759,0.57,0.674,0.746,0.593,0.348,-4.593,0.553,-0.242,0.403,0.466,-0.025,0.67,0.577,0.645,0.641,0.754,0.603,0.347,0.649,0.682,0.494,0.381,0.595,0.608,0.555,-0.048,-0.647,-1.005,0.685,0.361,0.67,0.653,0.644,0.637,0.361,0.639,0.826,0.11,0.571,0.45,0.72,0.573,-1.14,0.164,0.849,0.766,0.505,0.452,0.409,0.778,0.713,-0.148,0.306,-0.433,0.831,0.319,0.665,0.264,0.742,0.609,0.558,0.802,-0.139,0.552,-2.467,0.564,0.753,0.365,0.319,0.381,0.176,0.712,0.367,0.643,0.73,0.583,0.564,0.573
0.10,0.892,0.494,0.599,0.507,0.67,0.476,0.491,0.768,0.734,0.929,0.917,0.916,0.855,0.819,0.906,0.852,0.84,0.845,0.271,0.855,0.797,0.585,0.704,0.909,0.648,0.645,0.345,0.703,0.736,0.833,0.74,0.912,0.891,0.896,0.865,0.912,0.679,0.821,0.786,0.899,0.732,0.902,0.645,0.715,0.869,0.259,0.904,0.659,0.867,0.87,0.88,0.856,0.926,0.875,0.794,0.846,0.749,0.81,0.668,0.553,0.39,0.669,0.903,0.505,0.731,0.75,0.66,0.927,0.869,0.912,0.592,-0.448,0.835,0.845,0.894,0.658,0.504,0.919,0.893,0.877,0.852,0.681,0.494,0.827,0.876,0.918,-0.204,0.817,0.82,0.799,0.678,0.629,0.617,0.882,0.8,0.869,0.907,0.65,0.566,0.853
0.15,0.911,0.766,0.674,0.865,0.924,0.686,0.894,0.748,0.753,0.925,0.941,0.907,0.815,0.843,0.945,0.822,0.792,0.831,0.66,0.962,0.882,0.947,0.726,0.882,0.795,0.912,0.892,0.808,0.898,0.923,0.756,0.915,0.925,0.897,0.665,0.954,0.938,0.781,0.889,0.872,0.92,0.92,0.91,0.59,0.907,0.9,0.881,0.749,0.889,0.931,0.791,0.893,0.828,0.769,0.925,0.88,0.696,0.873,0.835,0.897,0.894,0.734,0.932,0.91,0.844,0.636,0.949,0.939,0.907,0.74,0.805,0.618,0.63,0.915,0.892,0.73,0.957,0.894,0.928,0.931,0.785,0.871,0.731,0.927,0.958,0.936,0.958,0.899,0.75,0.782,0.894,0.718,0.939,0.925,0.892,0.944,0.887,0.899,0.958,0.941
0.20,0.938,0.896,0.948,0.914,0.78,0.927,0.953,0.902,0.918,0.942,0.901,0.887,0.932,0.93,0.937,0.871,0.908,0.717,0.923,0.788,0.915,0.937,0.964,0.803,0.901,0.912,0.773,0.916,0.927,0.893,0.921,0.92,0.947,0.919,0.87,0.945,0.929,0.777,0.732,0.931,0.84,0.937,0.906,0.923,0.799,0.913,0.934,0.959,0.94,0.948,0.613,0.929,0.827,0.922,0.712,0.958,0.919,0.933,0.962,0.901,0.915,0.918,0.941,0.893,0.97,0.906,0.762,0.946,0.947,0.915,0.899,0.928,0.915,0.916,0.903,0.954,0.726,0.946,0.935,0.803,0.863,0.918,0.941,0.947,0.713,0.63,0.962,0.897,0.935,0.938,0.945,0.921,0.736,0.908,0.957,0.887,0.929,0.731,0.939,0.928
0.25,0.956,0.96,0.942,0.941,0.919,0.949,0.83,0.764,0.963,0.967,0.964,0.946,0.747,0.936,0.77,0.919,0.938,0.933,0.95,0.931,0.937,0.899,0.844,0.772,0.938,0.949,0.962,0.925,0.951,0.944,0.911,0.822,0.942,0.93,0.938,0.964,0.771,0.82,0.941,0.828,0.946,0.787,0.749,0.963,0.94,0.94,0.932,0.963,0.956,0.963,0.875,0.956,0.938,0.951,0.9,0.927,0.912,0.952,0.927,0.95,0.95,0.912,0.953,0.758,0.932,0.929,0.929,0.938,0.894,0.886,0.964,0.934,0.923,0.966,0.944,0.902,0.961,0.945,0.927,0.788,0.785,0.942,0.919,0.932,0.947,0.791,0.881,0.96,0.947,0.771,0.95,0.897,0.801,0.935,0.721,0.95,0.918,0.902,0.936,0.801
0.30,0.927,0.934,0.958,0.913,0.932,0.942,0.941,0.769,0.972,0.964,0.953,0.949,0.921,0.937,0.956,0.963,0.96,0.927,0.945,0.955,0.948,0.81,0.81,0.96,0.954,0.947,0.856,0.948,0.934,0.933,0.933,0.77,0.869,0.792,0.97,0.93,0.951,0.966,0.96,0.947,0.942,0.838,0.956,0.965,0.921,0.912,0.71,0.937,0.798,0.961,0.932,0.923,0.939,0.809,0.933,0.944,0.966,0.954,0.922,0.936,0.959,0.92,0.934,0.933,0.953,0.938,0.965,0.954,0.916,0.956,0.949,0.924,0.949,0.953,0.946,0.921,0.728,0.753,0.956,0.952,0.955,0.798,0.964,0.721,0.919,0.955,0.957,0.948,0.962,0.946,0.809,0.951,0.938,0.955,0.928,0.966,0.937,0.942,0.939,0.943
0.35,0.907,0.963,0.952,0.913,0.959,0.951,0.963,0.847,0.925,0.968,0.953,0.955,0.933,0.837,0.95,0.965,0.913,0.96,0.952,0.973,0.825,0.961,0.952,0.947,0.947,0.946,0.801,0.94,0.926,0.956,0.942,0.953,0.816,0.916,0.901,0.938,0.974,0.959,0.954,0.935,0.953,0.947,0.972,0.938,0.956,0.938,0.947,0.947,0.964,0.947,0.928,0.949,0.941,0.933,0.797,0.964,0.966,0.966,0.717,0.955,0.933,0.927,0.925,0.91,0.849,0.958,0.961,0.811,0.749,0.955,0.972,0.938,0.926,0.95,0.949,0.951,0.957,0.937,0.964,0.927,0.942,0.959,0.815,0.941,0.959,0.937,0.937,0.951,0.95,0.962,0.952,0.964,0.939,0.961,0.945,0.943,0.932,0.821,0.953,0.891
0.40,0.941,0.934,0.96,0.962,0.941,0.954,0.96,0.874,0.944,0.941,0.962,0.962,0.938,0.922,0.957,0.95,0.952,0.951,0.966,0.812,0.948,0.931,0.954,0.945,0.96,0.959,0.951,0.936,0.797,0.96,0.949,0.959,0.954,0.939,0.945,0.972,0.763,0.934,0.826,0.932,0.954,0.961,0.93,0.934,0.969,0.953,0.967,0.955,0.972,0.934,0.947,0.954,0.943,0.956,0.961,0.958,0.967,0.929,0.969,0.96,0.962,0.976,0.96,0.968,0.952,0.758,0.964,0.942,0.973,0.953,0.946,0.962,0.901,0.963,0.966,0.958,0.945,0.971,0.946,0.937,0.961,0.954,0.956,0.952,0.945,0.926,0.904,0.918,0.949,0.956,0.952,0.863,0.947,0.943,0.96,0.956,0.935,0.949,0.955,0.939
0.45,0.942,0.963,0.862,0.969,0.964,0.955,0.95,0.94,0.965,0.95,0.974,0.947,0.948,0.942,0.959,0.879,0.967,0.963,0.956,0.952,0.926,0.931,0.956,0.947,0.963,0.732,0.957,0.957,0.949,0.955,0.962,0.956,0.759,0.956,0.933,0.934,0.964,0.948,0.955,0.951,0.96,0.932,0.953,0.95,0.928,0.949,0.948,0.944,0.961,0.952,0.802,0.96,0.953,0.896,0.934,0.967,0.733,0.956,0.939,0.958,0.952,0.956,0.96,0.961,0.946,0.963,0.965,0.969,0.94,0.945,0.947,0.928,0.957,0.958,0.951,0.784,0.968,0.939,0.943,0.934,0.949,0.949,0.95,0.963,0.965,0.946,0.962,0.972,0.946,0.945,0.951,0.94,0.964,0.956,0.937,0.95,0.949,0.955,0.944,0.959
0.50,0.942,0.971,0.847,0.95,0.968,0.954,0.972,0.95,0.969,0.909,0.964,0.948,0.959,0.962,0.849,0.956,0.941,0.959,0.972,0.954,0.96,0.946,0.974,0.968,0.962,0.949,0.95,0.832,0.943,0.973,0.957,0.965,0.776,0.974,0.944,0.966,0.963,0.966,0.944,0.963,0.932,0.955,0.96,0.959,0.96,0.964,0.968,0.958,0.957,0.957,0.831,0.946,0.953,0.965,0.971,0.948,0.806,0.962,0.935,0.949,0.955,0.954,0.952,0.956,0.957,0.93,0.974,0.971,0.893,0.959,0.94,0.789,0.963,0.945,0.896,0.96,0.949,0.938,0.945,0.954,0.957,0.948,0.959,0.913,0.967,0.971,0.964,0.972,0.94,0.947,0.961,0.957,0.973,0.945,0.963,0.973,0.941,0.952,0.959,0.958
