ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.784,0.805,0.652,0.866,0.705,0.786,0.31,0.758,0.836,0.824,0.594,0.772,0.628,0.643,0.75,0.562,0.648,-21.926,0.546,0.753,0.613,0.7,0.705,0.491,0.602,-0.102,0.53,0.801,0.843,0.87,0.815,0.374,0.544,0.718,0.882,0.66,0.799,0.171,0.772,0.757,0.762,0.547,0.775,0.847,0.527,0.649,0.858,0.531,0.469,0.475,0.836,0.602,0.763,0.699,0.652,0.663,0.348,0.742,0.841,0.625,0.583,0.913,-0.381,0.306,0.665,0.622,-0.818,0.618,0.708,0.698,0.547,0.598,0.802,0.734,0.601,0.609,0.376,0.473,0.67,0.622,0.807,0.837,0.707,0.493,0.759,0.834,0.79,0.798,0.298,0.524,0.264,0.538,0.794,0.797,0.502,0.74,0.663,0.851,0.572,0.647
0.10,0.886,0.901,0.943,0.712,0.779,0.919,0.925,0.887,0.889,0.75,0.684,0.904,0.893,0.859,0.901,0.727,0.892,0.899,0.665,0.902,0.735,0.893,0.646,0.786,0.919,0.901,0.652,0.869,0.908,0.878,0.796,0.739,0.866,0.711,0.877,0.888,0.741,0.906,0.9,0.925,0.883,0.724,0.884,0.835,0.711,0.91,0.71,0.864,0.688,0.892,0.825,0.684,0.861,0.919,0.828,0.935,0.875,0.913,0.887,0.686,0.684,0.707,0.87,0.718,0.701,0.629,0.906,0.883,0.905,0.71,0.679,0.858,0.866,0.799,0.916,0.928,0.881,0.79,0.813,0.773,0.876,0.907,0.913,0.832,0.871,0.688,0.915,0.92,0.901,0.898,0.91,0.74,0.914,0.71,0.897,0.93,0.903,0.842,0.843,0.92
0.15,0.923,0.908,0.912,0.925,0.945,0.929,0.915,0.744,0.949,0.947,0.853,0.943,0.904,0.759,0.938,0.743,0.957,0.896,0.938,0.909,0.879,0.937,0.931,0.9,0.77,0.928,0.951,0.894,0.915,0.935,0.916,0.917,0.934,0.948,0.939,0.921,0.91,0.93,0.742,0.941,0.95,0.767,0.92,0.766,0.87,0.942,0.943,0.919,0.941,0.915,0.904,0.957,0.88,0.752,0.866,0.789,0.72,0.884,0.744,0.928,0.895,0.901,0.802,0.779,0.94,0.74,0.903,0.764,0.915,0.927,0.95,0.738,0.833,0.77,0.958,0.95,0.943,0.933,0.827,0.948,0.93,0.922,0.891,0.862,0.933,0.944,0.914,0.744,0.899,0.923,0.875,0.927,0.935,0.902,0.927,0.927,0.931,0.904,0.929,0.915
0.20,0.931,0.938,0.954,0.934,0.72,0.939,0.934,0.871,0.943,0.94,0.964,0.745,0.921,0.944,0.953,0.942,0.942,0.952,0.921,0.928,0.75,0.933,0.925,0.932,0.943,0.921,0.76,0.782,0.904,0.771,0.94,0.936,0.962,0.922,0.939,0.933,0.944,0.93,0.944,0.926,0.941,0.923,0.934,0.773,0.757,0.941,0.946,0.947,0.958,0.952,0.933,0.849,0.937,0.944,0.873,0.757,0.94,0.919,0.769,0.938,0.943,0.762,0.949,0.752,0.953,0.79,0.938,0.958,0.933,0.926,0.932,0.953,0.956,0.942,0.955,0.948,0.956,0.811,0.948,0.944,0.818,0.947,0.943,0.919,0.939,0.951,0.942,0.913,0.886,0.918,0.753,0.943,0.956,0.937,0.933,0.95,0.764,0.948,0.96,0.945
0.25,0.927,0.781,0.949,0.956,0.947,0.935,0.965,0.96,0.931,0.948,0.959,0.951,0.958,0.933,0.948,0.949,0.939,0.94,0.94,0.929,0.777,0.929,0.935,0.756,0.959,0.954,0.796,0.924,0.957,0.932,0.965,0.954,0.944,0.914,0.904,0.941,0.956,0.941,0.972,0.935,0.944,0.936,0.938,0.951,0.942,0.951,0.956,0.947,0.738,0.919,0.905,0.965,0.943,0.955,0.949,0.953,0.955,0.935,0.945,0.959,0.74,0.944,0.924,0.933,0.811,0.941,0.951,0.954,0.963,0.827,0.959,0.96,0.933,0.761,0.962,0.94,0.926,0.937,0.77,0.956,0.939,0.965,0.936,0.963,0.942,0.948,0.955,0.942,0.962,0.943,0.955,0.943,0.947,0.953,0.951,0.964,0.94,0.958,0.947,0.933
0.30,0.951,0.952,0.948,0.952,0.956,0.952,0.948,0.943,0.962,0.944,0.943,0.958,0.966,0.954,0.963,0.955,0.963,0.941,0.939,0.949,0.771,0.956,0.944,0.95,0.962,0.94,0.933,0.948,0.909,0.942,0.925,0.954,0.96,0.953,0.949,0.961,0.886,0.942,0.939,0.938,0.96,0.948,0.951,0.961,0.941,0.777,0.96,0.954,0.933,0.928,0.775,0.774,0.967,0.956,0.955,0.949,0.951,0.962,0.966,0.962,0.67,0.947,0.94,0.959,0.781,0.961,0.957,0.961,0.941,0.948,0.954,0.961,0.964,0.78,0.963,0.793,0.851,0.933,0.932,0.962,0.945,0.965,0.937,0.811,0.958,0.956,0.96,0.955,0.968,0.893,0.877,0.898,0.957,0.957,0.966,0.954,0.882,0.946,0.962,0.949
0.35,0.948,0.79,0.952,0.941,0.938,0.971,0.957,0.962,0.932,0.951,0.931,0.967,0.95,0.777,0.958,0.962,0.811,0.965,0.948,0.957,0.942,0.924,0.961,0.966,0.944,0.967,0.955,0.953,0.951,0.945,0.959,0.956,0.966,0.933,0.95,0.946,0.974,0.92,0.954,0.963,0.957,0.961,0.959,0.927,0.937,0.962,0.922,0.963,0.801,0.942,0.954,0.945,0.967,0.953,0.925,0.931,0.969,0.959,0.956,0.962,0.954,0.958,0.856,0.892,0.919,0.951,0.956,0.944,0.944,0.929,0.951,0.947,0.806,0.759,0.958,0.946,0.95,0.954,0.959,0.965,0.933,0.956,0.957,0.927,0.953,0.948,0.956,0.937,0.955,0.948,0.936,0.954,0.964,0.946,0.923,0.952,0.951,0.94,0.937,0.961
0.40,0.958,0.951,0.898,0.961,0.97,0.965,0.967,0.968,0.944,0.969,0.964,0.944,0.955,0.924,0.971,0.947,0.959,0.969,0.964,0.812,0.946,0.963,0.964,0.967,0.969,0.957,0.97,0.943,0.964,0.966,0.951,0.964,0.947,0.852,0.951,0.968,0.949,0.955,0.963,0.935,0.968,0.812,0.967,0.963,0.961,0.941,0.946,0.964,0.964,0.949,0.962,0.964,0.964,0.952,0.941,0.957,0.969,0.966,0.963,0.962,0.956,0.796,0.973,0.957,0.956,0.964,0.95,0.962,0.958,0.963,0.944,0.964,0.964,0.964,0.96,0.943,0.947,0.949,0.949,0.964,0.784,0.962,0.948,0.974,0.946,0.961,0.951,0.966,0.954,0.962,0.947,0.966,0.795,0.952,0.954,0.969,0.936,0.97,0.97,0.946
0.45,0.819,0.972,0.964,0.968,0.968,0.965,0.96,0.96,0.949,0.956,0.956,0.953,0.895,0.959,0.853,0.972,0.962,0.957,0.937,0.967,0.96,0.952,0.953,0.949,0.968,0.971,0.963,0.924,0.947,0.959,0.951,0.967,0.951,0.944,0.96,0.962,0.879,0.969,0.966,0.969,0.955,0.943,0.972,0.958,0.966,0.958,0.968,0.95,0.943,0.946,0.958,0.929,0.972,0.956,0.948,0.958,0.96,0.956,0.946,0.967,0.965,0.964,0.961,0.96,0.967,0.949,0.95,0.962,0.968,0.959,0.973,0.969,0.953,0.962,0.957,0.949,0.967,0.957,0.957,0.96,0.951,0.962,0.972,0.96,0.97,0.968,0.966,0.951,0.961,0.959,0.942,0.954,0.967,0.961,0.963,0.961,0.963,0.962,0.95,0.958
0.50,0.949,0.97,0.966,0.966,0.817,0.977,0.971,0.938,0.969,0.958,0.951,0.968,0.963,0.945,0.836,0.968,0.965,0.963,0.956,0.857,0.948,0.942,0.962,0.969,0.958,0.95,0.964,0.942,0.968,0.953,0.797,0.973,0.851,0.958,0.969,0.966,0.96,0.965,0.967,0.975,0.972,0.957,0.971,0.959,0.949,0.965,0.95,0.95,0.962,0.964,0.947,0.926,0.947,0.958,0.966,0.967,0.946,0.966,0.971,0.973,0.952,0.857,0.961,0.957,0.956,0.973,0.971,0.965,0.961,0.957,0.965,0.957,0.974,0.889,0.966,0.971,0.974,0.953,0.943,0.905,0.967,0.964,0.971,0.948,0.966,0.804,0.965,0.97,0.963,0.809,0.948,0.97,0.956,0.96,0.972,0.97,0.965,0.946,0.96,0.955
0.55,0.963,0.955,0.964,0.961,0.943,0.972,0.973,0.968,0.965,0.971,0.959,0.959,0.924,0.945,0.851,0.946,0.968,0.951,0.97,0.871,0.945,0.959,0.963,0.953,0.97,0.816,0.969,0.95,0.96,0.955,0.963,0.954,0.821,0.951,0.966,0.96,0.923,0.963,0.965,0.971,0.948,0.971,0.969,0.943,0.956,0.961,0.95,0.972,0.952,0.954,0.963,0.959,0.966,0.933,0.961,0.941,0.962,0.958,0.956,0.952,0.962,0.953,0.964,0.955,0.964,0.973,0.957,0.961,0.965,0.968,0.951,0.975,0.967,0.96,0.971,0.964,0.958,0.961,0.955,0.83,0.968,0.97,0.958,0.961,0.801,0.957,0.967,0.969,0.97,0.94,0.959,0.969,0.949,0.965,0.948,0.962,0.964,0.971,0.961,0.971
0.60,0.955,0.962,0.965,0.971,0.946,0.895,0.954,0.954,0.954,0.968,0.964,0.853,0.97,0.97,0.962,0.947,0.966,0.975,0.97,0.836,0.961,0.968,0.963,0.951,0.965,0.939,0.961,0.965,0.968,0.943,0.963,0.974,0.817,0.972,0.963,0.952,0.963,0.971,0.961,0.97,0.951,0.973,0.962,0.955,0.941,0.974,0.966,0.965,0.964,0.954,0.956,0.954,0.967,0.967,0.968,0.969,0.976,0.92,0.964,0.975,0.954,0.972,0.974,0.954,0.969,0.975,0.962,0.973,0.969,0.955,0.966,0.965,0.942,0.967,0.969,0.97,0.95,0.976,0.95,0.964,0.963,0.968,0.965,0.973,0.949,0.959,0.97,0.973,0.947,0.958,0.948,0.969,0.968,0.952,0.954,0.973,0.848,0.972,0.977,0.967
0.65,0.963,0.957,0.966,0.964,0.975,0.971,0.935,0.966,0.975,0.954,0.968,0.946,0.967,0.949,0.966,0.896,0.96,0.961,0.962,0.94,0.972,0.952,0.964,0.953,0.961,0.969,0.975,0.947,0.969,0.966,0.968,0.965,0.973,0.97,0.973,0.963,0.841,0.969,0.952,0.969,0.955,0.971,0.948,0.973,0.962,0.968,0.963,0.965,0.829,0.962,0.969,0.965,0.948,0.954,0.943,0.978,0.947,0.97,0.96,0.948,0.97,0.963,0.961,0.968,0.975,0.969,0.979,0.959,0.97,0.966,0.849,0.965,0.966,0.934,0.888,0.962,0.969,0.973,0.971,0.963,0.962,0.972,0.958,0.961,0.966,0.961,0.972,0.969,0.96,0.958,0.948,0.973,0.948,0.969,0.968,0.961,0.969,0.961,0.969,0.961
0.70,0.967,0.964,0.971,0.948,0.968,0.964,0.97,0.969,0.968,0.97,0.971,0.965,0.954,0.947,0.968,0.971,0.958,0.975,0.967,0.968,0.928,0.973,0.947,0.952,0.97,0.95,0.974,0.967,0.971,0.943,0.969,0.96,0.972,0.972,0.969,0.97,0.97,0.976,0.97,0.962,0.932,0.962,0.962,0.955,0.962,0.961,0.977,0.964,0.969,0.962,0.962,0.966,0.953,0.951,0.969,0.962,0.975,0.963,0.958,0.96,0.97,0.976,0.969,0.971,0.964,0.961,0.972,0.913,0.971,0.972,0.961,0.975,0.965,0.965,0.968,0.971,0.971,0.961,0.947,0.956,0.965,0.97,0.963,0.965,0.966,0.962,0.97,0.96,0.965,0.942,0.95,0.974,0.962,0.966,0.954,0.971,0.961,0.961,0.976,0.973
