ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.152,0.796,-0.215,0.549,-8.977,-0.97,-0.525,-4.247,-2.639,0.704,-5.019,0.583,0.961,0.438,0.208,-10.412,-0.156,-7.256,0.688,-11.377,0.473,-0.791,-0.48,-2.363,0.222,0.752,-0.257,-0.96,-2.549,0.776,-6.822,-13.841,-0.284,-0.252,0.168,0.274,0.478,-2.071,-1.608,-24.093,-4.538,-4.614,0.824,0.397,-0.768,-0.597,-0.363,-0.402,0.046,-6.889,0.66,-0.559,0.614,-6.058,-107.685,0.22,-1.05,-0.524,-0.508,-150.032,-146.053,-1.754,-0.821,-3.036,-9.132,0.184,0.866,-10.672,0.285,0.644,-8.765,-0.965,0.604,0.515,-1.0,-2.153,-0.73,0.276,0.435,-3.477,0.592,-0.962,-2.279,0.362,-1.131,0.522,0.853,0.055,-1.026,-137.122,0.258,-6.547,-9.557,-1.151,0.785,0.601,-5.183,-4.98,-3.978,0.613
0.10,0.046,0.714,-0.404,-0.532,-2.03,-0.967,-10.054,0.864,-0.721,0.145,0.499,-0.578,0.652,-22.17,0.159,-6.519,-4.443,0.212,0.375,0.674,0.684,-1.024,-0.529,0.821,0.839,0.866,0.539,0.616,0.653,0.601,0.168,0.077,-0.172,0.484,0.762,-0.115,0.563,0.597,0.497,0.687,0.84,0.374,0.454,0.481,0.344,0.212,0.845,-0.868,0.859,0.094,-0.848,0.748,0.522,0.703,0.85,0.561,-0.396,0.747,0.735,0.171,-61.296,0.296,0.731,0.549,0.93,0.092,-5.216,0.779,0.66,0.609,0.557,-6.23,0.869,0.383,0.632,0.605,0.771,-0.82,0.846,0.2,0.33,-0.18,-0.332,0.71,0.754,0.54,0.371,0.648,0.861,0.713,-0.687,0.091,-1.414,0.444,0.301,0.865,0.653,-0.448,0.187,0.621
0.15,0.497,0.955,0.33,0.277,0.589,0.645,-1.871,0.708,0.882,0.803,0.433,0.3,-0.0,0.321,0.412,0.643,0.894,0.901,0.525,0.524,-0.481,-0.116,0.767,0.724,0.376,0.645,0.758,0.521,-0.067,-0.955,0.768,-0.207,0.164,0.732,0.629,0.441,0.902,0.709,0.702,0.87,0.57,0.613,0.826,0.34,-2.598,0.537,0.958,0.213,0.111,0.352,0.24,0.897,0.736,0.81,0.79,0.429,0.183,0.907,0.678,0.733,0.632,0.806,0.597,0.514,0.556,0.806,0.716,0.789,0.606,0.831,-0.932,0.319,0.484,0.392,0.489,0.642,-0.134,0.806,0.412,-9.155,0.629,0.839,0.8,-0.292,0.88,0.583,0.795,-1.111,0.062,0.405,0.423,0.474,0.916,0.683,0.593,-0.583,0.691,0.633,0.392,0.6
0.20,0.801,0.484,0.872,0.715,0.878,0.597,-2.856,0.542,0.794,0.371,-0.767,-0.591,0.979,0.903,0.772,0.495,0.904,0.947,0.408,0.731,0.089,0.602,0.809,0.809,0.776,0.065,0.78,0.722,0.813,0.858,0.15,0.778,0.777,-0.166,0.705,0.907,0.715,0.529,0.81,0.78,0.496,0.893,0.878,0.883,0.713,0.916,0.444,0.959,0.87,-1.993,0.337,0.942,0.844,0.44,0.776,0.831,0.742,0.831,0.796,0.946,0.88,0.742,0.722,0.954,0.975,0.9,0.86,0.302,0.669,0.207,-1.491,-0.366,0.862,0.921,0.221,0.944,0.902,0.779,0.312,0.511,0.853,0.835,0.927,-1.519,0.832,0.719,0.328,0.517,0.61,0.568,0.469,0.439,0.6,0.653,0.77,0.811,0.786,-0.693,0.566,0.749
0.25,0.783,0.897,0.934,0.922,0.773,0.726,0.851,0.98,0.975,0.907,0.349,0.779,0.564,0.783,0.885,0.97,0.859,0.903,-0.066,0.71,0.517,0.572,0.959,0.963,0.953,0.577,0.766,0.594,0.832,0.892,0.874,0.928,0.501,0.725,0.114,0.93,0.952,0.644,0.407,0.932,0.811,0.162,0.765,0.772,0.302,0.846,0.579,0.595,0.929,-0.013,0.622,0.956,0.774,0.894,0.566,0.812,0.841,0.895,0.967,0.868,0.94,0.828,0.847,0.862,0.908,0.862,0.631,0.566,0.296,0.521,0.915,0.808,0.932,0.878,0.961,0.952,0.93,0.925,0.863,0.643,0.681,0.542,0.89,0.183,0.822,0.562,0.706,0.482,0.804,0.971,0.789,0.85,0.882,0.891,0.615,0.91,0.91,0.909,0.526,0.667
0.30,0.836,0.741,0.856,0.744,0.626,0.763,0.947,0.957,0.922,0.833,0.285,0.975,0.828,0.824,0.805,0.909,0.83,0.88,0.917,0.98,0.933,0.943,0.936,0.827,0.961,0.933,0.929,0.693,0.903,0.801,0.88,0.919,0.947,0.932,0.903,0.984,0.771,0.943,0.186,0.821,0.861,0.828,0.819,-0.687,0.733,0.968,0.951,0.755,0.936,0.801,0.972,0.91,0.942,0.812,0.753,0.888,0.893,0.884,0.809,0.917,0.86,0.735,0.815,0.959,0.946,0.958,0.974,0.895,0.736,0.759,0.874,0.754,0.916,0.842,0.931,0.977,0.264,0.696,0.715,0.829,0.905,0.935,0.952,0.7,0.72,0.913,0.859,0.903,0.321,0.948,0.954,0.867,0.935,0.922,0.656,0.869,0.855,0.961,0.508,0.885
0.35,0.8,0.736,0.612,0.95,0.632,0.897,0.958,0.921,0.684,0.913,0.846,0.926,0.934,0.947,0.597,0.811,0.967,0.971,0.902,0.78,0.955,0.968,0.958,0.967,0.94,0.614,0.972,0.688,0.89,0.581,0.937,0.958,0.731,0.75,0.95,0.918,0.924,0.96,0.909,0.2,0.543,0.927,0.717,0.705,0.817,0.953,0.907,0.898,0.96,0.939,0.934,0.971,0.975,0.921,0.549,0.89,0.757,0.926,0.85,0.56,0.926,0.95,0.952,0.927,0.91,0.821,0.839,0.322,0.914,0.872,0.928,0.866,0.947,0.937,0.91,0.951,0.442,0.961,0.899,0.89,0.917,0.938,0.939,0.956,0.928,0.962,0.955,0.935,0.825,0.946,0.959,0.929,0.942,0.95,0.804,0.941,0.962,0.753,0.765,0.883
0.40,0.952,0.767,0.793,0.909,0.845,0.921,0.872,0.956,0.979,0.965,0.918,0.952,0.905,0.947,0.935,0.808,0.976,0.947,0.922,0.971,0.954,0.948,0.973,0.968,0.964,0.945,0.78,0.956,0.961,0.951,0.94,0.963,0.977,0.931,0.963,0.436,0.949,0.954,0.883,0.95,0.963,0.91,0.917,0.958,0.816,0.784,0.83,0.953,0.971,0.664,0.963,0.938,0.942,0.975,0.857,0.98,0.919,0.888,0.929,0.873,0.936,0.927,0.867,0.963,0.906,0.979,0.951,0.696,0.955,0.896,0.966,0.957,0.948,0.952,0.96,0.973,0.909,0.876,0.943,0.889,0.963,0.63,0.337,0.803,0.918,0.976,0.929,0.913,0.93,0.973,0.936,0.9,0.299,0.77,0.865,0.876,0.922,0.977,0.876,0.794
0.45,0.985,0.866,0.956,0.969,0.862,0.972,0.964,0.945,0.964,0.188,0.966,0.97,0.945,0.775,0.966,0.965,0.932,0.969,0.936,0.94,0.942,0.966,0.967,-0.097,0.972,0.721,0.964,0.978,0.95,0.968,0.966,0.948,0.897,0.965,0.935,0.837,0.915,0.916,0.927,0.682,0.942,0.865,0.801,0.749,0.929,0.968,0.907,0.68,0.973,0.89,0.984,0.96,0.926,0.66,0.973,0.95,0.55,0.846,0.962,0.673,0.86,0.977,0.546,0.603,0.961,0.979,0.944,0.785,0.888,0.943,0.834,0.871,0.627,0.931,0.795,0.948,0.976,0.736,0.701,0.961,0.948,0.952,0.934,0.946,0.939,0.222,0.942,0.981,0.984,0.96,0.96,0.967,0.983,0.938,0.92,0.979,0.964,0.877,0.964,0.93
0.50,0.943,0.96,0.941,0.976,0.97,0.962,0.915,0.974,0.859,0.942,0.978,0.947,0.962,0.946,0.947,0.684,0.966,0.979,0.944,0.98,0.973,0.952,0.8,0.752,0.942,0.964,0.953,0.964,0.974,0.967,0.97,0.892,0.951,0.899,0.923,0.953,0.727,0.902,0.971,0.961,0.948,0.95,0.853,0.976,0.888,0.945,0.969,0.959,0.95,0.964,0.863,0.953,0.97,0.723,0.942,0.792,0.973,0.943,0.86,0.958,0.96,0.963,0.972,0.924,0.975,0.962,0.953,0.952,0.521,0.962,0.922,0.927,0.919,0.97,0.96,0.973,0.97,0.768,0.783,0.981,0.964,0.983,0.969,0.969,0.926,0.959,0.934,0.977,0.969,0.964,0.802,0.71,0.937,0.814,0.907,0.971,0.892,0.847,0.946,0.94
0.55,0.799,0.95,0.971,0.972,0.96,0.963,0.986,0.908,0.954,0.956,0.689,0.969,0.967,0.937,0.657,0.786,0.976,0.863,0.891,0.976,0.962,0.98,0.943,0.943,0.939,0.978,0.828,0.977,0.983,0.97,0.709,0.959,0.976,0.855,0.923,0.978,0.962,0.957,0.944,0.988,0.949,0.947,0.957,0.786,0.94,0.965,0.798,0.947,0.976,0.961,0.948,0.969,0.959,0.715,0.973,0.899,0.73,0.97,0.952,0.862,0.91,0.955,0.944,0.974,0.965,0.963,0.956,0.977,0.984,0.956,0.96,0.934,0.973,0.974,0.971,0.963,0.974,0.866,0.62,0.888,0.9,0.967,0.945,0.897,0.982,0.958,0.967,0.949,0.954,0.974,0.958,0.982,0.986,0.967,0.831,0.987,0.932,0.948,0.93,0.984
0.60,0.964,0.984,0.886,0.925,0.959,0.713,0.95,0.878,0.97,0.945,0.963,0.976,0.966,0.868,0.972,0.965,0.95,0.958,0.912,0.854,0.978,0.96,0.984,0.976,0.958,0.967,0.972,0.982,0.981,0.979,0.981,0.965,0.982,0.973,0.968,0.976,0.919,0.976,0.845,0.957,0.967,0.779,0.979,0.983,0.958,0.954,0.908,0.944,0.862,0.963,0.967,0.976,0.972,0.886,0.962,0.946,0.974,0.971,0.964,0.925,0.835,0.96,0.967,0.967,0.94,0.969,0.955,0.977,0.976,0.969,0.933,0.968,0.961,0.966,0.938,0.956,0.96,0.958,0.939,0.977,0.915,0.987,0.964,0.953,0.964,0.946,0.841,0.951,0.971,0.985,0.915,0.947,0.972,0.972,0.77,0.906,0.931,0.944,0.973,0.905
0.65,0.832,0.727,0.968,0.896,0.972,0.981,0.934,0.969,0.971,0.801,0.961,0.968,0.946,0.987,0.958,0.961,0.979,0.975,0.904,0.944,0.827,0.968,0.954,0.965,0.966,0.968,0.925,0.963,0.964,0.958,0.967,0.926,0.967,0.88,0.972,0.969,0.956,0.948,0.949,0.879,0.975,0.974,0.974,0.954,0.963,0.942,0.981,0.961,0.956,0.966,0.967,0.964,0.963,0.969,0.945,0.975,0.971,0.965,0.966,0.964,0.812,0.968,0.891,0.97,0.969,0.948,0.974,0.958,0.983,0.972,0.899,0.966,0.985,0.969,0.946,0.972,0.968,0.96,0.971,0.964,0.968,0.98,0.966,0.869,0.97,0.971,0.969,0.974,0.982,0.97,0.982,0.97,0.975,0.966,0.965,0.953,0.963,0.947,0.953,0.967
0.70,0.96,0.877,0.906,0.946,0.961,0.969,0.973,0.895,0.979,0.976,0.929,0.982,0.978,0.921,0.939,0.981,0.976,0.981,0.963,0.971,0.973,0.962,0.978,0.959,0.978,0.97,0.975,0.975,0.986,0.97,0.962,0.975,0.96,0.805,0.918,0.949,0.938,0.967,0.98,0.951,0.964,0.96,0.974,0.957,0.878,0.964,0.969,0.956,0.974,0.953,0.968,0.975,0.953,0.949,0.967,0.941,0.975,0.975,0.954,0.98,0.937,0.961,0.985,0.975,0.981,0.938,0.974,0.982,0.988,0.987,0.966,0.976,0.979,0.982,0.942,0.954,0.976,0.702,0.953,0.971,0.949,0.962,0.971,0.969,0.987,0.953,0.975,0.983,0.98,0.983,0.964,0.862,0.976,0.982,0.968,0.982,0.962,0.99,0.946,0.969
0.75,0.963,0.896,0.964,0.976,0.973,0.977,0.947,0.937,0.985,0.973,0.986,0.964,0.918,0.891,0.977,0.969,0.952,0.973,0.975,0.972,0.95,0.965,0.964,0.962,0.976,0.977,0.966,0.971,0.97,0.973,0.978,0.979,0.971,0.859,0.967,0.97,0.83,0.97,0.908,0.976,0.988,0.97,0.962,0.973,0.97,0.939,0.974,0.986,0.97,0.968,0.954,0.976,0.972,0.949,0.902,0.962,0.964,0.962,0.961,0.942,0.985,0.969,0.806,0.943,0.982,0.97,0.972,0.978,0.974,0.965,0.972,0.966,0.976,0.981,0.862,0.966,0.964,0.965,0.956,0.957,0.976,0.982,0.984,0.961,0.967,0.983,0.954,0.96,0.952,0.951,0.991,0.972,0.963,0.972,0.968,0.871,0.946,0.967,0.965,0.972
0.80,0.96,0.95,0.966,0.966,0.826,0.985,0.964,0.973,0.973,0.984,0.979,0.978,0.948,0.973,0.73,0.962,0.969,0.98,0.956,0.87,0.958,0.981,0.967,0.964,0.968,0.983,0.976,0.975,0.984,0.987,0.977,0.75,0.96,0.976,0.949,0.961,0.984,0.966,0.961,0.954,0.961,0.983,0.979,0.977,0.93,0.945,0.968,0.976,0.983,0.973,0.966,0.975,0.984,0.97,0.959,0.964,0.97,0.975,0.789,0.972,0.98,0.984,0.981,0.976,0.945,0.971,0.849,0.977,0.972,0.973,0.956,0.99,0.968,0.965,0.977,0.981,0.951,0.988,0.965,0.976,0.963,0.768,0.972,0.975,0.966,0.909,0.962,0.982,0.958,0.97,0.969,0.973,0.985,0.964,0.809,0.971,0.973,0.975,0.954,0.966
0.85,0.941,0.898,0.977,0.922,0.972,0.963,0.979,0.968,0.976,0.983,0.976,0.982,0.98,0.974,0.973,0.97,0.986,0.989,0.838,0.925,0.97,0.969,0.946,0.98,0.989,0.982,0.97,0.99,0.981,0.981,0.964,0.965,0.94,0.953,0.949,0.981,0.981,0.949,0.973,0.973,0.961,0.955,0.966,0.971,0.982,0.964,0.979,0.97,0.98,0.95,0.963,0.958,0.969,0.96,0.976,0.97,0.977,0.969,0.981,0.978,0.974,0.818,0.983,0.985,0.968,0.971,0.941,0.977,0.966,0.968,0.987,0.908,0.967,0.959,0.984,0.971,0.961,0.976,0.985,0.831,0.969,0.959,0.973,0.95,0.982,0.949,0.972,0.983,0.969,0.975,0.965,0.806,0.914,0.971,0.781,0.977,0.981,0.934,0.978,0.873
0.90,0.985,0.984,0.961,0.983,0.981,0.961,0.976,0.978,0.956,0.932,0.984,0.954,0.982,0.972,0.964,0.971,0.832,0.983,0.979,0.979,0.964,0.979,0.97,0.975,0.947,0.979,0.966,0.63,0.956,0.975,0.971,0.972,0.968,0.972,0.937,0.986,0.982,0.989,0.971,0.98,0.942,0.974,0.973,0.978,0.949,0.991,0.974,0.95,0.94,0.986,0.95,0.812,0.976,0.615,0.849,0.985,0.989,0.982,0.982,0.907,0.873,0.976,0.982,0.972,0.987,0.965,0.964,0.967,0.973,0.963,0.954,0.973,0.981,0.968,0.984,0.98,0.785,0.963,0.965,0.97,0.98,0.971,0.98,0.989,0.986,0.969,0.97,0.943,0.975,0.977,0.972,0.82,0.986,0.982,0.983,0.985,0.966,0.858,0.975,0.869
0.95,0.978,0.981,0.958,0.99,0.968,0.987,0.974,0.987,0.935,0.947,0.983,0.975,0.813,0.975,0.879,0.975,0.989,0.975,0.983,0.971,0.976,0.948,0.955,0.981,0.971,0.973,0.961,0.956,0.971,0.957,0.991,0.971,0.979,0.983,0.976,0.984,0.975,0.969,0.973,0.983,0.974,0.981,0.951,0.977,0.973,0.761,0.985,0.98,0.982,0.987,0.977,0.981,0.982,0.978,0.963,0.971,0.989,0.976,0.986,0.965,0.964,0.952,0.983,0.972,0.948,0.989,0.989,0.971,0.98,0.972,0.965,0.966,0.977,0.954,0.974,0.783,0.983,0.983,0.971,0.979,0.981,0.979,0.981,0.974,0.975,0.975,0.971,0.98,0.98,0.982,0.974,0.98,0.967,0.969,0.979,0.973,0.972,0.987,0.954,0.948
