ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-1.142,0.511,-1.819,-1.732,-0.116,0.713,0.282,0.3,0.32,0.595,-1.663,-3.096,-8.921,-0.584,-22.707,0.285,-0.354,0.553,-9.219,-1.777,-5.013,0.327,-0.006,0.579,-0.569,0.599,-2.108,-0.714,-0.342,-0.634,0.198,0.749,-2.223,-0.185,-9.352,0.076,-0.358,-1.678,-0.314,0.28,0.474,-0.816,0.777,0.171,-15.577,0.641,0.51,-0.252,0.397,-0.949,0.591,-4.13,-0.067,0.446,0.086,-0.601,-2.086,0.632,-264.888,-2.028,0.375,-13.567,-6.796,0.735,0.845,0.757,0.427,0.074,0.859,-0.227,0.663,0.656,-4.043,-0.843,-2.783,0.855,-2.368,-3.812,-9.395,0.422,-4.819,0.706,-3.731,0.16,-0.54,0.169,-0.109,-0.331,-26.932,0.257,-1.329,-5.512,-2.125,0.609,0.659,0.483,0.528,-157.36,-0.824,0.247
0.10,-0.833,0.325,-0.899,0.86,-1.293,0.87,-0.545,0.19,0.795,0.385,-4.649,0.328,0.599,0.277,-0.064,0.317,-0.295,-1.467,-0.183,0.867,-0.324,-1.371,0.833,-0.221,0.449,-0.367,-6.669,0.501,0.289,0.565,0.297,-4.477,0.711,0.689,0.612,0.236,-0.489,0.537,-1.349,0.102,0.393,-0.704,0.306,0.768,0.249,0.049,0.838,-0.131,0.621,0.259,0.774,-1.159,0.92,0.735,0.819,0.357,0.081,-0.39,0.911,0.826,0.462,0.748,0.909,-1.703,0.096,0.812,-0.076,-2.378,-7.287,-1.254,-1.655,-1.517,-4.159,0.86,-1.207,-1.292,-0.979,0.344,-0.145,0.858,-2.176,0.049,0.032,-0.096,-0.012,0.878,-0.672,0.687,-0.325,-1.695,0.921,0.723,0.632,0.459,0.833,-3.059,-0.173,0.346,-0.514,0.748
0.15,0.664,0.747,0.377,0.943,0.707,0.562,0.397,0.322,0.425,0.069,0.354,0.731,-0.85,0.08,-0.098,0.385,0.732,0.403,-0.307,-0.391,0.673,0.562,0.482,-0.085,0.722,0.823,-2.574,-1.321,0.504,0.665,0.748,0.835,0.035,0.691,0.6,0.873,-0.174,0.754,0.906,0.839,-0.35,0.847,0.772,0.816,0.623,0.772,0.723,0.947,0.834,0.858,0.193,0.416,0.267,0.124,0.48,0.3,0.851,0.891,0.919,0.893,0.75,0.212,0.817,0.647,0.776,0.446,0.701,0.733,0.506,0.81,0.493,0.485,0.855,0.736,0.542,0.755,0.597,0.751,0.42,0.546,0.821,0.665,-2.317,0.714,0.687,0.925,-0.7,0.754,0.592,0.678,0.635,0.774,0.565,-0.593,0.915,0.606,0.763,0.833,-0.006,0.57
0.20,0.609,0.931,0.794,0.889,-1.898,0.908,0.55,0.708,0.624,0.798,0.602,0.882,0.839,0.736,0.921,-3.731,0.618,0.879,0.788,0.687,0.541,0.927,0.28,-1.143,-0.995,0.721,0.661,0.757,0.654,-1.638,0.906,0.814,0.944,0.446,0.951,0.239,0.665,0.894,0.739,0.975,0.349,0.91,0.926,0.874,0.721,0.786,0.181,0.504,0.835,0.862,0.726,0.642,0.748,0.542,0.805,0.699,0.223,-0.492,0.963,0.652,0.678,0.514,0.614,0.967,0.951,0.875,-1.309,0.354,0.917,0.689,0.515,0.919,0.675,0.915,0.918,0.553,0.777,0.844,0.838,0.628,0.799,0.72,0.851,0.939,0.923,0.152,0.845,0.665,0.608,0.649,0.51,0.781,0.933,0.839,0.908,0.507,0.939,0.217,0.941,0.668
0.25,0.634,0.893,0.942,0.945,0.922,0.915,0.604,0.952,0.762,0.756,0.773,0.934,0.898,0.908,0.644,0.736,0.565,0.961,0.785,0.939,0.955,0.685,0.78,0.628,0.568,0.677,0.635,0.831,0.575,0.744,0.883,0.224,0.381,0.936,0.739,0.942,0.819,0.851,-0.701,0.802,0.986,0.242,0.914,0.904,0.706,0.904,0.92,0.41,0.911,0.749,0.79,0.969,0.902,0.927,0.898,0.64,0.702,0.705,0.972,0.747,0.746,0.798,0.819,0.922,0.881,0.561,0.89,0.978,0.861,0.887,0.793,0.058,0.804,0.915,0.907,0.923,0.9,0.948,0.92,0.63,0.861,0.907,0.779,0.807,0.912,0.903,0.543,0.788,0.847,0.485,0.799,-1.316,0.908,0.914,-0.78,0.912,0.877,0.917,0.762,0.928
0.30,0.87,0.804,0.953,0.824,0.802,0.947,0.959,0.936,0.937,0.851,0.804,0.744,0.949,0.898,0.947,0.78,0.89,0.915,0.901,0.886,0.962,0.956,0.89,0.896,0.805,0.78,0.736,0.38,0.95,0.723,0.915,0.814,0.871,0.754,0.943,0.931,0.666,0.843,0.918,0.929,0.939,0.962,0.935,0.744,0.651,0.751,0.633,0.967,0.767,0.94,0.58,0.731,0.719,0.811,0.921,0.9,0.9,0.561,0.732,0.897,0.737,0.626,0.396,0.918,0.961,0.804,0.946,0.763,0.907,0.915,0.578,0.778,0.82,0.75,0.936,0.829,0.735,0.926,0.828,-0.007,0.597,0.906,0.818,0.78,0.57,0.922,-1.185,0.957,0.815,0.865,0.802,0.833,0.911,0.898,0.788,0.946,0.951,0.817,0.951,0.956
0.35,0.881,0.953,0.732,0.699,0.878,0.963,0.928,0.96,0.937,0.641,0.788,0.874,0.966,0.974,0.95,0.724,0.921,0.726,0.94,0.904,0.705,0.91,0.895,0.793,0.818,0.982,0.808,0.927,0.969,0.321,0.864,0.978,0.943,0.953,0.899,0.838,0.876,0.928,0.946,0.892,0.317,0.927,0.948,0.92,0.781,0.842,0.954,0.932,0.869,0.776,0.905,0.656,0.948,0.957,0.931,0.778,0.954,0.86,0.961,0.957,0.943,0.943,0.941,0.875,0.819,0.821,0.634,0.87,0.856,0.981,0.965,0.875,0.877,0.964,0.823,0.972,0.956,0.95,0.883,0.84,0.914,0.946,0.768,0.578,0.85,0.964,0.892,0.935,0.777,0.947,0.7,0.952,0.963,0.902,0.931,0.934,0.964,0.851,0.842,0.944
0.40,0.934,0.939,0.948,0.951,0.948,0.948,0.98,0.922,0.958,0.925,0.498,0.969,0.95,0.903,0.952,0.922,0.801,0.845,0.97,0.896,0.902,0.951,0.358,0.972,0.869,0.98,0.917,-2.138,0.916,0.924,0.967,0.707,0.908,0.969,0.959,0.783,0.886,0.9,0.905,0.973,0.962,0.75,0.947,0.951,0.61,0.907,0.939,0.929,0.945,0.765,0.901,0.933,0.696,0.92,0.659,0.879,0.979,0.952,0.971,0.972,0.931,0.978,0.97,0.936,0.922,0.972,0.964,0.859,0.959,0.952,0.971,0.93,0.948,0.931,0.929,0.941,0.935,0.918,0.856,0.949,0.933,0.83,0.938,0.97,0.94,0.933,0.956,0.956,0.957,0.416,0.875,0.936,0.951,0.969,0.733,0.921,0.912,0.93,-0.974,0.923
0.45,0.908,0.965,0.994,0.949,0.978,0.978,0.673,0.947,0.947,0.961,0.903,0.561,0.929,0.891,0.923,0.792,0.934,0.69,0.938,0.929,0.732,0.83,0.959,0.918,0.904,0.711,0.949,0.935,0.67,0.956,0.973,0.876,0.944,0.974,0.974,0.972,0.914,0.918,0.954,0.84,0.975,0.961,0.508,0.954,0.977,0.955,0.963,0.958,0.85,0.952,0.883,0.929,0.962,0.843,0.917,0.943,0.717,0.713,0.96,0.915,0.961,0.974,0.933,0.963,0.977,0.953,0.786,0.973,0.734,0.932,0.976,0.956,0.894,0.956,0.954,0.975,0.949,0.946,0.97,0.853,0.972,0.942,0.958,0.926,0.927,0.931,0.68,0.947,0.966,0.96,0.941,0.945,0.903,0.942,0.951,0.894,0.894,0.783,0.937,0.951
0.50,0.971,0.732,0.778,0.966,0.979,0.913,0.963,0.979,0.924,0.949,0.868,0.964,0.95,0.973,0.97,0.971,0.977,0.891,0.923,0.935,0.826,0.933,0.938,0.953,0.947,0.927,0.969,0.97,0.946,0.972,0.961,0.934,0.935,0.967,0.981,0.917,0.564,0.863,0.936,0.958,0.753,0.919,0.961,0.976,0.937,0.933,0.969,0.983,0.94,0.975,0.94,0.947,0.963,0.936,0.971,0.982,0.769,0.781,0.978,0.984,0.866,0.715,0.96,0.969,0.968,0.978,0.74,0.963,0.778,0.96,0.966,0.829,0.983,0.984,0.876,0.958,0.956,0.956,0.929,0.974,0.956,0.698,0.936,0.933,0.965,0.9,0.979,0.969,0.978,0.967,0.945,0.856,0.92,0.918,0.963,0.966,0.958,0.965,0.831,0.952
