ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.432,0.869,-0.937,0.78,0.674,0.843,0.307,0.95,0.905,0.873,0.962,0.593,0.43,0.945,0.679,0.969,0.392,-5.676,0.934,0.156,-1.411,0.936,0.91,0.927,-0.472,0.811,0.778,0.708,0.945,-1.297,0.953,0.771,0.716,0.937,0.929,0.714,0.937,-0.572,0.962,0.748,0.81,0.887,0.773,-0.651,-1.081,0.099,0.947,0.96,0.591,0.453,0.904,0.965,-1.604,0.716,0.818,0.46,-5.471,0.884,0.589,0.889,0.853,0.958,0.826,0.979,0.813,0.814,0.907,0.615,0.644,0.824,0.691,0.965,0.854,0.939,0.676,0.965,0.914,0.985,0.962,-0.258,0.888,0.856,-0.216,-0.117,0.893,0.922,0.936,0.869,0.942,0.894,0.922,0.378,0.917,0.936,0.956,0.908,0.928,0.952,0.746,0.508
0.10,0.953,0.991,0.96,0.939,0.949,0.91,0.918,0.969,0.729,0.607,0.787,0.958,0.955,0.939,0.891,0.869,0.76,0.935,0.985,0.957,0.638,0.971,0.982,0.772,0.721,0.925,0.723,0.983,0.953,0.858,0.978,0.872,0.936,0.888,0.541,0.965,0.957,0.938,0.99,0.965,0.938,-0.382,0.399,0.926,0.77,0.977,0.972,0.854,0.96,0.9,0.925,0.894,0.962,0.947,0.988,0.912,0.974,0.936,0.98,0.779,0.947,0.918,0.941,0.946,0.955,0.939,0.966,0.979,0.959,0.909,0.872,0.961,0.766,0.968,0.974,0.962,0.771,0.858,0.946,0.939,0.859,0.956,0.856,0.981,-0.054,0.963,0.961,0.97,0.895,0.975,0.956,0.976,0.904,0.985,0.934,0.913,0.968,0.96,0.958,0.924
0.15,0.98,0.984,0.965,0.971,0.977,0.919,0.949,0.969,0.918,0.981,0.968,0.982,0.983,0.993,0.989,0.961,0.899,0.989,0.662,0.958,0.949,0.971,0.95,0.97,0.941,0.972,0.966,0.978,0.975,0.948,0.972,0.969,0.913,0.982,0.966,0.939,0.968,0.926,0.977,0.948,-0.247,0.928,0.962,0.975,0.968,0.953,0.904,0.939,-0.27,0.973,0.903,0.964,0.976,0.93,0.929,0.931,0.981,0.988,0.985,0.979,0.921,0.95,0.958,0.98,0.932,0.974,0.977,0.971,0.99,0.962,0.962,0.963,0.982,0.967,0.989,0.957,0.962,0.983,0.952,0.933,0.972,0.964,0.954,0.984,0.955,0.962,0.987,0.968,0.986,0.952,0.985,0.944,0.961,0.944,0.965,0.907,0.962,0.97,0.916,0.885
0.20,0.984,0.972,0.969,0.983,0.975,0.947,0.987,0.978,0.967,0.976,0.96,0.908,0.978,0.971,0.988,0.971,0.982,0.972,0.975,0.967,0.987,0.984,0.986,0.972,0.957,0.983,0.953,0.976,0.969,0.968,0.988,0.977,0.995,0.984,0.992,0.886,0.97,0.984,0.989,0.945,0.913,0.991,0.979,0.979,0.976,0.974,0.994,0.956,0.966,0.983,0.963,0.992,0.983,0.972,0.985,0.975,0.963,0.99,0.992,0.978,0.989,0.958,0.928,0.927,0.976,0.976,0.969,0.985,0.98,0.994,0.942,0.988,0.973,0.948,0.979,0.981,0.972,0.963,0.986,0.969,0.955,0.954,0.988,0.995,0.956,0.968,0.985,0.995,0.984,0.971,0.969,0.977,0.973,0.98,0.971,0.908,0.96,0.99,0.97,0.952
0.25,0.955,0.98,0.954,0.956,0.954,0.974,0.966,0.99,0.952,0.964,0.987,0.968,0.968,0.995,0.972,0.979,0.986,0.965,0.989,0.969,0.98,0.976,0.988,0.973,0.982,0.992,0.985,0.992,0.991,0.938,0.982,0.991,0.984,0.995,0.985,0.969,0.993,0.969,0.982,0.988,0.955,0.971,0.968,0.975,0.959,0.981,0.951,0.983,0.988,0.982,0.983,0.966,0.971,0.99,0.977,0.988,0.992,0.982,0.986,0.989,0.98,0.986,0.97,0.963,0.986,0.991,0.976,0.987,0.943,0.95,0.963,0.964,0.961,0.99,0.988,0.974,0.995,0.951,0.969,0.977,0.976,0.971,0.961,0.979,0.981,0.986,0.991,0.989,0.981,0.986,0.991,0.973,0.964,0.969,0.993,0.982,0.991,0.988,0.974,0.945
0.30,0.995,0.979,0.96,0.987,0.972,0.954,0.993,0.981,0.983,0.996,0.979,0.975,0.98,0.983,0.981,0.994,0.99,0.971,0.977,0.953,0.988,0.995,0.994,0.986,0.99,0.989,0.959,0.986,0.973,0.991,0.987,0.971,0.986,0.965,0.977,0.98,0.988,0.99,0.964,0.968,0.942,0.988,0.98,0.985,0.974,0.965,0.994,0.994,0.968,0.98,0.992,0.971,0.974,0.992,0.981,0.985,0.97,0.98,0.978,0.987,0.972,0.979,0.98,0.987,0.987,0.964,0.989,0.973,0.995,0.948,0.981,0.987,0.966,0.991,0.969,0.837,0.974,0.972,0.979,0.984,0.993,0.996,0.987,0.986,0.97,0.98,0.986,0.978,0.993,0.978,0.976,0.99,0.99,0.993,0.989,0.966,0.984,0.99,0.964,0.994
0.35,0.963,0.975,0.983,0.98,0.981,0.971,0.994,0.971,0.975,0.983,0.992,0.991,0.974,0.97,0.978,0.976,0.971,0.985,0.993,0.991,0.976,0.985,0.975,0.972,0.977,0.991,0.994,0.995,0.975,0.964,0.987,0.983,0.972,0.985,0.983,0.98,0.991,0.993,0.982,0.973,0.991,0.954,0.958,0.976,0.966,0.944,0.964,0.978,0.973,0.977,0.968,0.989,0.975,0.96,0.971,0.987,0.972,0.986,0.997,0.979,0.983,0.974,0.998,0.977,0.986,0.964,0.989,0.985,0.96,0.991,0.972,0.992,0.993,0.987,0.97,0.964,0.992,0.958,0.99,0.993,0.995,0.987,0.979,0.98,0.973,0.989,0.984,0.993,0.963,0.987,0.975,0.959,0.994,0.979,0.993,0.989,0.988,0.993,0.996,0.991
0.40,-0.275,0.987,0.989,0.995,0.983,0.965,0.978,0.996,0.983,0.969,0.97,0.983,0.966,0.991,0.995,0.971,0.989,0.992,0.99,0.985,0.985,0.993,0.991,0.968,0.968,0.996,0.994,0.991,0.991,0.967,0.955,0.959,0.971,0.997,0.974,0.981,0.989,0.992,0.985,0.99,0.963,0.972,0.954,0.996,0.971,0.954,0.994,0.976,0.97,0.99,0.991,0.975,0.978,0.985,0.982,0.986,0.992,0.974,0.979,0.98,0.989,0.99,0.996,0.975,0.961,0.987,0.993,0.984,0.988,0.995,0.97,0.968,0.996,0.985,0.975,0.98,0.976,0.987,0.993,0.981,0.986,0.992,0.993,0.991,0.971,0.974,0.997,0.99,0.977,0.994,0.99,0.976,0.965,0.99,0.991,0.992,0.995,0.996,0.99,0.99
0.45,0.982,0.987,0.982,0.997,0.986,0.984,0.993,0.986,0.997,0.971,0.984,0.99,0.975,0.994,0.994,0.962,0.995,0.981,0.99,0.972,0.977,0.997,0.996,0.992,0.991,0.978,0.977,0.993,0.995,0.995,0.993,0.994,0.992,0.985,0.992,0.993,0.977,0.995,0.976,0.985,0.984,0.988,0.981,0.967,0.993,0.995,0.996,0.973,0.967,0.973,0.983,0.991,0.99,0.993,0.985,0.975,0.972,0.973,0.984,0.99,0.973,0.97,0.972,0.981,0.987,0.978,0.971,0.986,0.973,0.98,0.974,0.972,0.981,0.996,0.987,0.97,0.982,0.965,0.978,0.99,0.976,0.993,0.997,0.996,0.976,0.988,0.985,0.987,0.978,0.992,0.976,0.994,0.964,0.972,0.964,0.977,0.979,0.995,0.98,0.993
0.50,0.991,0.995,0.985,0.983,0.983,0.983,0.976,0.976,0.993,0.971,0.995,0.994,0.996,0.994,0.979,0.971,0.985,0.997,0.972,0.992,0.971,0.994,0.998,0.993,0.989,0.997,0.987,0.995,0.975,0.969,0.995,0.969,0.959,0.993,0.991,0.99,0.981,0.995,0.993,0.994,0.994,0.992,0.993,0.986,0.968,0.976,0.972,0.978,0.987,0.992,0.973,0.993,0.998,0.965,0.99,0.991,0.99,0.983,0.991,0.977,0.99,0.995,0.992,0.984,0.996,0.992,0.977,0.972,0.981,0.986,0.964,0.993,0.994,0.976,0.995,0.993,0.977,0.988,0.994,0.992,0.995,0.975,0.987,0.975,0.993,0.973,0.968,0.986,0.997,0.971,0.992,0.979,0.991,0.97,0.973,0.964,0.99,0.992,0.991,0.993
