ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.056,0.315,-0.105,0.452,0.744,0.401,-0.572,-154.769,0.108,0.665,-0.1,0.776,0.154,-0.798,-2.918,0.405,0.418,-47.941,0.216,-2.423,0.662,-1.269,0.716,0.804,-0.601,0.561,-0.078,-2.794,-1.013,0.638,0.601,0.824,-8.045,-0.574,0.357,-0.223,0.25,0.759,0.627,0.671,-0.064,0.064,-3.468,0.744,0.361,0.864,-0.031,0.592,0.856,0.235,0.901,-0.864,0.387,0.674,0.0,-0.6,-0.596,0.486,0.538,0.481,0.826,-0.047,0.67,0.023,-1.55,0.423,0.627,0.056,0.782,0.659,0.716,0.914,-0.151,0.846,-0.429,-0.047,-0.17,0.709,-16.327,0.116,-0.778,-1.254,-0.983,-0.09,-3.503,0.636,0.51,0.439,0.593,-2.447,-0.073,0.005,-2.391,-0.022,-0.022,0.851,-1.596,-5.452,0.683,0.703
0.10,0.873,0.62,0.829,0.883,0.338,0.833,0.858,0.801,0.706,0.883,0.637,0.911,0.731,0.662,0.951,0.412,0.879,0.41,0.581,0.86,0.791,0.796,0.824,0.163,0.886,0.576,0.834,0.907,0.447,0.937,0.958,0.934,0.633,0.875,0.673,0.886,-1.041,0.627,0.74,0.743,0.74,0.542,0.96,0.394,-0.111,0.791,0.809,0.641,0.495,0.736,0.782,0.421,0.731,0.81,0.949,0.739,0.966,0.878,0.899,0.745,0.639,0.854,0.85,0.547,0.546,0.898,0.838,0.649,0.887,0.888,0.948,0.86,0.915,0.837,0.893,0.717,0.871,0.895,0.766,0.82,0.8,0.735,0.718,0.887,0.883,0.119,0.974,0.436,0.93,0.599,0.903,0.846,-0.614,0.936,0.855,0.92,0.886,0.837,0.897,0.617
0.15,0.818,0.751,0.972,0.973,0.721,0.966,0.95,0.925,0.888,0.969,0.942,0.916,0.979,0.96,0.87,0.789,0.924,0.964,0.704,0.962,0.962,0.965,0.96,0.937,0.726,0.926,0.387,0.902,0.837,0.957,0.758,0.939,0.967,0.956,0.913,0.782,0.349,0.903,0.891,0.979,0.801,0.915,0.703,0.922,0.761,0.795,0.912,0.886,0.927,0.785,0.766,0.903,0.795,0.926,0.932,0.97,0.942,0.916,0.855,0.816,0.939,0.809,0.884,0.897,0.67,0.959,0.754,0.669,0.921,0.926,0.631,0.985,0.87,0.844,0.436,0.967,0.947,0.881,0.931,0.975,0.953,0.843,0.919,0.43,0.983,0.931,0.929,0.864,0.982,0.437,0.694,0.859,0.917,0.925,0.789,0.957,0.929,0.84,0.542,0.801
0.20,0.957,0.979,0.881,0.963,0.806,0.927,0.964,0.958,0.966,0.904,0.957,0.931,0.93,0.96,0.919,0.966,0.966,0.701,0.919,0.939,0.887,0.946,0.985,0.967,0.989,0.926,0.302,0.957,0.967,0.979,0.96,0.979,0.956,0.961,0.985,0.946,0.799,0.932,0.936,0.985,0.978,0.97,0.882,0.973,0.795,0.863,0.96,0.925,0.975,0.957,0.889,0.947,0.929,0.954,0.951,0.948,0.967,0.959,0.927,0.97,0.954,0.933,0.989,0.945,0.939,0.959,0.882,0.932,0.988,0.913,0.982,0.291,0.968,0.958,0.989,0.973,0.861,0.582,0.947,0.971,0.918,0.962,0.957,0.926,0.711,0.927,0.915,0.909,0.963,0.945,0.967,0.97,0.963,0.951,0.745,0.558,0.327,0.921,0.964,0.951
0.25,0.901,0.853,0.98,0.988,0.738,0.98,0.971,0.975,0.982,0.935,0.939,0.971,0.972,0.994,0.922,0.89,0.981,0.97,0.987,0.977,0.97,0.971,0.986,0.982,0.944,0.988,0.984,0.993,0.99,0.989,0.973,0.89,0.933,0.978,0.987,0.981,0.836,0.961,0.92,0.976,0.981,0.989,0.951,0.947,0.935,0.924,0.924,0.979,0.964,0.982,0.984,0.952,0.973,0.958,0.986,0.976,0.98,0.974,0.988,0.978,0.869,0.989,0.99,0.971,0.966,0.906,0.976,0.985,0.965,0.978,0.985,0.995,0.965,0.978,0.993,0.974,0.979,0.696,0.984,0.909,0.981,0.952,0.969,0.923,0.967,0.98,0.982,0.939,0.985,0.988,0.992,0.936,0.97,0.952,0.984,0.984,0.921,0.972,0.982,0.984
0.30,0.98,0.986,0.988,0.932,0.985,0.985,0.987,0.993,0.987,0.989,0.976,0.937,0.83,0.981,0.994,0.985,0.981,0.992,0.984,0.989,0.911,0.986,0.966,0.99,0.982,0.993,0.961,0.949,0.875,0.974,0.988,0.98,0.894,0.99,0.979,0.984,0.994,0.973,0.992,0.929,0.917,0.981,0.985,0.988,0.975,0.98,0.976,0.959,0.975,0.959,0.987,0.988,0.952,0.899,0.981,0.972,0.972,0.987,0.993,0.989,0.973,0.985,0.976,0.985,0.98,0.965,0.971,0.915,0.985,0.981,0.992,0.987,0.978,0.994,0.989,0.972,0.979,0.917,0.966,0.982,0.987,0.973,0.982,0.982,0.993,0.943,0.993,0.993,0.921,0.981,0.985,0.973,0.79,0.944,0.968,0.984,0.99,0.97,0.951,0.979
0.35,0.987,0.993,0.976,0.984,0.978,0.979,0.987,0.968,0.991,0.991,0.992,0.924,0.993,0.983,0.952,0.986,0.974,0.993,0.988,0.975,0.982,0.994,0.984,0.97,0.992,0.99,0.995,0.989,0.978,0.977,0.995,0.995,0.987,0.974,0.99,0.99,0.957,0.98,0.991,0.973,0.988,0.989,0.98,0.986,0.992,0.979,0.987,0.981,0.969,0.983,0.985,0.994,0.988,0.994,0.978,0.974,0.969,0.978,0.98,0.986,0.987,0.989,0.983,0.99,0.988,0.98,0.962,0.93,0.984,0.996,0.988,0.991,0.993,0.993,0.993,0.99,0.977,0.988,0.943,0.989,0.994,0.995,0.99,0.988,0.981,0.994,0.992,0.958,0.983,0.974,0.988,0.922,0.983,0.99,0.969,0.99,0.976,0.943,0.993,0.983
0.40,0.961,0.989,0.987,0.972,0.994,0.99,0.985,0.954,0.993,0.992,0.975,0.991,0.975,0.992,0.987,0.991,0.985,0.98,0.994,0.979,0.994,0.986,0.988,0.995,0.994,0.989,0.966,0.995,0.933,0.989,0.991,0.985,0.984,0.986,0.951,0.987,0.977,0.979,0.981,0.976,0.989,0.99,0.989,0.994,0.974,0.987,0.984,0.992,0.985,0.952,0.989,0.986,0.982,0.97,0.993,0.978,0.984,0.992,0.992,0.995,0.981,0.96,0.972,0.972,0.996,0.978,0.984,0.982,0.968,0.993,0.994,0.986,0.988,0.993,0.995,0.986,0.984,0.995,0.988,0.977,0.994,0.986,0.991,0.989,0.97,0.992,0.971,0.99,0.991,0.99,0.987,0.964,0.991,0.989,0.977,0.966,0.977,0.985,0.989,0.983
0.45,0.996,0.988,0.974,0.978,0.98,0.976,0.968,0.98,0.981,0.98,0.941,0.996,0.982,0.979,0.932,0.986,0.978,0.991,0.984,0.989,0.99,0.99,0.994,0.98,0.976,0.986,0.99,0.995,0.985,0.975,0.994,0.97,0.988,0.981,0.983,0.983,0.964,0.992,0.979,0.991,0.987,0.992,0.994,0.983,0.991,0.853,0.994,0.98,0.992,0.994,0.99,0.993,0.993,0.991,0.984,0.989,0.988,0.985,0.985,0.986,0.97,0.995,0.986,0.992,0.996,0.992,0.996,0.976,0.994,0.982,0.975,0.987,0.994,0.996,0.98,0.99,0.99,0.994,0.974,0.992,0.979,0.989,0.989,0.994,0.995,0.979,0.995,0.993,0.985,0.981,0.992,0.975,0.985,0.988,0.984,0.981,0.994,0.965,0.985,0.987
0.50,0.994,0.993,0.995,0.992,0.995,0.995,0.996,0.982,0.992,0.993,0.994,0.988,0.993,0.983,0.993,0.992,0.975,0.988,0.986,0.991,0.985,0.989,0.986,0.977,0.986,0.995,0.995,0.989,0.995,0.988,0.993,0.991,0.985,0.985,0.989,0.989,0.991,0.987,0.993,0.976,0.983,0.992,0.995,0.991,0.989,0.994,0.994,0.995,0.97,0.948,0.992,0.982,0.977,0.989,0.992,0.993,0.984,0.979,0.991,0.982,0.995,0.992,0.993,0.981,0.992,0.99,0.976,0.991,0.993,0.98,0.994,0.993,0.994,0.988,0.992,0.995,0.992,0.991,0.972,0.995,0.996,0.975,0.995,0.99,0.974,0.993,0.993,0.99,0.995,0.994,0.995,0.987,0.996,0.986,0.993,0.99,0.991,0.992,0.991,0.989
0.55,0.993,0.984,0.992,0.983,0.958,0.986,0.991,0.983,0.989,0.996,0.984,0.996,0.994,0.984,0.993,0.979,0.993,0.992,0.987,0.971,0.994,0.993,0.989,0.986,0.993,0.991,0.996,0.991,0.991,0.979,0.993,0.987,0.994,0.986,0.982,0.976,0.997,0.983,0.993,0.977,0.99,0.987,0.986,0.994,0.997,0.99,0.992,0.987,0.994,0.996,0.969,0.988,0.992,0.989,0.994,0.979,0.988,0.987,0.994,0.976,0.989,0.983,0.992,0.986,0.989,0.988,0.994,0.971,0.988,0.996,0.994,0.995,0.99,0.994,0.988,0.989,0.996,0.995,0.994,0.99,0.985,0.987,0.996,0.997,0.993,0.994,0.985,0.994,0.989,0.978,0.993,0.996,0.995,0.976,0.995,0.994,0.992,0.979,0.992,0.988
