ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-14.127,0.481,0.728,-0.069,-1.088,-3.447,0.672,0.038,0.723,0.08,-1.736,-0.337,0.294,0.583,-0.845,0.573,-0.061,0.843,-4.336,0.243,0.692,0.757,0.751,0.083,0.028,0.305,0.493,0.039,0.208,0.489,-0.47,0.649,-4.695,-0.604,-0.138,0.562,0.487,-4.22,0.81,-1.016,-0.104,0.39,-1.065,-17.29,-0.341,0.797,0.532,0.51,-3.381,0.621,0.364,0.78,-0.357,0.094,0.834,0.842,0.746,-0.486,0.539,0.376,0.559,0.655,0.741,0.683,-0.242,0.503,0.545,0.405,0.567,0.549,0.961,0.948,-1.976,0.826,0.395,0.863,-329.596,-15.795,0.675,0.338,-0.836,0.822,-3.836,-1.27,0.504,0.753,0.623,0.896,0.743,-0.191,-0.603,0.105,0.196,0.316,0.343,0.43,-0.781,0.756,-0.295,-0.131
0.10,0.957,0.712,0.145,0.888,-0.009,0.435,0.782,0.741,0.6,0.534,0.634,0.52,0.794,-0.43,0.583,-21.5,0.093,0.612,0.328,0.783,0.343,0.756,0.73,0.933,0.663,0.614,0.823,-14.609,0.668,0.692,-2.938,0.735,-1.488,0.554,0.849,0.797,0.347,0.636,0.782,0.771,0.749,0.825,0.232,0.327,0.059,0.67,0.581,0.743,0.579,0.532,0.417,0.918,0.049,0.526,-0.333,0.502,0.652,0.233,0.122,0.648,0.326,0.842,0.582,0.677,0.944,0.729,0.122,0.496,0.0,0.336,0.933,0.575,0.13,0.53,0.777,0.449,0.745,0.651,0.549,0.393,0.612,0.521,-0.287,0.659,-0.095,0.68,-0.747,-0.82,0.275,0.376,-0.716,0.617,0.669,0.667,0.76,0.64,0.673,-0.013,0.564,0.613
0.15,0.325,0.941,0.841,0.461,0.579,0.633,0.807,0.89,0.497,0.698,0.929,0.771,0.716,0.388,0.464,0.796,0.936,0.864,0.853,0.672,0.806,0.801,0.731,0.882,0.453,0.731,0.729,0.815,0.371,0.886,0.465,-0.923,0.754,0.724,0.743,0.694,0.922,0.679,0.916,0.523,0.923,0.554,0.417,0.89,-3.017,0.848,0.219,0.887,0.622,0.691,0.487,0.778,0.688,0.879,0.599,0.693,0.572,0.751,0.681,0.903,0.918,0.546,0.714,0.652,0.745,0.748,0.899,-0.789,-0.188,0.516,0.797,0.84,0.677,0.852,0.728,0.858,0.451,0.451,0.832,0.588,0.762,0.71,0.582,0.64,0.432,0.875,0.604,0.624,0.779,0.658,0.75,0.834,-8.234,0.798,0.767,0.435,0.26,0.507,0.678,0.776
0.20,0.683,0.845,0.549,0.679,0.715,0.36,0.641,0.665,0.814,0.83,0.821,0.741,0.772,0.616,0.779,0.681,0.84,0.597,0.702,0.866,0.812,0.836,0.776,0.844,0.708,0.878,0.65,0.683,0.68,-0.155,0.918,0.798,0.695,0.656,0.606,0.654,0.909,0.791,0.841,0.718,0.74,0.836,0.936,0.668,0.828,0.503,0.595,0.963,0.815,0.711,0.831,0.803,0.778,0.661,0.847,0.849,0.809,0.827,0.662,0.674,0.826,0.809,0.638,0.595,0.881,0.675,0.714,0.663,0.641,0.868,0.955,0.899,0.176,0.848,0.759,0.743,0.734,0.483,0.85,0.818,0.758,0.563,0.661,0.678,0.744,0.911,0.744,0.871,0.76,0.665,0.522,0.581,0.684,0.798,0.739,0.62,0.751,0.868,0.861,0.874
0.25,0.845,0.706,0.7,0.888,0.821,0.804,0.782,0.822,0.899,0.917,0.798,0.937,0.569,0.887,0.895,0.925,0.817,0.763,0.932,0.853,0.691,0.703,0.94,0.867,0.758,0.884,0.684,0.909,0.74,-0.342,0.728,0.839,0.67,0.871,0.18,0.759,0.852,0.728,0.861,0.798,0.708,0.751,0.957,0.792,0.762,0.796,0.897,0.799,0.754,0.67,0.877,0.826,0.921,0.913,0.562,0.901,0.874,0.696,0.919,0.788,-0.256,0.862,0.792,0.822,0.901,0.952,0.769,0.953,0.856,0.595,0.932,0.905,0.736,0.719,0.856,0.7,0.776,0.736,0.769,0.88,0.798,0.816,0.746,0.747,0.689,0.897,0.451,0.766,0.639,0.891,0.802,0.771,0.94,0.695,0.767,0.955,0.79,0.855,0.868,0.924
0.30,0.936,0.796,0.826,0.848,0.785,0.872,0.931,0.752,0.79,0.905,0.791,0.907,0.87,0.82,0.887,0.857,0.761,0.589,0.952,0.911,0.802,0.568,0.93,0.64,0.76,0.912,0.94,0.87,0.878,0.622,0.722,0.851,0.56,0.918,0.94,0.444,0.96,0.944,0.682,0.668,0.966,0.714,0.617,0.745,0.798,0.704,0.809,0.822,0.843,0.909,0.895,0.931,0.936,0.913,0.755,0.902,0.891,0.626,0.944,0.623,0.798,0.764,0.941,0.916,0.794,0.941,0.941,0.939,0.759,0.592,0.932,0.696,0.629,0.706,0.857,0.778,0.939,0.957,0.803,0.784,0.926,0.704,0.805,0.956,0.872,0.92,0.827,0.892,0.644,0.898,0.828,0.915,0.94,0.309,0.89,0.808,0.741,0.802,0.942,0.883
0.35,0.92,0.963,0.649,0.744,0.784,0.906,0.941,0.849,0.927,0.942,0.674,0.874,0.608,0.789,0.939,0.691,0.935,0.699,0.878,0.683,0.752,0.889,0.928,0.75,0.819,0.914,0.835,0.789,0.915,0.819,0.661,0.686,0.955,0.846,0.893,0.758,0.693,0.827,0.865,0.808,0.933,0.933,-0.249,0.932,0.917,0.925,0.92,0.929,0.931,0.689,0.908,0.877,0.947,0.778,0.941,0.96,0.776,0.646,0.938,0.868,0.675,0.653,0.688,0.712,0.864,0.922,0.889,0.749,0.965,0.922,0.938,0.873,0.751,0.899,0.926,0.729,0.706,0.566,0.918,0.969,0.959,0.596,0.898,0.618,0.918,0.922,0.533,0.946,0.897,0.731,0.827,0.906,0.953,0.72,0.928,0.922,0.826,0.942,0.89,0.903
0.40,0.944,0.745,0.768,0.672,0.955,0.95,0.92,0.847,0.808,0.952,0.653,0.72,0.73,0.92,0.722,0.889,0.746,0.8,0.922,0.78,0.777,0.863,0.906,0.938,0.965,0.923,0.784,0.916,0.711,0.873,0.961,0.909,0.852,0.909,0.891,0.849,0.931,0.898,0.954,0.932,0.676,0.812,0.658,0.902,0.925,0.75,0.757,0.806,0.88,0.813,0.821,0.86,0.794,0.834,0.865,0.807,0.667,0.92,0.953,0.857,0.901,0.848,0.926,0.737,0.912,0.619,0.78,0.947,0.772,0.945,0.91,0.897,0.928,0.846,0.916,0.935,0.847,0.892,0.935,0.912,0.9,0.956,0.811,0.847,0.852,0.927,0.915,0.922,0.871,0.573,0.709,0.899,0.88,0.725,0.974,0.929,0.776,0.93,0.712,0.883
0.45,0.939,0.89,0.954,0.644,0.897,0.944,0.809,0.955,0.947,0.787,0.928,0.887,0.879,0.893,0.774,0.935,0.746,0.933,0.819,0.909,0.772,0.904,0.911,0.897,0.916,0.918,0.938,0.776,0.968,0.652,0.913,0.912,0.881,0.824,0.941,0.762,0.943,0.948,0.922,0.913,0.957,0.843,0.737,0.78,0.94,0.746,0.772,0.938,0.886,0.912,0.751,0.86,0.95,0.911,0.971,0.888,0.804,0.878,0.947,0.911,0.776,0.732,0.943,0.889,0.957,0.745,0.816,0.866,0.928,0.774,0.926,0.956,0.78,0.914,0.903,0.784,0.773,0.703,0.913,0.924,0.958,0.638,0.923,0.781,0.961,0.956,0.797,0.951,0.913,0.932,0.658,0.864,0.936,0.846,0.835,0.862,0.885,0.867,0.954,0.918
0.50,0.952,0.943,0.863,0.86,0.8,0.922,0.93,0.926,0.945,0.728,0.943,0.781,0.891,0.947,0.932,0.917,0.893,0.935,0.75,0.732,0.934,0.948,0.92,0.957,0.959,0.922,0.911,0.942,0.754,0.941,0.801,0.957,0.756,0.951,0.881,0.939,0.899,0.937,0.851,0.803,0.578,0.875,0.775,0.919,0.926,0.927,0.957,0.903,0.916,0.943,0.803,0.806,0.9,0.935,0.806,0.744,0.953,0.87,0.93,0.903,0.879,0.956,0.733,0.955,0.952,0.738,0.738,0.861,0.89,0.897,0.783,0.879,0.906,0.937,0.924,0.969,0.887,0.949,0.741,0.954,0.918,0.851,0.938,0.935,0.847,0.953,0.948,0.741,0.919,0.941,0.934,0.847,0.943,0.901,0.845,0.948,0.716,0.933,0.928,0.915
0.55,0.957,0.764,0.779,0.837,0.925,0.931,0.931,0.942,0.929,0.775,0.931,0.923,0.794,0.946,0.691,0.966,0.946,0.93,0.915,0.901,0.898,0.933,0.973,0.91,0.963,0.832,0.835,0.929,0.905,0.898,0.942,0.958,0.958,0.925,0.94,0.936,0.922,0.953,0.922,0.688,0.963,0.945,0.939,0.908,0.946,0.918,0.719,0.926,0.824,0.841,0.951,0.959,0.883,0.959,0.788,0.93,0.886,0.935,0.882,0.945,0.923,0.898,0.939,0.912,0.976,0.905,0.779,0.895,0.957,0.75,0.751,0.897,0.713,0.956,0.919,0.809,0.759,0.854,0.717,0.92,0.943,0.919,0.94,0.958,0.953,0.966,0.952,0.951,0.931,0.939,0.933,0.651,0.944,0.951,0.911,0.91,0.918,0.963,0.951,0.961
