ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.286,-2.459,0.505,-0.097,0.86,-0.171,0.191,0.692,0.466,0.949,-3.231,0.918,0.59,0.347,0.885,-0.014,0.305,0.92,-0.251,-2.634,0.537,0.964,0.006,0.684,-0.714,-0.288,-3.573,-0.12,0.716,-1.03,0.98,0.986,-1.41,0.9,0.875,0.892,0.588,0.94,0.687,0.977,0.524,0.448,0.992,-5.355,0.785,0.984,-5.039,0.762,-0.263,0.898,0.689,0.878,0.927,0.903,0.812,0.679,-0.094,-35.515,0.642,0.704,0.862,-210.906,0.444,-24.147,-39.735,0.712,0.069,0.987,0.83,-1.32,0.679,-5.008,0.74,0.87,0.904,0.979,0.858,0.7,0.787,0.434,0.298,0.982,0.648,0.321,-27.026,-0.591,0.955,-2.959,0.453,0.621,0.9,0.858,-9.274,-4.896,0.912,-0.252,-16.721,0.655,0.926,-4.893
0.10,0.779,0.904,-1.378,0.622,0.527,0.53,0.243,0.91,0.994,-0.069,0.37,0.976,0.652,0.901,-1.356,0.739,0.053,0.867,0.86,0.796,0.912,0.808,0.08,0.862,0.87,0.902,-0.036,0.645,0.801,0.804,-5.754,0.626,0.846,0.441,0.541,0.092,0.799,0.681,0.703,0.753,0.896,0.91,0.633,0.773,0.589,0.763,0.627,0.345,-6.373,0.915,-9.986,0.746,0.838,0.266,0.913,0.054,0.965,0.852,0.885,0.388,0.76,0.932,-3.388,0.785,0.397,0.751,0.986,0.938,0.57,0.636,0.861,0.954,0.842,0.409,0.501,0.27,0.759,0.25,0.886,0.511,-2.631,0.506,-3.747,-0.159,-0.165,0.425,0.091,0.313,-0.084,0.757,-0.896,-9.231,0.777,0.373,0.916,-0.4,0.66,0.901,0.851,0.925
0.15,0.955,0.74,-0.017,0.741,0.945,0.839,0.896,0.587,0.867,0.572,0.605,0.977,0.869,0.954,0.9,-0.039,0.81,0.57,0.931,0.847,0.819,0.973,0.715,0.979,0.94,0.757,0.878,0.818,0.821,0.981,0.744,0.892,0.778,0.772,0.535,0.834,0.926,0.965,0.9,0.976,0.863,0.903,0.976,0.897,0.878,0.623,0.89,0.937,0.72,0.196,0.838,0.954,0.987,0.823,0.743,0.827,0.529,0.678,0.782,0.928,0.849,0.751,0.973,0.975,0.953,0.963,0.834,0.93,0.969,0.684,0.786,0.823,0.907,0.562,0.522,0.866,0.788,-0.597,0.887,0.969,0.796,0.256,0.724,0.987,0.428,0.641,0.055,0.562,0.668,0.774,0.937,0.278,0.935,0.777,0.869,0.268,0.004,0.743,0.88,0.961
0.20,0.888,0.941,0.778,0.921,0.96,0.987,0.865,0.715,0.925,0.841,0.957,0.935,0.507,0.689,0.92,0.981,0.693,0.525,0.55,0.367,0.9,0.809,0.766,0.874,0.866,0.956,0.866,0.758,0.881,0.9,0.944,0.862,0.906,0.912,0.255,0.964,0.818,0.986,0.861,0.914,0.868,0.857,0.903,0.939,0.727,0.719,0.894,0.946,0.928,0.802,0.448,0.937,0.951,0.891,0.72,0.768,0.907,0.969,0.955,0.957,0.949,0.886,0.832,0.841,0.608,0.939,-0.764,0.862,0.72,0.948,0.849,0.932,0.952,0.926,0.74,0.926,0.848,0.959,0.969,0.655,0.829,0.918,0.294,0.839,0.311,0.828,0.817,0.894,0.59,0.869,0.969,0.939,0.954,0.955,0.728,0.874,0.948,0.844,0.946,0.967
0.25,0.924,0.843,0.979,0.875,0.977,0.948,0.938,0.958,0.982,0.853,0.866,0.784,0.977,-0.127,0.989,0.951,0.867,0.519,0.882,0.943,0.799,0.979,0.609,0.949,0.967,0.95,0.948,0.786,0.91,0.889,0.953,0.956,0.692,0.941,0.84,0.946,0.192,0.935,0.963,0.956,0.964,0.835,0.92,0.899,0.923,0.918,0.888,0.927,0.787,0.775,0.919,0.76,0.979,0.952,0.922,0.914,0.976,0.83,0.93,0.917,0.938,0.982,0.893,0.967,0.543,0.966,0.977,0.609,0.316,0.595,0.932,0.96,0.848,0.948,0.863,0.788,0.937,0.954,0.903,0.78,0.941,0.81,0.949,0.911,0.748,0.764,0.768,0.595,0.572,0.773,0.977,0.766,0.93,0.925,0.948,0.973,0.929,0.848,0.904,0.922
0.30,0.924,0.929,0.954,0.912,0.984,0.916,0.967,0.824,0.972,0.736,0.969,0.888,0.865,0.969,0.975,0.906,0.934,0.908,0.975,0.97,0.962,0.867,0.878,0.958,0.951,0.962,0.898,0.855,0.943,0.911,0.947,0.857,0.971,0.617,0.908,0.692,0.778,0.95,0.688,0.885,0.85,0.957,0.964,0.852,0.801,0.954,0.87,0.932,0.907,0.982,0.759,0.901,0.85,0.939,0.751,0.763,0.924,0.933,0.923,0.943,0.696,0.902,0.844,0.926,0.928,0.986,0.942,0.852,0.944,0.924,0.905,0.903,0.938,0.931,0.959,0.943,0.904,0.976,0.914,0.879,0.897,0.954,0.955,0.962,0.937,0.946,0.65,0.944,0.916,0.945,0.92,0.76,0.883,0.86,0.968,0.937,0.924,0.964,0.966,0.975
0.35,0.957,0.963,0.987,0.923,0.961,0.946,0.966,0.831,0.914,0.946,0.924,0.909,0.933,0.958,0.967,0.889,0.938,0.916,0.877,0.869,0.97,0.92,0.94,0.969,0.91,0.98,0.944,0.951,0.977,0.979,0.965,0.923,0.915,0.971,0.909,0.974,0.963,0.95,0.889,0.954,0.962,0.966,0.938,0.87,0.955,0.987,0.955,0.937,0.969,0.941,0.887,0.978,0.931,0.939,0.95,0.965,0.959,0.986,0.966,0.962,0.97,0.892,0.975,0.904,0.951,0.88,0.909,0.864,0.917,0.882,0.972,0.974,0.866,0.875,0.959,0.976,0.919,0.943,0.891,0.962,0.948,0.988,0.927,0.971,0.891,0.957,0.962,0.946,0.922,0.98,0.936,0.955,0.914,0.932,0.735,0.91,0.966,0.946,0.977,0.946
0.40,0.966,0.948,0.959,0.946,0.975,0.975,0.937,0.968,0.955,0.908,0.936,0.89,0.922,0.954,0.948,0.93,0.963,0.955,0.939,0.888,0.984,0.977,0.921,0.955,0.95,0.949,0.936,0.981,0.957,0.959,0.968,0.977,0.946,0.958,0.862,0.933,0.959,0.947,0.943,0.937,0.977,0.912,0.932,0.948,0.94,0.917,0.976,0.879,0.956,0.881,0.936,0.884,0.968,0.964,0.94,0.948,0.902,0.949,0.948,0.985,0.859,0.921,0.952,0.959,0.932,0.963,0.976,0.959,0.962,0.958,0.968,0.948,0.969,0.949,0.981,0.958,0.967,0.983,0.752,0.892,0.935,-2.313,0.97,0.921,0.902,0.947,0.962,0.967,0.926,0.848,0.878,0.91,0.966,0.88,0.944,0.815,0.925,0.98,0.959,0.97
0.45,0.939,0.876,0.918,0.934,0.942,0.968,0.975,0.952,0.959,0.887,0.941,0.978,0.842,0.974,0.984,0.908,0.96,0.97,0.985,0.961,0.954,0.952,0.919,0.986,0.94,0.985,0.895,0.945,0.964,0.957,0.969,0.935,0.966,0.939,0.932,0.99,0.964,0.957,0.957,0.92,0.971,0.962,0.928,0.973,0.798,0.972,0.779,0.922,0.874,0.787,0.967,0.971,0.974,0.861,0.967,0.937,0.961,0.942,0.908,0.975,0.971,0.92,0.985,0.985,0.859,0.975,0.97,0.974,0.952,0.885,0.969,0.974,0.931,0.883,0.946,0.855,0.985,0.971,0.965,0.959,0.904,0.98,0.966,0.978,0.984,0.965,0.913,0.988,0.975,0.846,0.973,0.952,0.986,0.91,0.98,0.97,0.957,0.967,0.956,0.907
0.50,0.97,0.957,0.953,0.961,0.965,0.972,0.978,0.896,0.973,0.978,0.957,0.949,0.939,0.96,0.929,0.973,0.96,0.971,0.967,0.942,0.866,0.963,0.946,0.959,0.958,0.958,0.978,0.984,0.985,0.96,0.991,0.955,0.941,0.954,0.955,0.962,0.976,0.818,0.964,0.966,0.903,0.962,0.983,0.956,0.977,0.922,0.944,0.961,0.945,0.958,0.966,0.946,0.958,0.885,0.964,0.896,0.972,0.958,0.955,0.976,0.931,0.978,0.981,0.972,0.932,0.974,0.97,0.985,0.949,0.926,0.972,0.976,0.983,0.898,0.982,0.966,0.928,0.94,0.979,0.929,0.98,0.933,0.984,0.966,0.977,0.904,0.967,0.952,0.96,0.951,0.967,0.904,0.966,0.956,0.956,0.941,0.977,0.956,0.974,0.97
