ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.854,0.871,0.979,0.222,0.684,0.975,0.888,0.972,0.909,0.949,0.795,0.865,0.869,0.559,0.992,0.8,0.918,0.889,0.886,0.957,0.903,0.471,0.691,-0.11,0.968,0.944,0.758,0.944,0.941,0.95,0.958,0.892,0.845,0.85,0.969,0.319,0.907,0.827,0.899,0.794,0.75,0.679,0.768,0.937,0.937,0.829,0.917,0.82,0.829,0.849,0.95,0.774,0.526,0.852,0.882,0.969,0.831,0.977,0.919,0.952,0.957,0.943,0.902,0.899,0.89,0.816,0.987,0.905,0.927,0.866,0.746,0.883,0.956,0.988,0.775,0.902,0.858,0.962,0.895,0.941,0.888,0.981,0.538,0.966,0.902,0.862,0.488,0.735,0.631,0.962,0.983,0.986,0.86,0.975,0.717,0.925,0.516,0.981,0.94,0.597
0.10,0.971,0.917,0.985,0.893,0.929,0.912,0.974,0.98,0.97,0.976,0.984,0.98,0.982,0.983,0.875,0.955,0.932,0.99,0.873,0.954,0.986,0.946,0.942,0.972,0.993,0.969,0.968,0.98,0.965,0.816,0.961,0.943,0.962,0.928,0.978,0.958,0.975,0.981,0.865,0.973,0.977,0.967,0.952,0.909,0.944,0.963,0.982,0.961,0.941,0.985,0.99,0.885,0.977,0.954,0.939,0.949,0.74,0.985,0.958,0.972,0.938,0.95,0.988,0.982,0.955,0.974,0.978,0.919,0.962,0.833,0.908,0.975,0.962,0.978,0.963,0.592,0.946,0.939,0.97,0.981,0.986,0.973,0.992,0.859,0.97,0.99,0.908,0.557,0.926,0.984,0.967,0.98,0.946,0.882,0.938,0.91,0.974,0.991,0.991,0.981
0.15,0.827,0.99,0.971,0.987,0.956,0.959,0.984,0.984,0.97,0.983,0.986,0.979,0.966,0.952,0.978,0.958,0.969,0.974,0.941,0.97,0.976,0.967,0.904,0.991,0.977,0.979,0.978,0.992,0.967,0.931,0.979,0.959,0.173,0.9,0.992,0.971,0.988,0.95,0.947,0.923,0.969,0.965,0.979,0.992,0.98,0.944,0.969,0.947,0.9,0.978,0.986,0.964,0.99,0.974,0.972,0.961,0.973,0.97,0.971,0.958,0.979,0.983,0.988,0.978,0.99,0.99,0.983,0.974,0.971,0.958,0.945,0.968,0.953,0.985,0.939,0.958,0.864,0.888,0.987,0.978,0.988,0.992,0.985,0.971,0.978,0.976,0.983,0.972,0.99,0.973,0.976,0.983,0.989,0.981,0.985,0.982,0.981,0.984,0.923,0.992
0.20,0.945,0.976,0.936,0.979,0.961,0.973,0.987,0.96,0.986,0.993,0.98,0.97,0.891,0.994,0.991,0.976,0.925,0.986,0.961,0.99,0.987,0.985,0.912,0.948,0.978,0.974,0.992,0.976,0.983,0.987,0.967,0.985,0.835,0.929,0.985,0.989,0.989,0.969,0.984,0.938,0.99,0.987,0.969,0.992,0.978,0.969,0.994,0.982,0.987,0.949,0.978,0.955,0.991,0.972,0.985,0.986,0.974,0.979,0.979,0.951,0.98,0.982,0.991,0.988,0.996,0.993,0.983,0.991,0.984,0.991,0.969,0.88,0.988,0.985,0.98,0.982,0.844,0.957,0.993,0.968,0.976,0.986,0.983,0.975,0.964,0.971,0.976,0.978,0.978,0.987,0.981,0.989,0.976,0.973,0.987,0.979,0.985,0.979,0.988,0.982
0.25,0.986,0.978,0.99,0.982,0.992,0.979,0.98,0.985,0.982,0.98,0.966,0.992,0.984,0.979,0.986,0.985,0.982,0.946,0.986,0.99,0.981,0.98,0.978,0.988,0.99,0.974,0.993,0.983,0.987,0.976,0.993,0.984,0.982,0.987,0.99,0.987,0.98,0.989,0.987,0.966,0.989,0.977,0.987,0.97,0.984,0.989,0.976,0.953,0.98,0.981,0.995,0.99,0.985,0.987,0.991,0.986,0.987,0.992,0.992,0.99,0.984,0.985,0.982,0.993,0.986,0.98,0.987,0.974,0.97,0.988,0.972,0.987,0.964,0.988,0.983,0.984,0.988,0.995,0.993,0.983,0.972,0.992,0.985,0.981,0.95,0.895,0.956,0.984,0.989,0.992,0.983,0.944,0.983,0.988,0.989,0.99,0.976,0.989,0.989,0.983
0.30,0.992,0.986,0.921,0.988,0.99,0.989,0.985,0.973,0.989,0.989,0.983,0.985,0.99,0.987,0.988,0.989,0.769,0.979,0.985,0.956,0.991,0.982,0.977,0.983,0.992,0.988,0.986,0.99,0.985,0.982,0.99,0.994,0.99,0.986,0.982,0.993,0.99,0.986,0.993,0.986,0.989,0.994,0.99,0.987,0.98,0.988,0.99,0.993,0.991,0.99,0.99,0.985,0.989,0.989,0.983,0.984,0.994,0.976,0.991,0.994,0.963,0.986,0.982,0.983,0.985,0.988,0.989,0.99,0.991,0.987,0.981,0.99,0.99,0.987,0.991,0.99,0.994,0.991,0.987,0.987,0.982,0.995,0.989,0.987,0.984,0.98,0.986,0.986,0.987,0.991,0.994,0.993,0.99,0.988,0.988,0.989,0.969,0.992,0.986,0.987
0.35,0.991,0.991,0.989,0.977,0.988,0.988,0.984,0.986,0.992,0.991,0.987,0.991,0.995,0.991,0.996,0.991,0.986,0.987,0.988,0.982,0.993,0.989,0.989,0.989,0.985,0.98,0.993,0.996,0.992,0.988,0.987,0.992,0.989,0.991,0.991,0.994,0.986,0.988,0.997,0.983,0.989,0.988,0.973,0.975,0.985,0.99,0.987,0.993,0.995,0.98,0.957,0.983,0.994,0.978,0.977,0.99,0.995,0.984,0.993,0.992,0.98,0.991,0.989,0.995,0.988,0.989,0.989,0.983,0.992,0.991,0.992,0.993,0.967,0.99,0.992,0.989,0.99,0.993,0.986,0.987,0.98,0.992,0.993,0.981,0.985,0.992,0.994,0.993,0.989,0.99,0.994,0.993,0.982,0.989,0.995,0.992,0.988,0.994,0.991,0.99
0.40,0.993,0.989,0.988,0.994,0.993,0.992,0.986,0.988,0.99,0.995,0.988,0.994,0.984,0.99,0.992,0.989,0.987,0.988,0.986,0.992,0.992,0.991,0.987,0.986,0.992,0.991,0.988,0.995,0.994,0.985,0.986,0.991,0.986,0.986,0.993,0.989,0.988,0.991,0.993,0.984,0.987,0.996,0.993,0.993,0.988,0.99,0.983,0.988,0.994,0.986,0.992,0.991,0.992,0.992,0.993,0.993,0.994,0.984,0.994,0.983,0.991,0.982,0.994,0.993,0.993,0.987,0.986,0.993,0.993,0.995,0.993,0.99,0.991,0.992,0.991,0.979,0.987,0.983,0.982,0.982,0.992,0.99,0.989,0.993,0.99,0.988,0.989,0.988,0.982,0.992,0.994,0.992,0.99,0.987,0.983,0.992,0.991,0.975,0.994,0.991
0.45,0.992,0.99,0.994,0.993,0.986,0.995,0.987,0.993,0.994,0.987,0.993,0.99,0.991,0.99,0.975,0.992,0.988,0.989,0.991,0.988,0.992,0.991,0.994,0.984,0.99,0.985,0.993,0.99,0.992,0.991,0.994,0.984,0.99,0.99,0.993,0.992,0.988,0.994,0.993,0.993,0.986,0.993,0.99,0.987,0.99,0.994,0.989,0.993,0.99,0.991,0.992,0.986,0.985,0.989,0.99,0.989,0.978,0.989,0.996,0.987,0.99,0.987,0.991,0.988,0.991,0.993,0.993,0.986,0.992,0.993,0.99,0.987,0.986,0.989,0.992,0.978,0.989,0.986,0.991,0.99,0.992,0.996,0.992,0.979,0.987,0.993,0.991,0.993,0.972,0.995,0.992,0.99,0.991,0.987,0.994,0.992,0.989,0.994,0.983,0.991
0.50,0.993,0.988,0.989,0.989,0.99,0.994,0.995,0.991,0.994,0.985,0.992,0.995,0.991,0.993,0.991,0.98,0.99,0.994,0.995,0.992,0.973,0.986,0.986,0.992,0.988,0.992,0.991,0.989,0.99,0.988,0.987,0.993,0.992,0.989,0.992,0.992,0.991,0.991,0.991,0.978,0.993,0.994,0.996,0.978,0.995,0.995,0.992,0.994,0.992,0.992,0.991,0.991,0.994,0.983,0.979,0.992,0.994,0.993,0.991,0.983,0.984,0.993,0.997,0.992,0.994,0.991,0.994,0.993,0.995,0.994,0.994,0.99,0.99,0.988,0.994,0.995,0.989,0.989,0.992,0.993,0.994,0.992,0.993,0.987,0.992,0.989,0.995,0.988,0.992,0.992,0.986,0.995,0.99,0.987,0.992,0.99,0.992,0.99,0.99,0.991
0.55,0.988,0.995,0.992,0.989,0.989,0.994,0.995,0.992,0.993,0.993,0.989,0.995,0.995,0.989,0.996,0.989,0.992,0.995,0.993,0.996,0.987,0.992,0.991,0.995,0.995,0.991,0.992,0.988,0.994,0.995,0.995,0.993,0.987,0.994,0.994,0.994,0.991,0.992,0.993,0.989,0.987,0.993,0.994,0.993,0.99,0.992,0.989,0.995,0.995,0.996,0.994,0.997,0.994,0.992,0.996,0.994,0.993,0.994,0.99,0.993,0.993,0.988,0.993,0.988,0.995,0.995,0.992,0.994,0.99,0.994,0.992,0.985,0.988,0.991,0.99,0.975,0.986,0.991,0.995,0.97,0.99,0.991,0.993,0.993,0.993,0.989,0.994,0.982,0.991,0.995,0.994,0.992,0.982,0.99,0.988,0.991,0.989,0.994,0.995,0.991
