ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.487,-11.287,0.592,-0.921,0.376,-2.906,0.645,-0.738,0.561,0.19,-0.148,-3.318,0.807,0.159,0.705,0.724,0.783,0.371,0.649,0.073,-0.172,0.1,0.404,0.501,0.477,0.745,0.908,-1.398,0.66,-0.853,-371.453,0.865,0.322,0.694,-3.348,-2.764,0.888,-0.573,0.925,0.419,0.461,0.769,-1.662,0.6,-0.521,0.156,0.423,-23.264,-1.017,0.652,0.522,0.965,0.84,-0.192,0.627,0.15,0.686,0.87,-1.021,-0.654,-0.104,0.427,-1.678,-1.14,0.124,0.798,-0.551,-1.35,0.89,0.843,0.921,0.867,0.536,0.131,0.861,0.858,0.508,0.918,-0.271,0.839,0.383,-2.776,0.913,-0.18,-0.076,-0.004,-0.05,0.543,-0.929,0.876,-0.7,-0.509,0.775,-0.195,0.736,0.729,0.616,-1.332,0.86,0.239
0.10,0.385,0.74,0.851,-1.95,0.947,0.476,0.787,0.755,-1.489,0.359,0.675,0.668,0.854,0.464,0.644,0.587,0.432,0.164,0.709,0.449,0.939,0.609,-1.172,0.593,0.053,-0.351,0.347,0.892,0.745,0.695,0.919,0.689,0.921,0.731,0.552,0.917,0.88,0.416,0.713,0.328,-2.204,0.765,0.755,0.757,0.852,0.791,0.22,-0.514,0.706,0.844,0.313,0.666,0.349,0.446,0.776,0.413,0.881,0.498,0.427,0.209,0.707,0.751,0.702,-0.124,0.634,0.603,0.839,0.182,0.969,0.304,0.846,-0.242,0.39,-0.038,0.291,0.324,0.764,0.848,0.895,0.902,0.757,0.121,0.609,0.887,-0.837,0.697,-0.154,0.665,0.57,0.724,0.606,-19.057,0.471,-0.553,0.254,0.759,0.623,0.146,0.849,0.524
0.15,0.9,0.215,0.836,0.862,0.942,0.852,0.757,-2.175,0.889,0.576,0.861,-1.611,0.786,0.872,0.91,0.836,0.868,0.903,0.883,0.599,0.859,0.762,0.914,0.734,0.873,-0.945,-0.291,0.942,0.744,0.397,0.873,0.961,0.899,0.769,0.599,0.889,0.77,0.786,0.677,0.717,0.769,0.673,0.66,0.692,0.903,0.657,0.822,0.93,0.894,0.757,0.538,0.547,0.285,0.789,0.877,0.798,0.716,0.856,0.688,0.563,0.928,0.353,0.841,0.658,0.63,0.728,0.813,0.223,0.855,0.93,0.842,0.718,0.692,0.358,0.734,0.819,0.619,0.951,0.806,0.815,0.862,0.516,0.831,0.789,0.88,0.805,0.666,0.694,0.243,0.898,0.956,0.789,0.844,0.889,0.782,0.406,0.771,0.882,0.703,0.747
0.20,0.878,0.884,0.827,0.648,0.907,0.883,0.903,0.884,0.772,0.931,0.837,0.896,0.874,0.705,0.856,0.91,0.718,0.859,0.82,0.82,0.962,0.84,0.622,-0.196,0.882,0.612,0.377,0.93,0.852,0.734,0.77,0.864,0.906,0.895,0.754,0.513,0.852,0.823,0.889,0.653,0.737,0.888,0.852,0.939,0.892,0.744,0.913,0.871,0.871,0.885,0.825,0.906,0.862,0.642,0.753,0.584,0.863,0.902,0.914,-0.105,0.88,0.867,0.475,0.576,0.828,0.864,0.836,0.831,0.884,0.872,0.841,0.898,0.868,0.944,0.806,0.92,0.68,0.75,0.872,0.698,0.891,0.172,0.855,0.938,0.918,0.91,0.767,0.889,0.594,0.906,0.88,0.445,-0.222,0.624,0.42,0.874,0.86,0.892,0.83,0.766
0.25,0.861,0.806,0.793,0.876,0.712,0.549,0.87,0.824,0.901,0.823,0.782,0.935,0.867,0.682,0.845,0.947,0.487,0.942,0.838,0.905,0.925,0.731,0.862,0.783,0.872,0.89,0.818,0.94,0.834,0.886,0.902,0.904,0.845,0.818,0.762,0.86,0.896,0.93,0.942,0.435,0.864,0.934,0.791,0.959,0.907,0.623,-0.071,0.936,0.873,0.867,0.881,0.911,0.944,0.819,0.911,0.67,0.82,0.908,0.908,0.947,0.881,0.943,0.863,0.923,0.897,0.84,0.675,0.876,0.864,0.893,0.909,0.787,0.651,0.898,0.922,0.728,0.898,0.872,0.369,0.75,0.875,0.934,0.855,0.911,0.73,0.914,0.912,0.867,0.812,0.897,0.849,0.909,0.829,0.88,0.97,0.947,0.77,0.789,0.915,0.892
0.30,0.912,0.904,0.968,0.912,0.836,0.901,0.792,0.928,0.808,0.826,0.869,0.937,0.903,0.877,0.83,0.858,0.896,0.71,0.925,0.977,0.937,0.917,0.581,0.864,0.795,0.881,0.896,0.966,0.846,0.925,0.873,0.891,0.894,0.727,0.871,0.827,0.901,0.841,0.764,0.88,0.814,0.496,0.813,0.952,0.9,0.896,0.916,0.902,0.933,0.804,0.739,0.893,0.734,0.88,0.935,0.874,0.784,0.941,0.9,0.856,0.889,0.952,0.896,0.83,0.914,0.923,0.895,0.837,0.968,0.931,0.912,0.846,0.837,0.954,0.802,0.896,0.928,0.794,0.948,0.93,0.899,0.796,0.912,0.908,0.902,0.89,0.745,0.884,0.906,0.925,0.872,0.884,0.922,0.828,0.944,0.948,0.938,0.449,0.89,0.896
0.35,0.861,0.907,0.963,0.834,0.878,0.913,0.833,0.941,0.917,0.848,0.917,0.968,0.863,0.915,0.916,0.878,0.873,0.942,0.834,0.935,0.965,0.837,0.858,0.865,0.784,0.923,0.893,0.938,0.815,0.902,0.91,0.881,0.874,0.844,0.908,0.952,0.848,0.824,0.872,0.892,0.909,0.866,0.899,0.966,0.773,0.892,0.921,0.724,0.905,0.895,0.845,0.914,0.901,0.738,0.915,0.941,0.85,0.876,0.953,0.75,0.792,0.946,0.871,0.876,0.899,0.891,0.813,0.896,0.937,0.967,0.921,0.943,0.955,0.886,0.835,0.863,0.897,0.928,0.841,0.741,0.964,0.829,0.935,0.963,0.931,0.946,0.902,0.953,0.895,0.879,0.858,0.942,0.805,0.931,0.944,0.957,0.455,0.794,0.836,0.931
0.40,0.844,0.888,0.921,0.927,0.921,0.926,0.951,0.86,0.944,0.911,0.878,0.937,0.899,0.922,0.857,0.948,0.95,0.923,0.867,0.893,0.85,0.827,0.86,0.857,0.926,0.945,0.829,0.926,0.851,0.84,0.869,0.868,0.826,0.931,0.887,0.932,0.901,0.877,0.887,0.853,0.934,0.891,0.933,0.919,0.931,0.893,0.872,0.904,0.894,0.858,0.937,0.919,0.898,0.917,0.896,0.918,0.86,0.934,0.93,0.958,0.835,0.864,0.92,0.944,0.885,0.88,0.866,0.904,0.931,0.892,0.841,0.933,0.877,0.869,0.834,0.942,0.915,0.932,0.864,0.867,0.941,0.921,0.835,0.902,0.949,0.938,0.898,0.716,0.837,0.924,0.891,0.902,0.954,0.962,0.898,0.943,0.919,0.894,0.878,0.916
0.45,0.806,0.855,0.901,0.83,0.862,0.938,0.843,0.921,0.946,0.897,0.869,0.922,0.91,0.919,0.9,0.97,0.951,0.94,0.85,0.954,0.829,0.897,0.835,0.847,0.899,0.892,0.9,0.876,0.911,0.832,0.876,0.962,0.94,0.872,0.893,0.936,0.863,0.929,0.849,0.88,0.957,0.956,0.922,0.963,0.921,0.899,0.811,0.906,0.861,0.938,0.865,0.919,0.889,0.861,0.916,0.933,0.913,0.924,0.928,0.845,0.9,0.948,0.876,0.905,0.862,0.937,0.932,0.914,0.928,0.879,0.926,0.906,0.914,0.877,0.877,0.912,0.888,0.949,0.943,0.877,0.867,0.894,0.928,0.895,0.855,0.913,0.857,0.872,0.921,0.921,0.937,0.878,0.933,0.932,0.809,0.865,0.74,0.909,0.865,0.954
0.50,0.908,0.902,0.917,0.922,0.869,0.957,0.963,0.921,0.939,0.869,0.893,0.944,0.963,0.924,0.945,0.882,0.959,0.921,0.954,0.954,0.913,0.904,0.91,0.925,0.915,0.821,0.951,0.935,0.883,0.862,0.926,0.905,0.888,0.923,0.941,0.885,0.97,0.887,0.874,0.898,0.945,0.881,0.372,0.904,0.945,0.955,0.918,0.938,0.84,0.947,0.937,0.936,0.861,0.896,0.921,0.907,0.873,0.894,0.889,0.902,0.88,0.886,0.854,0.889,0.901,0.966,0.923,0.791,0.907,0.879,0.927,0.892,0.943,0.888,0.827,0.942,0.92,0.88,0.897,0.927,0.917,0.868,0.923,0.931,0.904,0.948,0.868,0.89,0.921,0.957,0.95,0.927,0.938,0.925,0.904,0.935,0.862,0.906,0.881,0.961
0.55,0.895,0.927,0.919,0.909,0.906,0.945,0.901,0.856,0.95,0.924,0.908,0.923,0.938,0.918,0.87,0.894,0.887,0.934,0.973,0.948,0.923,0.844,0.929,0.939,0.918,0.925,0.931,0.865,0.942,0.842,0.913,0.923,0.881,0.933,0.959,0.951,0.923,0.919,0.901,0.895,0.923,0.914,0.919,0.93,0.88,0.957,0.906,0.939,0.837,0.903,0.868,0.898,0.899,0.91,0.919,0.903,0.865,0.887,0.931,0.928,0.845,0.946,0.94,0.9,0.892,0.941,0.901,0.938,0.925,0.613,0.967,0.944,0.927,0.882,0.924,0.88,0.945,0.92,0.92,0.937,0.969,0.921,0.889,0.909,0.877,0.965,0.938,0.892,0.886,0.961,0.931,0.944,0.942,0.834,0.916,0.942,0.813,0.928,0.873,0.932
0.60,0.883,0.887,0.944,0.912,0.909,0.92,0.91,0.835,0.941,0.919,0.967,0.881,0.934,0.923,0.942,0.892,0.938,0.921,0.875,0.944,0.906,0.938,0.949,0.949,0.971,0.962,0.907,0.931,0.928,0.892,0.898,0.917,0.944,0.88,0.899,0.918,0.923,0.935,0.909,0.919,0.933,0.91,0.894,0.874,0.902,0.962,0.877,0.871,0.92,0.94,0.894,0.918,0.93,0.875,0.934,0.885,0.902,0.907,0.935,0.915,0.908,0.937,0.913,0.923,0.901,0.957,0.929,0.941,0.943,0.728,0.939,0.935,0.926,0.926,0.946,0.815,0.914,0.954,0.945,0.913,0.93,0.866,0.94,0.945,0.889,0.927,0.889,0.941,0.885,0.915,0.94,0.933,0.939,0.916,0.956,0.927,0.861,0.913,0.952,0.925
