ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.674,-1.641,0.93,0.339,0.067,-0.11,0.682,0.934,0.169,0.578,0.325,0.071,0.889,0.719,0.88,0.553,0.773,0.754,0.884,0.42,0.672,0.45,0.727,0.233,0.956,-0.582,-0.061,0.421,0.641,0.743,-0.873,0.822,0.939,0.732,0.614,-4.301,0.619,-0.079,0.264,0.6,-0.303,0.908,-0.188,0.419,0.847,-2.479,-0.551,0.352,-0.103,0.802,-0.408,0.208,0.806,0.832,0.475,0.476,0.833,0.809,-0.138,-1.65,0.822,0.537,0.767,-0.36,0.787,0.878,-2.36,0.139,0.938,0.862,0.933,0.673,0.595,0.88,0.724,0.701,0.737,0.7,0.761,-6.607,0.671,0.784,0.85,-0.347,0.667,0.233,-0.597,0.675,-12.825,0.815,0.214,-3.177,0.101,-3.723,0.821,0.527,-0.237,0.381,0.161,-0.254
0.10,0.569,0.444,0.127,0.647,0.163,-0.013,-1.685,0.892,-0.972,0.723,0.522,-0.934,0.805,0.473,0.221,-3.456,0.331,-0.293,0.92,0.889,0.473,0.536,0.864,0.821,-0.026,0.268,0.537,0.75,0.165,-0.118,0.811,0.62,0.932,0.686,0.91,0.945,0.794,0.783,0.447,0.14,0.59,0.35,0.771,0.543,0.974,0.899,0.73,0.711,0.813,0.876,0.525,0.587,0.683,0.615,0.659,0.581,0.564,0.502,0.505,-0.303,0.602,0.575,0.818,0.733,0.857,0.871,0.747,0.647,0.847,0.099,0.246,-0.017,0.715,0.336,-0.695,0.78,0.071,0.842,-0.333,0.523,0.822,0.552,0.154,0.827,-0.185,0.634,0.789,-0.493,0.301,0.706,0.605,0.853,0.763,0.873,0.719,0.506,0.865,0.3,0.535,0.68
0.15,0.726,0.789,0.875,0.915,0.891,0.515,0.918,0.252,0.89,0.854,0.76,0.855,0.551,0.638,0.835,0.475,0.035,0.594,-5.167,-1.352,0.829,0.683,0.506,0.784,0.906,0.587,0.463,0.89,0.262,0.785,0.905,0.745,0.941,0.807,0.843,0.978,0.893,0.128,0.762,0.733,0.816,0.966,0.46,0.647,0.866,0.343,0.261,0.876,0.894,0.525,0.744,0.822,0.42,0.972,0.86,0.948,0.612,0.863,0.317,0.909,0.881,0.782,0.41,0.835,0.622,0.914,0.868,0.491,0.906,0.56,0.759,0.747,0.75,0.657,0.711,0.867,0.86,0.583,0.312,-2.035,0.679,0.912,0.797,0.851,0.741,0.774,0.406,0.945,0.733,0.023,0.84,0.875,0.757,0.888,0.862,0.662,0.898,0.605,0.436,0.782
0.20,0.881,0.822,0.912,0.903,0.809,0.804,0.901,0.848,0.821,0.955,0.814,0.879,0.722,0.891,0.829,0.885,0.843,0.889,0.79,0.864,0.879,0.78,0.829,0.667,0.92,0.888,0.756,0.913,0.756,0.827,0.896,0.812,0.849,0.744,0.735,0.736,0.537,0.853,0.375,0.61,0.865,0.908,0.909,0.838,0.826,0.826,0.874,0.912,0.829,0.914,0.916,0.947,0.885,0.908,0.686,0.895,0.752,0.943,0.859,0.893,0.584,0.911,0.884,0.62,0.839,0.823,0.782,0.939,0.863,0.879,0.848,0.784,0.868,-0.496,0.871,0.908,0.903,0.559,0.753,0.67,0.923,-0.104,0.895,0.88,0.876,0.84,0.885,0.934,0.865,0.877,0.782,0.728,0.728,0.84,0.716,0.91,0.561,0.802,0.751,0.824
0.25,0.958,0.791,0.631,0.925,0.876,0.713,0.899,0.892,0.921,0.869,0.69,0.886,0.776,0.883,0.938,0.674,0.888,0.8,0.848,0.854,0.853,0.827,0.824,0.834,0.819,0.896,0.889,0.921,0.691,0.95,0.854,0.94,0.853,0.893,0.934,0.85,0.905,0.838,0.894,0.851,0.901,0.921,0.868,0.932,0.943,0.894,0.839,0.88,0.821,0.898,0.857,0.933,0.767,0.945,0.971,0.859,0.599,0.926,0.788,0.915,0.858,0.81,0.881,0.927,0.913,0.85,0.949,0.838,0.924,0.853,0.809,0.797,0.798,0.968,0.852,0.885,0.855,0.833,0.855,0.819,0.857,0.926,0.932,0.953,0.729,0.78,0.95,0.498,0.799,0.883,-0.34,0.945,0.85,0.953,0.942,0.954,0.855,0.879,0.876,0.88
0.30,0.908,0.946,0.856,0.885,0.846,0.943,0.829,0.897,0.916,0.596,0.867,0.946,0.928,0.928,0.901,0.735,0.946,0.799,0.965,0.944,0.901,0.884,0.786,0.884,0.917,0.854,0.878,0.94,0.86,0.755,0.908,0.891,0.771,0.868,0.843,0.837,0.906,0.82,0.716,0.924,0.959,0.925,0.883,0.886,0.912,0.873,0.962,0.927,0.85,0.905,0.865,0.926,0.686,0.92,0.701,0.855,0.82,0.931,0.877,0.899,0.943,0.962,0.871,0.874,0.957,0.933,0.84,0.792,0.904,0.779,0.927,0.827,0.903,0.917,0.878,0.839,0.932,0.794,0.931,0.86,0.867,0.908,0.931,0.92,0.912,0.843,0.881,0.918,0.813,0.87,0.928,0.868,0.95,0.78,0.942,0.887,0.916,0.788,0.91,0.891
0.35,0.844,0.883,0.914,0.83,0.884,0.906,0.917,0.922,0.909,0.888,0.897,0.91,0.908,0.96,0.922,0.896,0.716,0.924,0.961,0.96,0.956,0.813,0.816,0.905,0.882,0.936,0.914,0.938,0.913,0.887,0.913,0.847,0.831,0.884,0.908,0.915,0.859,0.822,0.789,0.888,0.959,0.913,0.936,0.832,0.865,0.889,0.813,0.865,0.872,0.874,0.872,0.924,0.897,0.913,0.934,0.946,0.902,0.823,0.891,0.92,0.765,0.934,0.946,0.933,0.911,0.933,0.878,0.951,0.908,0.914,0.917,0.894,0.892,0.883,0.889,0.833,0.81,0.95,0.893,0.907,0.951,0.879,0.903,0.943,0.945,0.87,0.898,-39.972,0.954,0.925,0.91,0.849,0.951,0.889,0.938,0.933,0.819,0.844,0.878,0.897
0.40,0.793,0.947,0.823,0.929,0.956,0.835,0.945,0.924,0.898,0.923,0.823,0.952,0.945,0.948,0.944,0.862,0.957,0.853,0.885,0.945,0.873,0.844,0.882,0.925,0.951,0.939,0.907,0.835,0.861,0.908,0.942,0.94,0.799,0.796,0.897,0.912,0.895,0.913,0.887,0.881,0.932,0.896,0.957,0.867,0.904,0.895,0.889,0.881,0.917,0.764,0.93,0.959,0.908,0.883,0.691,0.896,0.812,0.882,0.931,0.827,0.804,0.905,0.879,0.938,0.904,0.908,0.893,0.904,0.913,0.906,0.918,0.898,0.88,0.891,0.937,0.924,0.957,0.915,0.876,0.881,0.933,0.937,0.891,0.93,0.958,0.884,0.947,0.832,0.939,0.944,0.9,0.88,0.971,0.928,0.915,0.963,0.954,0.823,0.854,0.885
0.45,0.865,0.868,0.908,0.858,0.903,0.904,0.895,0.827,0.94,0.929,0.868,0.961,0.956,0.9,0.918,0.969,0.954,0.915,0.919,0.948,0.886,0.889,0.802,0.882,0.876,0.948,0.86,0.941,0.929,0.889,0.887,0.933,0.877,0.872,0.932,0.942,0.85,0.918,0.874,0.939,0.945,0.927,0.914,0.96,0.888,0.897,0.862,0.882,0.852,0.84,0.888,0.895,0.906,0.907,0.947,0.918,0.841,0.975,0.856,0.911,0.862,0.956,0.925,0.924,0.872,0.884,0.879,0.899,0.931,0.86,0.955,0.91,0.96,0.946,0.913,0.879,0.914,0.96,0.92,0.837,0.929,0.937,0.951,0.884,0.828,0.849,0.922,0.922,0.921,0.872,0.941,0.826,0.927,0.926,0.921,0.954,0.874,0.845,0.917,0.948
0.50,0.892,0.909,0.958,0.9,0.89,0.915,0.931,0.912,0.939,0.829,0.878,0.915,0.91,0.951,0.979,0.928,0.936,0.92,0.922,0.947,0.889,0.823,0.854,0.924,0.926,0.883,0.945,0.953,0.929,0.838,0.936,0.897,0.867,0.901,0.94,0.859,0.945,0.942,0.904,0.932,0.919,0.893,0.934,0.9,0.915,0.933,0.908,0.873,0.846,0.869,0.961,0.905,0.904,0.818,0.867,0.885,0.935,0.936,0.943,0.969,0.883,0.935,0.923,0.879,0.907,0.96,0.891,0.897,0.919,0.848,0.864,0.917,0.891,0.928,0.914,0.891,0.912,0.917,0.924,0.868,0.948,0.852,0.94,0.951,0.866,0.88,0.922,0.854,0.91,0.911,0.898,0.823,0.957,0.946,0.931,0.932,0.92,0.91,0.903,0.928
