ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-3.944,0.18,-0.089,0.471,-1.382,0.273,-15.412,-1.973,0.74,-18.024,0.52,0.532,-3.332,-8.066,0.138,-13.162,-0.122,0.523,0.215,0.854,0.138,0.223,0.626,-0.178,0.216,0.126,-8.366,-2.679,0.283,-0.051,0.64,-0.893,-2.263,-3.456,0.464,-0.812,-12.145,0.441,-2.851,0.806,-0.033,-0.147,-0.386,0.435,-2.785,-0.885,0.835,0.051,0.69,0.554,0.549,0.747,-0.581,0.726,0.45,-0.508,0.708,-0.65,0.554,-1.275,-4.014,-0.14,-0.119,-3.971,0.323,0.055,-5.073,-0.313,0.392,-0.824,0.547,-4.571,-0.185,0.539,-11.985,-22.018,0.494,-1.955,-1.69,-0.422,-26.768,-0.208,0.855,-0.047,-0.481,-0.837,-0.277,-0.488,-0.94,-6.526,-0.645,-2.802,0.615,0.566,-0.127,0.501,-0.615,-16.998,0.478,0.466
0.10,-0.113,-0.335,0.783,0.547,-18.268,0.187,0.574,0.726,0.871,0.409,0.683,-2.922,0.628,-0.19,-16.749,0.478,0.507,-3.819,0.364,0.78,-0.199,0.937,0.718,0.895,0.808,0.629,0.818,0.555,0.668,0.847,-0.411,-23.056,-2.773,0.251,0.617,0.747,0.567,-0.011,0.561,-0.275,0.878,-1.461,0.368,0.518,0.553,-3.371,0.631,-3.567,0.543,0.663,0.736,-0.902,-0.086,0.125,-1.119,-5.507,0.596,0.567,0.618,-0.26,-3.286,0.754,-1.406,0.05,0.132,0.569,0.627,0.518,-0.082,0.239,0.459,0.459,0.721,0.837,-1.0,0.314,-1.163,0.636,0.309,0.806,0.449,-0.099,0.026,-10.295,0.681,0.652,-4.002,0.928,0.074,0.774,0.503,0.203,0.588,0.626,-0.119,0.396,-0.248,0.755,-0.922,-0.773
0.15,0.171,0.898,0.457,0.529,0.408,0.674,0.834,0.582,0.825,0.719,0.569,0.453,0.616,0.659,0.628,0.53,0.81,0.303,0.068,0.243,-4.059,0.711,-0.951,-0.194,-0.024,0.421,0.455,0.824,0.644,0.698,0.854,0.394,-0.415,0.892,0.67,0.372,0.769,0.846,0.79,-0.176,0.914,0.742,0.928,0.873,-0.978,0.794,0.757,0.905,0.789,0.802,0.197,0.584,0.896,0.534,0.927,-0.137,0.681,0.688,0.709,0.025,-4.513,0.668,0.75,-0.435,-1.408,0.564,0.653,-0.356,0.509,0.314,0.864,0.861,0.573,0.494,0.796,0.637,0.674,0.681,0.822,0.616,0.447,0.407,0.607,0.768,-0.094,0.91,0.22,0.831,0.846,0.776,0.788,0.788,0.856,-3.057,0.512,0.814,0.812,0.529,0.459,0.639
0.20,0.862,0.898,0.665,0.916,0.505,0.578,-0.226,0.836,0.651,0.964,0.729,0.93,0.914,0.759,0.722,0.882,0.333,0.966,0.646,-0.693,0.637,0.585,0.821,0.872,0.923,0.479,-4.93,0.455,0.616,0.746,0.97,0.87,0.518,0.873,-0.281,0.5,0.658,0.315,0.845,0.227,0.955,0.661,0.822,0.93,0.908,0.446,-0.173,0.297,-0.715,0.917,0.809,0.927,0.793,0.36,0.976,0.583,0.851,0.905,0.002,0.594,0.74,0.903,0.806,0.85,0.553,0.355,0.908,0.79,0.94,0.565,0.842,0.853,0.775,0.937,0.406,0.552,0.579,0.942,0.876,0.843,0.318,0.879,0.887,0.938,0.699,0.884,0.644,0.758,0.892,0.891,0.546,0.877,0.957,0.803,-0.015,0.964,0.709,0.656,0.872,0.722
0.25,0.835,0.89,0.965,0.885,-0.524,0.924,0.824,0.858,0.459,0.903,0.979,0.859,0.937,0.887,0.782,0.905,0.958,0.356,0.446,0.876,0.96,0.906,0.942,0.874,0.732,0.443,0.748,0.765,0.923,0.898,0.836,0.895,0.677,0.884,0.801,0.775,0.937,0.807,0.953,0.868,0.907,0.541,0.809,0.815,0.73,0.737,0.119,0.871,0.944,0.66,0.858,0.572,0.941,-0.728,0.946,0.929,0.797,0.932,0.754,0.588,0.565,0.912,0.851,0.937,0.829,0.917,0.924,0.924,0.905,0.643,0.923,0.907,0.799,0.663,0.564,0.336,0.917,0.792,0.926,0.907,0.961,0.96,0.899,0.686,0.939,0.896,0.927,0.864,0.908,0.88,0.836,0.919,0.912,0.962,0.804,0.896,0.897,0.914,0.874,0.825
0.30,0.781,0.924,0.957,0.932,0.508,0.412,0.535,0.748,0.72,0.816,0.974,0.974,0.945,0.955,0.95,0.731,0.943,0.915,0.886,0.873,0.931,0.943,0.745,0.771,0.596,0.883,0.824,0.658,0.917,0.781,0.885,0.91,0.948,0.747,0.893,0.52,0.951,0.792,0.943,0.939,0.944,0.936,0.845,0.872,0.96,0.846,0.82,0.228,0.945,0.8,0.916,0.755,0.78,0.599,0.642,0.516,0.957,0.947,0.954,0.272,0.836,0.947,0.565,0.384,0.772,0.904,0.929,0.872,0.869,0.86,0.813,0.844,0.75,0.596,0.893,0.085,0.487,0.869,0.78,0.944,0.616,0.777,0.559,0.7,0.744,0.905,0.937,0.521,0.941,0.901,0.959,-2.215,0.976,0.957,0.398,0.723,0.954,0.925,0.957,0.733
0.35,0.935,0.884,0.971,0.953,0.644,0.925,0.888,0.766,0.954,0.578,0.966,0.971,0.957,0.952,0.936,0.908,0.39,0.745,0.933,0.946,0.954,0.464,0.934,0.708,0.678,0.781,0.955,0.569,0.919,0.821,0.935,0.889,0.962,0.899,0.816,0.951,0.914,0.976,0.293,0.76,0.984,0.935,0.934,0.961,0.957,0.967,0.876,0.798,0.642,0.951,0.887,0.828,0.979,0.089,0.787,0.811,0.818,0.959,0.829,0.935,0.895,0.895,0.868,0.829,0.967,0.608,0.947,0.941,0.925,0.961,0.95,0.953,0.973,0.957,0.873,0.965,0.932,0.927,0.955,0.51,0.774,0.964,0.961,0.859,0.573,0.944,0.968,0.518,0.971,0.936,0.971,0.737,0.931,0.924,0.744,0.779,0.963,0.842,-2.116,0.868
0.40,0.974,0.951,0.894,0.832,0.928,0.97,0.941,0.734,0.904,0.951,0.934,0.904,0.908,0.948,0.852,0.969,0.834,0.968,0.948,0.702,0.782,0.905,0.967,0.966,0.907,0.743,0.923,0.719,0.842,0.943,0.909,0.943,0.948,0.848,0.656,0.958,0.976,0.967,0.964,0.647,0.977,0.753,0.936,0.945,0.914,0.952,0.949,0.942,0.966,0.933,0.856,0.745,0.829,0.867,0.923,0.95,0.953,0.975,0.966,0.964,0.904,0.819,0.661,0.95,0.929,0.957,0.962,0.934,0.961,0.8,0.722,0.902,0.98,0.958,0.566,0.963,0.722,0.957,0.97,0.529,0.85,0.819,0.93,0.909,0.724,0.896,0.968,0.95,0.875,0.913,0.891,0.978,0.889,0.946,0.758,0.843,0.721,0.922,0.879,0.884
0.45,0.957,0.946,0.954,0.909,0.981,0.899,0.943,0.599,0.954,0.949,0.969,0.966,0.909,0.966,0.975,0.934,0.932,0.845,0.951,0.717,0.946,0.93,0.951,0.978,0.893,0.9,0.952,0.823,0.927,0.893,0.93,0.925,0.845,0.916,0.728,0.961,0.933,0.949,0.958,0.866,0.956,0.676,0.944,0.843,0.762,0.925,0.968,0.967,0.924,0.949,0.76,0.866,0.788,0.975,0.951,0.929,0.952,0.944,0.975,0.971,0.915,0.89,0.922,0.886,0.954,0.691,0.969,0.559,0.974,0.969,0.93,0.956,0.976,0.971,0.714,0.934,-0.117,0.895,0.958,0.791,0.97,0.532,0.872,0.578,0.536,0.939,0.958,0.827,0.879,0.964,0.971,0.924,0.968,0.949,0.969,0.737,0.954,0.788,0.914,0.973
0.50,0.952,0.693,0.815,0.974,0.977,0.984,0.94,0.874,0.939,0.975,0.983,0.962,0.942,0.937,0.959,0.968,0.896,0.907,0.965,0.961,0.946,0.948,0.955,0.983,0.959,0.925,0.962,0.935,0.932,0.899,0.768,0.726,0.323,0.936,0.933,0.939,0.828,0.957,0.971,0.806,0.946,0.959,0.669,0.961,0.65,0.955,0.958,0.968,0.749,0.967,0.962,0.968,0.969,0.954,0.937,0.942,0.98,0.973,0.979,0.971,0.975,0.895,0.852,0.956,0.921,0.972,0.98,0.917,0.953,0.953,0.595,0.96,0.969,0.967,0.954,0.972,0.905,0.792,0.978,0.874,0.982,0.857,0.968,0.97,0.966,0.968,0.704,0.784,0.918,0.954,0.959,0.9,0.968,0.972,0.962,0.965,0.811,0.959,0.976,0.945
