ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.207,0.08,-6.542,-1.309,0.574,0.649,-1.925,0.582,0.349,0.693,0.449,0.367,0.84,-2.83,-1.815,0.339,0.356,0.782,0.268,0.125,-5.308,0.359,-1.274,0.652,-0.155,0.653,-0.731,0.171,0.723,-0.662,0.252,-0.538,0.141,-1.168,-1140.218,0.825,0.532,0.848,0.264,0.605,0.327,-0.27,0.098,0.623,0.638,0.955,-22.046,0.18,0.603,0.568,0.519,0.227,0.449,0.274,0.469,0.284,0.676,-0.874,-0.16,-32.673,0.5,-0.28,0.62,0.601,0.692,0.415,0.558,0.264,0.745,-0.748,-12.981,-0.645,-0.43,-26.448,-339.896,-2.82,-0.803,0.277,0.777,0.648,0.855,-1.8,0.593,0.707,-1.879,0.672,0.898,-8.261,-1.5,0.8,-0.039,0.871,-0.388,0.722,0.643,-0.18,0.583,0.737,-2.837,-0.299
0.10,0.559,0.453,0.636,0.7,-0.208,0.804,0.58,0.301,0.66,0.789,0.029,0.544,0.357,0.208,0.387,0.573,0.858,-166.715,0.726,0.934,0.821,0.171,0.82,0.805,0.595,0.8,0.862,-3.541,0.457,-0.494,0.067,0.14,0.484,-7.166,0.625,0.785,0.426,0.741,0.831,0.716,-0.342,-1.319,-1.888,0.559,-35.839,0.572,0.639,0.801,0.168,-3.906,0.722,0.718,0.736,0.559,0.456,0.585,0.87,0.685,0.698,-0.064,0.448,0.368,0.71,-0.227,0.534,0.355,0.534,-0.9,0.952,0.454,0.811,0.801,0.074,0.347,0.668,0.637,-0.464,0.839,0.683,0.835,0.707,-0.967,-0.964,0.806,0.826,0.564,0.189,0.803,0.61,0.911,0.476,0.765,-1.257,0.772,0.361,0.628,0.455,0.264,0.541,0.626
0.15,0.757,0.755,0.854,0.056,0.04,0.865,0.725,0.039,0.617,0.831,0.904,0.629,0.63,0.297,0.783,0.642,0.875,0.823,0.792,0.682,0.73,0.67,0.825,0.722,0.795,0.838,0.632,0.83,0.612,0.511,0.542,0.855,0.833,0.764,0.652,0.779,0.736,0.869,-1.749,0.715,-1.179,-0.217,0.401,0.738,0.9,0.733,0.673,0.806,0.908,0.162,0.93,0.493,0.956,0.958,0.742,0.653,0.506,0.607,0.793,0.171,0.421,0.664,0.631,0.73,0.792,0.56,0.635,0.68,0.75,0.867,0.517,0.64,0.794,0.456,0.52,0.807,0.59,0.985,0.488,0.553,0.829,0.625,0.665,-4.654,0.725,0.687,0.562,0.796,0.852,-0.136,0.753,0.467,0.708,0.65,0.638,0.73,0.78,0.745,0.84,-1.745
0.20,0.77,0.672,0.532,0.645,0.757,0.199,0.755,0.493,0.689,0.796,0.841,0.841,0.957,0.864,0.761,0.696,0.914,0.824,0.85,0.786,0.717,0.465,0.705,0.521,0.656,0.819,0.458,0.672,0.596,0.807,0.688,0.932,0.806,0.917,0.766,0.899,0.665,0.81,0.941,0.686,-1.167,0.57,0.638,0.721,0.832,0.857,0.774,0.602,0.73,0.786,0.843,0.206,0.964,0.425,0.853,0.655,0.806,0.903,0.887,0.604,0.738,0.824,0.767,0.959,0.874,0.888,-0.019,0.307,0.771,0.957,0.527,0.769,0.621,0.936,0.578,0.591,0.476,0.835,0.282,0.749,0.639,0.72,0.884,0.545,0.837,0.856,0.612,0.792,0.922,0.923,0.877,0.747,0.456,0.901,0.558,0.797,0.712,0.814,0.827,0.881
0.25,0.787,0.775,0.548,0.593,0.652,0.705,0.864,0.382,0.737,0.353,0.861,0.684,0.826,0.898,0.66,0.321,0.895,0.655,0.789,0.682,0.762,0.929,0.924,0.701,0.8,0.9,0.576,0.831,0.3,0.923,0.884,0.86,0.677,0.667,0.578,0.841,0.882,0.912,0.731,0.598,0.654,0.749,0.5,0.721,0.952,0.846,0.42,0.964,0.727,0.934,0.898,0.842,0.763,0.641,0.841,0.742,0.773,0.804,0.883,0.977,0.938,0.917,0.877,0.755,0.586,0.783,0.826,0.871,0.399,0.729,0.732,0.603,0.529,0.93,0.922,0.912,0.899,0.935,0.625,0.65,0.75,0.686,0.581,0.641,0.713,0.648,0.792,0.773,0.887,0.642,0.907,0.741,0.732,0.898,0.823,0.632,0.791,0.915,0.896,0.695
0.30,0.942,0.814,0.902,0.812,0.731,0.909,0.873,0.733,0.857,0.706,0.742,0.918,0.488,0.938,0.892,0.955,0.817,0.819,0.745,0.92,0.692,0.561,0.859,0.846,0.932,0.792,0.808,0.891,0.719,0.895,0.726,0.97,0.84,0.823,0.882,0.665,0.853,0.916,0.609,0.552,0.898,0.717,0.855,0.837,0.864,0.932,0.906,0.803,0.74,0.96,0.898,0.805,0.882,0.493,0.888,0.75,0.454,0.89,0.906,0.925,0.915,0.883,0.747,0.804,0.867,0.937,0.837,0.642,0.634,0.703,0.817,0.722,0.706,0.622,0.799,0.858,0.944,0.665,0.824,0.715,0.763,0.78,0.908,-0.84,0.976,0.725,0.763,0.864,0.897,0.958,0.885,0.825,0.584,0.853,0.926,0.686,0.702,0.948,0.918,0.96
0.35,0.807,0.943,0.827,0.902,0.64,0.883,0.883,0.67,0.843,0.753,0.929,0.736,0.948,0.884,0.713,0.936,0.921,0.783,0.901,0.969,0.86,0.86,0.784,0.945,0.895,0.663,0.865,0.881,0.897,0.897,0.945,0.941,0.739,0.927,0.647,0.912,0.75,0.941,0.884,0.704,0.705,0.776,0.862,0.787,0.512,0.849,0.811,0.979,0.863,0.968,0.942,0.923,0.733,0.693,0.942,0.861,0.933,0.947,0.905,0.903,0.925,0.871,0.902,0.809,0.946,0.803,0.782,0.789,0.595,0.914,0.913,0.958,0.783,0.965,0.704,0.916,0.915,0.968,0.742,0.773,0.838,0.736,0.771,0.868,0.916,0.611,0.931,0.881,0.893,0.885,0.906,0.919,0.571,0.884,0.55,0.818,0.921,0.736,0.653,0.969
0.40,0.948,0.926,0.857,0.807,0.73,0.873,0.829,0.714,0.794,0.926,0.958,0.91,0.887,0.857,0.929,0.954,0.961,0.812,0.934,0.952,0.86,0.616,0.884,0.798,0.919,0.871,0.932,0.933,0.75,0.953,0.92,0.929,0.814,0.759,0.921,0.95,0.939,0.87,0.669,0.729,0.973,0.72,0.921,0.776,0.86,0.945,0.737,0.956,0.864,0.911,0.945,0.927,0.774,0.937,0.939,0.945,0.958,0.976,0.877,0.694,0.658,0.851,0.752,0.848,0.639,0.893,0.847,0.934,0.741,0.854,0.933,0.694,0.898,0.923,0.617,0.897,0.953,0.895,0.86,0.858,0.957,0.927,0.636,0.932,0.753,0.134,0.948,0.901,0.911,0.934,0.753,0.929,0.703,0.943,0.938,0.816,0.674,0.929,0.968,0.558
0.45,0.919,0.896,0.771,0.876,0.637,0.984,0.896,0.655,0.895,0.897,0.879,0.721,0.925,0.875,0.887,0.915,0.971,0.767,0.916,0.731,0.894,0.976,0.914,0.907,0.947,0.912,0.732,0.877,0.863,0.926,0.94,0.932,0.813,0.912,0.902,0.875,0.965,0.939,0.946,0.634,0.932,0.916,0.914,0.673,0.881,0.931,0.885,0.96,0.901,0.972,0.9,0.954,0.747,0.948,0.887,0.964,0.631,0.891,0.937,0.86,0.924,0.939,0.885,0.96,0.85,0.948,0.561,0.932,0.945,0.691,0.794,0.947,0.928,0.96,0.908,0.906,0.838,0.796,0.924,0.936,0.769,0.731,0.736,0.956,0.828,0.924,0.92,0.948,0.934,0.919,0.965,0.956,0.938,0.919,0.926,0.799,0.842,0.802,0.905,0.891
0.50,0.944,0.81,0.938,0.819,0.842,0.943,0.91,0.683,0.717,0.687,0.924,0.806,0.891,0.954,0.933,0.957,0.85,0.719,0.943,0.968,0.857,0.951,0.909,0.91,0.874,0.9,0.727,0.923,0.882,0.917,0.754,0.949,0.846,0.887,0.905,0.897,0.843,0.924,0.911,0.707,0.959,0.954,0.932,0.75,0.747,0.822,0.678,0.972,0.909,0.941,0.971,0.951,0.884,0.785,0.786,0.78,0.925,0.935,0.936,0.896,0.934,0.877,0.939,0.959,0.902,0.892,0.901,0.851,0.706,0.957,0.895,0.958,0.951,0.965,0.947,0.965,0.939,0.955,0.877,0.935,0.976,0.945,0.894,0.942,0.911,0.907,0.752,0.847,0.898,0.887,0.952,0.911,0.737,0.948,0.934,0.937,0.959,0.901,0.945,0.947
