random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.887211948904415
0,0,0.10,0.9214635692264215
0,0,0.15,0.7866658458424083
0,0,0.20,0.919603241412017
0,0,0.25,0.8582449244478125
0,0,0.30,0.937649834226561
0,0,0.35,0.9098386017899698
0,0,0.40,0.9206046788854242
0,0,0.45,0.8952112227300453
0,0,0.50,0.9049743241686465
0,0,0.55,0.9243350575654585
0,0,0.60,0.9561327723178907
0,0,0.65,0.9504982685894391
0,0,0.70,0.9582388190316016
0,0,0.75,0.9482700259543081
0,0,0.80,0.9351873595040006
0,0,0.85,0.959288592821743
0,0,0.90,0.9365684059293671
0,0,0.95,0.9488241208757954
0,1,0.05,-0.9114981861888423
0,1,0.10,0.034047395209045095
0,1,0.15,0.8987843383116975
0,1,0.20,0.7897229900644266
0,1,0.25,0.8643692467428294
0,1,0.30,0.8907156287881007
0,1,0.35,0.9168117281613426
0,1,0.40,0.9360429752553292
0,1,0.45,0.8717004913273391
0,1,0.50,0.8928899526624802
0,1,0.55,0.9552373488748162
0,1,0.60,0.938678397814385
0,1,0.65,0.9589497294665483
0,1,0.70,0.9336874088408195
0,1,0.75,0.9735793610345809
0,1,0.80,0.9511920088296426
0,1,0.85,0.9450177727049849
0,1,0.90,0.8839771997854584
0,1,0.95,0.9258957737310863
0,2,0.05,0.39558884384985527
0,2,0.10,0.356720020875416
0,2,0.15,0.8240045364919558
0,2,0.20,0.9019054820106771
0,2,0.25,0.9497513441710578
0,2,0.30,0.8789530189467794
0,2,0.35,0.9128177019305229
0,2,0.40,0.8664625077296064
0,2,0.45,0.9373130029259198
0,2,0.50,0.8721643050068668
0,2,0.55,0.9525054318894409
0,2,0.60,0.9232722513623979
0,2,0.65,0.9107366764177102
0,2,0.70,0.9298678492931887
0,2,0.75,0.9053746093605355
0,2,0.80,0.9336114345441515
0,2,0.85,0.9522800090765952
0,2,0.90,0.9458081899699408
0,2,0.95,0.9275808008721169
0,3,0.05,0.8763748286420715
0,3,0.10,0.15487182911551423
0,3,0.15,0.7408683745276983
0,3,0.20,0.9303328338054702
0,3,0.25,0.8155147957635915
0,3,0.30,0.9432381063492572
0,3,0.35,0.9560823881059266
0,3,0.40,0.876999391439831
0,3,0.45,0.9421035765605196
0,3,0.50,0.8514329772048519
0,3,0.55,0.9307590393687641
0,3,0.60,0.9318698496258967
0,3,0.65,0.9683477053977659
0,3,0.70,0.9573347913463536
0,3,0.75,0.9560928284844697
0,3,0.80,0.9448704874794749
0,3,0.85,0.9546320193165149
0,3,0.90,0.907173379986872
0,3,0.95,0.9291265037448185
0,4,0.05,0.08541313543861195
0,4,0.10,0.8703436921550397
0,4,0.15,0.9067633406677246
0,4,0.20,0.8734846819156759
0,4,0.25,0.8722048498993753
0,4,0.30,0.8730831559946305
0,4,0.35,0.8156055779403559
0,4,0.40,0.8947689721987134
0,4,0.45,0.9061032547734772
0,4,0.50,0.9160069572904604
0,4,0.55,0.9461728896616862
0,4,0.60,0.9660049335027592
0,4,0.65,0.9605889757100169
0,4,0.70,0.9338973534444682
0,4,0.75,0.9377082536305406
0,4,0.80,0.9595834247137479
0,4,0.85,0.9477571641003892
0,4,0.90,0.9522836994772155
0,4,0.95,0.9189228662473452
0,5,0.05,0.3664032783694192
0,5,0.10,0.5127728421795166
0,5,0.15,0.8945277473908197
0,5,0.20,0.8951556810709146
0,5,0.25,0.8841157603625325
0,5,0.30,0.9325673735868725
0,5,0.35,0.9192264021947079
0,5,0.40,0.8648482957722996
0,5,0.45,0.9307157085199408
0,5,0.50,0.910441699345874
0,5,0.55,0.9236673533339619
0,5,0.60,0.906431943313335
0,5,0.65,0.9358651447859386
0,5,0.70,0.9206416151442811
0,5,0.75,0.9598505148768821
0,5,0.80,0.9649907956879253
0,5,0.85,0.9478561450010189
0,5,0.90,0.9532889925771527
0,5,0.95,0.8952818561351519
0,6,0.05,-0.5706424536501378
0,6,0.10,0.6926435864525653
0,6,0.15,0.7866592004916773
0,6,0.20,0.8795394564194723
0,6,0.25,0.9310685907813784
0,6,0.30,0.9513404102837462
0,6,0.35,0.949865828122569
0,6,0.40,0.935216492048716
0,6,0.45,0.9055774603379924
0,6,0.50,0.936179299188368
0,6,0.55,0.8926260578046624
0,6,0.60,0.94481354094876
0,6,0.65,0.9480883189595777
0,6,0.70,0.9083784686287191
0,6,0.75,0.9071231271228924
0,6,0.80,0.9373358802808539
0,6,0.85,0.950726580105094
0,6,0.90,0.9521062277646326
0,6,0.95,0.9025423338186679
0,7,0.05,-0.5495629297003555
0,7,0.10,0.7763080137874381
0,7,0.15,0.827398236302079
0,7,0.20,0.8952767396088238
0,7,0.25,0.8665738908568499
0,7,0.30,0.9416098168730452
0,7,0.35,0.9051432934731594
0,7,0.40,0.865864904774929
0,7,0.45,0.897969069237471
0,7,0.50,0.8870274585064299
0,7,0.55,0.9546721156130097
0,7,0.60,0.9496179662542215
0,7,0.65,0.8509461009979802
0,7,0.70,0.9557122637038605
0,7,0.75,0.9283427604035583
0,7,0.80,0.9391486208406696
0,7,0.85,0.9681201536203171
0,7,0.90,0.939491543565705
0,7,0.95,0.9109051449636888
0,8,0.05,0.2112429832864614
0,8,0.10,0.8876575617549649
0,8,0.15,0.9120619221115139
0,8,0.20,0.8835084735953842
0,8,0.25,0.7014192638191742
0,8,0.30,0.9150534289290932
0,8,0.35,0.9399398009231292
0,8,0.40,0.8681919786460786
0,8,0.45,0.9319604128652302
0,8,0.50,0.9271261384502018
0,8,0.55,0.8897267521417008
0,8,0.60,0.944689103848335
0,8,0.65,0.9450246462846581
0,8,0.70,0.9404148617151574
0,8,0.75,0.9294035563429471
0,8,0.80,0.9672831239044717
0,8,0.85,0.9445794351987972
0,8,0.90,0.8926981081448476
0,8,0.95,0.8742236947632585
0,9,0.05,0.23867677871802784
0,9,0.10,0.6248404765554076
0,9,0.15,0.7688340343485407
0,9,0.20,0.9157574058143143
0,9,0.25,0.8931293473119811
0,9,0.30,0.854714777921701
0,9,0.35,0.9139816042908493
0,9,0.40,0.9211242806510915
0,9,0.45,0.9238259626690042
0,9,0.50,0.9282424803003116
0,9,0.55,0.940819133220636
0,9,0.60,0.949381903655199
0,9,0.65,0.879072118564988
0,9,0.70,0.9395371346876236
0,9,0.75,0.9392770703038038
0,9,0.80,0.9468478216509273
