ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.487,0.96,0.767,0.959,0.76,0.781,0.169,0.86,0.546,0.537,0.971,0.915,0.614,0.982,0.975,0.936,0.844,0.939,0.554,0.965,0.417,0.983,0.753,0.995,0.908,0.979,-1.952,0.991,0.962,0.853,0.869,0.39,-2.874,0.875,0.827,0.99,0.289,0.933,0.646,0.843,0.785,0.932,0.947,0.46,0.871,0.801,0.993,0.924,0.574,-2.512,0.975,0.956,0.983,0.936,0.987,0.798,-0.706,0.687,0.836,-1.079,0.842,0.831,0.94,0.886,0.99,0.982,0.825,0.49,-1.789,0.96,0.53,-2.634,0.898,0.942,0.469,0.907,0.869,0.991,0.903,0.715,0.986,-1.043,0.786,0.873,0.802,0.95,0.99,0.943,0.918,0.771,0.771,0.697,-0.671,0.877,0.714,-37.499,0.854,0.915,0.638,0.738
0.10,0.94,0.989,0.999,1.0,0.323,0.996,0.98,0.993,1.0,0.975,0.988,0.999,0.921,0.999,0.907,0.999,0.994,0.942,0.104,0.99,0.985,0.998,0.956,0.998,0.96,0.998,0.968,0.998,0.954,0.987,0.961,-0.051,0.968,0.992,0.998,0.926,0.94,-0.926,0.984,0.976,0.774,0.997,0.041,0.98,0.915,0.507,0.937,0.974,0.98,0.978,-0.185,0.956,0.993,0.989,0.99,0.961,0.975,0.121,0.996,0.909,0.997,-2.261,0.78,0.936,0.984,0.953,0.058,0.795,0.973,0.915,0.367,0.749,0.059,0.998,0.995,0.952,0.996,0.968,0.983,0.534,0.874,0.182,0.954,0.873,0.957,0.972,0.999,0.875,0.168,0.989,0.916,0.945,0.995,0.992,0.968,0.964,0.972,0.999,0.88,0.943
0.15,0.998,0.998,-0.009,0.999,0.34,0.999,0.638,1.0,0.997,0.284,1.0,0.999,0.991,0.998,0.991,0.991,0.999,0.998,0.989,0.999,0.921,0.998,0.998,0.997,0.979,0.537,0.999,1.0,0.999,0.567,0.997,1.0,0.997,0.998,0.997,0.999,0.951,0.997,0.13,0.999,0.997,0.998,0.385,-2.8,1.0,0.452,0.995,0.992,0.998,0.999,0.946,0.989,0.998,0.968,0.999,1.0,0.99,0.995,1.0,0.992,0.971,0.999,0.993,0.998,0.996,0.992,0.972,0.514,0.973,0.983,1.0,0.994,0.994,0.981,1.0,0.991,0.999,1.0,0.971,0.98,0.987,0.995,0.997,0.995,1.0,0.996,0.996,0.368,0.999,0.999,0.992,1.0,1.0,1.0,0.985,0.971,0.999,0.999,0.968,0.944
0.20,1.0,0.978,0.461,1.0,1.0,0.996,0.979,0.992,0.966,0.986,1.0,1.0,1.0,0.998,0.63,0.492,0.491,0.996,0.503,1.0,0.576,0.455,0.991,0.998,0.971,0.991,1.0,0.999,0.995,0.994,1.0,0.999,0.998,0.991,0.978,1.0,0.348,0.404,0.98,0.996,1.0,0.563,0.945,0.993,1.0,1.0,1.0,0.993,0.988,1.0,0.99,0.505,1.0,0.991,1.0,0.972,0.53,1.0,1.0,1.0,0.997,0.999,0.314,0.998,0.989,1.0,0.943,0.517,0.999,1.0,1.0,0.98,1.0,1.0,0.999,1.0,0.998,0.995,0.946,1.0,1.0,0.999,0.986,0.312,1.0,1.0,0.988,0.376,0.97,0.594,0.999,0.263,0.999,0.999,1.0,0.998,0.999,0.988,0.995,0.999
0.25,0.998,1.0,0.941,1.0,0.977,0.999,0.999,1.0,0.978,1.0,1.0,1.0,0.998,0.999,0.48,0.361,0.534,0.999,0.982,1.0,1.0,0.987,0.987,1.0,1.0,0.999,0.985,0.998,1.0,0.508,0.996,1.0,0.998,1.0,0.98,0.999,0.998,0.999,0.541,0.994,1.0,0.45,0.996,0.29,1.0,1.0,1.0,1.0,1.0,0.995,0.977,0.996,0.998,0.909,0.973,0.469,0.42,0.993,1.0,1.0,1.0,0.999,0.544,0.999,0.402,0.994,0.581,0.446,1.0,1.0,0.47,1.0,1.0,1.0,0.999,0.451,0.999,1.0,0.995,0.996,1.0,0.402,1.0,1.0,1.0,0.987,1.0,1.0,0.996,0.999,1.0,1.0,1.0,1.0,0.486,1.0,0.451,0.999,1.0,0.999
0.30,1.0,0.57,0.99,1.0,0.585,0.991,1.0,1.0,1.0,0.984,1.0,0.999,0.984,0.979,1.0,0.998,0.603,1.0,0.999,1.0,1.0,0.554,0.994,1.0,0.999,1.0,1.0,1.0,0.985,0.999,1.0,0.553,0.981,1.0,0.999,1.0,0.988,1.0,1.0,1.0,0.996,0.561,0.993,1.0,1.0,0.999,0.992,1.0,0.583,0.999,0.461,0.539,1.0,0.998,0.571,1.0,1.0,1.0,0.975,0.997,0.999,0.573,1.0,1.0,0.999,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,0.993,0.998,0.999,1.0,1.0,1.0,0.982,0.52,1.0,1.0,1.0,0.564,0.999,1.0,1.0,1.0,0.981,1.0,0.998,1.0,0.999,1.0,0.474,1.0,0.992,0.999
0.35,0.998,0.999,0.573,0.998,0.992,1.0,1.0,0.999,0.984,0.574,1.0,0.999,1.0,1.0,0.553,0.477,1.0,1.0,0.972,1.0,0.557,0.999,1.0,1.0,1.0,0.578,1.0,1.0,0.998,0.98,1.0,0.589,0.998,1.0,1.0,0.999,0.657,0.991,1.0,1.0,0.999,1.0,0.998,0.571,1.0,1.0,0.996,0.987,0.534,0.949,1.0,0.55,0.999,0.998,0.998,1.0,1.0,0.999,0.565,1.0,1.0,0.538,1.0,0.95,1.0,1.0,1.0,0.996,0.998,1.0,1.0,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.996,0.996,0.993,0.994,0.992,0.608,1.0,1.0,1.0,0.562,1.0,0.515,1.0,1.0,0.475,1.0,0.488,0.999,0.984,0.999,1.0,0.999
0.40,1.0,0.977,0.654,1.0,1.0,1.0,0.558,1.0,0.992,1.0,0.991,1.0,1.0,1.0,0.999,1.0,0.564,1.0,0.997,0.999,0.999,0.984,1.0,1.0,1.0,0.602,0.993,1.0,1.0,1.0,1.0,0.641,1.0,0.999,1.0,0.99,0.66,0.999,1.0,1.0,0.991,0.999,1.0,1.0,0.498,1.0,1.0,0.638,1.0,1.0,1.0,0.994,1.0,0.998,1.0,1.0,0.98,0.585,0.592,1.0,0.999,0.999,0.994,1.0,0.62,1.0,1.0,0.566,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,0.996,1.0,0.592,1.0,0.516,0.982,0.999,0.979,1.0,0.563,1.0,1.0,1.0,1.0,0.508,0.997,1.0,0.991,0.511,1.0,1.0,1.0
0.45,0.992,1.0,0.619,0.657,0.984,0.998,0.977,1.0,1.0,1.0,1.0,1.0,1.0,0.981,0.55,0.998,0.999,1.0,1.0,1.0,1.0,0.992,1.0,1.0,0.634,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,0.984,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,0.999,1.0,1.0,1.0,0.587,0.999,1.0,0.992,0.478,0.999,1.0,1.0,0.578,0.592,0.998,1.0,1.0,0.998,1.0,0.561,1.0,0.653,0.989,1.0,0.999,0.57,1.0,1.0,0.981,0.999,1.0,1.0,1.0,0.977,1.0,0.571,1.0,0.57,0.999,1.0,0.552,0.999,1.0,1.0,0.553,1.0,0.991,0.999,0.991,1.0,1.0,0.547,1.0,1.0,0.53
0.50,1.0,1.0,0.976,0.398,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,0.479,1.0,1.0,1.0,0.99,1.0,0.999,1.0,1.0,0.522,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,0.999,1.0,1.0,0.965,1.0,1.0,0.498,0.999,0.988,1.0,1.0,0.983,0.998,0.597,0.999,0.999,1.0,1.0,1.0,1.0,0.992,0.558,1.0,1.0,0.999,1.0,0.985,0.504,0.999,0.996,1.0,0.504,0.974,1.0,0.999,1.0,0.999,0.527,0.569,0.502,0.997,0.999,0.545,0.986,0.998,0.998,1.0,0.993,0.999,1.0,1.0,1.0,0.381,0.988,1.0,0.999,0.488,1.0,0.999,0.405,0.981,1.0,0.982,0.563,1.0,1.0,0.439
