random_seed,split_seed,sample_ratio,r2
0,0,0.05,-1.424221460164861
0,0,0.10,0.8650788519369315
0,0,0.15,0.700826557170164
0,0,0.20,0.9397557376917972
0,0,0.25,0.9313708697394031
0,0,0.30,0.9250435191784138
0,0,0.35,0.9650868542811225
0,0,0.40,0.9539248013999804
0,0,0.45,0.9439317944523685
0,0,0.50,0.9644745943350345
0,0,0.55,0.9648740418866106
0,0,0.60,0.9162880598926284
0,0,0.65,0.9742218197419841
0,0,0.70,0.9611585855693997
0,0,0.75,0.9677113289700755
0,0,0.80,0.9709565587027441
0,0,0.85,0.9735709299952734
0,0,0.90,0.9729379749882331
0,0,0.95,0.9573681399648559
0,1,0.05,0.8072253334469102
0,1,0.10,0.8344150439084358
0,1,0.15,0.8970213308324293
0,1,0.20,0.9095813659357505
0,1,0.25,0.9512350188850812
0,1,0.30,0.9307950535772438
0,1,0.35,0.9586211691417619
0,1,0.40,0.9562044782460085
0,1,0.45,0.9597806618235901
0,1,0.50,0.9632163343861952
0,1,0.55,0.9515123872184899
0,1,0.60,0.9561060011547984
0,1,0.65,0.96287672406074
0,1,0.70,0.9590267457145405
0,1,0.75,0.9511123063000567
0,1,0.80,0.9579717025233727
0,1,0.85,0.9571521283164361
0,1,0.90,0.9559196690481657
0,1,0.95,0.962961423351489
0,2,0.05,0.5770244402424285
0,2,0.10,0.815877453096494
0,2,0.15,0.8074984896771168
0,2,0.20,0.9572127298320148
0,2,0.25,0.9322560490077539
0,2,0.30,0.9410327837676412
0,2,0.35,0.9634404658645893
0,2,0.40,0.7876774891736044
0,2,0.45,0.96472630353367
0,2,0.50,0.9410913235504698
0,2,0.55,0.9667266088340994
0,2,0.60,0.960938890822986
0,2,0.65,0.9508252370542863
0,2,0.70,0.9492531735534191
0,2,0.75,0.9570509910887726
0,2,0.80,0.9710479315936066
0,2,0.85,0.9644282546002739
0,2,0.90,0.9475353705299004
0,2,0.95,0.9726047888793589
0,3,0.05,-0.1529737131894804
0,3,0.10,0.6256791956034768
0,3,0.15,0.8805564518965001
0,3,0.20,0.9170518316536862
0,3,0.25,0.9404727520158123
0,3,0.30,0.9605969351005472
0,3,0.35,0.9343435955284602
0,3,0.40,0.9656200817534268
0,3,0.45,0.9686961245826291
0,3,0.50,0.9536414872749513
0,3,0.55,0.9760514660342783
0,3,0.60,0.9662133383041818
0,3,0.65,0.9745455033288817
0,3,0.70,0.9559897613886814
0,3,0.75,0.9426148306937021
0,3,0.80,0.9647537505609222
0,3,0.85,0.9514692178301468
0,3,0.90,0.9580515095412341
0,3,0.95,0.9651965878641502
0,4,0.05,0.10759108732610123
0,4,0.10,0.46873417170458365
0,4,0.15,0.7836591480495624
0,4,0.20,0.941712721651141
0,4,0.25,0.8794811496414122
0,4,0.30,0.9476463173821281
0,4,0.35,0.9680346114086353
0,4,0.40,0.9639567302292741
0,4,0.45,0.9032141065607484
0,4,0.50,0.9783231110073338
0,4,0.55,0.9586959489708635
0,4,0.60,0.9562113993961785
0,4,0.65,0.9391951156244738
0,4,0.70,0.9733131965088968
0,4,0.75,0.9616895460593575
0,4,0.80,0.9685054812203819
0,4,0.85,0.9687620459714703
0,4,0.90,0.9655052663944513
0,4,0.95,0.9627667681572674
0,5,0.05,0.5751187520300145
0,5,0.10,0.6406282333406583
0,5,0.15,0.9125739194473402
0,5,0.20,0.7749032626389138
0,5,0.25,0.9405724504398394
0,5,0.30,0.9203186781668551
0,5,0.35,0.9713046195550525
0,5,0.40,0.9150516999396328
0,5,0.45,0.8892934854753659
0,5,0.50,0.9597230241345254
0,5,0.55,0.9667488854326873
0,5,0.60,0.9567349024742631
0,5,0.65,0.9495315492949423
0,5,0.70,0.958920072916726
0,5,0.75,0.9586176816222308
0,5,0.80,0.9651275161782318
0,5,0.85,0.970699184326536
0,5,0.90,0.9697087775700989
0,5,0.95,0.9524764653227586
0,6,0.05,-0.182570581995269
0,6,0.10,0.7495010990876922
0,6,0.15,0.9101909949512539
0,6,0.20,0.9128697932945613
0,6,0.25,0.9135728431807472
0,6,0.30,0.9556620924245652
0,6,0.35,0.948835469749174
0,6,0.40,0.9565470707911814
0,6,0.45,0.9450628597839248
0,6,0.50,0.969508929816492
0,6,0.55,0.9762010617752699
0,6,0.60,0.9601777176521007
0,6,0.65,0.9677707178815348
0,6,0.70,0.9650678374533451
0,6,0.75,0.9711017514701811
0,6,0.80,0.9732347634373841
0,6,0.85,0.976102325541415
0,6,0.90,0.9649346827557871
0,6,0.95,0.9700184693908708
0,7,0.05,0.347630874841767
0,7,0.10,0.5818739477411077
0,7,0.15,0.9224208013936899
0,7,0.20,0.930161953595266
0,7,0.25,0.965154471639529
0,7,0.30,0.96151310769879
0,7,0.35,0.9453299256745162
0,7,0.40,0.9587504003755059
0,7,0.45,0.958893788426115
0,7,0.50,0.9698859564631721
0,7,0.55,0.9554115162751164
0,7,0.60,0.9607421744571761
0,7,0.65,0.9614119538989683
0,7,0.70,0.9630766601000513
0,7,0.75,0.9683101130554852
0,7,0.80,0.9671363768822325
0,7,0.85,0.9650258530035292
0,7,0.90,0.9687744544431471
0,7,0.95,0.9670274563544609
0,8,0.05,-0.6192463583216707
0,8,0.10,0.8961024637699345
0,8,0.15,0.8810576761038
0,8,0.20,0.8635773961452183
0,8,0.25,0.9368707822912403
0,8,0.30,0.9423731000382786
0,8,0.35,0.9693654708106012
0,8,0.40,0.9543139632129944
0,8,0.45,0.9576502286162037
0,8,0.50,0.9635121436879686
0,8,0.55,0.9559863425886064
0,8,0.60,0.9731997405844042
0,8,0.65,0.9603281893065876
0,8,0.70,0.9664046118881099
0,8,0.75,0.9684803430916151
0,8,0.80,0.9661076189305574
0,8,0.85,0.9623860967336623
0,8,0.90,0.9703262380890505
0,8,0.95,0.9733866800666153
0,9,0.05,0.3884356421034463
0,9,0.10,0.6402676251860726
0,9,0.15,0.665918583571762
0,9,0.20,0.9190917083993816
0,9,0.25,0.9037862033086037
0,9,0.30,0.9658213770758485
0,9,0.35,0.953776069935424
0,9,0.40,0.9657812645903816
0,9,0.45,0.9489659111823929
0,9,0.50,0.9540907217592831
0,9,0.55,0.9785344922106091
0,9,0.60,0.9718954816313154
0,9,0.65,0.9723343070688701
0,9,0.70,0.9694369421508816
0,9,0.75,0.9717470863378237
0,9,0.80,0.9671421720663865
0,9,0.85,0.9741531359923271
0,9,0.90,0.9711494612311171
0,9,0.95,0.9619240824079067
1,0,0.05,0.5333272228875441
1,0,0.10,0.7661997602858874
1,0,0.15,0.9295036504338944
1,0,0.20,0.9409924901322946
1,0,0.25,0.944458367667453
1,0,0.30,0.9473150677895821
1,0,0.35,0.9321955644425286
1,0,0.40,0.9590228133295858
1,0,0.45,0.9570179230362834
1,0,0.50,0.9686490177041763
1,0,0.55,0.974338015327388
1,0,0.60,0.9665102137829028
1,0,0.65,0.9706706139270113
1,0,0.70,0.9649983287510676
1,0,0.75,0.9713084728085787
1,0,0.80,0.9670594170273792
1,0,0.85,0.9652145508855158
1,0,0.90,0.9703104692744463
1,0,0.95,0.9615502624966791
1,1,0.05,0.48712632758225716
1,1,0.10,0.8959409779228216
1,1,0.15,0.6822515594135676
1,1,0.20,0.8124403365283084
1,1,0.25,0.9509121078611129
1,1,0.30,0.9618565463696034
1,1,0.35,0.7722826791322881
1,1,0.40,0.9615735852490335
1,1,0.45,0.9707533074662442
1,1,0.50,0.9770289419591303
1,1,0.55,0.9731438431114974
1,1,0.60,0.9624275753229057
1,1,0.65,0.9622131208706965
1,1,0.70,0.9581627817293018
1,1,0.75,0.9694508851615619
1,1,0.80,0.9712563501096405
1,1,0.85,0.956651829343226
1,1,0.90,0.9561743885861972
1,1,0.95,0.9643703685911029
1,2,0.05,0.6619010247014134
1,2,0.10,0.8530780323793752
1,2,0.15,0.8750492295921166
1,2,0.20,0.9325910958265488
1,2,0.25,0.7951774950373569
1,2,0.30,0.915363163950068
1,2,0.35,0.9416781899546153
1,2,0.40,0.9548656676177796
1,2,0.45,0.9728009755460595
1,2,0.50,0.9727927283164189
1,2,0.55,0.9716144834788152
1,2,0.60,0.9675299750941212
1,2,0.65,0.9749027442461149
1,2,0.70,0.9723501464429819
1,2,0.75,0.9700702932767683
1,2,0.80,0.9395258446493553
1,2,0.85,0.9670400364602842
1,2,0.90,0.9657194604928976
1,2,0.95,0.9540162712753533
1,3,0.05,0.30408908219760145
1,3,0.10,0.7764727487633819
1,3,0.15,0.9418135144772065
1,3,0.20,0.9681000878671572
1,3,0.25,0.912807595634341
1,3,0.30,0.9636334826400099
1,3,0.35,0.9460261390532566
1,3,0.40,0.9641092295252126
1,3,0.45,0.9566396478880687
1,3,0.50,0.9700286862923239
1,3,0.55,0.9586037149501913
1,3,0.60,0.9764217733216902
1,3,0.65,0.953896221442208
1,3,0.70,0.9731920740254381
1,3,0.75,0.9701689768921204
1,3,0.80,0.957568622537565
1,3,0.85,0.9659402360848078
1,3,0.90,0.9739149512820091
1,3,0.95,0.9714208775299584
1,4,0.05,0.6620955167494431
1,4,0.10,0.6841523786162482
1,4,0.15,0.95207482917976
1,4,0.20,0.9146562736083157
1,4,0.25,0.9496579438287663
1,4,0.30,0.9629229444646497
1,4,0.35,0.9513835792047761
1,4,0.40,0.9661270253611383
1,4,0.45,0.9559521989983061
1,4,0.50,0.9657753312567572
1,4,0.55,0.9604582308697246
1,4,0.60,0.9707950687092352
1,4,0.65,0.9605386292068346
1,4,0.70,0.9687536537254586
1,4,0.75,0.9563073249539277
1,4,0.80,0.9655739981220605
1,4,0.85,0.9547454112274723
1,4,0.90,0.9752507414008748
1,4,0.95,0.9621289679552243
1,5,0.05,0.3818567349750934
1,5,0.10,0.6965734505857996
1,5,0.15,0.5721539113493159
1,5,0.20,0.9011679548967959
1,5,0.25,0.9349815907083386
1,5,0.30,0.9386263881029648
1,5,0.35,0.9546726168918717
1,5,0.40,0.8502833900441619
1,5,0.45,0.962604163167706
1,5,0.50,0.958381158331088
1,5,0.55,0.9626603959909004
1,5,0.60,0.9654688741239271
1,5,0.65,0.9533189349353858
1,5,0.70,0.967385101880162
1,5,0.75,0.9625039295558676
1,5,0.80,0.970003939747067
1,5,0.85,0.9646597585962942
1,5,0.90,0.9726122341339062
1,5,0.95,0.9567571675794215
1,6,0.05,0.8018521083626071
1,6,0.10,0.7210581828652765
1,6,0.15,0.9466987785822091
1,6,0.20,0.9695661126227892
1,6,0.25,0.9164419473416113
1,6,0.30,0.9477760098542831
1,6,0.35,0.9663092208823156
1,6,0.40,0.9645735685037404
1,6,0.45,0.9697768554935523
1,6,0.50,0.9659331884783962
1,6,0.55,0.9633376776548687
1,6,0.60,0.9726116221214198
1,6,0.65,0.953578927379573
1,6,0.70,0.9735102263207478
1,6,0.75,0.976322169266565
1,6,0.80,0.9717232434875622
1,6,0.85,0.9714385318671851
1,6,0.90,0.9761373019789702
1,6,0.95,0.8773067059024214
1,7,0.05,0.7397523847956828
1,7,0.10,0.6449646403659552
1,7,0.15,0.9519207043211287
1,7,0.20,0.7009174764525306
