random_seed,split_seed,sample_ratio,r2
0,0,0.05,-2.42406020560696
0,0,0.10,0.8804488976334073
0,0,0.15,0.9879607951601385
0,0,0.20,0.9808142863291629
0,0,0.25,0.9710389616453065
0,0,0.30,0.9823059759398977
0,0,0.35,0.9749961336918612
0,0,0.40,0.9875276966122989
0,0,0.45,0.9878513169397607
0,0,0.50,0.9854469881722584
0,0,0.55,0.9870468761698883
0,0,0.60,0.9931520714891675
0,0,0.65,0.9921797124917219
0,0,0.70,0.9888678884218336
0,0,0.75,0.9804180797117863
0,0,0.80,0.9938472974259516
0,0,0.85,0.9936563353033931
0,0,0.90,0.9953973976489284
0,0,0.95,0.9942233062729223
0,1,0.05,0.03439834623892213
0,1,0.10,0.9226176346840781
0,1,0.15,0.9186339805579957
0,1,0.20,0.9055759833365387
0,1,0.25,0.9646951746186098
0,1,0.30,0.9523095496396882
0,1,0.35,0.977844808803795
0,1,0.40,0.9690566799389306
0,1,0.45,0.9805247496468034
0,1,0.50,0.987682062419285
0,1,0.55,0.994697567422539
0,1,0.60,0.9916840212504567
0,1,0.65,0.9930102811502246
0,1,0.70,0.9959986421204573
0,1,0.75,0.9962539612300221
0,1,0.80,0.9960770402720412
0,1,0.85,0.9928223635218436
0,1,0.90,0.9956523374862788
0,1,0.95,0.9877619815296154
0,2,0.05,-1.7633145066105067
0,2,0.10,0.7920570085536562
0,2,0.15,0.9726092476993677
0,2,0.20,0.8840413629040796
0,2,0.25,0.9587011274218314
0,2,0.30,0.9863294505590818
0,2,0.35,0.98931447449648
0,2,0.40,0.9943344293340518
0,2,0.45,0.9918351680069272
0,2,0.50,0.9925846446855324
0,2,0.55,0.9898592916216231
0,2,0.60,0.9809194837448688
0,2,0.65,0.988668679934853
0,2,0.70,0.9925959886834459
0,2,0.75,0.99238879599869
0,2,0.80,0.9922426141649296
0,2,0.85,0.9946846717542805
0,2,0.90,0.9933823443093789
0,2,0.95,0.9931405603326678
0,3,0.05,-0.45392286867912124
0,3,0.10,0.36204805661609074
0,3,0.15,0.8632092600546746
0,3,0.20,0.9924144637680222
0,3,0.25,0.9779580984159407
0,3,0.30,0.9531227629659358
0,3,0.35,0.984385721006202
0,3,0.40,0.9940136015837467
0,3,0.45,0.9921043478307467
0,3,0.50,0.9880868658432999
0,3,0.55,0.9931298604975677
0,3,0.60,0.9907426509284828
0,3,0.65,0.988701710827195
0,3,0.70,0.9941061464600718
0,3,0.75,0.9943888182426613
0,3,0.80,0.9955057356334382
0,3,0.85,0.9916532451381422
0,3,0.90,0.9925135899990173
0,3,0.95,0.9828392014845097
0,4,0.05,0.28104519981318465
0,4,0.10,0.9284317470991756
0,4,0.15,0.803458101431872
0,4,0.20,0.9667100991729222
0,4,0.25,0.9775992332787293
0,4,0.30,0.9772403226272661
0,4,0.35,0.991462374575722
0,4,0.40,0.9269122530749964
0,4,0.45,0.9906333820228872
0,4,0.50,0.9918400359982193
0,4,0.55,0.994707257495048
0,4,0.60,0.9926974777243173
0,4,0.65,0.9940879479818556
0,4,0.70,0.9890608618201925
0,4,0.75,0.9924631455527689
0,4,0.80,0.995172791475828
0,4,0.85,0.9930794279177139
0,4,0.90,0.9924460671391452
0,4,0.95,0.9942568073364909
0,5,0.05,0.6239783581984144
0,5,0.10,0.7888516351541978
0,5,0.15,0.7480237447105407
0,5,0.20,0.9832273730010727
0,5,0.25,0.9405831653709724
0,5,0.30,0.8931188471374375
0,5,0.35,0.9925550916059738
0,5,0.40,0.9885026672087655
0,5,0.45,0.9947895653463696
0,5,0.50,0.99290822275326
0,5,0.55,0.9835742584791054
0,5,0.60,0.995450910530549
0,5,0.65,0.9933087740580372
0,5,0.70,0.9937250687298717
0,5,0.75,0.9900276836331696
0,5,0.80,0.9943217419446202
0,5,0.85,0.9933508845470674
0,5,0.90,0.987472212417964
0,5,0.95,0.995291666332271
0,6,0.05,0.3529238259745523
0,6,0.10,0.8293163278036595
0,6,0.15,0.980371010040328
0,6,0.20,0.9694463614768772
0,6,0.25,0.9844671998052398
0,6,0.30,0.9106960438683557
0,6,0.35,0.9867127215179663
0,6,0.40,0.9867290236030389
0,6,0.45,0.9865879476751755
0,6,0.50,0.9933610832822553
0,6,0.55,0.9910759096815909
0,6,0.60,0.9896474978012781
0,6,0.65,0.9905740871787192
0,6,0.70,0.9950110951752907
0,6,0.75,0.991439548976317
0,6,0.80,0.9951798219442961
0,6,0.85,0.9835217166071131
0,6,0.90,0.9964158229540524
0,6,0.95,0.9781071075648017
0,7,0.05,-1.14689184501312
0,7,0.10,0.6704326059300666
0,7,0.15,0.9788890309513945
0,7,0.20,0.979491378026434
0,7,0.25,0.9901874410465629
0,7,0.30,0.9644667265676381
0,7,0.35,0.9727075800895346
0,7,0.40,0.9871423821950309
0,7,0.45,0.9870235937884116
0,7,0.50,0.9881620867792207
0,7,0.55,0.9949345568843977
0,7,0.60,0.9923341922534379
0,7,0.65,0.9958060411516427
0,7,0.70,0.9921260270944704
0,7,0.75,0.994110624055241
0,7,0.80,0.995214999601869
0,7,0.85,0.993694825384834
0,7,0.90,0.9832438980370646
0,7,0.95,0.9957443676102439
0,8,0.05,-3.5905938453864286
0,8,0.10,0.9329356853046512
0,8,0.15,0.9779206604087042
0,8,0.20,0.9579351056865338
0,8,0.25,0.9867066111627022
0,8,0.30,0.938908876718902
0,8,0.35,0.9903037705508482
0,8,0.40,0.9596717052059848
0,8,0.45,0.9837714227324026
0,8,0.50,0.9795992534613738
0,8,0.55,0.9936350814168398
0,8,0.60,0.9930136169381955
0,8,0.65,0.9899448880668091
0,8,0.70,0.9944414117524586
0,8,0.75,0.9952903226096075
0,8,0.80,0.9944715322173191
0,8,0.85,0.9951996595793217
0,8,0.90,0.9949255744327326
0,8,0.95,0.9951696992062974
0,9,0.05,-3.245670358151008
0,9,0.10,0.8358147954387053
0,9,0.15,0.8825948493742485
0,9,0.20,0.983714967779885
0,9,0.25,0.9790370892475484
0,9,0.30,0.9907055354614968
0,9,0.35,0.9343360302409556
0,9,0.40,0.9926242234253986
0,9,0.45,0.9902918848135996
0,9,0.50,0.9827285101539799
0,9,0.55,0.9918820407376402
0,9,0.60,0.9934779261693832
0,9,0.65,0.9910940798008682
0,9,0.70,0.9903068612297973
0,9,0.75,0.9958196690029342
0,9,0.80,0.995647011986939
0,9,0.85,0.9926077588260459
0,9,0.90,0.9941593794396111
0,9,0.95,0.9966168668561372
1,0,0.05,0.3836667982396297
1,0,0.10,0.9041215453688733
1,0,0.15,0.9583769067670006
1,0,0.20,0.9739361624986512
1,0,0.25,0.9818713986703513
1,0,0.30,0.9837751914061574
1,0,0.35,0.9859743590124362
1,0,0.40,0.98005823387375
1,0,0.45,0.991845692129029
1,0,0.50,0.9862756288633123
1,0,0.55,0.9957660291454162
1,0,0.60,0.994174847656318
1,0,0.65,0.9927111261549445
1,0,0.70,0.9952713607662255
1,0,0.75,0.9960765276062103
1,0,0.80,0.9956420191199387
1,0,0.85,0.9954911541313288
1,0,0.90,0.9942190510815555
1,0,0.95,0.9934053413011498
1,1,0.05,0.5854503396649132
1,1,0.10,0.3786798383713733
1,1,0.15,0.8177910936974656
1,1,0.20,0.976661278040734
1,1,0.25,0.9866503139655283
1,1,0.30,0.9832461553810516
1,1,0.35,0.9930808487494422
1,1,0.40,0.9936004343570363
1,1,0.45,0.9755115857445622
1,1,0.50,0.9863895934575175
1,1,0.55,0.9905793289419297
1,1,0.60,0.9952354312041813
1,1,0.65,0.9931180888150917
1,1,0.70,0.9606098365418576
1,1,0.75,0.9956863853172044
1,1,0.80,0.9942876990947027
1,1,0.85,0.9953344819311017
1,1,0.90,0.9912250700485248
1,1,0.95,0.9884858868386768
1,2,0.05,0.3499520309945322
1,2,0.10,0.5612106731893989
1,2,0.15,0.9790493188753367
1,2,0.20,0.9507690358098423
1,2,0.25,0.966950892888537
1,2,0.30,0.9208794898066193
1,2,0.35,0.9924321292404817
1,2,0.40,0.9751119146148904
1,2,0.45,0.9925166532542579
1,2,0.50,0.9880546330368064
1,2,0.55,0.9935333887008466
1,2,0.60,0.995622098648416
1,2,0.65,0.995735699970748
1,2,0.70,0.9931476235708835
1,2,0.75,0.9952595419733627
1,2,0.80,0.9961045237964091
1,2,0.85,0.9942315045775691
1,2,0.90,0.9955230628566304
1,2,0.95,0.9945847461315783
1,3,0.05,0.6210650041356486
1,3,0.10,0.7348847325104415
1,3,0.15,0.9140057863425365
1,3,0.20,0.9721596944602606
1,3,0.25,0.9799659971941364
1,3,0.30,0.9747686817609318
1,3,0.35,0.992888663112883
1,3,0.40,0.9704668734773368
1,3,0.45,0.984744789997368
1,3,0.50,0.9942843207753564
1,3,0.55,0.9945685631388254
1,3,0.60,0.99274844288441
1,3,0.65,0.9939387957766112
1,3,0.70,0.9708391816152334
1,3,0.75,0.9948195047814011
1,3,0.80,0.9957885943228624
1,3,0.85,0.9928765948215271
1,3,0.90,0.9944594619243716
1,3,0.95,0.9941818988883533
1,4,0.05,-2.5025018699712223
1,4,0.10,0.18193947355614992
1,4,0.15,0.9512054383804627
1,4,0.20,0.9718823432582261
