random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9736078567305069
0,0,0.10,0.9873328675152621
0,0,0.15,0.9894183905915669
0,0,0.20,0.9953216474431155
0,0,0.25,0.9967089269435884
0,0,0.30,0.9962239467041208
0,0,0.35,0.9976934179305489
0,0,0.40,0.9973800413710496
0,0,0.45,0.9958153050710957
0,0,0.50,0.9946363306474276
0,0,0.55,0.9972892379732876
0,0,0.60,0.9981428441535748
0,0,0.65,0.9978888266142022
0,0,0.70,0.9977611862138949
0,0,0.75,0.9933770965212713
0,0,0.80,0.9971950006593604
0,0,0.85,0.9970332338115457
0,0,0.90,0.9956713218464381
0,0,0.95,0.9950207883048205
0,1,0.05,0.9918903129687563
0,1,0.10,0.9825312041475742
0,1,0.15,0.9960626734545702
0,1,0.20,0.9962418050556565
0,1,0.25,0.9923071549795864
0,1,0.30,0.9953457487494928
0,1,0.35,0.9945782092924802
0,1,0.40,0.9946929623474497
0,1,0.45,0.9964145075223835
0,1,0.50,0.9911961599361008
0,1,0.55,0.9967454170522253
0,1,0.60,0.9967461371375526
0,1,0.65,0.9979146636955114
0,1,0.70,0.9940534868783968
0,1,0.75,0.9973132356170079
0,1,0.80,0.9981350772101344
0,1,0.85,0.9973048433290831
0,1,0.90,0.9973970845605543
0,1,0.95,0.99479044724204
0,2,0.05,0.9809364302793177
0,2,0.10,0.9918615554490263
0,2,0.15,0.9940173570389076
0,2,0.20,0.9971619493331793
0,2,0.25,0.9964535386632835
0,2,0.30,0.9925094704527595
0,2,0.35,0.9888256409521734
0,2,0.40,0.997090980736827
0,2,0.45,0.9971387877315847
0,2,0.50,0.9977968773533538
0,2,0.55,0.9976005887291481
0,2,0.60,0.9969702226978823
0,2,0.65,0.9980518305566984
0,2,0.70,0.9981436614650515
0,2,0.75,0.9973611064819224
0,2,0.80,0.9978463773158088
0,2,0.85,0.9949425127966428
0,2,0.90,0.9975443625151367
0,2,0.95,0.9932232335037133
0,3,0.05,0.9899972830373225
0,3,0.10,0.9927679687717985
0,3,0.15,0.9973396574688607
0,3,0.20,0.9966212585059884
0,3,0.25,0.9968112679679719
0,3,0.30,0.9957429585804225
0,3,0.35,0.9922678420712313
0,3,0.40,0.9960959118537863
0,3,0.45,0.9969378731546642
0,3,0.50,0.9939148218510614
0,3,0.55,0.9969655286233818
0,3,0.60,0.9946579221453843
0,3,0.65,0.9968300062162088
0,3,0.70,0.9976545744841216
0,3,0.75,0.9949359789953757
0,3,0.80,0.9963640602870952
0,3,0.85,0.9937959207949166
0,3,0.90,0.9945233785771712
0,3,0.95,0.9982050414764473
0,4,0.05,0.9891607335597115
0,4,0.10,0.9908993799491674
0,4,0.15,0.9954372637940841
0,4,0.20,0.995177572932026
0,4,0.25,0.9966867448754744
0,4,0.30,0.9926822490223997
0,4,0.35,0.9963456128690471
0,4,0.40,0.9929394956659443
0,4,0.45,0.9969613301434268
0,4,0.50,0.997313639752242
0,4,0.55,0.9965182016057266
0,4,0.60,0.9941610184252424
0,4,0.65,0.9975506315288302
0,4,0.70,0.9952122573140962
0,4,0.75,0.9974200806761885
0,4,0.80,0.9980600929220709
0,4,0.85,0.9971200302781227
0,4,0.90,0.9970955770072376
0,4,0.95,0.9956286182992441
0,5,0.05,0.9937211691203472
0,5,0.10,0.9951976027394251
0,5,0.15,0.9966596925164034
0,5,0.20,0.9976515889896698
0,5,0.25,0.9964259826880089
0,5,0.30,0.9941955285553076
0,5,0.35,0.9963181670927276
0,5,0.40,0.9976582348726367
0,5,0.45,0.994759259396986
0,5,0.50,0.9942428779287944
0,5,0.55,0.9972930945409888
