random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5467924223664957
0,0,0.10,-3.9284122630099363
0,0,0.15,0.5795383346123766
0,0,0.20,0.9175604564293348
0,0,0.25,0.6699691547019806
0,0,0.30,0.9280167300089527
0,0,0.35,0.9573219556619442
0,0,0.40,0.9117664756929125
0,0,0.45,0.8730222410984266
0,0,0.50,0.9405297136222076
0,0,0.55,0.9575083748473292
0,0,0.60,0.9702753546260602
0,0,0.65,0.9650823033420552
0,0,0.70,0.972665273503686
0,0,0.75,0.715479079172181
0,0,0.80,0.9313224272497905
0,0,0.85,0.9726592416615403
0,0,0.90,0.9317956046963132
0,0,0.95,0.9523486556889368
0,1,0.05,0.5617295706472107
0,1,0.10,0.8151968448338838
0,1,0.15,0.739323628622194
0,1,0.20,0.9305625482510713
0,1,0.25,0.7572521216812642
0,1,0.30,0.8978005468592284
0,1,0.35,0.9553510729273746
0,1,0.40,0.9625737955413411
0,1,0.45,0.9512618856833405
0,1,0.50,0.928826661104279
0,1,0.55,0.9446395927903022
0,1,0.60,0.9704729014199894
0,1,0.65,0.9717447970382765
0,1,0.70,0.9748339018023803
0,1,0.75,0.9458182233235365
0,1,0.80,0.974647260341877
0,1,0.85,0.9663365089763977
0,1,0.90,0.9589439622429221
0,1,0.95,0.9547361152729104
0,2,0.05,0.7490899564400468
0,2,0.10,0.6276817618575247
0,2,0.15,0.7543227912984278
0,2,0.20,0.8512443316857865
0,2,0.25,0.9121390630544787
0,2,0.30,0.9175334531893636
0,2,0.35,0.8706465867961432
0,2,0.40,0.934651901253056
0,2,0.45,0.9225084377701449
0,2,0.50,0.6116241723580504
0,2,0.55,0.9420816655796437
0,2,0.60,0.9675229977601524
0,2,0.65,0.9789065572722413
0,2,0.70,0.9542704869340966
0,2,0.75,0.9529418934868179
0,2,0.80,0.8949226406692887
0,2,0.85,0.9398373866909732
0,2,0.90,0.9648485892171407
0,2,0.95,0.9582510922693032
0,3,0.05,0.5105964756006571
0,3,0.10,0.1368509710182093
0,3,0.15,0.378785616327989
0,3,0.20,0.2071941003374954
0,3,0.25,0.9092461147026902
0,3,0.30,0.848505461635741
0,3,0.35,0.9124988164608121
0,3,0.40,0.9659669398821095
0,3,0.45,0.9079603975110422
0,3,0.50,0.9130245775090243
0,3,0.55,0.9776965367958887
0,3,0.60,0.9741782100532054
0,3,0.65,0.964051435122691
0,3,0.70,0.930746616085651
0,3,0.75,0.9556649758931948
0,3,0.80,0.9591678504102752
0,3,0.85,0.9335234497678023
0,3,0.90,0.9586832449857775
0,3,0.95,0.9663915277937305
0,4,0.05,-0.3697425158140826
0,4,0.10,0.796081755319976
0,4,0.15,0.9021280374452073
0,4,0.20,0.6296933228590067
0,4,0.25,0.9387042990960794
0,4,0.30,0.9411930735534736
0,4,0.35,0.9473956677622105
0,4,0.40,0.9240474292034674
0,4,0.45,0.9188694578440956
0,4,0.50,0.9512641935698272
0,4,0.55,0.9376591244595146
0,4,0.60,0.9319690502503182
0,4,0.65,0.8036742466752314
0,4,0.70,0.7985730438122625
0,4,0.75,0.8817643624304239
0,4,0.80,0.9629484935930475
0,4,0.85,0.9539681345513973
0,4,0.90,0.9721784078094411
0,4,0.95,0.9498709840771542
0,5,0.05,-0.7654956024501769
0,5,0.10,0.22111895522248415
0,5,0.15,0.9150181766343426
0,5,0.20,0.8615155405191386
0,5,0.25,0.8636051398313281
0,5,0.30,0.6978517151536089
0,5,0.35,0.9408749577185596
0,5,0.40,0.9293787756143203
0,5,0.45,0.9432992646639229
0,5,0.50,0.9551368714714219
0,5,0.55,0.9465891324129534
0,5,0.60,0.933143609449177
0,5,0.65,0.943804936848278
0,5,0.70,0.9471239300209988
0,5,0.75,0.6791326511131137
0,5,0.80,0.9466968803669793
0,5,0.85,0.9731564755675524
0,5,0.90,0.931371455051995
0,5,0.95,0.9706968948692841
0,6,0.05,0.32068775661000015
0,6,0.10,0.5977737820447235
0,6,0.15,0.9305543576157584
0,6,0.20,0.7818926198248306
0,6,0.25,0.9196291505993053
0,6,0.30,0.8595184240187035
0,6,0.35,0.9363924700159142
0,6,0.40,0.9405864060503055
0,6,0.45,0.9531465136406972
0,6,0.50,0.9406450248481395
0,6,0.55,0.9443340316087698
0,6,0.60,0.9621903658852691
0,6,0.65,0.9201924125211045
0,6,0.70,0.905811992981601
0,6,0.75,0.9424759187874119
0,6,0.80,0.9694057185625267
0,6,0.85,0.9632079758648604
0,6,0.90,0.9384120416199203
0,6,0.95,0.9468277690172731
0,7,0.05,0.4231641942744143
0,7,0.10,-0.8056760794338633
0,7,0.15,0.5892935128597715
0,7,0.20,0.9503256566030464
0,7,0.25,0.9281681439927053
0,7,0.30,0.9120580699880192
0,7,0.35,0.9725852937556585
0,7,0.40,0.9689398930846141
0,7,0.45,0.9536965868804499
0,7,0.50,0.7986174624743203
0,7,0.55,0.9305269241465104
0,7,0.60,0.9604269329890117
0,7,0.65,0.889289116195316
0,7,0.70,0.9635903747230253
0,7,0.75,0.7277783855840859
0,7,0.80,0.9440928116311317
