random_seed,split_seed,sample_ratio,r2
0,0,0.05,
0,0,0.10,-36.66730823940025
0,0,0.15,-114.5818245635741
0,0,0.20,-8.469321874787708
0,0,0.25,0.8522904014146946
0,0,0.30,-0.1223758051318371
0,0,0.35,0.9098238590980742
0,0,0.40,0.9510195589072422
0,0,0.45,0.9183062854155661
0,0,0.50,0.9257101979328095
0,0,0.55,0.8830171783375425
0,0,0.60,0.9421198491233056
0,0,0.65,0.8943565167655853
0,0,0.70,0.7915743822005682
0,0,0.75,0.9676267631365931
0,0,0.80,-0.576501023284606
0,0,0.85,0.9089393509260324
0,0,0.90,0.9857964039756762
0,0,0.95,0.9716195967969296
0,1,0.05,
0,1,0.10,-0.7696260874750971
0,1,0.15,-0.416111195502884
0,1,0.20,-77.66480983012971
0,1,0.25,0.9642209157155723
0,1,0.30,-9.831542811414144
0,1,0.35,0.6583961178493473
0,1,0.40,0.702879881044592
0,1,0.45,-0.18558716151404164
0,1,0.50,0.7289607636427011
0,1,0.55,0.9480310315867404
0,1,0.60,0.7500946449315506
0,1,0.65,0.9523035423236371
0,1,0.70,0.9783245525646385
0,1,0.75,0.4464729868176377
0,1,0.80,0.9011443572745258
0,1,0.85,0.9327791602466253
0,1,0.90,0.9239294742869172
0,1,0.95,0.931721483907965
0,2,0.05,
0,2,0.10,-0.7051209077595484
0,2,0.15,0.7612799918698915
0,2,0.20,0.759149925811216
0,2,0.25,0.5637051719640188
0,2,0.30,0.8769066792342074
0,2,0.35,0.5794936960011682
0,2,0.40,0.38790172391608546
0,2,0.45,0.8256314369344517
0,2,0.50,0.9131864786028162
0,2,0.55,0.4822564722415349
0,2,0.60,0.9696469497692843
0,2,0.65,0.9402041639740674
0,2,0.70,0.8790468335455406
0,2,0.75,0.9117418154516317
0,2,0.80,0.8859364842681974
0,2,0.85,0.9187786487716234
0,2,0.90,0.869515986299481
0,2,0.95,0.9180812493178698
0,3,0.05,
0,3,0.10,-4.370604603314639
0,3,0.15,-19.067078280418084
0,3,0.20,-6.503984220300122
0,3,0.25,0.7375934695001338
0,3,0.30,0.04970930115124761
0,3,0.35,0.9454142492728708
0,3,0.40,0.8650095127773327
0,3,0.45,0.9870256980283743
0,3,0.50,-0.7551434063750055
0,3,0.55,0.9294184655104091
0,3,0.60,0.9725624897476289
0,3,0.65,0.9676178421578675
0,3,0.70,0.41083775943501577
0,3,0.75,0.8885595500009613
0,3,0.80,0.9791577648977812
0,3,0.85,0.9749293164276559
0,3,0.90,0.9625256904482888
0,3,0.95,0.963098535735142
0,4,0.05,
0,4,0.10,-6.683016537524137
0,4,0.15,-0.9879022667699446
0,4,0.20,0.6132705326164049
0,4,0.25,0.43426311721456357
0,4,0.30,0.6457485782464192
0,4,0.35,0.872092762743084
0,4,0.40,0.9805780172124732
0,4,0.45,0.8094745268202939
0,4,0.50,0.759342840698409
0,4,0.55,0.9726782528624505
0,4,0.60,0.9252005854172239
0,4,0.65,-0.5269183404545486
0,4,0.70,0.9674253644944442
0,4,0.75,0.9689484404178267
0,4,0.80,0.9187884931092765
0,4,0.85,0.9057379714181829
0,4,0.90,0.9553629950975682
0,4,0.95,0.9238637437571441
0,5,0.05,
0,5,0.10,-9.853423643237756
0,5,0.15,0.07943083156136532
0,5,0.20,-0.15866585341316286
0,5,0.25,-0.17949182140072462
0,5,0.30,0.5984502587026077
0,5,0.35,-0.4382954889836035
0,5,0.40,0.9441581918325298
0,5,0.45,0.9233711051283534
0,5,0.50,0.9023080076972647
0,5,0.55,0.8643633662189263
0,5,0.60,0.9478040656515642
0,5,0.65,0.8653898218412077
0,5,0.70,0.9565557028170314
0,5,0.75,0.9860571233492025
0,5,0.80,0.9356441362136723
0,5,0.85,0.9220298800878297
0,5,0.90,0.952469202107467
0,5,0.95,0.9121087074765947
0,6,0.05,
0,6,0.10,-0.8827567447508875
0,6,0.15,0.7563043300992188
0,6,0.20,0.7992111966285673
0,6,0.25,0.9302915683708332
0,6,0.30,0.4882468770459186
0,6,0.35,0.8934999164418987
0,6,0.40,0.31050169330836896
0,6,0.45,0.9861559280844778
0,6,0.50,0.7898479524344706
0,6,0.55,0.7469719675730497
0,6,0.60,0.9357981418351328
0,6,0.65,0.960564327123628
0,6,0.70,0.9568947537049186
0,6,0.75,0.9310046611713856
0,6,0.80,0.40498841042388956
0,6,0.85,0.9486510553116002
0,6,0.90,0.902875701931558
0,6,0.95,0.9638812226879923
0,7,0.05,
0,7,0.10,-2.4407574919908464
0,7,0.15,0.45283310064877835
0,7,0.20,-0.3922955280166831
0,7,0.25,0.6458539531403551
0,7,0.30,-0.07260636678763821
0,7,0.35,0.3099819396481176
