ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.847,0.59,0.836,0.608,0.855,0.605,0.694,0.403,0.716,0.259,0.76,0.565,0.781,0.484,0.728,0.878,0.696,0.16,0.856,0.654,0.68,0.791,0.568,-0.058,0.737,0.838,-1.543,0.728,0.421,0.526,0.63,0.799,0.721,0.862,0.628,0.855,0.848,0.912,0.739,0.84,0.499,0.825,0.734,0.814,0.621,0.695,0.076,0.443,0.789,0.433,0.803,0.67,0.013,0.893,0.687,0.597,0.434,0.772,0.763,0.687,0.818,0.582,0.264,0.735,-0.048,0.728,0.825,0.442,0.699,0.628,0.778,0.548,0.827,0.753,0.715,0.677,0.789,0.812,0.684,0.562,0.636,0.375,0.753,0.842,0.811,0.544,-0.449,0.374,0.831,0.555,0.796,0.599,0.8,0.667,0.597,0.09,0.69,0.405,0.773,0.104
0.10,0.922,0.886,0.809,0.856,0.915,0.734,0.64,0.84,0.863,0.547,0.825,0.839,0.838,0.833,0.396,0.878,0.903,0.848,0.635,0.617,0.835,0.727,0.773,0.882,0.876,0.759,0.78,0.808,0.884,0.661,0.803,0.864,0.91,0.633,0.527,0.736,0.796,0.831,0.881,0.88,0.84,0.839,0.844,0.741,0.821,0.848,0.468,0.548,0.845,0.803,0.838,0.827,0.796,0.87,0.828,0.714,0.632,0.892,0.678,0.825,0.84,0.876,0.851,0.85,0.78,0.819,0.84,0.745,0.735,0.8,0.895,0.889,0.934,0.922,0.85,0.757,0.892,0.84,0.803,0.817,0.726,0.871,0.811,0.718,0.899,0.648,0.791,0.681,0.817,0.623,0.787,0.864,0.592,0.813,0.521,0.875,0.862,0.853,0.884,-1.325
0.15,0.927,0.929,0.945,0.74,0.838,0.913,0.802,0.889,0.883,0.797,0.923,0.881,0.706,0.92,0.904,0.924,0.858,0.908,0.929,0.904,0.768,0.794,0.762,0.921,0.886,-0.01,0.907,0.864,0.946,0.848,0.942,0.908,0.934,0.796,0.845,0.768,0.873,0.366,0.944,0.695,0.62,0.877,0.636,0.885,0.833,0.899,0.838,0.9,0.823,0.921,0.754,0.814,0.755,0.931,0.909,0.698,0.894,0.825,0.913,0.908,0.798,0.909,0.884,0.83,0.821,0.953,0.838,0.87,0.868,0.894,0.95,0.932,0.878,0.793,0.914,0.861,0.94,0.806,0.882,0.853,0.903,0.78,0.94,0.822,0.892,0.845,0.901,0.851,0.889,0.6,0.886,0.411,0.927,0.887,0.882,0.788,0.755,0.69,0.886,0.907
0.20,0.899,0.905,0.957,0.88,0.919,0.931,0.928,0.945,0.89,0.922,0.849,0.888,0.912,0.961,0.921,0.94,0.954,0.889,0.953,0.937,0.919,0.898,0.89,0.966,0.949,0.839,0.933,0.92,0.94,0.923,0.614,0.946,0.963,0.917,0.824,0.927,0.911,0.891,0.806,0.832,0.898,0.917,0.905,0.94,0.954,0.924,0.909,0.9,0.879,0.816,0.933,0.882,0.759,0.948,0.84,0.934,0.9,0.92,0.879,0.922,0.832,0.918,0.939,0.927,0.933,0.94,0.902,0.952,0.924,0.83,0.922,0.939,0.917,0.948,0.882,0.822,0.923,0.706,0.8,0.946,0.918,0.859,0.877,0.939,0.925,0.945,0.934,0.948,0.883,0.916,0.883,0.945,0.848,0.949,0.872,0.836,0.894,0.499,0.926,0.838
0.25,0.92,0.945,0.961,0.944,0.949,0.905,0.939,0.957,0.935,0.927,0.872,0.956,0.951,0.891,0.93,0.935,0.943,0.863,0.949,0.927,0.943,0.916,0.968,0.956,0.928,0.914,0.969,0.931,0.913,0.93,0.856,0.961,0.951,0.928,0.916,0.929,0.804,0.953,0.968,0.949,0.937,0.909,0.91,0.91,0.906,0.875,0.954,0.933,0.874,0.925,0.928,0.888,0.961,0.842,0.942,0.935,0.919,0.957,0.938,0.931,0.931,0.936,0.956,0.936,0.919,0.971,0.899,0.878,0.871,0.886,0.838,0.934,0.969,0.961,0.927,0.959,0.904,0.929,0.911,0.933,0.913,0.92,0.861,0.956,0.933,0.953,0.938,0.94,0.95,0.186,0.892,0.928,0.901,0.93,0.961,0.943,0.93,0.907,0.725,0.961
0.30,0.946,0.931,0.959,0.962,0.977,0.943,0.952,0.951,0.961,0.949,0.951,0.947,0.954,0.966,0.97,0.96,0.958,0.94,0.95,0.972,0.895,0.967,0.941,0.972,0.962,0.945,0.924,0.96,0.919,0.936,0.967,0.968,0.945,0.956,0.951,0.923,0.805,0.933,0.9,0.945,0.934,0.956,0.933,0.935,0.967,0.924,0.945,0.973,0.949,0.966,0.926,0.948,0.961,0.814,0.947,0.952,0.953,0.905,0.95,0.913,0.949,0.95,0.947,0.963,0.907,0.966,0.943,0.951,0.93,0.967,0.951,0.958,0.954,0.976,0.958,0.971,0.939,0.947,0.95,0.974,0.95,0.915,0.938,0.963,0.946,0.959,0.948,0.962,0.933,0.899,0.945,0.956,0.965,0.916,0.954,0.901,0.945,0.91,0.867,0.968
0.35,0.959,0.974,0.957,0.947,0.61,0.94,0.956,0.967,0.955,0.949,0.913,0.968,0.958,0.963,0.968,0.964,0.919,0.961,0.966,0.968,0.948,0.975,0.964,0.962,0.967,0.95,0.968,0.915,0.953,0.968,0.969,0.972,0.925,0.92,0.921,0.953,0.922,0.922,0.949,0.953,0.967,0.964,0.972,0.882,0.971,0.962,0.961,0.968,0.973,0.975,0.95,0.957,0.964,0.961,0.961,0.95,0.951,0.826,0.963,0.926,0.883,0.965,0.942,0.951,0.943,0.953,0.929,0.968,0.927,0.942,0.96,0.961,0.97,0.959,0.956,0.975,0.915,0.954,0.963,0.955,0.966,0.683,0.955,0.965,0.925,0.972,0.937,0.937,0.942,0.941,0.947,0.968,0.966,0.916,0.969,0.952,0.947,0.964,0.854,0.975
0.40,0.964,0.971,0.951,0.944,0.962,0.957,0.96,0.98,0.955,0.909,0.963,0.971,0.962,0.96,0.964,0.97,0.958,0.918,0.948,0.984,0.946,0.962,0.956,0.965,0.955,0.967,0.961,0.967,0.969,0.945,0.972,0.981,0.956,0.955,0.933,0.942,0.929,0.903,0.967,0.959,0.945,0.965,0.957,0.963,0.968,0.964,0.955,0.97,0.943,0.953,0.953,0.944,0.963,0.968,0.962,0.942,0.959,0.964,0.957,0.956,0.945,0.972,0.937,0.954,0.943,0.976,0.969,0.972,0.918,0.944,0.957,0.915,0.967,0.96,0.961,0.963,0.965,0.972,0.964,0.947,0.948,0.941,0.959,0.977,0.966,0.967,0.903,0.949,0.967,0.956,0.923,0.961,0.953,0.965,0.968,0.96,0.948,0.95,0.953,0.946
0.45,0.976,0.973,0.932,0.961,0.965,0.952,0.954,0.961,0.954,0.962,0.96,0.963,0.973,0.977,0.973,0.947,0.961,0.973,0.951,0.939,0.948,0.955,0.944,0.966,0.972,0.963,0.964,0.96,0.966,0.966,0.967,0.97,0.962,0.94,0.948,0.971,0.946,0.97,0.972,0.96,0.907,0.976,0.954,0.951,0.978,0.976,0.914,0.96,0.913,0.967,0.802,0.966,0.96,0.976,0.964,0.953,0.925,0.981,0.98,0.945,0.943,0.94,0.908,0.966,0.971,0.98,0.969,0.984,0.98,0.929,0.954,0.962,0.971,0.957,0.963,0.966,0.951,0.954,0.963,0.962,0.944,0.94,0.964,0.955,0.954,0.956,0.905,0.972,0.957,0.965,0.949,0.96,0.974,0.968,0.97,0.961,0.973,0.958,0.935,0.962
0.50,0.983,0.972,0.954,0.956,0.968,0.96,0.98,0.98,0.976,0.955,0.949,0.961,0.965,0.973,0.975,0.955,0.919,0.95,0.959,0.972,0.956,0.962,0.961,0.978,0.706,0.984,0.97,0.958,0.969,0.814,0.974,0.974,0.969,0.951,0.977,0.96,0.96,0.964,0.979,0.957,0.971,0.969,0.983,0.96,0.982,0.979,0.978,0.983,0.942,0.959,0.924,0.956,0.966,0.889,0.959,0.962,0.946,0.972,0.973,0.946,0.949,0.981,0.969,0.982,0.969,0.966,0.964,0.96,0.977,0.964,0.968,0.97,0.981,0.949,0.965,0.971,0.93,0.97,0.97,0.969,0.96,0.943,0.965,0.981,0.966,0.954,0.891,0.975,0.972,0.978,0.956,0.967,0.971,0.975,0.973,0.974,0.947,0.935,0.96,0.947
