random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5791283367664068
0,0,0.10,-0.22843000234484845
0,0,0.15,0.9144720822582486
0,0,0.20,0.90818045804738
0,0,0.25,0.9113118039467356
0,0,0.30,0.8473090502033243
0,0,0.35,0.9095962867900068
0,0,0.40,0.9161805990335525
0,0,0.45,0.9025614417383271
0,0,0.50,0.9022698985069147
0,0,0.55,0.9682787012406596
0,0,0.60,0.9334931562737318
0,0,0.65,0.9674200572782378
0,0,0.70,0.9743450195502656
0,0,0.75,0.9450669563781999
0,0,0.80,0.9237412188936518
0,0,0.85,0.8813444699438345
0,0,0.90,0.9178215809308159
0,0,0.95,0.9364054872582239
0,1,0.05,-0.24168321301954854
0,1,0.10,-3.016352764207494
0,1,0.15,0.8283615457178592
0,1,0.20,0.8620580064771864
0,1,0.25,0.9353758645956712
0,1,0.30,0.8674298543628561
0,1,0.35,0.905482944891692
0,1,0.40,0.8949861120544991
0,1,0.45,0.9039521280065674
0,1,0.50,0.9234829445352611
0,1,0.55,0.9125589458037286
0,1,0.60,0.940681843070506
0,1,0.65,0.9585812222203458
0,1,0.70,0.9366232805047882
0,1,0.75,0.9088806805249274
0,1,0.80,0.9585167463538561
0,1,0.85,0.9508423604807517
0,1,0.90,0.9016162169545849
0,1,0.95,0.922725739613524
0,2,0.05,-1.1062001978539726
0,2,0.10,0.4756455199641678
0,2,0.15,0.8332482920775887
0,2,0.20,0.719290607558219
0,2,0.25,0.6633750488868091
0,2,0.30,0.9265486826211972
0,2,0.35,0.9156454805304101
0,2,0.40,0.900212506282558
0,2,0.45,0.9542779851755305
0,2,0.50,0.9400246041883239
0,2,0.55,0.8676789861409164
0,2,0.60,0.907360021340467
0,2,0.65,0.9536880890086304
0,2,0.70,0.9550725401651758
0,2,0.75,0.9355216713402895
0,2,0.80,0.9373334922264366
0,2,0.85,0.9639008971079891
0,2,0.90,0.9458346838170073
0,2,0.95,0.9434991345029826
0,3,0.05,0.2336093649711818
0,3,0.10,0.5667948214032998
0,3,0.15,0.36305473000350363
0,3,0.20,0.5484864246029895
0,3,0.25,0.9177114293060411
0,3,0.30,0.9210423157158294
0,3,0.35,0.9067478284755144
0,3,0.40,0.9512833874392629
0,3,0.45,0.8751381912246947
0,3,0.50,0.9074733174414483
0,3,0.55,0.9255090221031793
0,3,0.60,0.9187311771278779
0,3,0.65,0.9104961295150762
0,3,0.70,0.9595064796289454
0,3,0.75,0.9570024460530628
0,3,0.80,0.9320997476136822
0,3,0.85,0.9278780747446911
0,3,0.90,0.9212219540608168
0,3,0.95,0.897503071791706
0,4,0.05,0.7374379928474456
0,4,0.10,0.7463720622167984
0,4,0.15,0.6013857821823456
0,4,0.20,0.8482853379876061
0,4,0.25,0.9393652097281247
0,4,0.30,0.6473135538311316
0,4,0.35,0.9069564975987625
0,4,0.40,0.9573547229897874
0,4,0.45,0.9443503259728375
0,4,0.50,0.9409778558995564
0,4,0.55,0.8671001405352201
0,4,0.60,0.9455235347556924
0,4,0.65,0.9482787848372652
0,4,0.70,0.9174310462058296
0,4,0.75,0.9674016286753684
0,4,0.80,0.9396296889155582
0,4,0.85,0.9153571778080214
0,4,0.90,0.9087357598266139
0,4,0.95,0.9035984439172886
0,5,0.05,0.469835654737656
0,5,0.10,0.8821944533180852
0,5,0.15,0.809540006685723
0,5,0.20,0.8664117166702683
0,5,0.25,0.7901873335122815
0,5,0.30,0.8357817559787504
0,5,0.35,0.8848842238604151
0,5,0.40,0.8565138269530446
0,5,0.45,0.8438254967312753
0,5,0.50,0.8998508980372977
0,5,0.55,0.9250184337201323
0,5,0.60,0.9065331557112499
0,5,0.65,0.9634485624465224
0,5,0.70,0.9569931320289339
0,5,0.75,0.9411626902455921
0,5,0.80,0.9406865566256647
0,5,0.85,0.9539602245040847
0,5,0.90,0.8959206364722636
0,5,0.95,0.9077697929179351
0,6,0.05,0.7776134473983779
0,6,0.10,0.5140787658746242
