ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.496,0.64,0.638,0.68,0.585,0.828,0.525,0.798,0.687,-0.294,0.37,0.465,0.767,0.773,0.641,0.4,0.823,0.544,0.756,0.586,0.733,0.608,0.839,0.475,0.671,0.725,0.618,0.716,0.625,0.659,0.79,0.777,0.738,0.843,0.473,0.562,0.612,0.904,0.588,0.6,0.761,0.676,0.564,0.379,0.862,0.564,0.261,0.724,0.35,0.703,0.846,0.472,0.773,0.528,0.734,0.486,0.779,0.648,0.65,0.551,0.782,0.472,-1.372,0.609,0.665,0.796,0.18,0.776,0.539,0.819,0.857,0.602,0.845,0.559,0.753,0.674,0.655,0.678,0.422,0.742,0.499,0.825,0.679,0.779,0.463,0.841,0.546,0.447,0.689,-2.942,0.839,0.769,0.808,0.748,0.577,0.684,0.708,0.504,0.529,0.752
0.10,0.773,0.876,0.918,0.867,0.747,0.889,0.866,0.898,0.711,0.781,0.723,0.829,0.889,0.864,0.9,0.732,0.894,0.919,0.711,0.802,0.89,0.916,0.682,0.901,0.735,0.906,0.742,0.719,0.887,0.862,0.909,0.897,0.899,0.91,0.654,0.355,0.93,0.748,0.68,-0.744,0.741,0.923,0.706,0.893,0.835,0.915,0.903,0.753,0.899,0.924,0.877,0.893,0.895,0.785,0.769,0.889,0.893,0.68,0.74,0.928,0.895,0.89,0.911,0.928,0.828,0.721,0.714,0.813,0.858,0.642,0.487,0.92,0.681,0.532,0.926,0.656,0.734,0.815,0.853,0.853,0.885,0.883,0.742,0.866,0.658,0.915,0.916,0.733,0.905,0.791,0.915,0.905,0.94,0.91,0.893,0.745,0.914,0.904,0.696,0.894
0.15,0.727,0.897,0.936,0.932,0.928,0.924,0.918,0.934,0.768,0.904,0.935,0.794,0.94,0.939,0.949,0.941,0.754,0.736,0.926,0.913,0.732,0.907,0.788,0.933,0.749,0.937,0.861,0.899,0.932,0.918,0.886,0.924,0.932,0.69,0.73,0.775,0.929,0.759,0.945,0.907,0.714,0.948,0.766,0.762,0.944,0.92,0.586,0.913,0.941,0.94,0.937,0.936,0.921,0.948,0.914,0.92,0.922,0.931,0.91,0.923,0.943,0.899,0.931,0.929,0.921,0.925,0.96,0.891,0.927,0.935,0.711,0.926,0.926,0.758,0.945,0.783,0.961,0.918,0.758,0.946,0.958,0.943,0.919,0.935,0.907,0.929,0.955,0.881,0.906,0.942,0.904,0.942,0.94,0.957,0.883,0.94,0.741,0.904,0.936,0.895
0.20,0.755,0.951,0.945,0.93,0.955,0.784,0.925,0.95,0.939,0.955,0.905,0.912,0.932,0.958,0.947,0.927,0.959,0.958,0.945,0.948,0.899,0.955,0.919,0.949,0.944,0.825,0.945,0.764,0.894,0.747,0.932,0.959,0.94,0.951,0.95,0.954,0.934,0.8,0.961,0.939,0.941,0.933,0.872,0.805,0.933,0.912,0.881,0.918,0.944,0.829,0.816,0.864,0.756,0.945,0.932,0.962,0.939,0.927,0.945,0.961,0.943,0.938,0.932,0.935,0.954,0.935,0.942,0.923,0.951,0.96,0.917,0.972,0.93,0.952,0.893,0.898,0.956,0.921,0.937,0.958,0.948,0.935,0.945,0.948,0.91,0.769,0.953,0.871,0.934,0.741,0.895,0.955,0.785,0.929,0.94,0.951,0.927,0.939,0.927,0.92
0.25,0.938,0.963,0.93,0.962,0.87,0.952,0.887,0.941,0.93,0.944,0.929,0.867,0.936,0.954,0.927,0.948,0.792,0.958,0.955,0.943,0.933,0.951,0.932,0.926,0.759,0.94,0.96,0.958,0.942,0.955,0.958,0.933,0.958,0.79,0.933,0.96,0.957,0.828,0.957,0.924,0.934,0.948,0.965,0.939,0.935,0.767,0.956,0.939,0.952,0.883,0.769,0.96,0.933,0.957,0.967,0.814,0.771,0.949,0.938,0.953,0.942,0.964,0.945,0.963,0.954,0.962,0.956,0.94,0.797,0.963,0.951,0.948,0.942,0.943,0.931,0.954,0.959,0.943,0.947,0.956,0.963,0.797,0.954,0.945,0.953,0.944,0.951,0.907,0.958,0.96,0.96,0.957,0.965,0.949,0.935,0.942,0.942,0.949,0.964,0.765
0.30,0.941,0.95,0.906,0.897,0.963,0.937,0.947,0.796,0.891,0.962,0.948,0.953,0.965,0.948,0.962,0.947,0.957,0.959,0.964,0.953,0.939,0.964,0.948,0.96,0.939,0.965,0.951,0.956,0.941,0.958,0.961,0.951,0.964,0.931,0.774,0.961,0.966,0.889,0.967,0.959,0.784,0.938,0.961,0.947,0.935,0.908,0.921,0.964,0.928,0.949,0.959,0.753,0.963,0.957,0.952,0.951,0.942,0.944,0.96,0.939,0.956,0.937,0.855,0.947,0.966,0.947,0.944,0.942,0.96,0.941,0.96,0.903,0.939,0.953,0.942,0.947,0.951,0.807,0.963,0.963,0.956,0.925,0.969,0.939,0.959,0.947,0.963,0.887,0.955,0.96,0.958,0.935,0.952,0.955,0.955,0.951,0.939,0.954,0.943,0.944
0.35,0.956,0.952,0.936,0.961,0.97,0.961,0.945,0.95,0.956,0.958,0.957,0.961,0.96,0.94,0.824,0.773,0.772,0.951,0.938,0.97,0.942,0.969,0.957,0.959,0.93,0.969,0.964,0.774,0.967,0.944,0.78,0.959,0.963,0.957,0.959,0.958,0.959,0.96,0.963,0.962,0.941,0.939,0.963,0.948,0.958,0.809,0.946,0.949,0.943,0.954,0.844,0.963,0.968,0.956,0.806,0.957,0.957,0.949,0.936,0.968,0.959,0.936,0.935,0.951,0.929,0.96,0.958,0.968,0.953,0.97,0.959,0.955,0.957,0.955,0.961,0.953,0.971,0.945,0.969,0.809,0.946,0.967,0.944,0.966,0.962,0.952,0.966,0.964,0.943,0.916,0.953,0.965,0.928,0.959,0.79,0.957,0.883,0.968,0.93,0.95
0.40,0.955,0.93,0.943,0.962,0.964,0.963,0.948,0.97,0.947,0.965,0.95,0.962,0.958,0.961,0.85,0.968,0.935,0.914,0.959,0.958,0.946,0.938,0.972,0.957,0.945,0.967,0.789,0.945,0.972,0.962,0.964,0.959,0.964,0.958,0.965,0.957,0.968,0.961,0.965,0.949,0.962,0.951,0.962,0.953,0.962,0.952,0.958,0.964,0.954,0.959,0.954,0.953,0.938,0.963,0.957,0.957,0.963,0.961,0.953,0.957,0.961,0.937,0.95,0.934,0.943,0.959,0.962,0.955,0.968,0.975,0.946,0.961,0.95,0.963,0.957,0.964,0.825,0.953,0.965,0.964,0.966,0.945,0.943,0.955,0.838,0.952,0.963,0.968,0.955,0.964,0.964,0.96,0.961,0.964,0.951,0.94,0.96,0.961,0.961,0.961
0.45,0.784,0.964,0.943,0.955,0.914,0.958,0.961,0.95,0.94,0.958,0.957,0.965,0.953,0.947,0.954,0.948,0.9,0.973,0.967,0.957,0.963,0.964,0.963,0.951,0.945,0.964,0.957,0.971,0.965,0.967,0.964,0.956,0.952,0.97,0.966,0.961,0.971,0.969,0.97,0.944,0.951,0.962,0.949,0.922,0.954,0.943,0.954,0.963,0.904,0.954,0.787,0.963,0.948,0.953,0.967,0.959,0.97,0.968,0.961,0.931,0.966,0.95,0.94,0.964,0.957,0.968,0.953,0.938,0.966,0.97,0.956,0.944,0.961,0.964,0.95,0.957,0.956,0.952,0.791,0.959,0.911,0.963,0.959,0.939,0.766,0.964,0.931,0.925,0.966,0.975,0.815,0.967,0.962,0.946,0.971,0.95,0.96,0.967,0.944,0.8
0.50,0.97,0.95,0.955,0.857,0.952,0.968,0.968,0.97,0.972,0.967,0.966,0.957,0.965,0.956,0.96,0.968,0.971,0.969,0.952,0.966,0.957,0.964,0.769,0.967,0.955,0.963,0.97,0.89,0.973,0.949,0.965,0.953,0.962,0.96,0.961,0.958,0.971,0.962,0.963,0.937,0.97,0.953,0.955,0.963,0.97,0.929,0.966,0.96,0.936,0.967,0.963,0.961,0.957,0.967,0.958,0.959,0.965,0.818,0.954,0.951,0.963,0.968,0.954,0.972,0.965,0.964,0.957,0.959,0.964,0.955,0.947,0.953,0.966,0.958,0.892,0.951,0.966,0.969,0.816,0.963,0.946,0.916,0.958,0.942,0.96,0.966,0.938,0.951,0.969,0.965,0.966,0.963,0.943,0.967,0.959,0.963,0.967,0.968,0.962,0.961
0.55,0.968,0.957,0.958,0.908,0.961,0.941,0.956,0.969,0.973,0.959,0.968,0.967,0.945,0.849,0.846,0.968,0.963,0.96,0.943,0.969,0.955,0.965,0.959,0.934,0.968,0.975,0.967,0.969,0.965,0.948,0.971,0.961,0.968,0.968,0.961,0.947,0.933,0.967,0.956,0.965,0.963,0.972,0.963,0.964,0.971,0.965,0.943,0.969,0.968,0.958,0.803,0.96,0.949,0.941,0.932,0.962,0.959,0.964,0.959,0.957,0.956,0.948,0.782,0.962,0.933,0.93,0.966,0.969,0.96,0.968,0.963,0.951,0.971,0.968,0.927,0.949,0.964,0.959,0.969,0.968,0.964,0.965,0.969,0.967,0.96,0.959,0.963,0.965,0.966,0.875,0.966,0.955,0.963,0.966,0.96,0.96,0.942,0.963,0.949,0.973
