ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.861,0.671,-0.586,0.312,0.694,0.799,0.917,0.586,0.896,0.767,0.646,0.975,0.911,0.838,0.989,0.913,0.99,0.864,0.739,-90.783,0.954,0.64,0.964,0.886,0.408,0.979,0.421,0.966,0.933,0.737,0.49,0.973,0.959,0.971,0.484,0.864,0.586,0.941,0.769,0.415,0.945,0.934,0.868,0.987,0.994,0.941,-0.451,0.622,0.878,0.876,0.997,0.929,0.922,0.875,0.895,-0.251,0.746,-0.444,0.932,0.703,0.843,0.737,0.353,0.169,0.666,0.699,0.802,0.427,0.906,0.879,0.871,0.974,0.985,-0.74,0.881,0.571,0.846,0.951,0.895,0.949,0.961,0.823,0.89,0.97,0.829,0.977,0.44,0.95,0.904,0.946,0.967,0.249,0.939,0.906,0.94,0.928,0.912,-0.231,0.856,0.943
0.10,0.942,0.971,0.921,0.948,0.847,0.939,0.956,0.965,0.941,0.984,0.959,0.979,0.977,0.948,0.781,0.961,0.964,0.777,0.958,0.692,0.961,0.875,0.882,0.043,0.989,0.934,0.963,-0.48,0.921,0.705,0.319,0.979,0.968,0.969,0.889,0.88,0.953,0.56,0.876,0.946,0.932,0.953,0.98,0.887,0.991,0.902,0.963,0.937,0.942,0.889,0.887,0.979,0.918,0.969,0.884,0.953,0.958,0.96,0.923,0.925,0.943,0.924,0.901,0.927,0.971,0.764,0.943,0.976,0.881,0.956,0.972,0.988,0.865,0.886,0.969,0.944,0.286,0.921,0.967,0.909,0.536,0.93,0.941,-1.1,0.765,0.939,0.899,0.976,0.86,0.947,0.97,0.965,0.923,0.936,0.927,0.979,0.919,0.937,0.942,0.911
0.15,0.935,0.883,0.974,0.943,0.966,0.877,0.836,0.978,0.988,0.965,0.978,0.964,0.968,0.941,0.933,0.825,0.972,0.903,0.988,0.854,0.935,0.919,0.968,0.993,0.954,0.978,0.96,0.945,0.976,0.893,0.995,0.872,0.983,0.983,0.95,0.925,0.988,0.99,0.956,0.97,0.933,0.134,0.978,0.929,0.988,0.77,0.966,0.935,0.961,0.935,0.963,0.962,0.958,0.973,0.974,0.951,0.985,0.97,0.953,0.971,0.974,-0.145,0.77,0.964,0.919,0.971,0.79,0.969,0.938,0.956,0.86,0.951,0.958,0.947,0.952,0.982,0.913,0.94,0.981,0.959,0.952,0.959,0.948,0.917,0.966,0.976,0.843,0.992,0.941,0.967,0.881,0.864,0.961,0.975,0.59,0.983,0.949,0.936,0.955,0.971
0.20,0.984,0.972,0.962,0.979,0.986,0.965,0.958,0.975,0.98,0.988,0.994,0.984,0.978,0.981,0.97,0.991,0.97,0.992,0.978,0.988,0.989,0.935,0.948,0.982,0.971,0.949,0.976,0.987,0.97,0.967,0.984,0.988,0.995,0.998,0.962,0.98,0.975,0.953,0.953,0.977,0.975,0.987,0.973,0.745,0.965,0.948,0.985,0.968,0.964,0.979,0.962,0.989,0.956,0.989,0.974,0.993,0.969,0.993,0.985,0.971,0.99,0.993,0.966,0.948,0.974,0.972,0.988,0.988,0.974,0.984,0.97,0.946,0.962,0.937,0.985,0.995,0.978,0.986,0.986,0.978,0.991,0.992,0.966,0.987,0.982,0.981,0.989,0.975,0.984,0.948,0.954,0.99,0.941,0.981,0.986,0.976,0.949,0.994,0.976,0.995
0.25,0.98,0.966,0.967,0.973,0.989,0.951,0.969,0.995,0.986,0.991,0.966,0.962,0.984,0.975,0.97,0.994,0.972,0.685,0.975,0.994,0.988,0.965,0.989,0.988,0.976,0.986,0.98,0.982,0.979,0.978,0.993,0.991,0.969,0.986,0.978,0.969,0.99,0.963,0.967,0.944,0.96,0.972,0.992,0.982,0.987,0.987,0.993,0.978,0.967,0.969,0.972,0.992,0.777,0.995,0.979,0.958,0.977,0.972,0.971,0.991,0.935,0.981,0.958,0.99,0.985,0.926,0.993,0.992,0.985,0.994,0.984,0.96,0.994,0.959,0.976,0.987,0.958,0.974,0.977,0.961,0.997,0.985,0.918,0.973,0.988,0.971,0.987,0.964,0.98,0.983,0.973,0.978,0.987,0.959,0.984,0.988,0.966,0.991,0.974,0.994
0.30,0.995,0.981,0.987,0.994,0.967,0.968,0.991,0.967,0.986,0.984,0.974,0.996,0.993,0.968,0.984,0.971,0.95,0.992,0.99,0.981,0.989,0.975,-0.224,0.992,0.991,0.989,0.983,0.985,0.944,0.99,0.984,0.993,0.97,0.959,0.993,0.977,0.988,0.968,0.977,0.986,0.984,0.966,0.971,0.988,0.984,0.973,0.983,0.975,0.978,0.962,0.981,0.986,0.972,0.993,0.991,0.986,0.981,0.972,0.951,0.957,0.992,0.991,0.992,0.989,0.989,0.996,0.976,0.986,0.99,0.96,0.973,0.988,0.965,0.993,0.996,0.985,0.988,0.977,0.99,0.991,0.977,0.978,0.983,0.986,0.977,0.994,0.993,0.987,0.993,0.988,0.994,0.95,0.981,0.995,0.995,0.988,0.99,0.953,0.988,0.973
0.35,0.981,0.993,0.983,0.974,0.996,0.985,0.983,0.988,0.974,0.977,0.966,0.984,0.987,0.982,0.995,0.992,0.995,0.991,0.977,0.993,0.995,0.973,0.981,0.977,0.981,0.982,0.991,0.959,0.995,0.996,0.991,0.992,0.989,0.98,0.991,0.951,0.994,0.968,0.987,0.996,0.98,0.953,0.995,0.96,0.977,0.982,0.996,0.989,0.993,0.992,0.99,0.979,0.994,0.986,0.978,0.992,0.976,0.972,0.978,0.97,0.943,0.96,0.983,0.982,0.989,0.97,0.986,0.955,0.986,0.965,0.995,0.959,0.979,0.992,0.995,0.984,0.99,0.969,0.963,0.995,0.968,0.995,0.985,0.989,0.984,0.995,0.972,0.99,0.971,0.967,0.961,0.979,0.974,0.964,0.97,0.983,0.995,0.984,0.97,0.979
0.40,0.946,0.985,0.992,0.968,0.967,0.964,0.983,0.994,0.992,0.994,0.97,0.993,0.963,0.979,0.98,0.989,0.994,0.987,0.976,0.957,0.992,0.994,0.989,0.995,0.961,0.993,0.997,0.989,0.993,0.99,0.989,0.981,0.988,0.973,0.966,0.971,0.991,0.972,0.972,0.972,0.986,0.99,0.989,0.992,0.972,0.995,0.973,0.993,0.996,0.992,0.996,0.994,0.978,0.969,0.987,0.996,0.977,0.979,0.992,0.992,0.966,0.987,0.989,0.99,0.987,0.996,0.991,0.989,0.991,0.989,0.986,0.966,0.989,0.997,0.976,0.994,0.989,0.99,0.991,0.989,0.984,0.979,0.992,0.987,0.967,0.996,0.994,0.989,0.978,0.977,0.987,0.991,0.962,0.992,0.975,0.983,0.966,0.992,0.984,0.99
0.45,0.966,0.985,0.974,0.983,0.99,0.969,0.994,0.988,0.996,0.972,0.992,0.979,0.993,0.966,0.978,0.99,0.977,0.979,0.978,0.991,0.99,0.974,0.99,0.998,0.987,0.993,0.994,0.993,0.985,0.987,0.983,0.994,0.996,0.977,0.985,0.99,0.984,0.961,0.984,0.996,0.973,0.965,0.982,0.965,0.995,0.971,0.995,0.995,0.983,0.976,0.975,0.996,0.979,0.962,0.98,0.991,0.973,0.982,0.993,0.971,0.984,0.993,0.982,0.99,0.977,0.982,0.981,0.993,0.995,0.979,0.995,0.983,0.971,0.981,0.998,0.976,0.777,0.987,0.977,0.996,0.991,0.982,0.973,0.976,0.995,0.976,0.983,0.992,0.974,0.991,0.986,0.994,0.968,0.995,0.995,0.995,0.987,0.989,0.992,0.996
0.50,0.973,0.99,0.97,0.986,0.998,0.977,0.996,0.989,0.983,0.988,0.969,0.984,0.978,0.972,0.994,0.962,0.972,0.991,0.971,0.994,0.994,0.996,0.974,0.995,0.994,0.984,0.977,0.978,0.996,0.99,0.99,0.98,0.995,0.984,0.991,0.972,0.997,0.988,0.971,0.974,0.992,0.976,0.994,0.965,0.986,0.994,0.994,0.976,0.965,0.99,0.974,0.974,0.965,0.986,0.993,0.991,0.99,0.978,0.989,0.987,0.993,0.988,0.974,0.988,0.973,0.995,0.995,0.987,0.997,0.988,0.969,0.972,0.986,0.994,0.972,0.981,0.994,0.974,0.993,0.996,0.983,0.994,0.989,0.996,0.99,0.987,0.994,0.961,0.982,0.993,0.971,0.984,0.986,0.981,0.98,0.995,0.985,0.983,0.974,0.994
