ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.87,0.718,0.488,-1.508,-4.126,-1.007,0.663,0.555,0.107,0.635,0.268,-0.234,0.068,0.509,0.101,0.539,0.552,-0.463,0.61,0.196,-12.521,-0.702,0.619,0.646,0.623,0.738,0.649,-0.338,0.515,0.474,0.642,-0.306,0.584,0.614,0.659,0.15,0.485,0.093,0.641,0.613,0.206,0.418,0.699,0.632,0.703,0.491,0.511,0.485,0.461,0.323,0.736,0.694,0.438,-0.465,0.604,0.684,0.561,-0.105,0.628,0.482,0.192,-0.41,-0.069,-0.956,0.593,0.567,-11.964,0.438,0.682,-5.193,0.296,-0.874,-3.58,0.443,-10.206,0.647,0.253,0.249,0.741,0.633,0.641,0.784,0.466,0.572,0.434,0.64,0.284,-0.003,0.67,0.474,-0.967,0.62,-5.409,0.589,0.493,0.666,0.377,0.704,0.694,0.686
0.10,0.195,0.75,0.609,0.682,0.861,0.439,0.694,0.878,0.75,0.871,0.614,-2.634,0.647,0.701,0.841,0.633,0.702,0.637,0.693,0.722,0.672,0.601,0.633,0.729,0.665,0.7,0.652,0.699,0.627,0.751,-1.719,0.714,-3.637,0.705,0.091,0.532,0.654,0.66,0.697,0.352,0.499,0.43,0.72,0.73,0.777,0.678,0.796,0.422,0.358,0.446,0.577,0.707,0.741,0.58,0.646,0.211,0.693,0.6,0.139,0.885,0.704,0.594,0.755,0.586,0.699,0.63,0.591,-63.967,0.102,0.713,0.644,0.558,0.761,0.576,0.73,0.703,0.622,0.561,0.722,0.715,0.804,0.696,0.875,0.694,0.729,0.543,0.46,0.697,0.655,0.69,0.718,0.619,0.391,0.63,0.51,0.487,0.491,0.679,0.826,0.764
0.15,-2.399,0.753,0.742,0.726,0.731,0.428,0.715,0.688,0.577,0.918,0.839,0.684,0.801,0.709,0.77,0.897,0.753,0.913,0.736,0.727,0.749,0.734,0.691,0.726,0.68,0.72,0.717,0.816,0.735,0.742,0.726,0.563,0.154,0.655,0.514,0.853,0.818,0.567,0.817,0.78,0.873,0.556,0.728,0.748,0.736,0.74,0.904,0.726,0.872,0.755,0.518,0.88,0.703,0.752,0.922,0.549,0.656,0.666,0.82,0.77,0.75,0.842,0.666,0.757,0.692,0.511,0.832,0.686,0.905,0.806,0.868,0.716,0.827,0.691,0.728,0.529,0.754,0.743,-0.594,0.705,0.544,0.884,0.865,0.665,0.764,0.538,0.747,0.768,0.883,0.89,0.702,0.725,0.715,0.704,0.676,0.845,0.885,0.86,0.903,0.738
0.20,0.886,0.894,0.756,0.911,0.931,0.902,0.893,0.918,0.792,0.912,0.919,0.737,0.615,0.713,0.923,0.71,0.66,0.903,0.888,0.726,0.866,0.668,0.819,0.743,0.702,0.745,0.74,-0.491,0.931,0.813,0.812,0.883,0.829,0.301,0.745,0.924,0.902,0.71,0.715,0.916,0.864,0.711,0.738,0.938,0.763,0.789,0.805,0.875,0.85,0.813,0.913,0.907,0.767,0.761,0.709,0.828,0.852,0.917,0.856,0.861,0.735,0.759,0.719,0.89,0.691,0.728,0.904,0.793,0.644,0.912,0.917,0.919,0.925,0.893,0.731,0.747,0.897,0.884,0.763,0.85,0.842,0.879,0.912,0.735,0.92,0.717,0.89,0.886,0.903,0.539,0.719,0.674,0.864,0.748,0.932,0.721,0.929,0.894,0.809,0.543
0.25,0.898,0.855,0.763,0.816,0.927,0.883,0.912,0.939,0.882,0.896,0.926,0.765,0.888,0.873,0.933,0.722,0.935,0.885,0.905,0.876,0.727,0.762,0.654,0.877,0.725,0.746,0.736,0.897,0.91,0.858,0.868,0.742,0.72,0.829,0.788,0.91,0.842,0.738,0.72,0.874,0.758,0.799,0.901,0.868,0.89,0.914,0.806,0.929,0.839,0.755,0.797,0.94,0.925,0.758,0.687,0.724,0.728,0.933,0.911,0.798,0.794,0.933,0.733,0.906,0.708,0.866,0.929,0.725,0.807,0.816,0.797,0.906,0.92,0.723,0.707,0.737,0.89,0.914,0.729,0.852,0.851,0.888,0.906,0.898,0.919,0.72,0.901,0.912,0.843,0.871,0.873,0.204,0.748,0.743,0.87,0.695,0.917,0.907,0.925,0.924
0.30,0.889,0.941,0.771,0.941,0.903,0.915,0.94,0.739,0.905,0.924,0.911,0.938,0.806,0.886,0.942,0.739,0.795,0.906,0.816,0.904,0.92,0.745,0.733,0.938,0.93,0.931,0.808,0.775,0.844,0.784,0.917,0.929,0.674,0.811,0.877,0.712,0.757,0.894,0.808,0.939,0.931,0.904,0.915,0.89,0.826,0.932,0.935,0.829,0.726,0.804,0.722,0.928,0.872,0.816,0.757,0.727,0.723,0.805,0.941,0.909,0.825,0.824,0.806,0.898,0.732,0.92,0.916,0.815,0.847,0.934,0.773,0.959,0.857,0.728,0.735,0.939,0.918,0.94,0.875,0.73,0.368,0.701,0.908,0.939,0.93,0.724,0.838,0.757,0.886,0.898,0.709,0.931,0.912,0.848,0.907,0.721,0.793,0.772,0.899,0.922
0.35,0.924,0.937,0.821,0.924,0.947,0.946,0.916,0.945,0.908,0.938,0.929,0.924,0.83,0.891,0.787,0.732,0.8,0.92,0.938,0.92,0.757,0.725,0.91,0.809,0.749,0.926,0.932,0.915,0.923,0.929,0.94,0.808,0.915,0.945,0.935,0.937,0.751,0.945,0.931,0.955,0.926,0.918,0.757,0.917,0.896,0.913,0.92,0.824,0.727,0.875,0.945,0.944,0.873,0.935,0.935,0.951,0.755,0.923,0.884,0.945,0.925,0.812,0.797,0.893,0.739,0.915,0.919,0.928,0.86,0.911,0.778,0.827,0.931,0.733,0.905,0.839,0.768,0.931,0.738,0.901,0.905,0.889,0.907,0.745,0.929,0.761,0.825,0.919,0.906,0.896,0.937,0.828,0.937,0.848,0.936,0.9,0.809,0.81,0.936,0.825
0.40,0.934,0.949,0.779,0.941,0.853,0.938,0.946,0.859,0.909,0.87,0.913,0.931,0.937,0.926,0.854,0.924,0.927,0.917,0.831,0.929,0.941,0.781,0.931,0.781,0.796,0.926,0.945,0.918,0.938,0.949,0.767,0.936,0.936,0.946,0.927,0.909,0.929,0.911,0.928,0.944,0.949,0.907,0.761,0.94,0.93,0.764,0.922,0.897,0.909,0.916,0.931,0.933,0.912,0.765,0.924,0.863,0.755,0.773,0.928,0.859,0.932,0.891,0.92,0.938,0.748,0.919,0.934,0.933,0.853,0.934,0.779,0.745,0.915,0.855,0.915,0.941,0.934,0.93,0.737,0.757,0.951,0.724,0.93,0.901,0.943,0.757,0.878,0.832,0.925,0.933,0.926,0.936,0.927,0.84,0.838,0.937,0.838,0.819,0.887,0.913
0.45,0.903,0.916,0.945,0.85,0.917,0.742,0.951,0.942,0.957,0.926,0.936,0.927,0.844,0.912,0.946,0.946,0.815,0.865,0.939,0.861,0.943,0.94,0.933,0.739,0.883,0.957,0.856,0.948,0.846,0.942,0.766,0.943,0.908,0.769,0.938,0.939,0.936,0.941,0.929,0.943,0.936,0.915,0.769,0.926,0.855,0.942,0.928,0.945,0.736,0.925,0.938,0.781,0.955,0.944,0.923,0.949,0.745,0.929,0.883,0.946,0.94,0.928,0.732,0.935,0.935,0.931,0.943,0.937,0.827,0.929,0.773,0.767,0.925,0.924,0.924,0.831,0.934,0.936,0.897,0.925,0.935,0.912,0.944,0.943,0.944,0.772,0.939,0.765,0.876,0.827,0.799,0.837,0.926,0.945,0.823,0.947,0.925,0.872,0.916,0.936
0.50,0.916,0.751,0.896,0.941,0.949,0.941,0.944,0.941,0.878,0.941,0.753,0.911,0.942,0.938,0.951,0.95,0.921,0.839,0.88,0.931,0.861,0.949,0.931,0.923,0.752,0.951,0.863,0.946,0.941,0.935,0.936,0.945,0.943,0.957,0.92,0.937,0.917,0.917,0.946,0.952,0.947,0.934,0.767,0.905,0.856,0.947,0.764,0.948,0.934,0.943,0.936,0.896,0.934,0.952,0.936,0.815,0.737,0.931,0.938,0.931,0.952,0.879,0.744,0.945,0.746,0.845,0.921,0.935,0.955,0.931,0.951,0.761,0.94,0.95,0.941,0.945,0.958,0.916,0.936,0.947,0.949,0.743,0.914,0.922,0.924,0.948,0.851,0.921,0.894,0.915,0.93,0.948,0.919,0.936,0.722,0.961,0.916,0.936,0.916,0.925
