random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8072133487598583
0,0,0.10,0.9918995769494029
0,0,0.15,0.9744972301304938
0,0,0.20,0.9998759411330767
0,0,0.25,0.9997912368735754
0,0,0.30,0.9998929062823183
0,0,0.35,0.9824744125317565
0,0,0.40,0.999274448043305
0,0,0.45,0.9999536852026297
0,0,0.50,0.999531775454368
0,0,0.55,0.9993208860627971
0,0,0.60,0.6135351043653631
0,0,0.65,0.999952675814994
0,0,0.70,0.9999454059436774
0,0,0.75,0.999964791028104
0,0,0.80,0.9999438674233647
0,0,0.85,0.9999372985774903
0,0,0.90,0.9997572178530159
0,0,0.95,0.9994826699273892
0,1,0.05,0.4275876205995357
0,1,0.10,0.9884676783380817
0,1,0.15,0.997047163996871
0,1,0.20,0.9924045310006633
0,1,0.25,0.9995320594560507
0,1,0.30,0.9998242781352968
0,1,0.35,0.9933178384575404
0,1,0.40,0.9991607040634876
0,1,0.45,0.6126336499276654
0,1,0.50,0.99947413812485
0,1,0.55,0.6586885775384018
0,1,0.60,0.9998471196177031
0,1,0.65,0.6544410493722321
0,1,0.70,0.9957040953014739
0,1,0.75,0.9996681016674478
0,1,0.80,0.9999698221175918
0,1,0.85,0.9994972814917239
0,1,0.90,0.999292745100784
0,1,0.95,0.999508137579108
0,2,0.05,0.8583819766909291
0,2,0.10,0.9927808261823804
0,2,0.15,0.9865704789862209
0,2,0.20,0.5988768304548011
0,2,0.25,0.9996151709414425
0,2,0.30,0.9989275065909454
0,2,0.35,0.9997141226042301
0,2,0.40,0.9649205457311031
0,2,0.45,0.6431869148949925
0,2,0.50,0.9998668798922946
0,2,0.55,0.9998603345305715
0,2,0.60,0.9809599184996001
0,2,0.65,0.6194178749184673
0,2,0.70,0.9999008735119309
0,2,0.75,0.9956982704245834
0,2,0.80,0.9999411321281171
0,2,0.85,0.999963186405797
0,2,0.90,0.9998810211851319
0,2,0.95,0.9975459375830777
0,3,0.05,0.9914821197062725
0,3,0.10,0.9565999110193997
0,3,0.15,0.9974359410426503
0,3,0.20,0.739722256025543
0,3,0.25,0.5948225727162895
0,3,0.30,0.9998461189056103
0,3,0.35,0.9999240235381109
0,3,0.40,0.9995512402146952
0,3,0.45,0.6370840136007438
0,3,0.50,0.572817231919797
0,3,0.55,0.9938209996721157
0,3,0.60,0.9998575686624596
0,3,0.65,0.9938517003504507
0,3,0.70,0.9999565260442164
0,3,0.75,0.9955366720067784
0,3,0.80,0.99995752296755
0,3,0.85,0.9998896438208302
0,3,0.90,0.9995741826859393
0,3,0.95,0.9985757070805364
0,4,0.05,0.04037155710222451
0,4,0.10,0.48240166714959587
0,4,0.15,0.9665927936252677
0,4,0.20,0.9778137890215728
0,4,0.25,0.9777910021855915
0,4,0.30,0.9994060671755899
0,4,0.35,0.9998382129534839
0,4,0.40,0.9954195151380869
0,4,0.45,0.9999679196451814
0,4,0.50,0.9994006699248359
0,4,0.55,0.9998940208488577
0,4,0.60,0.6460106058201733
0,4,0.65,0.9998642647605284
0,4,0.70,0.9994833659063725
0,4,0.75,0.9999372961736387
0,4,0.80,0.9971220441422979
0,4,0.85,0.9905108398752643
0,4,0.90,0.9994698959106537
0,4,0.95,0.9954171832397086
0,5,0.05,0.44939398414596676
0,5,0.10,0.9501612649090005
0,5,0.15,0.9804725725795864
0,5,0.20,0.9992143929794222
