ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.619,-0.107,-2.404,-2.394,-0.172,-1.351,-0.994,0.644,-2.478,0.316,0.718,-12.678,0.648,-4.926,0.325,0.574,0.467,0.263,-0.78,0.463,0.964,-4.271,-5.549,-1.199,-0.047,-0.13,-0.944,0.097,0.153,0.076,-21.162,0.723,-1.063,-87.307,-0.435,-1.291,-7.725,-0.02,0.356,0.205,-10.988,0.817,-0.326,-12.357,0.447,-1.357,0.692,0.377,-1.652,-2.516,0.069,-1.082,-0.049,-6.374,-0.477,0.656,-0.13,0.78,-2.916,0.842,-2.251,-2.075,0.804,-1.109,-8.264,-19.006,-0.441,-17.35,-0.764,0.469,-33.236,-2.423,-0.782,-1.669,-2.743,0.973,-2.614,0.631,0.045,0.911,-4.625,0.551,-10.928,0.744,-3.303,-18.203,0.634,0.541,0.583,-0.968,-0.012,-1.711,0.496,-2.63,-171.831,-0.894,-0.856,0.027,0.668,-0.174
0.10,0.636,-2.483,0.071,-0.15,0.327,-0.965,0.319,0.165,0.31,-0.002,0.304,0.65,-0.69,-4.71,-0.583,-2.086,0.824,0.862,-0.713,-0.307,0.557,0.7,0.833,0.312,0.356,-0.133,-0.861,0.826,-1.143,0.35,0.143,0.501,-8.793,-0.784,0.4,0.605,0.775,-1.196,0.401,0.42,0.696,-23.412,0.401,-0.243,0.498,0.128,0.232,0.611,-0.336,0.562,0.899,0.535,0.237,0.751,-8.167,0.475,-0.095,-0.934,0.582,-0.75,0.595,0.465,0.295,-0.466,-0.625,-4.579,0.265,-1.606,-2.532,0.366,0.64,0.194,0.626,0.894,0.297,0.789,0.854,0.322,-0.082,0.178,-0.003,-2.772,0.218,0.462,-1.636,-0.776,0.776,0.377,0.497,0.324,0.46,-1.434,0.847,0.314,0.963,-0.305,0.387,0.605,0.379,0.287
0.15,0.119,0.338,-0.046,0.868,0.799,0.706,0.794,0.814,0.86,0.338,0.444,0.227,0.782,-0.325,0.752,0.189,0.102,-1.192,0.432,0.736,-0.348,0.551,0.554,0.864,-0.513,0.643,0.877,0.797,0.432,0.796,0.748,0.005,0.645,0.348,0.372,0.42,0.636,0.397,-0.203,0.115,0.654,-0.162,0.537,0.862,0.805,-0.175,0.467,0.224,0.779,0.721,0.26,0.098,0.605,0.188,0.801,0.394,-0.863,0.861,0.684,-0.495,-1.24,0.121,0.269,-0.76,0.685,-0.101,0.759,0.685,-0.269,-0.136,-1.097,0.665,-0.687,0.342,0.639,0.59,0.615,0.551,-0.788,0.473,0.345,0.322,-0.29,0.489,0.651,0.701,0.844,0.364,-7.633,0.798,0.719,-0.322,0.449,-10.509,0.91,0.131,0.417,0.377,0.155,0.667
0.20,0.815,0.823,0.763,0.453,0.3,0.275,0.056,-0.49,0.891,0.929,0.622,0.659,0.563,0.864,0.64,0.75,0.807,0.37,-0.054,0.734,0.966,0.586,0.624,0.485,-0.144,0.602,0.307,0.689,0.629,0.535,0.952,0.77,0.299,0.598,0.763,0.569,0.201,0.686,0.896,-0.738,0.868,0.233,0.777,0.705,0.728,0.364,-0.194,0.612,0.533,0.403,0.583,-0.037,0.708,0.615,0.267,0.18,0.584,0.678,0.834,0.512,0.87,0.873,0.415,0.417,0.947,0.655,0.26,0.602,0.115,0.736,0.105,0.615,0.713,0.503,-0.05,0.767,0.028,0.856,0.643,0.549,0.646,0.284,0.782,0.587,0.931,0.821,0.756,0.272,0.468,0.898,0.928,0.472,0.84,0.912,0.162,0.748,0.609,-1.946,0.715,0.618
0.25,0.0,0.61,0.742,0.479,0.122,0.227,0.767,0.816,0.777,0.71,0.896,0.36,0.315,0.912,0.546,-0.121,0.412,0.61,0.668,0.831,0.858,0.53,0.458,0.254,0.363,0.849,0.287,0.808,0.42,-0.468,0.432,0.743,0.838,0.7,0.894,0.825,0.009,0.446,0.741,0.914,0.759,0.35,0.29,0.725,0.38,-0.072,0.867,0.818,0.392,0.174,0.559,0.803,0.401,0.552,0.185,0.685,0.813,0.508,0.814,-0.342,0.603,0.544,0.833,0.459,0.845,0.855,-0.092,-0.032,0.576,0.334,0.901,0.818,0.826,0.44,-0.017,0.822,0.66,0.519,0.483,0.432,0.852,0.54,0.843,0.782,0.328,0.91,0.648,0.63,0.659,0.843,0.644,0.741,0.257,0.902,0.83,0.613,0.605,0.693,0.568,0.828
0.30,0.63,0.745,0.63,0.57,0.762,0.741,0.835,0.8,0.957,0.799,0.634,0.809,0.296,0.914,0.416,0.84,0.514,0.812,0.723,0.91,0.554,0.654,0.681,0.746,0.878,0.675,0.12,0.894,0.865,0.391,0.941,0.806,0.06,0.289,0.822,0.76,0.733,0.858,0.642,0.687,0.695,0.674,0.542,0.468,0.705,0.766,0.7,0.376,0.809,0.576,0.85,0.683,0.809,0.733,0.852,0.875,0.434,0.63,0.581,0.705,0.323,0.046,0.626,0.651,0.583,0.515,0.067,0.667,0.765,0.438,0.669,0.525,0.714,0.325,0.93,0.799,0.895,0.941,0.794,0.607,0.42,0.726,0.856,0.694,0.884,0.752,0.426,0.65,0.808,0.747,0.603,0.779,0.477,0.839,0.581,0.637,0.474,0.813,0.86,0.509
0.35,0.68,0.923,0.328,0.85,0.724,0.677,0.302,0.738,0.762,0.909,0.673,0.512,0.644,0.796,0.752,0.533,0.879,0.603,0.773,0.669,0.747,0.7,0.799,0.481,0.815,0.76,0.227,0.798,0.785,0.675,0.85,0.777,0.297,0.768,0.819,0.553,0.885,0.701,0.828,0.58,0.873,0.208,0.344,0.767,0.762,0.771,0.875,0.902,0.764,0.335,0.811,0.642,0.567,0.71,0.479,0.803,-0.204,0.63,0.92,0.815,0.906,0.187,0.565,0.717,0.724,0.799,0.792,0.745,0.69,0.771,0.706,0.167,0.9,0.832,0.726,0.312,0.721,0.614,0.724,0.762,0.631,0.729,0.955,0.894,0.641,0.953,0.828,0.769,0.868,0.601,0.752,0.897,0.574,0.475,0.949,0.872,0.148,0.325,0.811,0.847
0.40,0.327,0.877,0.572,0.358,0.777,0.711,0.875,0.67,0.913,0.831,0.827,0.892,0.788,0.914,0.842,0.584,0.928,0.722,0.827,0.863,0.863,0.925,0.901,0.156,0.846,0.839,0.771,0.751,0.882,0.803,0.387,0.808,0.898,0.587,0.755,0.856,0.375,-0.121,0.722,0.818,0.867,0.184,0.769,0.77,0.865,0.194,0.122,0.784,0.481,0.536,0.796,0.797,0.854,0.83,0.361,0.917,0.664,0.901,0.921,0.736,0.902,0.755,0.612,0.707,0.585,0.803,0.777,0.952,0.9,-0.176,0.687,0.862,0.868,0.846,0.766,0.542,0.775,0.82,0.777,0.592,0.283,0.876,0.705,0.906,0.666,0.817,0.964,0.789,0.84,0.774,0.709,0.883,0.829,0.519,0.859,0.81,0.681,0.894,0.674,0.695
0.45,0.642,0.851,0.765,0.896,0.83,0.813,0.683,0.841,0.811,0.9,0.881,0.829,0.778,0.906,0.61,0.69,0.805,0.9,0.894,0.652,0.687,0.896,0.778,0.823,0.494,0.83,0.806,0.856,0.901,0.398,0.862,0.937,0.892,0.829,0.779,0.82,0.687,0.789,0.906,0.803,-0.006,0.827,0.94,0.866,0.892,0.84,0.837,0.674,0.73,0.868,0.864,0.867,0.697,0.682,0.581,0.917,0.933,0.717,0.713,0.856,0.81,0.729,0.89,0.86,0.795,0.78,0.719,0.924,0.84,0.715,0.892,0.855,0.76,0.851,0.788,0.858,0.754,0.93,0.827,0.768,0.618,0.848,0.91,0.235,0.741,0.373,-0.016,0.536,0.873,0.801,0.79,0.692,0.79,0.751,0.782,0.928,0.723,0.754,0.859,0.862
0.50,0.707,0.8,0.415,0.847,0.82,0.82,0.359,0.769,0.915,0.886,0.768,0.864,0.854,0.917,0.843,0.636,0.782,0.791,0.677,0.813,0.852,0.313,0.902,0.909,0.777,0.338,0.806,0.791,0.792,0.831,0.812,0.869,0.806,0.682,0.855,0.897,0.528,0.921,0.839,0.902,0.735,0.932,0.839,0.506,0.825,0.928,0.721,0.735,0.87,0.52,0.889,0.733,0.818,0.854,0.704,0.833,0.74,0.78,0.806,0.912,0.951,0.797,0.831,0.907,0.855,0.682,0.86,0.934,0.914,0.892,0.847,0.747,0.757,0.877,0.831,0.867,0.875,0.764,0.842,0.787,0.796,0.786,0.665,0.953,0.931,0.845,0.85,0.804,0.815,0.844,0.735,0.858,0.906,0.892,0.82,0.843,0.831,0.811,0.909,0.665
0.55,0.651,0.79,0.834,0.791,0.833,0.801,0.919,0.701,0.779,0.88,0.869,0.89,0.821,0.874,0.876,0.834,0.776,0.788,0.849,0.485,0.918,0.924,0.891,0.883,0.86,0.923,0.888,0.781,0.847,0.784,0.916,0.871,0.855,0.75,0.747,0.95,0.754,0.724,0.496,0.893,0.884,0.797,0.861,0.896,0.86,0.875,0.826,0.267,0.69,0.874,0.78,0.794,0.454,0.856,0.773,0.833,0.682,0.848,0.892,0.853,0.863,0.471,0.795,0.938,0.903,0.737,0.895,0.882,0.835,0.87,0.84,0.6,0.658,0.738,0.875,0.925,0.832,0.853,0.161,0.628,0.901,0.879,0.79,0.783,0.812,0.811,0.585,0.751,0.932,0.721,0.924,0.742,0.875,0.886,0.757,0.358,0.82,0.661,0.855,0.868
0.60,0.915,0.956,0.356,0.766,0.378,0.563,0.866,0.881,0.795,0.809,0.261,0.921,0.899,0.805,0.858,0.743,0.85,0.902,0.885,0.828,0.406,0.901,0.374,0.833,0.602,0.914,0.908,0.945,0.776,0.766,0.884,0.854,0.877,0.528,0.924,0.452,0.621,0.825,0.484,0.819,0.706,0.918,0.916,0.919,0.906,0.893,0.934,0.723,0.849,0.767,0.903,0.846,0.822,0.883,0.84,0.689,0.558,0.815,0.797,0.818,0.837,0.868,0.813,0.757,0.778,0.877,0.906,0.794,0.573,0.83,0.823,0.755,0.44,0.848,0.943,0.854,0.379,0.803,0.322,0.91,0.862,0.721,0.803,0.756,0.886,0.905,0.896,0.796,0.785,0.84,0.794,0.757,0.825,0.776,0.825,0.8,0.748,0.872,0.332,0.818
0.65,0.777,0.799,0.88,0.903,0.336,0.875,0.889,0.793,0.904,0.896,0.869,0.917,0.873,0.861,0.894,0.839,0.788,0.863,0.908,0.71,0.874,0.897,0.784,0.79,0.907,0.815,0.875,0.898,0.863,0.84,0.861,0.891,0.903,0.923,0.89,0.92,0.917,0.813,0.857,0.835,0.776,0.843,0.907,0.782,0.881,0.873,0.948,0.777,0.844,0.851,0.426,0.834,0.804,0.858,0.788,0.83,0.847,0.818,0.445,0.784,0.91,0.873,0.674,0.85,0.851,0.892,0.877,0.911,0.875,0.805,0.939,0.748,0.46,0.762,0.822,0.936,0.863,0.812,0.778,0.819,0.496,0.863,0.899,0.904,0.818,0.81,0.843,0.834,0.795,0.912,0.823,0.847,0.807,0.939,0.913,0.813,0.798,0.889,0.8,0.663
0.70,0.672,0.84,0.85,0.238,0.927,0.827,0.836,0.774,0.882,0.885,0.486,0.848,0.878,0.881,0.83,0.818,0.202,0.875,0.895,0.893,0.878,0.91,0.766,0.827,0.899,0.832,0.861,0.906,0.866,0.786,0.844,0.752,0.793,0.879,0.816,0.692,0.845,0.944,0.411,0.891,0.889,0.917,0.873,0.768,0.85,0.906,0.89,0.851,0.855,0.892,0.863,0.902,0.812,0.836,0.849,0.888,0.898,0.809,0.849,0.853,0.831,0.872,0.868,0.808,0.93,0.85,0.496,0.938,0.852,0.881,0.782,0.822,0.936,0.436,0.823,0.899,0.928,0.908,0.808,0.801,0.881,0.832,0.841,0.773,0.921,0.852,0.887,0.686,0.88,0.929,0.908,0.741,0.853,0.795,0.851,0.83,0.81,0.79,0.863,0.912
