ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.419,0.959,0.924,0.616,0.03,-2.897,-0.612,0.479,0.269,-0.527,0.921,0.851,-1.389,-0.175,0.732,0.832,0.942,0.765,-2.65,0.96,0.893,0.977,0.833,0.742,0.584,0.951,-0.234,0.715,0.724,0.544,0.996,0.944,0.873,0.953,0.953,0.785,0.871,0.944,0.156,0.863,0.693,0.119,0.146,0.765,0.854,-0.684,0.582,0.394,0.914,0.561,0.533,0.363,0.966,0.484,0.575,0.618,-17.454,0.974,0.93,0.323,0.803,0.915,0.772,0.747,0.622,0.476,-5.222,-0.076,0.764,-11.02,0.601,0.798,0.249,-0.487,0.85,0.204,0.921,0.975,-0.141,-8.771,0.827,-0.288,-0.421,0.867,0.236,0.899,0.836,0.798,0.779,0.966,0.218,0.889,0.512,0.503,-5.747,0.172,0.78,0.535,-0.033,0.115
0.10,0.702,0.888,0.829,0.722,0.945,0.871,0.913,0.73,0.954,0.88,0.956,0.954,0.752,-0.062,0.782,0.909,0.744,0.442,0.744,0.758,0.879,0.841,0.921,0.562,0.923,0.882,0.775,0.891,0.255,0.805,0.973,0.65,0.597,0.912,0.796,0.84,0.831,0.911,0.894,0.92,0.422,0.901,0.842,0.589,0.909,0.033,0.801,0.927,0.752,0.787,0.77,0.556,0.973,0.948,0.396,0.927,0.574,0.749,0.781,0.894,0.746,0.903,0.856,0.426,0.844,0.907,0.779,0.885,-0.383,-12.274,0.56,0.798,0.564,0.796,0.491,0.863,0.624,0.863,0.821,0.955,0.607,0.909,0.844,0.543,0.768,0.783,0.906,0.954,0.51,0.9,0.716,0.879,0.878,0.959,0.89,0.673,0.928,0.615,0.769,0.924
0.15,0.782,0.925,0.915,0.903,0.947,-0.099,0.932,-0.194,0.946,0.943,0.941,0.853,0.734,0.713,0.806,0.95,0.96,0.884,0.908,0.914,0.615,0.135,0.961,0.845,0.948,0.859,0.866,0.968,0.864,0.931,0.986,-0.757,0.879,0.728,0.898,0.917,0.922,0.694,0.929,0.742,0.938,0.902,0.978,0.955,-0.409,0.716,0.974,0.975,0.876,0.549,0.875,0.701,0.91,0.836,0.958,0.74,0.723,0.772,0.921,0.959,0.874,0.821,0.931,0.698,0.944,0.915,0.691,0.63,0.908,0.867,0.701,0.858,0.957,0.861,0.85,0.899,0.881,0.772,0.966,0.955,0.962,0.751,-1.86,0.884,0.908,0.947,0.78,0.857,0.687,0.907,0.741,0.909,0.844,0.879,0.912,0.625,0.944,0.876,0.93,0.947
0.20,0.917,0.691,0.965,0.936,0.881,0.896,0.97,0.789,0.865,0.963,0.976,0.844,0.921,0.869,0.911,0.971,0.963,0.939,0.922,0.926,0.911,0.577,0.868,0.947,0.913,0.956,0.902,0.914,0.922,0.924,0.958,0.838,0.901,0.954,0.836,0.95,0.809,0.843,0.873,0.918,0.957,0.913,0.933,0.97,0.568,0.841,0.928,0.899,0.523,0.965,0.831,0.962,0.693,0.624,0.931,-1.162,0.801,0.821,0.901,0.897,0.862,0.951,0.954,0.874,0.764,0.754,0.932,0.888,0.89,0.614,0.974,0.823,0.314,0.805,0.886,0.961,0.656,0.765,0.95,0.87,0.877,0.903,0.869,0.874,0.403,0.914,0.765,0.971,0.809,0.969,0.96,0.853,0.909,0.912,0.613,0.897,0.937,0.855,0.928,0.685
0.25,0.88,0.899,0.92,0.928,0.934,0.893,0.932,0.662,0.92,0.767,0.918,0.809,0.829,0.963,0.919,0.945,0.32,0.924,0.99,0.855,0.587,0.877,0.829,0.95,0.917,0.905,0.961,0.961,0.908,0.8,0.987,0.798,0.875,0.957,0.378,0.942,0.917,0.768,0.856,0.854,0.821,0.941,0.955,0.759,0.787,0.936,-0.205,0.97,0.888,0.934,0.909,0.952,0.936,0.968,0.965,0.902,0.926,0.672,0.811,0.882,0.875,0.934,0.931,0.448,0.793,-0.426,0.234,0.888,0.947,0.959,0.876,0.977,0.963,0.674,0.87,0.821,0.951,0.97,0.972,0.735,0.97,0.956,0.922,0.895,0.922,0.846,0.944,0.848,0.965,0.963,0.97,0.891,0.927,0.876,0.511,0.766,0.914,0.939,0.907,0.935
0.30,0.945,0.803,0.919,0.897,0.949,0.835,0.983,0.818,0.622,0.872,0.955,0.725,0.964,0.801,0.941,0.837,0.856,0.972,0.903,0.962,0.943,0.962,0.937,0.86,0.932,0.873,0.894,0.953,0.926,0.907,0.987,0.936,0.953,0.948,0.94,0.977,0.752,0.955,0.931,0.929,0.892,0.945,0.944,0.902,0.826,0.917,0.952,0.859,0.955,0.899,0.974,0.898,0.871,0.943,0.989,0.913,-0.948,0.95,0.819,0.768,0.87,0.914,0.934,0.948,0.911,0.963,0.59,0.958,0.783,0.956,0.939,0.94,0.952,0.943,0.749,0.965,0.966,0.973,0.747,0.98,0.938,0.931,0.955,0.957,0.941,0.815,0.96,0.927,0.861,0.977,0.885,0.818,0.909,0.895,0.925,0.965,0.778,0.93,0.964,0.839
0.35,0.967,0.896,0.961,0.85,0.954,0.844,0.946,0.964,0.96,0.809,0.959,0.876,0.898,0.883,0.863,0.971,0.893,0.937,0.9,0.895,0.876,0.559,0.974,0.805,0.908,0.965,-0.18,0.924,0.938,0.946,0.942,0.965,0.968,0.939,0.848,0.911,0.947,0.924,0.913,0.972,0.66,0.962,0.963,0.872,0.872,0.964,0.875,0.843,0.945,0.962,0.931,0.938,0.838,0.929,0.974,0.839,0.946,0.878,0.969,0.883,0.956,0.944,0.928,0.984,0.933,0.962,0.886,0.93,0.837,0.941,0.943,0.918,0.78,0.928,0.974,0.796,0.898,0.914,0.868,0.96,0.938,0.955,0.934,0.931,0.969,0.851,0.97,0.891,0.9,0.956,0.982,0.437,0.939,0.893,0.971,0.794,0.935,0.843,0.968,0.927
0.40,0.883,0.929,0.98,0.923,0.949,0.924,0.958,0.927,0.929,0.965,0.93,0.695,0.949,0.926,0.95,0.901,0.948,0.984,0.964,0.976,0.948,0.951,0.974,0.928,0.871,0.966,0.97,0.938,0.913,0.967,0.952,0.898,0.914,0.928,0.947,0.906,0.892,0.899,0.947,0.777,0.952,0.965,0.925,0.975,0.942,0.93,0.913,0.971,0.915,0.919,0.955,0.939,0.877,0.959,0.963,0.966,0.975,0.939,0.907,0.922,0.903,0.859,0.939,0.935,0.928,0.899,0.92,0.909,0.904,0.988,0.977,0.951,0.891,0.947,0.916,0.943,0.961,0.976,0.948,0.98,0.972,0.976,0.799,0.944,0.97,0.954,0.961,0.941,0.929,0.951,0.948,0.952,0.883,0.967,0.898,0.965,0.966,0.919,0.932,0.956
0.45,0.975,0.951,0.98,0.925,0.983,0.927,0.911,0.958,0.898,0.961,0.964,0.945,0.968,0.879,0.944,0.946,0.928,0.934,0.953,0.94,0.946,0.961,0.748,0.935,0.945,0.977,0.967,0.969,0.967,0.959,0.876,0.857,0.964,0.927,0.974,0.936,0.939,0.968,0.975,0.937,0.883,0.904,0.971,0.97,0.933,0.953,0.921,0.967,0.97,0.985,0.961,0.96,0.927,0.972,0.922,0.963,0.941,0.831,0.952,0.965,0.985,0.858,0.972,0.904,0.943,0.952,0.963,0.896,0.97,0.896,0.951,0.912,0.928,0.957,0.941,0.952,0.957,0.919,0.966,0.986,0.984,0.927,0.941,0.953,0.966,0.984,0.918,0.943,0.964,0.972,0.889,0.979,0.938,0.974,0.883,0.964,0.962,0.975,0.971,0.977
0.50,0.976,0.894,0.973,0.949,0.871,0.949,0.961,0.915,0.909,0.921,0.97,0.912,0.97,0.602,0.971,0.956,0.9,0.919,0.969,0.959,0.948,0.946,0.949,0.968,0.942,0.976,0.922,0.974,0.952,0.915,0.958,0.934,0.959,0.944,0.941,0.96,0.968,0.916,0.979,0.926,0.947,0.979,0.975,0.923,0.956,0.778,0.961,0.98,0.98,0.988,0.872,0.985,0.958,0.953,0.95,0.966,0.936,0.955,0.951,0.895,0.94,0.967,0.901,0.942,0.844,0.961,0.937,0.951,0.981,0.893,0.97,0.937,0.902,0.947,0.966,0.837,0.965,0.942,0.967,0.944,0.966,0.944,0.94,0.957,0.972,0.927,0.916,0.971,0.971,0.984,0.908,0.956,0.974,0.986,0.944,0.946,0.967,0.913,0.962,0.983
